"dc_title","dc_writer","writer_ip","dc_date"
"천공들아 렐바 100 이거 센 약야??","ㅇㅇ ","223.38 ","05.18"
"소양때 침대 2층 어케 쓰냐","ㅇㅇ ","183.103 ","05.18"
"조만간 훈련소 들어가는데 1일 1딸 가능하냐?","ㅇㅇ ","14.41 ","05.18"
"와 50퍼 때부터가 진짜네","ㅇㅇ ","211.36 ","05.18"
"아 훈련소 너무 두렵다","ㅇㅇ ","218.236 ","05.18"
"면제는 누가받냐?","ㅇㅇ ","218.39 ","05.18"
"근데 공익복무중에도 재검 병무청에서 할수도있음??","ㅇㅇ ","122.35 ","05.18"
"훈련소 애들 보통 나잇대어떰??","ㅇㅇ ","211.184 ","05.18"
"드레이커 이 돼정공새기어디갔노","ㅇㅇ ","124.153 ","05.18"
"우리 사회복무요원 여러분들 꿀 같은 주말 잘보내고 계시죠?^^","ㅇㅇ ","117.111 ","05.18"
"공익이라 부끄럽냐?","ㅇㅇ ","58.228 ","05.18"
"정공이 사회복지시설 안 가는 이유 알아냈다.","ㅇㅇ ","58.141 ","05.18"
"98작작탈인데 행정못감?","ㅇㅇ ","14.51 ","05.18"
"공갤 형들 질문좀","ㅇㅇ ","219.74 ","05.18"
"공익을 영어로 뭐라고함?","안성시민 "," ","05.18"
"훈련소에 비타민씨가져가면뺏김?","rrrr ","222.116 ","05.18"
"작작탈 98 교지청 씹ㄱㄴ?","ㅇㅇ ","110.70 ","05.18"
"어느 공익 하나가 복무부적합으로 탈출했더라","ㅇㅇ ","59.23 ","05.18"
"작탈 99인데 어디까지 비빌만하냐","ㅇㅇ ","14.32 ","05.18"
"장기대기도 진짜 병신 같은 제도다","ㅇㅇ ","218.154 ","05.18"
"장공이여도 정상적으로 생겼으면 무시 안당한다","ㅇㅇ ","223.62 ","05.18"
"난 잘생겨서 무시 안당함","ㅇㅇ ","125.191 ","05.18"
"택시기사가 야마돌게하면 내릴때 문 세게닫냐 아님 안닫냐","ㅇㅇ ","1.242 ","05.18"
"서울서 펼쳐질 공익생활이 넘 기대된다","ㅇㅇ ","122.47 ","05.18"
"공익이라니까 왜 공익갔냐고 물어보긴함.","ㅇㅇ ","117.111 ","05.18"
"논산훈련소 여름에 너무 덥다고 훈련 안시키고 그런거 없음??","ㅇㅇ ","116.120 ","05.18"
"공익이라 무시당하는거 같아도","ㅇㅇ ","117.111 ","05.18"
"39사단 훈련소 갔다온 공익갤러들에게 물어보자","ㅇㅇ ","124.51 ","05.18"
"공익이라 무시당하는거는","ㅇㅇ ","112.162 ","05.18"
"생긴것만 정상적으로 생겼어도 무시안당한다","ㅇㅇ ","117.111 ","05.18"
"사회복무요원 최저임금 보장 개정안 통과","ㅇㅇ ","59.10 ","05.18"
"ㅈㄱ팁좀적어라 ","ㅇㅇ ","14.46 ","05.18"
"이미 최저임금은 현역병 공익 다 빠꾸당한 사례가 있는데 되겠냐","ㅇㅇ ","121.165 ","05.18"
"여자들은 왜 공익안하냐??","ㅇㅇ ","223.62 ","05.18"
"보험회사에서 신검 등급도 보냐","ㅇㅇ ","1.242 ","05.18"
"키멸돼공 개새끼들아 주의해라","숫자외우기 "," ","05.18"
"나중에 정치하면","ㅇㅇ ","58.228 ","05.18"
"정신병 있는 남자도 공익 끌려오는데 여경은 왜 면제냐??","ㅇㅇ ","211.200 ","05.18"
"다이어트 하기전 내 마인드","ㅇㅇ ","1.242 ","05.18"
"근데 진지하게 공익이랑 현역 모두 최저시급 받게","ㅇㅇ ","222.103 ","05.18"
"돼공새끼들은 정신병 패시브인거 같다","ㅇㅇ ","61.80 ","05.18"
"다섯번째계절 노래왜케좋냐","ㅇㅇ ","114.201 ","05.18"
"제복 신청하는데 남자 L사이즈 입으면 상의 치수 몇입어야해?","으이이에 ","117.111 ","05.18"
"나 훈련소다녔을때 공익 14명 뭘로 공익왔는지 알려줌 ㅇㅇ","ㅇㅇ ","122.35 ","05.18"
"공익도 학력차별 있더라","ㅇㅇ ","175.113 ","05.18"
"에어팟 안써봐서 모르는데 시발 왜쓰는거임?","ㅇㅇ ","122.35 ","05.18"
"돼공담에 많은게 멸공?","ㅇㅇ ","175.200 ","05.18"
"훈련소에 돼공많음??","ㅇㅇ ","175.200 ","05.18"
"아니 대구시청 6월 1일 기념으로 특휴준다는데 ㄹㅇ이냐","ㅇㅇ ","218.233 ","05.18"
"장애학공 힘든게","ㅇㅇ ","61.76 ","05.18"
"사내연애 금지인곳있음? ","ㅇㅇ ","220.124 ","05.18"
"공갤 돼공썰 다 웃으려고 주작한줄 알았는데","ㅇㅇ ","61.85 ","05.18"
"공무원 조직에는 페미 같은거 일절 안보이는데","ㅇㅇ ","175.120 ","05.18"
"여름에는 1주에 1번씩 씻고 겨울에는 1개월에 1번씩 씻음. ","ㅇㅇ ","61.106 ","05.18"
"찐특)소양 성격검사에서 ""우호형"" 나옴","ㅇㅇ ","223.62 ","05.18"
"대구시청 공익들 6월 1일날 특휴받는 거 사실이냐","ㅇㅇ ","218.233 ","05.18"
"아직 클럽, 헌팅술집 안가본 22살 183/70남인데요","ㅇㅇ ","117.111 ","05.18"
"하아...","ㅇㅇ ","110.70 ","05.18"
"에어팟 개좋노 ㅋㅋㅋ","ㅇㅇ ","112.186 ","05.18"
"공익제복 디자인한놈 누구냐?","ㅇㅇ ","223.38 ","05.18"
"지공 야간에 밥 어케먹음","ㅇㅇ ","183.102 ","05.18"
"월급 들어오는곳 어케 바꿈?","쌈팔광배 "," ","05.18"
"눈공인데 굴절이상 4급 심각한거임?","ㅇㅇ ","125.190 ","05.18"
"자기얼굴 올리는 애들","ㄱㄴㄷㄹ ","61.97 ","05.18"
"이사 재지정 질문좀","ㅇㅇ ","39.7 ","05.18"
"6월달에 공익 신청 나오냐?","ㅇㅇ ","118.221 ","05.18"
"181 57 19cm다 대구산다","ㅇㅇ ","175.118 ","05.18"
"형들 병원공익 빡세누?","ㅇㅇ ","112.147 ","05.18"
"대학병원 공익질문","chk ","117.111 ","05.18"
"안녕하십니까","00공익 ","59.30 ","05.18"
"공익이라고 된방 들어갔다가 바로 욕먹고 강퇴당함","억울한 인민 ","159.65 ","05.18"
"근데 공익할때 공익복 2개주나? 한개주나??","ㅇㅇ ","122.35 ","05.18"
"지공의 장점이자 단점 주간 야간 ㅇㅇ....","ㅇㅇ ","175.223 ","05.18"
"형님들 저 공익 가능한 부분입니까?","ㅇㅇ ","117.111 ","05.18"
"96 1스택 올해 여포가능?","ㅇㅇ ","112.65 ","05.18"
"지공들만 와주라 근무복 관련 .......;","ㅇㅇ ","175.223 ","05.18"
"유학생 공익 병무청에다가","moon4223 "," ","05.18"
"좆같은 지하철 출근한다","ㅇㅇ ","110.70 ","05.18"
"공익근무중에 공무원시험 볼수있냐?","ㅇㅇ ","121.132 ","05.18"
"부자랑 서민의 차이 (feat.병역)","ㅇㅇ ","175.223 ","05.18"
"4급가려고 힘쓰는애들","ㅇㅇ ","59.10 ","05.18"
"야 훈련소가는데 준비물 뭐 필요하냐","ㅇㅇ ","221.141 ","05.18"
"ㄲㅋ근데키160으로공익안되면","심해전문기사 "," ","05.18"
"오늘 5.18아님 ? ?","ㅇㅇ ","58.140 ","05.18"
"금딸 8일차다","ㅇㅇ ","211.36 ","05.18"
"입소할때 입었던 사복 자기가 보관하는거야??","ㅋㅋ ","58.235 ","05.18"
"오ㅒ시발 대한민국에서 테어나가지고","ㅇㅇ ","116.39 ","05.18"
"야 불면증도 공익사유냐?","ㅇㅇ ","121.184 ","05.18"
"망할 헬복지 때문에 트라우마 생겼다","ㅇㅇ ","223.62 ","05.18"
"훈련소 개씹꿀팁알려준다 ㄹㅇ... 모르면 씹 후회 전국남자들 다공감할거다","ㅇㅇ ","122.35 ","05.18"
"헬복지 헬복지","ㅇㅇ ","14.44 ","05.18"
"39사단가는 애기들아 이거를 봐라 나는 너네 전 기수다","캬캬캬캬 ","223.62 ","05.18"
"39사단 동지들아","ㅇㅇ ","211.36 ","05.18"
"6월20일에 훈련소가는데","ㅇㅇ ","58.143 ","05.18"
"훈련소 갈때 칫솔 치약 들고가야됨??","ㅋㅋ ","58.235 ","05.18"
"근데 진짜 안락사합법은 안될라나","ㅇㅇ ","223.33 ","05.18"
"공갤러들아 훈련소 다녀와본 갤럼들 들어와바","ㅇㅇ ","211.36 ","05.18"
"노예공익이 참공익들보다 후일 상사에게 이쁨받을지도 모르지 ","ㅇㅇ ","59.22 ","05.18"
"호식이 두마리 괜히 시켰다","ㅇㅇ ","117.111 ","05.18"
"얼굴 ㄱㅆㅅㅌㅊ에 120만원 받기 vs 얼굴 ㅍㅎㅌㅊ에 400만원 받기","안락사하기위해 "," ","05.18"
"5월달에 정공판정받았는데 장기대기 가능???????????????","ㅇㅇ ","58.123 ","05.18"
"정공판정 바았는데 장기대기해야돼냐? 언제까지 기다려야돼냐","ㅇㅇ ","58.123 ","05.18"
"을지훈련 5월말에 하는데 구청공익도 뭐해야됨?","Thwiki "," ","05.18"
"서울 정공 산업체 갈수있냐","ㅇㅇ ","219.241 ","05.18"
"돼정공이 알려주는 돼정공 탈출 팁","ㅇㅇ ","211.36 ","05.18"
"기초생활 수급 편견가지지 마라","숫자외우기 "," ","05.18"
"여기서 보이는 돼정공들 보면 뭔가꼴림","ㅇㅇ ","211.184 ","05.18"
"생각해보니","돌딱충 "," ","05.18"
"정공은 애매해도","숫자외우기 "," ","05.18"
"지옥탈출 재지정 대기 끝 ㅎㅎ","ㅉㅇ ","175.223 ","05.18"
"돼정공이 승리자인 이유","ㅇㅇ ","223.62 ","05.18"
"공익이랑 산업체 훈련같이받아??","ㅇㅇ ","211.184 ","05.18"
"형들 제검받으러가는대 질문좀요 ㅜㅜ","ㅇㅇ ","115.137 ","05.18"
"소해앞둔 애들 연가 병가 팁준다","ㅇㅇ ","58.227 ","05.18"
"ILO협약 비준 강제노동 철폐 제발","ㅇㅇ ","110.70 ","05.18"
"나 4급받을수있냐?","OnLYounHA "," ","05.18"
"살쪄서 공익 ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","223.62 ","05.18"
"53사단 훈련소 꿀팁","ㅇㅇ ","1.211 ","05.18"
"돼공은 살빼면 정상인이다 몸에 하자있으면 나대지마라^^","ㅇㅇ ","1.216 ","05.18"
"훈련소안에 선풍기잇음??","ㅇㅇ ","211.184 ","05.18"
"논산훈련소 어떻노??","ㅇㅇㅇ ","119.197 ","05.18"
"211.184 야 너 어디사냐 아이피같노","ㅇㅇ ","211.184 ","05.18"
"담배냄새가 역겨워지고 토할거같은 기분이 자주드는데 폐암임?","스즈카제아오바 "," ","05.18"
"5월에 훈련소가는 애새끼들 특징.txt","ㅇㅇ ","121.182 ","05.18"
"공익분들 맨날 쳐맞기만하다 첨으로 만만한애들 나와서 ","ㅇㅇ ","211.184 ","05.18"
"니들도 근무지 사람들이랑 싸울생각말고 좋게 지내라 시키는 일도 다하고","ㅇㅇ ","222.116 ","05.18"
"근데 훈련소가면 서로 공익사유 다 공유함?","ㅇㅇ ","211.184 ","05.18"
"형님들 장기대기 문의드립니다","프로애갤러 "," ","05.18"
"돼공 미스테리","이등병 "," ","05.18"
"나보다 꿀무지인 곳 있냐??","ㅇㅇ ","39.7 ","05.18"
"훈련소에서 신체 일체적으로 다 검사함??","ㅇㅇ ","211.184 ","05.18"
"근무지에 아이즈원 권은비 닮은 여자애 잇는데 진짜 어캐 해보고싶다","ㅇㅇ ","122.35 ","05.18"
"나정도면 공익 ㅁㅌㅊ냐?","ㅇㅇ ","211.36 ","05.18"
"직원 존나 맘에 안드는데 대화녹음해서 들박 가능?","ㄴㄱㅁ ","61.77 ","05.18"
"나라사랑카드 읎으면 어캄??","ㅇㅇ ","211.184 ","05.18"
"근데 공익들 사이에서도 서열 있음??","ㅇㅇ ","211.184 ","05.18"
"친척한테 잘생겼다 소리들어도 좋은거냐","ㅇㅇ ","125.191 ","05.18"
"일단 공익에서 아재아줌마들이 많아서 깽판치기가 힘들지않냐","ㅇㅇ ","122.35 ","05.18"
"얘들아 나 스타트업 준비 중인데 질문 하나만 할게","ㅇㅇ ","39.7 ","05.18"
"공익하면서 룸싸롱같은데 자주가게 된다","ㅇㅇ ","122.35 ","05.18"
"공익훈련소가면 양아치 많냐?","ㅇㅇ ","211.184 ","05.18"
"님들 진지하게 님들이 여경보다는 낫다고 생각함??","ㅇㅇ ","211.184 ","05.18"
"훈련소 신체검사는 들어가자마자함??","ㅇㅇ ","211.184 ","05.18"
"취업할 때 공익이라고 다 나쁜 건 아니다","ㅇㅇ ","39.7 ","05.18"
"20일 53사 입대자있냐","ㅇㅇ ","221.152 ","05.18"
"여자는 길에서 왜이리 쭈구려 앉는걸 좋아하냐","ㅇㅇ ","223.62 ","05.18"
"훈련소 26일동안 생활해봣는데 난 현역이엇으면 자살햇을듯","ㅇㅇ ","122.35 ","05.18"
"물집터진거 껍질때면 안되지??","ㅇㅇ ","125.191 ","05.18"
"평범한 직장인인데 알바 하실 분??","ㅇㅇ ","39.7 ","05.18"
"근무지에서 깽판칠 일이 잇긴하냐 근데","ㅇㅇ ","122.35 ","05.18"
"학교 수련회 질문좀하저","학공 ","221.148 ","05.18"
"20일 31사단 들어가는 공붕이 있노","학학 "," ","05.18"
"사회 복무 요원 규정 이렇게 만이라도 바뀌면 좋겠다","ㅇㅇ ","175.223 ","05.18"
"장생겼는데 찐따라고 생각하는애 들어와라","171109 ","223.62 ","05.18"
"자기 머리크기 평균이면 모자 몇호시켜야됌?","호빵만두 "," ","05.18"
"공익들을 위한 노래.....띵곡","ㅇㅇ ","118.46 ","05.18"
"정신과7급인데 현역갈까","ㅇㅇ ","182.216 ","05.18"
"세종-대전은 이사 재지정 못받나여?","ㅇㅇ ","223.33 ","05.18"
"공익복 원래 어좁이용이냐?","ㅇㅇ ","122.35 ","05.18"
"공익중에 공갤러 비율이 얼마나될까?","ㅇㅇ ","223.38 ","05.18"
"얼굴 ㅍㅅㅌㅊ ~ ㄱㅆㅅㅌㅊ 아니면 부모한테 패륜짓을 해도 무죄라고 본다","ㅇㅇ ","61.106 ","05.18"
"소양센터애쌍도말투오지는이유가","6876 ","220.120 ","05.18"
"숫자외우기 같은 지거국 분교충들은 자살이 답이지","ㅋㅋㅋ ","58.143 ","05.18"
"ㅋㅋ씨발 도서관공익인데 어이가없음","ㅇㅇ ","211.36 ","05.18"
"해외대학 재학생 공익 소집신청","moon4223 "," ","05.18"
"권투하는 남자애 잡아서 ","ㅇㅇ ","175.223 ","05.18"
"공익 수능치고 대학붙으면 어케함?","ㅇㅇ ","125.179 ","05.18"
"예전에 공익일 때 근무지에서 오버워치 하다가 주임님이 내 점수 보신 썰","ㅇㅇ ","223.38 ","05.18"
"요즘 이상하게 최소 5살연상이 좋더라","후유우미아이 "," ","05.18"
"하이마트에서 180만원 컴퓨터 산 놈인데 사양 봐주라...","ㅇㅇ ","39.7 ","05.18"
"이번 달에 정신과 재검인데 질문좀","ㅇㅇ ","39.7 ","05.18"
"얘들아 나 호구 당한거냐??","ㅇㅇ ","39.7 ","05.18"
"틀딱 아재 공무원이 왜 자꾸 밖에서 나랑 밥먹자고 하는거냐","ㅇㅇ ","122.35 ","05.18"
"걸스캔두애니팡~~~","ㅇㅇ ","223.62 ","05.18"
"현ㅅ찾는 새끼 나한테 카톡해봐라","ㅇㅇ "," ","05.18"
"서강대 다니는 친구 있니??","ㅇㅇ ","39.7 ","05.18"
