"dc_title","dc_writer","writer_ip","dc_date"
"놀공시","ㅇㅇ ","121.125 ","05.18"
"주말이라 갤이 조용하네","ㅇㅇ ","121.125 ","05.18"
"아맞다 근데 총공팀 지원할까 했었는데","지상파1등가즈아 "," ","05.18"
"1년만에 갤 왔는데 익숙한 닉이 많네","ㅇㅋ ","223.38 ","05.18"
"난 줄서지 않겠다","SUJEONG "," ","05.18"
"이제 첫갤 50명 됨","지상파1등가즈아 "," ","05.18"
"내가 내일 연습해서 가볼께 ","우와우 "," ","05.18"
"오늘은 뭐 안나오냐","나는까메오 "," ","05.18"
"저기 엠카 넥스트 위크 파일 없냐고???","ㅇㅅㅇ ","124.53 ","05.18"
"음싸 네개나 돌리긴 처음이네","ㅇㅇ ","223.39 ","05.18"
"짝뚜시문","리다소울커여워 "," ","05.18"
"수정시","실리실리뽀이 "," ","05.18"
"류블리시<U+2764>","NeverEnding "," ","05.18"
"짝뚜시","리다소울커여워 "," ","05.18"
"아 한곡안쪘네","실리실리뽀이 "," ","05.18"
" 롱티저를 보고 생각난 곡이 있다","transon "," ","05.18"
"도무지 미워할 수 밖에 없는 데뷔시 뭔가 이상하지 않냐","ReSet "," ","05.18"
"럽다 6 2편 복습 결과 ","ㅇㅇ ","117.111 ","05.18"
"4분갤 왜 곡 다 다르냐","ReSet "," ","05.18"
"총공 예전엔 컴으로 자동으로 글쓰기까지 되는게 있었는데","SUJEONG "," ","05.18"
"럽콘은 진짜 메리트있음","시린기억화 "," ","05.18"
"요즘 아이돌콘 다들 밴드구성이냐?","ㅇㅇ ","220.120 ","05.18"
"총공 꼭 저런 이미지만들어서 가야함?","우와우 "," ","05.18"
"월요일 아침 도착이면","러블리즈케이 ","124.60 ","05.18"
"아 이번에 지니 음악나누기 총공 못하겠네","지상파1등가즈아 "," ","05.18"
"부산 이나 제주도에 사는 갤러 있어??","ㅇㅇ ","117.111 ","05.18"
"오늘은 아무것도 안뜨는데 12시 기다리고 있었네","mellon "," ","05.18"
"타갤러인데.. 혹시 중복이면말좀해주지 프로그램 링크좀 알려줄수있을까?굽신","ㅇㅇ ","124.199 ","05.18"
"50분갤 x","ㅇㅇ ","223.39 ","05.18"
"뉴빈데 총공은 어뜨케가는건가요?","우와우 "," ","05.18"
"사루카메 사장님 ㄹㅇ 부럽네 ㅠ","지수! ","58.230 ","05.18"
"피씨갤 접속이 안되네","ㅇㅇ ","223.39 ","05.18"
"념글올려라","ㅇㅇ ","121.187 ","05.18"
"럽다6자막 무엇","ㅇㅇ ","125.135 ","05.18"
"블퀘에 주차 할때 있나","ㅇㅇ ","219.241 ","05.18"
"념 부탁드려여","러블리즈총공연합 "," ","05.18"
"아 실수했다ㅋㅋ","실리실리뽀이 "," ","05.18"
"아 벌써 30명ㅋㅋㅋㅋ","서힝구 "," ","05.18"
"누가 움찍 신고하나","럽갤만한다 "," ","05.18"
"둘중에 뭐가 더 타이틀 같음?","러블이22 "," ","05.18"
"나도 서울좀 가고 싶다","ㅇㅇ ","223.39 ","05.18"
"쇼케 당일 다섯시 도착하면","ㅇㅇ ","110.70 ","05.18"
"바이브 쓰시는분들 중에 질문이요","ㅇㅇ ","175.207 ","05.18"
"지금 유난 상황","ㅇㅇ ","58.227 ","05.18"
"럽갤 좀 죽었나?","ㅇㅇ ","175.223 ","05.18"
"쇼케날 겨2딥 자석 교환하실분","Believen "," ","05.18"
"블퀘에 7시쯤에 도착하면 밥 먹을 시간 있음?","ㅇㅇ ","211.36 ","05.18"
"갤주들 담 주 MBN에서 하는 예능 프로에 나온다는대 알아?","ㅇㅇ ","119.207 ","05.18"
"인스티즈하는사람","ㅇㅇ "," ","05.18"
"생츄 쇼케때 나 바로뒤에 부터 죄석 주더라","아츄러스 "," ","05.18"
"이번에 좌석 개방하냐??","ㅇㅇ ","27.179 ","05.18"
"이번엔 컴백전날 브앱 없는건가","ㅇㅇ ","39.7 ","05.18"
"ㄹㄴㅇ","17행복이 "," ","05.18"
"미주시","실리실리뽀이 "," ","05.18"
"미주시","리다소울커여워 "," ","05.18"
"뭐야 지금우리 가사 빙글빙글 내 두눈은 이었어??","ㅎㄹ ","223.38 ","05.18"
"쇼케날 나눔한다던거 기억하지?","ㅇㅇ ","110.70 ","05.18"
"버스기사아재 오르막출발 뒤로 밀린다","시린기억화 "," ","05.18"
"너네 이건 올리고 갤질하자","ㅇㅇ ","223.33 ","05.18"
"1등 당첨되면","SUJEONG "," ","05.18"
"로또 1등되몀 여나럽 부산 서울 비즈니스 타고 가야지","아츄러스 "," ","05.18"
"컴백 첫주 로또 당첨된다","막내예인이 "," ","05.18"
"본인 요즘 고민","ㅇㅇ ","110.70 ","05.18"
"내가 20억을 매주 먹을려고 하는데","ㅇㅇ ","223.39 ","05.18"
"못보던 닉은 갤로그를 들어가보자","ㅇㅇ ","175.194 ","05.18"
"와 씨 빙하의별 먹어보기 왤케 어렵냐","ACEBUDDY "," ","05.18"
"명은이 사클 최근에","ㅇㅇ ","61.255 ","05.18"
"아 매주 20억 벌 기회를 놓치네","SUJEONG "," ","05.18"
"미친 4등이네 ㅋㅋㅋㅋㅋ","아츄러스 "," ","05.18"
"생년월일 꼭 있어야 돼???","ㅇㅇ ","175.223 ","05.18"
"혹시 쇼케에서 얼웨이즈 렌티 교환할 사람 있음??","딜라잇 "," ","05.18"
"쇼케장소까지 20분거리","제육볶음3인분가능 "," ","05.18"
"쇼케 일찍가서 공부해도되냐","제육볶음3인분가능 "," ","05.18"
