"dc_title","dc_writer","writer_ip","dc_date"
"수능 8등급 응원했다고 서울대 가는 소리하고 있네 븅신 ㅋㅋㅋ","여배갤매니저규현 "," ","05.18"
"잘할년이었으면 vnl 꼴찌 했겠냐 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","여배갤매니저규현 "," ","05.18"
"거봐 내가 뭐랬어 ㅋㅋㅋㅋ 또 와서 글 싸지른다고 했자너 ","ㅇㅇ ","172.58 ","05.18"
"희진이 응원한다 ","ㅇㅇ ","39.7 ","05.18"
"세월호 애들한테 고맙다고한 문재인이랑","여배갤매니저규현 "," ","05.18"
"참고로 작년 vnl 한국 라이트 주전도 3류희진이었음","여배갤매니저규현 "," ","05.18"
"기자: '김희진 정지윤중에 누가 주전인가요?'","여배갤매니저규현 "," ","05.18"
"문재인 때문에 지금 거지인 사람은 앞으로 10년은 더 거지로 살아야됨","여배갤매니저규현 "," ","05.18"
"우오아아아아아아아아아","찬호는희진이를사랑해 ","203.229 ","05.18"
"하버드니까 영어로 찬호 러브 희진","찬호는희진이를사랑해 ","203.229 ","05.18"
"찬호 러브 희진","찬호는희진이를사랑해 ","203.229 ","05.18"
"찬호는 희진이를 사랑해","찬호는희진이를사랑해 ","203.229 ","05.18"
"찬호 사실 희진빠","찬호는희진이를사랑해 ","203.229 ","05.18"
"@@@@@@@박찬호갤러리입니@@@@@","ㅇㅇ ","203.229 ","05.18"
"박찬호 투머치토커ㅇㅇ","ㅇㅇ ","203.229 ","05.18"
"이쯤되면 그냥 불쌍함. 김희진 망했다고 저렇게 처절하게 무너지네","ㅇㅇ ","96.241 ","05.18"
"구글 서칭했다고요?","ㅇㅇ ","96.241 ","05.18"
"그 돼지년의 마지막 자존심","ㅇㅇ ","96.241 ","05.18"
"박찬호 씨발련아 검색 그만ㄴ해","ㅇㅇ ","203.229 ","05.18"
"함부로 말 뱉었다가 급하게 구글 서칭했을 생각하니까 눈물나노 ㅋㅋㅋㅋ","ㅇㅇ ","96.241 ","05.18"
"작작해 5.18 좋은날에","ㅇㅇ ","203.229 ","05.18"
"시발련아 와튼을 내가 어떻게 가","ㅇㅇ ","203.229 ","05.18"
"씨발년 진짜 놀아주니까 주제 파악 못하고 나불대네 개좆같은년이","ㅇㅇ ","96.241 ","05.18"
"즐거웠다면 그걸로 만족한다","ㅇㅇ ","203.229 ","05.18"
"희진맘 알고보니 직업 개그우먼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","96.241 ","05.18"
"나는 니 인생에 박수를 친다","ㅇㅇ ","203.229 ","05.18"
"좀 착하게 살자","ㅇㅇ ","203.229 ","05.18"
"나는 너가 왜이렇게 자기 신상팔면서 남을 까는지 노이해야","ㅇㅇ ","203.229 ","05.18"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ병신이 셀털하고 잘난줄","ㅇㅇ ","203.229 ","05.18"
"삐빅 50% 인증에 성공하셨습니다 아래 저처럼 스크린 사진찍어서 보내면","ㅇㅇ ","96.241 ","05.18"
"'응 나도 와튼 나왔고 돈은 너보다 많아 저걸로 으스대지마 ㅋㅋㅋㅋㅋㅋ'","ㅇㅇ ","96.241 ","05.18"
"로스쿨?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","203.229 ","05.18"
"니가 하버드면 나는 와튼이여","ㅇㅇ ","203.229 ","05.18"
"하버드 ㅈ까는 소리하노.","ㅇㅇ ","203.229 ","05.18"
"시발 하버드ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","203.229 ","05.18"
"씨발 와튼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","96.241 ","05.18"
"실력이 없는데 왜 김희진 씀?","ㅇㅇ ","175.223 ","05.18"
"국대 주전 아포짓은 김희진이라네","ㅇㅇ ","175.223 ","05.18"
"이소영은 아예 복귀 없지?","ㅇㅇ ","175.223 ","05.18"
"라바리니가 강소휘 올예에도 데려감?","ㅇㅇ ","175.223 ","05.18"
"와튼 염병학과 전공 연봉 18억 희진맘 튀었쥬 ㅋ","희진맘망상증 ","172.58 ","05.18"
"뉴비)질문 ","ㅇㅇ ","175.223 ","05.18"
"김희진 국대 주전,ㅍㅍㅍㅍ","ㅇㅇ ","175.223 ","05.18"
"뉴비)질문 이나연응 왜 항상 4위?","ㅇㅇ ","203.229 ","05.18"
"혹시 218.155가 203이면 진짜 역대급이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","96.241 ","05.18"
"김희진이 발전이 없는 이유 = 북한이 병신인 이유와 같음","국대민폐희진 "," ","05.18"
"김희진 박정아의 삶","국대민폐희진 "," ","05.18"
"7년간 남의 공을 빼앗아온 도둑년 얌체호로희진","국대민폐희진 "," ","05.18"
"진짜 그러고보니 203 킬희짐퀴 정신나갔네 ㅋㅋ","ㅇㅇ ","39.7 ","05.18"
"암희진 존나 못해 -&gt; 5년전 기록 가져오며 존나 당당","ㅇㅇ ","96.241 ","05.18"
"라이트 후보가 김희진 정지윤인데 기자가 주전이 누구냐고 물어봄 ㅋㅋㅋㅋㅋ","ㅇㅇ ","96.241 ","05.18"
"진심으로 암희진이 뛰면 좋음. vnl 내내 깔거리 존나 나올듯 ㅋㅋㅋ","ㅇㅇ ","96.241 ","05.18"
"센터 주전은 양효진입니다, 레프트 주전은 김연경입니다라는 기사는 필요없음","ㅇㅇ ","96.241 ","05.18"
