"dc_title","dc_writer","writer_ip","dc_date"
"압생트 는 어디에서 판매함?","ㅇㅇ ","211.107 ","05.19"
"아저시들 왜 신세한탄함","늒네 ","175.208 ","05.19"
"난 33살에 취업했다......","ㅇㅇ ","223.39 ","05.19"
"근데 나이 34에 이정도로 이룬거 없는게 일반적이냐?","ㄴㅇㄹ ","222.110 ","05.19"
"블랙라벨에 오렌지 쥬스 스까하면 븅신임?","ㅇㅇ ","223.39 ","05.19"
"지금 건대갓다가 새벽2시나3시쯤에 ","늒네야 "," ","05.19"
"봄베이충들에게는 ","와우 ","211.219 ","05.19"
"니네 술상이 왜케 안올라오냐?","ㅇㅇ ","223.39 ","05.19"
"주붕에 미팅함","ㅇㅇ ","223.38 ","05.19"
"술병들고 이동중ㅋㅋㅋㅋㅋ아ㅋㅋㅋ","늒네야 "," ","05.19"
"로쿠진 수입 언제해!!!!!!!","ㅇㅇ ","39.7 ","05.19"
"오크통에서 숙성시킨 한방증류주는 어떠냐","궁서 ","106.102 ","05.19"
"이마트 지금 하모니 13만까지옴","ㅋㅋㅋ ","110.70 ","05.19"
"아직 바 한번도 안가봤는데","ㅇㅇ ","114.203 ","05.19"
"일요일은 오후 9시이후 제가 피곤하거나 ㅈ같거나 하면 퇴근합니다","늒네야 "," ","05.19"
"화요가 전통주가 아닌 이유","꼬린이 ","211.177 ","05.19"
"근대 화요는 뭐 때문에 전통주 취급 못받는거임?","호프몽 "," ","05.19"
"근데 머만 여행가면 주로 뭐 하러 다녀요?","BKS47 "," ","05.19"
"아마존에서 전용잔 있나 찾아보는데","ㅇㅇ ","175.205 ","05.19"
"집가기 힘들다","늒네 ","110.70 ","05.19"
"먹방에는 고독한 미식가가 있다면","ㅇㅇ ","59.20 ","05.19"
"맨날 봄베이만 처먹던 사람 아직도 있음?","ㅇㅇ ","223.39 ","05.19"
"뒷고기집 가져갈꺼","ㅇㅇ ","211.36 ","05.19"
"간장계란밥이랑 나박김치랑 맥주 존맛탱","ㅇㅇ ","59.20 ","05.19"
"홍대에 그래스하퍼 있는 바 있나요??","탭소닉 "," ","05.19"
"금요일에 전화 하니 인공 1터미널 야발란 비노 6병 남았다고 했음","ㅇㅇ ","220.116 ","05.19"
"카발란 솔리스트는 비노 쉐리가 제일 나음??","다람지따리 "," ","05.19"
"튄다 11시에","늒네야 "," ","05.19"
"날씨 미쳤내...","ㅇㅇ ","223.38 ","05.19"
"남대문은 거기 ㅎㅈ ㅅㅈ 있는 곳 4개가 끝이얌?","ㅇㅇ ","122.42 ","05.19"
"야발란 쉐리 이야기 나오니까 궁금해지는건데","적양파 "," ","05.19"
"베이징면세점 후기","Parrrr ","223.62 ","05.19"
"아버지 출장 많이가셔서 술가격 물어보니까","후디 "," ","05.19"
"다음술 이중에서 하나만 골라주라 ","Beer "," ","05.19"
"카발란 숙성년도 어디서 확인하는것?","3언더맨 ","211.224 ","05.19"
"하여튼 압생트 설탕물 스까마셔보니 왜 압생트 좋아했는지 알겠음","궁서 ","124.63 ","05.19"
"ㅈㄹ샵이 어디냐","ㅋㅋㅋ ","110.70 ","05.19"
"오늘 설거지 헬이었음","늒네야 "," ","05.19"
"신기한 게 맥주는 두 캔 이상 마시면 뭔가 몸이 부담스러운데","궁서 ","124.63 ","05.19"
"니네 결혼식장 가서 술 먹냐?","ㅇㅇ ","223.62 ","05.19"
"일요일 휴무인 바도 있네","ㅇㅇ ","110.70 ","05.19"
"술 많이 쟁여두면 좋은 점이 뭔지 알았다","궁서 ","124.63 ","05.19"
"맥캘란 18년 사려는데 가장 싼곳이 어딜까?","ㅋㅋㅋ ","110.70 ","05.19"
"전에 와앤모 맥15 파인오크 10만에 행사하던거같은데","ㅇㅇ ","110.70 ","05.19"
"드라이플라이랑 블랙부쉬 다 마시면 뭐 마시지","궁서 ","124.63 ","05.19"
"면세덤에서2병은어케삼?","설리 "," ","05.19"
"오픈채팅방에 대머리 혐오 멈춰달라고 했다가 정지먹음","LovingSkyWithoutWing "," ","05.19"
"방금 전부터 계속 마시고 있는데 오늘은 몇 잔 못 마실 듯","궁서 ","124.63 ","05.19"
"셤공부하는데 술 미친듯이 땡긴다","amini "," ","05.19"
"아무튼 압생트 마쉬서","궁서 ","124.63 ","05.19"
"근데 드라이플라이 포트배럴 존나 오래 가네","궁서 ","124.63 ","05.19"
"테이스팅 노트 하지 말고 주스리 합시다 주스리","궁서 ","124.63 ","05.19"
"이과두주 마실때마다 이과두주 좋아하던 지난 인연이 떠오른다..","waltz "," ","05.19"
"적는 김에 리뷰하나 더 올드 잉글리쉬 진이다.","Vermillion "," ","05.19"
"문경주조에서 홉막걸리 만들고 있다던데 존나궁금함","ㅇㅇ ","183.96 ","05.19"
"위스키 리뷰는 주맥리처럼 깔쌈하게 안줄여지나?","소고기＃U＃U "," ","05.19"
"정보 얻은게 고마워서 법뇌조 후기쓴다.","Vermillion "," ","05.19"
"현재 국내에서 그레인 위스키 그나마 마셔보고 싶으면","궁서 ","124.63 ","05.19"
"여긴 뭐 도태한남갤이냐? ㅋㅋㅋ","ㅇㅇ ","121.81 ","05.19"
"어제 maja neipa 탭으로 마셨는데 내가 생각했던 맛이 아니라 실망","ㅇㅇ ","210.123 ","05.19"
"제머슨 ipa는 왜 ipa임?","ㅇㅇ ","1.229 ","05.19"
"포로지스 플래티넘 따고 싶어","Deceit ","118.36 ","05.19"
"살면서 처음으로 혼술해봤는데 괜찮네","ㅇㅇ ","125.183 ","05.19"
"근데 오늘따라 주말인데도 갤 상태 진짜 이상하네","궁서 ","124.63 ","05.19"
"28살 모쏠이 말하는 모쏠아다가 된 과정","ㅇㅇ ","1.229 ","05.19"
"고도수 찔끔찔끔 먹으니까 비강?이랑 입이랑 만나는곳 나무아픈데","소고기＃U＃U "," ","05.19"
"시가피워보고 싶다.","ㅋㅋ ","175.196 ","05.19"
"트리플섹 상미기간 얼마나 됨?","짐빔 "," ","05.19"
"레드와인 텁텁해서 안좋아하는데","ㅇㅇ ","114.200 ","05.19"
"근데 진짜 홉 들어간 청주나 막걸리는 왜 안 파냐","궁서 ","124.63 ","05.19"
"유부인데 부부가 밖에나가면 ","ㅋㅋ ","175.196 ","05.19"
"위스키도 따고나면 맛이 변함?","dd ","110.15 ","05.19"
"오늘 지금까지 술 안 마셨는데 이제 마셔도 되는 거 맞지?","궁서 ","124.63 ","05.19"
"보드카 토닉의 보드카 맛을 알겠다","ㅇㅇ ","118.221 ","05.19"
"일본 위스키 가격 좀 봐줘","하잇 ","126.197 ","05.19"
"나 유부인데 여편네","ㅋㅋ ","175.196 ","05.19"
"얘드라 gs 편의점 티라미슈 먹어봤냐","짐빔 "," ","05.19"
"옛날에 막걸리만들기 키트로","ㅋㅋ ","175.196 ","05.19"
"쟈철에서 주갤하는데","닭둘세포 "," ","05.19"
"술값아까워서 연애 못한다는 사람 특징","닭둘세포 "," ","05.19"
"느린마을 2일짜리는 밀키스랑 맛이 똑같던데","ㅇㅇ "," ","05.19"
"마블드라마 제시카 존슨인가 와턱","ㅋㅋ ","175.196 ","05.19"
"25살까지 연애못해본사람이 10%미만이라던데","ㅇㅇ "," ","05.19"
"여자 안사귀는 이유 논리적으로 설명하는 사람 특","Asdf ","118.235 ","05.19"
"짐빔화이트 맛나게 먹는방법","ㅋㅋ ","175.196 ","05.19"
"미즈와리 해먹을 위스키 추천해줘봐봐봐","ㅋㅋ ","175.196 ","05.19"
"주갤형들 나이트캡 추천좀","ㅇㅇ ","175.114 ","05.19"
"그랑마니에르 쓰는 롱 칵테일이 머 있을까","ㅇㅇ ","125.128 ","05.19"
"맥주에 크림부분에 휘핑크림올리면  맛잇냐??","힌 ","112.157 ","05.19"
"내 동년배 19학번들 13학번이랑 많이사귀는데","ㅇㅇ ","39.7 ","05.19"
"부커스만 이렇게 송판냄새말고 다른냄새가 나는건 뭐때문이죠","ㅇㅇ ","175.223 ","05.19"
"아 갤질할시간이업서","늒네야 "," ","05.19"
"주린이의 위스키 8종류 마셔본 평","ㅇㅇ ","175.223 ","05.19"
"그랑 마르니에 먹는 방법좀 알료주세요(4지선다)","소고기＃U＃U "," ","05.19"
"친구가 조니워커블랙먹을바에 금뇌조먹는데","케챠압 "," ","05.19"
"다희 일요일에는 안 열지 않음?","ㅇㅇ ","121.167 ","05.19"
