"dc_title","dc_writer","writer_ip","dc_date"
"공복이 댓글 ","오크요정 "," ","05.19"
"새벽에 세탁기 돌려도 되는건가","교복이 "," ","05.19"
"아니 ㄹㅇ 왜 여경을 의무화시킴?","공복이 "," ","05.19"
"편의점 점주들은 다 잘될줄 알고 가게 차림","캘빈캔디 ","223.33 ","05.19"
"팩트:점장이 편붕이들한테 웃으면서 대하는이유","김호찌 ","175.223 ","05.19"
"아 E클래스 끌고 급식카드로 음식사가는년 또왔네","ㅇㅇ ","112.172 ","05.19"
"Cu 모바일 만원권판다 담배피고싶다","림힌이 ","223.39 ","05.19"
"너넨 제일 많이 팔리는 맥주가 뭐임?","ㅇㅇ ","112.172 ","05.19"
"급식들이 술사러오면 어캄 ?","ㅇㅇ ","116.39 ","05.19"
"나 허경영뽑음","공복이 "," ","05.19"
"여태껏 본적없는나라","공복이 "," ","05.19"
"문신좀하고 명풍좀입고 알바하면 손님들 쫄아서 막못대하겟지","ㅇㅇ ","116.39 ","05.19"
" 아직도 5월인데","ㄱ ","221.140 ","05.19"
"모든편의점이 술 많이사가지?","ㅇㅇ ","110.70 ","05.19"
"손놈 일수가방 들고오는데 디자인 존나웃김","ㅇㅇ ","175.203 ","05.19"
"알바할려면 담배다외워야되냐","ㅇㅇ ","116.39 ","05.19"
"학습목표가 뭐임?","공복이 "," ","05.19"
"우리점장 부부가 1개씩 2개매장 굴리는데 잘버는거지?","ㅇㅇ ","112.172 ","05.19"
"앰생들 특징이 편의점에서 장을 봄","캘빈캔디 ","223.33 ","05.19"
"편의점에 와이파이뜨냐ㅐ","ㅇㅇ ","116.39 ","05.19"
"씹 사장님 cctv감시함","ㅇㅇ ","211.36 ","05.19"
"난 누워서 편갤하는데","공복이 "," ","05.19"
"하루매출80이면 월 얼마버는거냐?","ㅇㅇ ","110.70 ","05.19"
"오늘 폐기 15개가 넘었네","ㅇㅇ ","223.38 ","05.19"
"문재인엄마아빠 자식들 한놈도 빠지지않고몰살시키고싶으면개추","상민 "," ","05.19"
"오늘 편돌이 하면서 진상 한명 봄","미나이유 "," ","05.19"
