"dc_title","dc_writer","writer_ip","dc_date"
"마법의소라고동님 제가 2점올리려고 2800대를 이겨야합니까..?","ㅇㅇ1 ","175.208 ","05.19"
"이지란도 여찐 유동 찐따력은 못버팀 ㅋㅋㅋㅋ","ㅇㅇ ","175.223 ","05.19"
"이제 공격킷은 이견없이 파펙션됬네?","ㅇㅇ ","112.166 ","05.19"
"어라 ..이지란 에스크없어졋네","ㅇㅇ ","175.223 ","05.19"
"오늘 간만에 사퍼 재밋엇다","체블♭ "," ","05.19"
"이제 아프리카는 사퍼방송없음? 다주겄네","ㅇㅇ ","112.166 ","05.19"
"아 콜라도 살걸 그랫남","일하는신머 ","117.111 ","05.19"
"고기땡겨서 앞다리살 사옴","일하는신머 ","117.111 ","05.19"
"망겜","팔라누스 "," ","05.19"
"요즘은 공익도 사람취급함?","ㅇㅇ ","117.111 ","05.19"
"이지란 애스크 왜지웠냐고","ㅇㅇ ","39.7 ","05.19"
"이지란 애스크 왜지움?","ㅇㅇ ","39.7 ","05.19"
"바야바저격 개꿀잼","ㅇㅇ ","211.225 ","05.19"
"사퍼 코스튬 예전에는 어린애 코튬디자인 따로했는데","맛있는오레오 "," ","05.19"
"고졸 이길 잘한듯","고열유 ","39.7 ","05.19"
"팀플인데 잠수중 ㅁㅌㅊ?","구독 "," ","05.19"
"바니걸레오노르 보고싶은데","ヒグラシ "," ","05.19"
"날시 개조아","쇼콜라♡크림 "," ","05.19"
"빛의 세기 단위가 럭스래","쇼콜라♡크림 "," ","05.19"
"예비군 1주일남앗는데 군복이작아서 못입어요","구독 "," ","05.19"
"난 잘댈거야","쇼콜라♡크림 "," ","05.19"
"고열유 같이 노는 것 보다는 나은 듯ㅋ","ㅇㅇ ","211.246 ","05.19"
"으아아아악 들어 가 기ㅣ 실 어!!!!!!!","ㅡ66 "," ","05.19"
"디지몬 다시보니 꿀잼이네","ㅇㅇ ","219.248 ","05.19"
"방테이로 꿀빠는 갤럼있냐","ㅇㅇ ","121.168 ","05.19"
"레오노르 바니걸이 안나올거라고?","ヒグラシ "," ","05.19"
"갑자기 브랜드명생각안남","사이퍼즈 "," ","05.19"
"레오노르는 바니걸 언제나옴?","ヒグラシ "," ","05.19"
"걸그룹 노래 보플함 신청받음","지잔금 "," ","05.19"
"근딜템트리알려줌","은영사랑개 "," ","05.19"
"방제이 템트리 추천좀","ㅇㅇ ","211.36 ","05.19"
"구독냥이(정호)가 예전에 엘리하던 그 정호임?","일하는신머 ","117.111 ","05.19"
"갓반전 티모시나 할까","일하는신머 ","117.111 ","05.19"
"님들옷어디서사나요","은영사랑개 "," ","05.19"
"공익새끼들 존나 늘긴했음","ㅇㅇ ","39.7 ","05.19"
"피방AP대리 4시간5000원~","일하는신머 ","117.111 ","05.19"
"겜방가기 귀찮네","일하는신머 ","117.111 ","05.19"
"노예머리할때 ㄹㅇ 싸게했네","일하는신머 ","117.111 ","05.19"
"유니크 소모품은 뭐임?","ㅇㅇ ","211.36 ","05.19"
"제가 공익인 이유는 근난시 디옵터 -11.5이기 때문이죠","일하는신머 ","117.111 ","05.19"
"슬슬 공식전할 의미가 없어진다","ㅇㅇ ","112.72 ","05.19"
"골드구간도 사플해야대?","ㅇㅇ ","211.36 ","05.19"
"나도 조커승급3수만에하고 에이스승급 2수째임 힘내셈...","일하는신머 ","117.111 ","05.19"
"어제 조커승급전 떨어지고 매우우울하누","ㅇㅇ ","14.55 ","05.19"
"와 시내버스70분타니까 멀미쏠림","일하는신머 ","117.111 ","05.19"
"나혼산 보니까 등갈비먹고싶다","은영사랑개 "," ","05.19"
"샆갤형들 클랜가입좀 시켜줄사람없어?","ㅇㅇ ","1.225 ","05.19"
"오늘도 수고했어~~","언블 "," ","05.19"
"외시발 마산 경남대에서 창원시청까지 버스 60정거장","일하는신머 ","117.111 ","05.19"
"실친 자취방에서 아이작으로 배치 대리하는거 보여쥣음","일하는신머 ","117.111 ","05.19"
"헬레나는 궁화력약한거때문에 힘들다는걸느낀게","ㅇㅇ ","59.17 ","05.19"
"까미유 스페셜1 만들기 아까울 정도임?","ㅇㅇ ","121.157 ","05.19"
"상위 헬레나들 하루종일 탱만패는데 왜헬레나함?","ㅇㅇ ","112.166 ","05.19"
"대리 걸리는 게 캐릭터 전적이 큰가?","ㅠ ","121.136 ","05.19"
"탄야 너프 안해?????????","ㅁㄴㅇ ","117.111 ","05.19"
"노블게이... 햄이 골조할때 몇번업어줬건만...","일하는신머 ","117.111 ","05.19"
"일요일에 공식 돌리는 것보다 어리석은 짓은 없다","ㅇㅇ ","218.153 ","05.19"
"갈비지깸의 갈비지유저 방송","심해행퀵고맨 "," ","05.19"
"요 며칠 뇌절도 안하려고 꾹 참고 잇는데","체블♭ "," ","05.19"
"입석하지말고 앉아서 갈걸...","ㅡ66 "," ","05.19"
"요즘 티모시 밴풀려도 애들 잘못하더라","ㅇㅇ ","222.239 ","05.19"
"요즘 탱커좋은거머잇음?","ㅇㅇ ","175.223 ","05.19"
"흑근이 갭븅싱새기","ㅇㅇ ","39.7 ","05.19"
"샬럿 별달면 특성 어캐찍음??","ㅇㅇ ","222.239 ","05.19"
"전시즌 히어로가 골드조커에 있는 이유가머임?","ㅡ66 "," ","05.19"
"어제 소주 2병에 막걸리 한잔밖에 안했는데","일하는신머 ","117.111 ","05.19"
"삽갤러님들 점심머먹음","AXE "," ","05.19"
"짝사랑 여찐유동 이지란 애스크 지워서 충격 받음?ㅋㅋㅋ","ㅇㅇ ","175.223 ","05.19"
"제가 겜집중을 잘 안해서그렇지 열심히하면 초고수임ㅋㅋ","일하는신머 ","117.111 ","05.19"
"이지란 에스크 왜 지움????","ㅇㅇ ","175.223 ","05.19"
"거시발 레전드 하나랑 배치~에이스 2개랑 가격은 같은데","일하는신머 ","117.111 ","05.19"
"골드 쌉고수 딜러구함","금괴 "," ","05.19"
"엘리시움 39억 14만 ㅍ","초맥 "," ","05.19"
"아 씨 발... 복귀다...","ㅡ66 "," ","05.19"
