"dc_title","dc_writer","writer_ip","dc_date"
"모락판별요청","니시카타 "," ","05.19"
"TS바라는 놈들은 진지하게 자존감이 부족한거임?","WwwWww "," ","05.19"
"있을리 없겠지만, 허경영이 대통령 된다면 바로 탄핵될꺼임","ㅇㅇ ","211.227 ","05.19"
"아니 sbs 스페셜 만든놈들 일베아니냐? ㅋㅋㅋ","김해린 "," ","05.19"
"jsk게임 그림체 B급인 플래시겜인데 상황이랑 성취감이 오지네","ㅇㅇ "," ","05.19"
"사일러스  고아새끼 Q마나 소모량도 존나 적음","딸필 "," ","05.19"
"랜챗그녀 입갤 하루전","감놔라배놔라 "," ","05.19"
"그냥 소고기무국에 밥말아먹는게 젤 맛있어","우주소년단 ","211.36 ","05.19"
"솔직히 여자면 재앙이 찬양할듯","ㅇㅇ ","220.87 ","05.19"
"돼지국밥 순대국밥 내장국밥 순이지 ㅇㅇ...","13아해 "," ","05.19"
"퓌카린님 커미션 작가 추천해드릴까요","김샛별 "," ","05.19"
"노건평씨 수영복이 ㄹㅇ 에바임","혜음 "," ","05.19"
"맨트라도 다운로드 50만 이던데","감놔라배놔라 "," ","05.19"
"아 야발놈 야겜 잘못만들어서 시간날림","ㅇㅇ "," ","05.19"
"여기 갤 웃긴게 관심파밍하기 딱 좋음 ㅋㅋ","건전타르 ","223.38 ","05.19"
"내가 커미션신청한 작가 방송한거 밧는데 내가 의상지정해버린거때메","퓌캬륀 "," ","05.19"
"판갤에서 제일 인기많은 콘","감놔라배놔라 "," ","05.19"
"이쯤가면 막하자는거죠 등판 ㅋㅋㅋ","김해린 "," ","05.19"
"롤은 그냥 못하는애들이랑 듀오 못하겟음","서림님 "," ","05.19"
"샛벼리 또 여자한테 짜장받아먹은듯","유두대회전 "," ","05.19"
"노짱 기타치면서 노래부르는거 합성아니냐 ㅋㅋㅋ","김해린 "," ","05.19"
"판롤팟 4/5 ㄱㄱㄱ","로판모똥 "," ","05.19"
"근데 협곡회 같은거 할때 보이스 다 키냐?","ㅇㅇ ","223.62 ","05.19"
"뱃속 똥튜브 마지막 한방울까지 짜내니깐 변기가 짜장범벅 된거같아","김샛별 "," ","05.19"
"기호2번 노무현 당선 ㅋㅋㅋㅋㅋ","김해린 "," ","05.19"
"저 아직도 타진요 믿음 ㅇㅇ","ㅇㅇ ","211.227 ","05.19"
"난 노짱 개그맨으로써 좋아함 ㅇㅇ","ㅇㅇ ","203.171 ","05.19"
"아리카리 롤팟 너만 오면 고 ㄱㄱㄱㄱㄱㄱㄱㄱ","로판모똥 "," ","05.19"
"롤 판갤 내전하고픈데 어케함","ㅇㅇ ","223.33 ","05.19"
