"dc_title","dc_writer","writer_ip","dc_date"
"리제로 렘","MadFarmer "," ","05.20"
"왜 한국인들은 부채를 지는걸 두려워할까","ㅇㅇ ","121.152 ","05.20"
"도색러들 도움!","오렌지떨어진날 "," ","05.20"
"누가 s건담 상회입찰했습니까?","ㅇㅇ ","121.168 ","05.20"
"요새 일본애니 존나 재미없던데","부산오타쿠5 "," ","05.20"
"여러분 제발 뿔은 빼셔도 되니가","니사촌동생 "," ","05.20"
"혼다 피규어 추천받아요","분노조절장애 "," ","05.20"
"페도 욕하는 토붕이들 특징.wiki","엘-디오스 "," ","05.20"
"발정난 여x생과 세탕뛰고왔다ㅋㅋㅋ","ㅇㅇ ","49.254 ","05.20"
"중국제 칸담 추천좀","seiof "," ","05.20"
"이걸로 꼴릴때마다 개따먹고다님","ㅇㅇ ","124.198 ","05.20"
"아키라 재미있음?","부산오타쿠5 "," ","05.20"
"피자 먹고 싶다","VF-31c "," ","05.20"
"아키라는 지금봐도 소름돋음","엘-디오스 "," ","05.20"
"일본애니는 80년대 후반이 절정이었지","엘-디오스 "," ","05.20"
"혼다라도 좋으니까 누가 내 아다좀 떼줫으면 좋겟음","ㅇㅇ ","39.7 ","05.20"
"갓20살된 노예년2호 모텔인증","ㅇㅇ ","49.254 ","05.20"
"혼데걸이 왜 주작? 증거있음?","ㅇㅇ ","223.62 ","05.20"
"요새 로보트 잘그리는 애니메이터가 별로 없다던데","ㅃㄷㄱ "," ","05.20"
"혼데걸 욕하는놈들특","ㅇㅇ ","39.7 ","05.20"
"패계왕 애니화 좋지","ㅇㅇ ","121.144 ","05.20"
"유니콘 토르 위험 부위가 어디어디임?","ㅇㅇ ","124.60 ","05.20"
"맥팩 소서 아미에 중고 떠서 봤는데","스테이크 "," ","05.20"
"로리캐도 좀 뭔가 꼴릴 요소가 있으면 모르겠는데","ㅇㅇ "," ","05.20"
"더판) Mg 3개 ㅍㅍㅍ","콜라사이다맥콜 "," ","05.20"
"타에보다 더 심연에 가까운 넘들 왤케 많냐","엘-디오스 "," ","05.20"
"동네에서 쎅파 구했는데 개꿀","ㅇㅇ ","121.126 ","05.20"
"와 시바 오랜만에 dlsite 들어가봤는데 ㅅㅂ...;;","엘-디오스 "," ","05.20"
"퀀터는.pg미만잡???","ㅇㅇ ","125.139 ","05.20"
"니들도 쉽게 떡쳐라 개쉬움","ㅇㅇ ","115.144 ","05.20"
"rg 더블오 살만함?","포리니 "," ","05.20"
"이대로 쭉 이어서 제타도 더빙 방영해주믄 좋겠슴","띠용뽀용 "," ","05.20"
"동네년만 매칭 받아서 떡침","ㅇㅇ ","115.144 ","05.20"
"더판) MG 3개 ㅍㅍㅍㅍ","콜라사이다맥콜 "," ","05.20"
"좆지몬 좆라이로 자살한 거 아니냐","ㅇㅇ ","223.39 ","05.20"
"피그마 광전사 8월로 연기임?","피그마 "," ","05.20"
"사포질 정신적 고통이 너무 심하다","난나난나ㄴ "," ","05.20"
"방도리하면서 느낀건데","부산오타쿠5 "," ","05.20"
"20주년 디지바이스 나오겠네 ㅋㅋ 무적권 사놔야댐","쓰레기■ "," ","05.20"
"나눔하나 이상한거로했더니","니사촌동생 "," ","05.20"
"미오가 뭔데 씹덕들아","ㅇㅇ ","223.39 ","05.20"
"10분만에 동네에서 떡침ㄹㅇ","ㅇㅇ ","49.254 ","05.20"
"씹덕들아 애니 볼거 추천좀해줘","poiu "," ","05.20"
"시스쿠드hg 웨않나와?","ㅍ닉 "," ","05.20"
"나한테 리나 인버스 넨도 사간 갤럼아 보면 연락 좀 주라","그럴수도있지 "," ","05.20"
"더판) MG V2AB,이치방쿠지 퍼스트 3.0A상, S건담구형","콜라사이다맥콜 "," ","05.20"
"보지격파하기","ㅇㅇ ","121.126 ","05.20"
"아무로 이새끼 정말 개새끼네 ","시구레 "," ","05.20"
"브라이또 상 존나부럽다","아크다르 "," ","05.20"
"이대로 제타까지 쭈욱 더빙했음좋겠다","흐켠 "," ","05.20"
"제네식 초합금혼으로 나오나보네","아아아 "," ","05.20"
"이번 퍼건 더빙 대사 쓴 사람 ㄹㅇ ㅆㅅㅌㅊ","아크다르 "," ","05.20"
"이제 20몆주동안 생방송갤되는거임?","아아아 "," ","05.20"
"토갤글 보고 생활의달인봤는데 쩌네","레이레너드맨 "," ","05.20"
"존나 초월 더빙이네 부모를 잘만났으니까 ㅋㅋㅋㅋ","흐켠 "," ","05.20"
"엔딩 안나오는줄 알았는데 광고 엄청받았구나","커밋 "," ","05.20"
"생활의달인보고있는데","카리나 "," ","05.20"
"아니 보통 더빙 의역은 좀 그런데 퍼건더빙은 레전드네 진짜 ㅋㅋ","아크다르 "," ","05.20"
