"dc_title","dc_writer","writer_ip","dc_date"
"슬리핑 더킹 같은거 아냐?","ㅇㅇ ","106.102 ","05.23"
"너네는 주먹날릴때","병신 ","121.148 ","05.23"
"카렐린=철학","ㅇㅇ ","1.252 ","05.23"
"슬리핑과 더킹은 다르다","ㅇㅇ ","220.123 ","05.23"
"치아교정중인데 복싱대회","ㅇㅇ ","115.21 ","05.23"
"체육관에 이쁜 아줌마 있는데 껴안고 부비부비하면 넘어오냐?","외로운주먹 ","121.185 ","05.23"
"한순철이 프로 갔으면 최소한 WBA 아시아 챔프는 먹었을텐데. ㄹㅇ","ㅇㅇ ","121.134 ","05.23"
"깊은 더킹? 하여튼","?? ","1.236 ","05.23"
"위빙 더킹의 용도차이가 뭐냐","지선짱 "," ","05.23"
"알렉산더카렐린아. 폰으로 고생해서 댓글 쓰니깐 말도 없이 글을 쳐지우냐","ㅇㅇ ","221.139 ","05.23"
"파퀴아오 호세시토 로페즈전 보고 눈깔 똥그래져서 서먼이랑 붙는 건가?","로마첸코 "," ","05.23"
"머가 더 어렵냐?","dd ","59.28 ","05.23"
"위빙으로 직선공격도 피할 수 있지 않냐??","dd ","59.28 ","05.23"
"진짜 박근혜때는 아 대통령이 무능하구나 이랬는데","ㅇㅇ ","39.7 ","05.23"
"실전은 허상이야 식칼도 못버티는게 인간 몸뚱아린데","ㅇㅇ ","211.204 ","05.23"
"복싱은 1년만 배우면 국대 때려잡을수잇다","ㅇㅇ ","220.123 ","05.23"
"여기는 올때마다 인자약 대결하고 있네요","정써니 "," ","05.23"
"근데 깡패 용팔이가 OPBF 챔프 허버트강 줘팬 사건 보면","ㅇㅇ ","121.134 ","05.23"
"제프 혼 vs 이중경","ㅇㅇ ","121.134 ","05.23"
"수민아 맥그리거딸치면 나도 메이웨더딸칠수밖에ㅠ","ㅇㅇ ","39.7 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"로마와 아마 커리어 비빌수있는 인재가 곧 프로에 데뷔한다","ㅇㅇ ","175.205 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"므마충들이 내세울건 실전뿐....","ㅇㅇ ","39.7 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"복갤 개조땠네ㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","175.200 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"필리핀 외국인 복빠랑 친한데 도나이레 씹응원하더라","ㅇㅇ ","223.62 ","05.23"
"경상도 여자랑 연애하고 경상도 여자한테 장가가라.","역적김대중 ","121.134 ","05.23"
"야 조슈아 추기름아 안되겠다 성수민 머니웨더 더 괴롭혀라","ㅇㅇ ","211.36 ","05.23"
"나오야는 p4p 2위가 맞지","ㅇㅇ ","218.159 ","05.23"
"Wbss 우승상금 96억이라니까 댓글지우넼ㅋㅋㅋㅋ","ㅇㅇ ","39.7 ","05.23"
"등산용지팡이 든 등산충 할머니 vs 글러브 낀 프로복서 누가 이김","gon ","221.146 ","05.23"
"근데 복싱해서 일반인보다세졌는데","발래남자 ","59.24 ","05.23"
"수민아 mma파이터들이 실전 잘하면 뭐하냐","ㅇㅇ ","39.7 ","05.23"
"안녕하세요 허세예요","BJ박허세 ","223.38 ","05.23"
"나오야가 키만 5cm만 컸어도 키스서면 패죽였다","외로운주먹 ","121.185 ","05.23"
"로마첸코는 s+급인 유일무이한 복서임.","ㅁㄴㅇㄹ ","71.255 ","05.23"
"나오야가 보면 볼수록 정말 놀랍다고 생각하는 이유가","ㅇㅇ ","223.62 ","05.23"
"어깨빠지면 리치길어진다는게 ㄹㅇ인가요?","ㅇㅇ ","175.223 ","05.23"
"총든 백수 vs 존존스 실전 누가 이김?","ㅇㅇ ","211.199 ","05.23"
"알리전성기보니 상대주먹 거의 다흘리던데 타이슨이라면","ㅇㅇ ","221.167 ","05.23"
"mma충들이 실전에 집착하는 이유","ㅇㅇ ","39.7 ","05.23"
"자추 다중이댓글 안쓰럽네ㅠ","ㅇㅇ ","39.7 ","05.23"
"종합은 이도저도 아닌새끼들이 하는거 아님?","ㅇㅇ ","39.7 ","05.23"
"현재 카넬로 잡을만한 복서 동체급에 없냐?","ㅇㅇ ","209.52 ","05.23"
"생각해보니까 진짜 돈많고 똑똑한 사람들은 복싱 별로 안함","ㅇㅇ ","209.52 ","05.23"
"팔 빠지면 리치가 길어질수 있다는데 트루?","구티2 ","121.150 ","05.23"
"복싱1년배우면 날라다닐줄 알앗어","ㅇㅇ ","222.111 ","05.23"
"복싱 이나 종합으로 진출 하려면 단단히 각오하고 하자.","고급지향 ","114.204 ","05.23"
"투기 종목 선수들은 무조건 나는 치켜 세운다잉.","고급지향 ","114.204 ","05.23"
"근데 울나라서는 복싱으로 돈 못벌잖아","ㅇㅇ ","106.102 ","05.23"
"인자강들이 돈안되는스포츠를 왜해...","ㅇㅇ ","39.7 ","05.23"
"단일종목에서 실패한 패배자들이 하는게 mma아님?","ㅇㅇ ","39.7 ","05.23"
"요새 감성복서 유튭 왜 안올라오냐?","ㅇㅇ ","106.102 ","05.23"
"mma는 맥그리거 말고는 10억이상 받는애 없잖아","ㅇㅇ ","39.7 ","05.23"
"복싱 관장님이 너무 기분파입니다.","ㅇㅇㅇ ","114.207 ","05.23"
"스포츠 대전료. ","고문 트레이너 ","223.39 ","05.23"
"복갤에 복서도 별로 없는데 왜 여기서 지랄인거냐?","ㅂㅈㄷㄱ ","61.77 ","05.23"
"아니 mma가 복싱보다 돈이 안된다는걸 왜 인정못하지?","디샌더스 ","110.13 ","05.23"
"미트치면서 야한 소리 계속 내는 여자애있는데","ㅇㅇ ","223.62 ","05.23"
"찐따 둘이서 난리 났네 시발 ㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","218.159 ","05.23"
"인스타팔로워 30만도 안되는 숀포터랑 자렛허드도 대전료 100만달러씩챙김","디샌더스 ","110.13 ","05.23"
