"dc_title","dc_writer","writer_ip","dc_date"
"¹ÚÀÎ¼ö ¿¬¹æ¿¡¼­ ´Ù½Ã ºüÁü","¤·¤· ","223.38 ","05.23"
"¿À´Ã ¹®È£ÁØÀº ÀÚ±â ±â·Ï¿¡ ³î¶ó´øµ¥?","¤·¤· ","175.124 ","05.23"
"¿À´Ã °­Áø¿ì´Â Á¸³ª ÀßÇß°í ¹®È£ÁØÀº °Á °³¹ÌÃÆ´Ù.","¤·¤· ","115.136 ","05.23"
"Å°¸Å ÆË´Ï´Ù","Å°¸ÅÆÇ¸Å ","211.37 ","05.23"
"¹®È£ÁØ ¾Ö±³¸ðÀ½.youtube","¤·¤· ","221.146 ","05.23"
"¸®±× °ü½ÉÀÖ´Â ¾Öµé ¸Ó°âÀÌÇü ¹æ¼Û °¡¶ó¤¡¤¡¤¡¤¡","¤·¤· ","223.38 ","05.23"
"¹®È£ÁØ ±Ùµ¥ Àú°Ô ³î¶ø³Ä..??","¤·¤· ","211.211 ","05.23"
"¿À´Ã Áß·ÂÀýÀÌ¶ó ±×·±°¡","¤·¤· ","223.33 ","05.23"
"¹ÚÀÎ¼ö ±×³É ÆÄ¶ó°ïÅ¸°í ³î·¯¿Ô´Âµ¥?","¤·¤· ","180.70 ","05.23"
"¹Ú»ç¸ðÁö¸¸ ¿À´Ã ¹®È£ÁØÀº ÀÎÁ¤ÇÑ´Ù","¤·¤· ","175.124 ","05.23"
"¹®È£ÁØ ÅõºÎ Àú°Ô ¿Ö¤Ì´ë´ÜÇÑ°ÅÀÓ?","¤·¤· ","175.223 ","05.23"
"¹®È£ÁØ ¿¹Àü sr z7¶§ ºÎºù¾ê±ä ¿Ö³ª¿Â°Ì´Ï±î?","¤·¤· ","211.211 ","05.23"
"ÁøÂ¥ °­Áø¿ì´Â Çö¿ªÀ¸·Î ¶Ù¾îµµ µÉ¸¸Å­ ±â·®Àº ³ª»ÚÁö ¾Ê³×","¤·¤· ","106.102 ","05.23"
"Æò±Õ ³ªÀÌ 30¼¼Ä¡°ï","Áö½ºÆ¼ ","203.230 ","05.23"
"??? : Áö±Ý±îÁö µÎµÎÄ«°¡ Çß´ø ¿¬¹æÀº ¹¹Áö?","¤·¤· ","39.117 ","05.23"
