"dc_title","dc_writer","writer_ip","dc_date"
"wf-1000x 어젠 오지게 끊겼는데 이젠 멀쩡하네","ㅇㅇ "," ","05.23"
"프리파라 노래는 내가 앨범을 하나 사야겠다","ㅇㅇ ","223.62 ","05.23"
"내 생각에 유튭 리뷰로 확인할 수 있는건","ㅇㅇ ","110.70 ","05.23"
"게임할때 이어폰이나 헤드셋이나 둘다 귀에 안좋지?","ㅇㅇ ","219.241 ","05.23"
"걍 HD599 사야겠다","ㅇㅇ ","223.33 ","05.23"
"미촤버리겠습니다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ","공룡. "," ","05.23"
"준서가 명작을 좀 아네 흠","ㅇㅇ ","223.62 ","05.23"
"벤큐에서 정전식 스피커 나왔네 우왘ㅋㅋㅋㅋㅋㅋㅋ","bearableguy123 "," ","05.23"
"ksc 75 vs pxc550","ㅇㅇ ","175.223 ","05.23"
"Qcy가 빨렸던게 가성비 미친거 때문에 빨린거지","ㅇㅇ ","110.70 ","05.23"
"테비는 또 모슨 듯보잡이애요","어푸 "," ","05.23"
"니들 대체 몇살이길래 그런 아동용 애니를 보냐","ㅇㅇ1 "," ","05.23"
"프리파라가 만갤에서 빨리길래 속는셈치고 봤는데","ㅇㅇ ","223.62 ","05.23"
"디렘이고 테비고","멍뭉탱<U+2604><U+FE0F> "," ","05.23"
"t1 음질 존나 거품이라니까","ㅇㅇ ","61.38 ","05.23"
"라즈베리 파이 DAC 가성비 구린 거 아님?","박창식. "," ","05.23"
"아 타이달 존나 구리네 시발 프리파라노래도 없냐","ㅇㅇ ","223.62 ","05.23"
"리듬게임할려면 dt 1990가야함?","ㅇㅇ ","223.62 ","05.23"
"10~20 만원대 디바이스 살라면 중고포함 뭐가 ㄱㅊ?","ㅇㅇ ","119.194 ","05.23"
"파워비츠 프로 가로수길가면 체험가능함?","ㅇㅇ ","223.39 ","05.23"
"디락 음질이 좋은거임?","화력덕후 "," ","05.23"
"주관심사가 라헤 음악 듣기로 됨 이런게 약하는 건지 싶음.","ㅇㅇ ","223.62 ","05.23"
"Qcy t1은 만들다가 얻어걸린 것 같은데","멍뭉탱<U+2604><U+FE0F> "," ","05.23"
"라이퍼텍 테비 가격","ㅇㅇ ","218.144 ","05.23"
"야렘 딜레이얼마임","한플 "," ","05.23"
"l700 패드 살사람 있냐","비행선 "," ","05.23"
"대쉬프로 왜 왼쪽 먹통됬누","ㅇㅇ ","121.139 ","05.23"
"넬처럼 괜히 눈여겨보게되는 그런 단순히 좋은느낌이랑 다름.","ㅇㅇ ","223.62 ","05.23"
"삼지좌 이민준비하느라 비쁘노??","ㅇㅇ ","115.143 ","05.23"
"오디지 중고로 업어왓는데 하자투성이인데 a/s 어케받음","ㅇㅇ ","116.39 ","05.23"
"뭔가그런느낌 그냥 사연들이 하나 하나 공감되고 그 이유가 명확한 느낌임.","ㅇㅇ ","223.62 ","05.23"
"디렘이 갤버즈는 뚜까패는거같네","괜찮은삼지 "," ","05.23"
"직결용 스피커 뭐가 괜찮냐","화력덕후 "," ","05.23"
"디렘 mk2 출시 언제냐","박창식. "," ","05.23"
"마가오시 k5pro 써본 갤럼있냐","PROCESS ","58.78 ","05.23"
"몰갤 저 병신은 톰요크 내한온다고 하루종일 저러고있냐","ㅇㅇ ","223.62 ","05.23"
"tws한번도 안사본 흑우가 여깄읍니다","steyr2000 "," ","05.23"
"라이퍼텍 테비랑 디렘중에 여보컬 피아노 우타이테 남보컬","ㅇㅇ ","223.38 ","05.23"
"더하기좌 op2c 추천해준거 잘쓰고잇음","ㅇㅇ ","223.62 ","05.23"
"매스드랍에 CKR100is 나왔네","ㅇㅇ ","120.143 ","05.23"
"디렘 사전예약구매 언제어떻게할수있나요?","ㅇㅇ ","223.38 ","05.23"
"HD599 사려는데 넘 고민이다","ㅇㅇ ","223.62 ","05.23"
"테비는 ㄹㅇ 최소 30일거같은데","ㅇㅇ "," ","05.23"
"이어팟 별루네","ㅇㅇ ","110.70 ","05.23"
"람다도 돈쳐바르면 바른만큼 성능값 해주던데","ㅇㅇ ","223.62 ","05.23"
"몰갤도 위험한거 아니냐","Sennthebest "," ","05.23"
"디락 관심 쪼오오금 가지고 있었는데","ㅇㅇㅅㅇ ","110.9 ","05.23"
"행ㅋㅋㅋㅋㅋㅋㅋ성ㅋㅋㅋㅋㅋㅋㅋ고 ㅋㅋㅋㅋㅋ소ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","223.62 ","05.23"
"m900이랑 플스랑 연결되냐????","ㅇㅇ ","211.186 ","05.23"
"hd569 호환되는 이어패드있음????????????","ㅇㅇ ","121.129 ","05.23"
"디렘 qcy랑 동일 디자인 미친거 아니냐?","ㅇㅇㅅㅇ ","110.9 ","05.23"
"헤드폰 하나 사려고 하는데 추천 좀","깜 ","223.38 ","05.23"
"009랑 507듣고 후기","안뇽 ","223.62 ","05.23"
"젠하이저 HD569 정품 이어패드 어디서 사는지 아는갤럼? ㅠㅠㅠ","ㅇㅇ ","121.129 ","05.23"
"나도 심심하면 케칠이 까는데","ㅇㅇ ","163.49 ","05.23"
"에어팟 vs 이어팟 머가더 음질승?","ㅈㅈ ","175.223 ","05.23"
"he1000 존나 좋다","Hitomi.la "," ","05.23"
"QCY 디자인 존나 싸구려틱 하다","ㅇㅇㅅㅇ ","110.9 ","05.23"
"보스 사운드프리 어때","=) ","148.244 ","05.23"
"dt1990 어떠냐?","ㅇㅇ ","14.45 ","05.23"
"아즈라 mk2 좋나요?","ㅇㅇ ","163.49 ","05.23"
"인강들을때 좋은 블루투스이어폰 추천좀 해주라","ㅇㅇ ","163.239 ","05.23"
"씹덕용 이어폰추천좀","ㅇㅇ ","218.209 ","05.23"
"ksc75 이거 샀는데 귀에 고정을 잘 못시키겠다","ㅇㅇ ","211.54 ","05.23"
"에어팟정도면 음질 좋은편에 속함?","ㅇㅇ ","210.204 ","05.23"
"디렘도 화이트 노이즈 있을까?","ㅇㅇ ","222.238 ","05.23"
"오늘 박사님왈","ㅇㅇ ","223.62 ","05.23"
"211.36 신렬교새끼 또 시작이네","ㅇㅇ ","223.38 ","05.23"
"그래서 헬스충은 테비냐 디렘이냐?","ㅇㅇ ","223.38 ","05.23"
"화이트노이즈 없거나 적은 코드리스이어폰좀 제발","ㅇㅇ ","211.36 ","05.23"
"디렘 출시해도 무선이니까 디락보단 음질 안 좋으려나?","ㅇㅇ ","222.238 ","05.23"
"디렘나옴?","plc ","124.60 ","05.23"
"블투 헤드폰은 뭐가 괜찮음?","ㅇㅇ ","14.47 ","05.23"
"디렘 밴드 음악 듣기는 별로일까?","ㅇㅇ ","222.238 ","05.23"
"팩트 : 디렘은 하만 헤드폰 타겟임","ㅇㅇ ","211.36 ","05.23"
