"dc_title","dc_writer","writer_ip","dc_date"
"서울 학원궁금한거 있는 사람?","ㅇㅇ ","114.202 ","05.23"
"작년 종과를 풀었다","ㅇㅇ ","221.140 ","05.23"
"여자들만의 숨겨진 '주갤' 을 알아보자","ㅇㅇ ","221.150 ","05.23"
"eju 시험장은 무슨 기준으로 결정함?","언제나 ","121.128 ","05.23"
"에쥬 운빨인거 인정","ㅇㅇ ","223.62 ","05.23"
"형이와꾸운빨 공부 다정리해준다","ㅇ ","183.98 ","05.23"
"데이터 무제한(속도제한X) ,통화,SMS가능 요금제(10만원이하) 추천좀","흑우 ","118.41 ","05.23"
"인생은 노력보다 운빨이다","ㅇㅇ ","27.253 ","05.23"
"자지 안서면 와꾸 필요없다","ㅇㅇ ","27.253 ","05.23"
"편린아","ㅇㅇ ","14.48 ","05.23"
"근대니네와꾸가지고싸우면머하냐","ㅇ ","183.98 ","05.23"
"<U+899A>めよ我がはらから、<U+6681>は<U+6765>ぬ","ㅇㅇ ","223.62 ","05.23"
"일본생활 어떠냐?","ㅇ.ㅇ ","126.205 ","05.23"
"나는","케이오보이 "," ","05.23"
"아 진짜 구내염 씨발 좆같네 ㅋㅋㅋㅋㅋ","ㅇㅇ ","39.7 ","05.23"
"중국대학 가고싶은데 스펙 좀 봐줘","ㅇ ","39.7 ","05.23"
"우리학교에도 베트남애 있는데","ㅇㅇ "," ","05.23"
"문재인만봐도 와꾸가전부 ㅋㅋ","ㅇㅇ ","118.38 ","05.23"
"진짜 외모가 전부네","ㅇㅇ ","27.253 ","05.23"
"겅부할때 듣는너래","ㅇㅇ ","119.205 ","05.23"
"유명한게 잘생긴거보다 인기많음","ㅇㅇ ","211.246 ","05.23"
"포기는 배추를 셀때나 쓰는 말이라는데","란도셀 "," ","05.23"
"남자한테 중요한건 오로지 유명세임 ","ㅇㅇ ","211.246 ","05.23"
"와꾸되면 학교생활 즐거운건 어느나라나 그래...","웃치 "," ","05.23"
"오샤레한 애들 많은데 학비 싸면서 주변 인프라도 좋은 국립","ㅇㅇ ","211.36 ","05.23"
"에키벤같은 국립 학비 질문 (문과)","ㅇㅇ ","210.183 ","05.23"
"합격하고 선군지 하면 자쏘 못받암??","ㅇㅇ ","175.223 ","05.23"
"일본 살면서 암걸릴것같다","ㅇㅇ ","123.222 ","05.23"
"eju","ㅇㅇ ","182.158 ","05.23"
"시로차트 문제 다 풀줄알면 수학 몇점나옴?","ㅇㅇ ","175.206 ","05.23"
"일종수 몇이면 마치칸칸 가능이야??","ㅇㅇ ","175.223 ","05.23"
"한국 지잡대생들 거르는게 ㄹㅇ답이노?","ㅇㅇ ","126.133 ","05.23"
"아니 시로차트 ㅅㅂ ㅋㅋㅋㅋ","ㅇㅇ ","58.225 ","05.23"
"내 목표는 사립은 와세다 국립은 오사카 이상이다","HIPYE "," ","05.23"
"일어랑 종과만 시험보면 만점이","ㅇㅇ ","175.223 ","05.23"
"일본수출품순서이거맞냐","ㅇㅇ ","112.160 ","05.23"
"님들 기출 멀로품?","웃치 "," ","05.23"
"일본대학 다니고있는 사람들","ㅇㅇ ","110.70 ","05.23"
"일본 느리다는거 좆지랄인데 ㅋㅋ","ㅇㅇ ","125.9 ","05.23"
"제로센형 박사 언제끝남?","ㅇㅇ ","110.165 ","05.23"
"와세다 정경","ㅇㅇ ","175.223 ","05.23"
"오우 마트 알바서 수학 계산 풀고옴","1234 ","59.146 ","05.23"
"일본 행정처리 느려서 ","ㅇㅇ ","110.165 ","05.23"
"외롭다","김기출 "," ","05.23"
"이 병신같은나라는 왜 돈주겠다는데도 집계약 거절해","ㅇㅇ ","126.205 ","05.23"
"분노가주체가안되서 도륙을내고싶도다","아르마니 ","126.199 ","05.23"
"오늘 같이 공부하기 싫은 날에는 뭐하지","란도셀 "," ","05.23"
"고라니","소사르 ","39.7 ","05.23"
"시발 사모어란 섬이 잇는것도 첨알았네","ㅇㅇ ","58.225 ","05.23"
"수업시간에 자는건 국가불문이다","데밋4 "," ","05.23"
"금리 내가 이해한게 맞냐","ㅇㅇ ","39.7 ","05.23"
"일본어공부","ㅇㅇ ","39.7 ","05.23"
"와 일본어 배운 성과인가","HIPYE "," ","05.23"
"지금 중력에 눌려 운지하기 일보직전이노...","ㅇㅇ ","118.238 ","05.23"
"유통경제대 노무현 개세끼","ㅇㅇ ","118.238 ","05.23"
"유통경제대 김성진 개새끼","ㅇㅇ "," ","05.23"
"ㅁㄱ현이","ㅇㅇ ","118.238 ","05.23"
"아 제미에서존나거슬리는새끼 개조질려고하는데","아르마니 ","126.199 ","05.23"
"대학 ip 알려준다","ㅇㅇ ","182.158 ","05.23"
"일본대학갔다가 1년정도후 군지하는애들","ㅇㅇ ","175.214 ","05.23"
"믁현이가 잘못했노 이기~","ㅇㅇ ","118.238 ","05.23"
"일본살면서 행정업무속도처리 이런쪽에서 불편함느낀적있음?","메짱 "," ","05.23"
"근데 기출 계속 풀어야하냐?","ㅇㅇ ","58.225 ","05.23"
"2016 1회 종과 개씨발 어렵네","ㅇㅇ ","58.225 ","05.23"
"니들 하루에 뭐?","ㅇㅇ ","211.36 ","05.23"
"진짜 한자는 외우는법이 쓰는거 말곤 없다","HIPYE "," ","05.23"
"아 개빡치는 어제 제미썰 씨발 개좇같다 귀족체면이","아르마니 ","126.199 ","05.23"
"어제호응이좋아서 앵콜로 대학무조건합격 하는비법 다시쓴다","아르마니 ","126.199 ","05.23"
"대일본국 앞에 머리를 조아려라","ㅇㅇ ","122.16 ","05.23"
"오늘같은날 중력절 금기사항 절대하지마라..","ㅇㅇ ","126.205 ","05.23"
"하라보지 따라갈까봐 사시나무 떨듯이 와들와들 떨린다 이기...","ㅇㅇ ","126.205 ","05.23"
"수학 개 잼병이라서","ㅇㅇ ","223.33 ","05.23"
"한국 좋아서 가는 일본애들 특징","ㅇㅇ ","122.16 ","05.23"
"독해 점수기복 존나심하네 ","ㅇㅇ ","175.206 ","05.23"
"시사 종로 다니는 흑우","관광학개론 "," ","05.23"
"재정적자 확대되면 금리 상승하는 이유가 뭐냐??","ㅇㅇ ","110.70 ","05.23"
"속공독해 왜 별점 높은게 더 쉬운것같냐","ㅇㅇ ","175.206 ","05.23"
"토플 90 어디 ㄱㄴ?","귀여운빵댕이 "," ","05.23"
"일유 형님들에게 질문 몇가지 있슴돠","ㅇㅇ ","223.33 ","05.23"
"호세이 경제를 왜가노?","ㅇㅇ ","126.205 ","05.23"
"이거 휴대폰 수명 다 한거임?? ","1234 ","59.146 ","05.23"
"사람들이 유학을많이 가다보니까 유학 급이나 질도 다 알더라 ","ㅇㅇ ","122.18 ","05.23"
"시험 대비해서 오늘부터 6시기상 지키려고 하는데","ㅇㅇ ","175.206 ","05.23"
"문과는 취업이 힘들긴 한가보다","ㅇㅇ ","39.7 ","05.23"
"에키벤 비추냐","ㅇㅇ ","223.38 ","05.23"
"맃메 결석조퇴 봄?","ㅁ ","182.210 ","05.23"
"회고함 자살하는게 답인것같다","ㅇㅇ ","211.58 ","05.23"
"저 고3인데 선군지 하려고하는데","ㅇㅇ ","175.123 ","05.23"
"치바대 경제는 토플 안봄?","697 ","121.179 ","05.23"
"애들아 청해 청독해 공부법쫌","ㅇㅇ ","180.64 ","05.23"
"와 일유쉽다쉽다하니까 진짜 별별 좆밥새끼들이 도피각잡네 ㅋㅋ","ㅇㅇ ","125.9 ","05.23"
"류코쿠는 일종 몇에감?","ㅇㅇ ","219.255 ","05.23"
"anglia ruskin university 아는사람 있음?","Dd ","211.246 ","05.23"
"오늘 공부 12시간 했다","ㅇㅇ ","49.168 ","05.23"
"릿쿄 경제","영원한넘버원 ","221.152 ","05.23"
"종과랑 수학은 걍 독학하면되나욘","ㅇㅇ ","49.163 ","05.23"
"수학질문한게이 어디갓냐","도야징 "," ","05.23"
"마치칸칸도리츠 서열은","ㅇㅇ ","222.10 ","05.23"
"중력절 10주년 기념해서 호세이 조언해준다.","법대생 ","118.238 ","05.23"
"도피로 가는건 좋은데","ㅇㅇ ","60.155 ","05.23"
"년도마다 특출나게 많이나오는 종과범위가있는데","ㅇㅇ ","39.7 ","05.23"
"1972년대 대학 편차치","고졸cpa지망생 "," ","05.23"
"내 아버지 학력 vs 여동생 학력","고졸cpa지망생 "," ","05.23"
"중력절 축하한다 이기야","ㅇㅇ ","118.238 ","05.23"
