"dc_title","dc_writer","writer_ip","dc_date"
"아니 먼 공식경기 기간이 한달도안되냐","ㅇㅇ ","112.169 ","05.24"
"금카강화케미 몇예상하냐?? ㅇㅇ","코보기 ","124.58 ","05.24"
"농비가 몸쌈 더 쌔고 싸서 센백에 괜찮네","ㅇㅇ ","223.33 ","05.24"
"시벌 티날두 은카 돈모으면 오르고 지랄이네..","ㅇㅇ ","211.228 ","05.24"
"여기는 왜 다인전 모집이없음?","ㅇㅇ ","115.143 ","05.24"
"콜러 크라우치 투톱 비추??","코보기 ","124.58 ","05.24"
"팀 좋은거 써봤자 지면 기분 좆같지","ㅇㅇ ","223.222 ","05.24"
"드리블 짧은 오른발이나 양발 윙어 누구 있냐","ㅇㅇ ","39.122 ","05.24"
"호돈 공미에 침투 좋은 원톱 박는게 괜찮은듯","ㅇㅇ ","210.179 ","05.24"
"요새 느끼는건데  패스 좋아야하는거같음","ㅇㅇ ","49.170 ","05.24"
"앙리 진짜 개구데기다","ㅇㅇ ","210.179 ","05.24"
"뚝배기만 보면 콜러가 1티어맞음??","코보기 ","124.58 ","05.24"
"빈공간 패스할때 멀로 함??","ㅇㅇ ","218.149 ","05.24"
"피갤 다인전 없나요","ㅇㅇ ","211.36 ","05.24"
"강화 도전 중","ㅇㅇ ","175.223 ","05.24"
"급식 잡을려면 다인전 랭겜을 밀었어야함","Recycle "," ","05.24"
"와 드디어 프로 2부 승격^^","ㅇㅇ ","59.17 ","05.24"
"티굴1카 농굴5카","ㅇㅇ ","58.127 ","05.24"
"아시발 호젖통년 ㅈ같은거","심플2 "," ","05.24"
"쿠폰 4개밖에 안주노","ㅇㅇ "," ","05.24"
"클론으로 겜하는 사람들 진심 불쌍함 ㅋ","ㅇㅇ ","211.246 ","05.24"
"클론충 특징 = 인성 개빻음","dd ","27.35 ","05.24"
"븅신새끼 글삭튀하는거봐 ㅋㅋㅋ","ㅇㅇ ","223.39 ","05.24"
"클론으로 바꾸면 슈챔 갈거같냐 병신 장애인년ㅋㅋㅋ","ㅇㅇ ","223.39 ","05.24"
"수비수 밸런스 중요하냐?","ㅇㅇ ","211.195 ","05.24"
"대회 얼마나 개노잼이면 대회얘기가없노 ㅋㅋㅋㅋ","ㅁㄴㅇㄹ ","119.56 ","05.24"
"피좆에서도 훔바 있음??","삼윤 "," ","05.24"
"피갤 올타임 어그로 순위","ㅇㅇ ","211.36 ","05.24"
"원톱 TC 앙리 vs TC 크레스포","ㅇㅇ ","210.179 ","05.24"
"아비머리왔습니다 질문드립니다 피갤형님들 여기 1짱 머리는 어디인가요?","아비대리 ","211.243 ","05.24"
"키보드 머써야함;;","ㅇㅇ ","112.166 ","05.24"
"형님들 tb그뷔드뮌손 4카 상한가 박아놨는데 사주세요..","ㅇㅇ ","59.12 ","05.24"
"확실히 지금 갤주는 길분이네","ㅇㅇ ","211.36 ","05.24"
"eacc일정어디서봄? 내일이마지막임?","ㅇㅇ ","118.34 ","05.24"
"1티어 원톱들좀 알려줘","ㅇㅇ ","175.223 ","05.24"
"강장할게업서 ㅠㅠ","ㅇㅇ ","106.102 ","05.24"
"독일 하는 사람?","ㅇㅇ "," ","05.24"
"케빈 의문의 1승 ㅋㅋㅋ","ㅇㅇ ","1.229 ","05.24"
"베트남 왜케 피파잘함?","ㅇㅇ ","118.32 ","05.24"
"공격수볼때 위치선정이 제일좋다ㄹㅇ","ㅇㅇ ","49.170 ","05.24"
"볼돌러 경기직접보니까 왜 케빈게이가 ㅈㄹ하는지 알겠노 ㅋㅋㅋ","ㅇㅇ ","1.229 ","05.24"
"볼돌러 패배 ㅋㅋㅋ","ㅇㅇ ","115.23 ","05.24"
"초고팜도 피갤 올타임 10위안엔 듬","ㅇㅇ ","211.36 ","05.24"
"Rw에 윌리안 tt가 낫냐 tc가 낫냐","ㅇㅇ ","182.226 ","05.24"
"TC퍼디난드 짝 추천좀 (5카이상)","루디팡 "," ","05.24"
"차현우 스타일 알겠다","ㅇㅇ ","218.101 ","05.24"
"eacc잠깐 봤는데 드럽게 재미없네","ㅇㅇ ","58.238 ","05.24"
"한 포메로 티어올렸다가 그포메로 다시 점수 떨구는건 머냐","퍄퍄 "," ","05.24"
"역대 어그로 고닉중 길분이 몇위임?","ㅇㅇ ","211.36 ","05.24"
"씹클론은카팀 다 팔고 국적케미팀으로 갈아탈까?","루디팡 "," ","05.24"
"길육팜은 확실히 가만있어도 존재감이","ㅇㅇ ","211.36 ","05.24"
"피갤러들이 경련이 까는 이유","ㅇㅇ ","121.157 ","05.24"
"길분이가 역시 갤주후보답네","ㅇㅇ ","211.36 ","05.24"
"형들 순경 어캐함?","눈사퉤 ","1.247 ","05.24"
"gr깔때 개씨발 팁준다","ㅇㅇ ","121.157 ","05.24"
"섹스하기전에 여친한테 관장약 먹여라","ㅇㅇ ","223.222 ","05.24"
"섹스를 너무 잘해서 고민","ㅇㅇ ","223.222 ","05.24"
"성남FC김경년","ㅇㅇ ","121.157 ","05.24"
"성남FC김관형 ㄱㄱ","ㅇㅇ ","14.6 ","05.24"
"시발 경년이란 이름은","ㅇㅇ ","115.23 ","05.24"
"피파3 한 3개월하다 접고 다시 돌아왔는데","Regime "," ","05.24"
"크루이프 2.85에 모십니다","ㅇㅇ ","223.62 ","05.24"
"개념글 경련인지 뭔지 ㅈㄴ 순수하네...","ㅇㅇ ","27.35 ","05.24"
"골대 나만 많이 맞냐","공덕귀 "," ","05.24"
"라이브 베이날둠 금카 구하는 사람 있음?","ㅇㅇ ","39.7 ","05.24"
"구단가치 15억이면 현실적으로 팀탓불가??","ㅇㅇ ","59.17 ","05.24"
"피파는 왤케 지는게 좆빡치는걸까","ㅇㅇ ","125.129 ","05.24"
"피파는 왤케 지는게 좆빡치는걸까","ㅇㅇ ","125.129 ","05.24"
"1차2차 쿠폰 놓쳤다...","한사 "," ","05.24"
"고등피파 승부예측이벤트도 하네","ㅇㅇ ","121.165 ","05.24"
"시작할때 스킵안하는거 좆꿀잼ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","125.129 ","05.24"
"쿠폰 나만 안되남? ","ㅇㅇ ","121.135 ","05.24"
"호돈만쓰다 반바써보는데 왜케좋냐","ㅇㅇ ","36.38 ","05.24"
