"dc_title","dc_writer","writer_ip","dc_date"
"우농씨발새끼야 저소득세무한테 왜상담안받냐","아토피멸치 ","115.22 ","05.24"
"도서관에사 맨날 마스크 쓰는 여자는 왜 그런거임","ㅇㅇ ","218.145 ","05.24"
"22~23 이때쯤 새끼들이 9급 제일 좆으로봄","ㅇㅇ ","175.223 ","05.24"
"오늘은 조금 주코싶은 날인걸","쥬피썬더77 "," ","05.24"
"너네 몇시간 자냐??","ㅇㅇ ","1.176 ","05.24"
"커피 효과 쩌네","ㅇㅇ ","218.145 ","05.24"
"현직인데 재시험 망할것같다 시발","ㅇㅇ ","119.204 ","05.24"
"야 솔직히 면단위지방직공무원메리트있냐?","ㅇㅇ ","110.70 ","05.24"
"인강 강사 통틀어 가장 완벽한 남자","ㅇㅇ ","175.223 ","05.24"
"설마 호봉제 폐지 물어보진 않겠지","ㅇㅇ ","223.33 ","05.24"
"민준호는 진짜 다 가졌네","ㅇㅇ ","218.145 ","05.24"
"여우들이 매력있어 곰은 매력없잖아","ㅇㅇ ","1.177 ","05.24"
"요즘 기출문제집들 글자크기 진짜 너무작지않냐","ㅇㅇ ","223.33 ","05.24"
"박문각 듣는 게이들 영어 누구 듣냐","ㅇㅇ ","175.223 ","05.24"
"잘웃는다고 착한건 아님","ㅇㅇ ","180.69 ","05.24"
"이선재 신영식은 존나 친해보이던데","ㅇㅇ ","117.111 ","05.24"
"죽을때까지 잠만 자고 싶다","ㅇㅇ ","182.230 ","05.24"
"고종훈이랑 친한 강사는","ㅇㅇ ","59.23 ","05.24"
"공시녀 방댕이냄새 맡고싶으면 비정상이냐?","ㅇㅇ ","223.62 ","05.24"
"갠적으로 SNL명장면","ㅇㅇ ","175.113 ","05.24"
"군단위 소멸되면","ㅇㅇ ","203.243 ","05.24"
"면접준비 젤힘든거ㅠ","ㅇㅇ ","211.213 ","05.24"
"이동기 전한길 이선재 서로 안 친함?","ㅇㅇ ","223.33 ","05.24"
"고종훈 교재는 왜 죄다 줄글임?","ㅇㅇ ","223.33 ","05.24"
"봉투모의고사 푸는 애들은 한번 푼거 버리냐","ㅇㅇ ","218.145 ","05.24"
"근데 1배수 밖인애들 면접 준비하긴 함?","ㅇㅇ ","115.41 ","05.24"
"이쁘게 웃는 애들이 남자는 잘사귀더라","ㅇㅇ ","211.36 ","05.24"
"허수는 호킹  박사가 제안한 것인데","킹크랩 ","124.62 ","05.24"
"지방일행 vs 지방교행 고민중인 갤러들 봐라","ㅇㅇ ","223.38 ","05.24"
"레포트만 쓰면 거의 A+인데 교수님이 좋아하는 스타일인가?","ㅇㅇ ","175.113 ","05.24"
"32살이 조직에 신입으로 들어가는건 민폐지?","ㅇㅇ ","39.7 ","05.24"
"고사부 서브노트 내용 왜이럼??","ㅇㅇ ","27.35 ","05.24"
"국어 배미진 vs 이유진 어떤 분이 더 나아?","ㅇㅇ ","221.161 ","05.24"
"팩트로 조지는 원로 패미니스트","ㅇㅇ ","223.39 ","05.24"
"기출완벽하면 무조건 합격한다","킹크랩 ","124.62 ","05.24"
"하도 동형만 풀다보니","ㅇㅇ ","223.62 ","05.24"
"감평사 아는애있냐?","ㅋㄷ ","116.122 ","05.24"
"너넨 아침 점심 저녁시간대 각각 무슨과목함?","ㅇㅇ ","121.135 ","05.24"
"공붕이들 찐따라서 말은 그렇게해도 성매매같은거 안하자나","ㅇㅇ ","58.229 ","05.24"
"동형 vs 기출 논쟁 병신 같은 게","ㅇㅇ ","223.33 ","05.24"
"성훈이새끼 나래잘만나서 ","ㅇㅇ ","223.39 ","05.24"
"손진숙 봉투모의고사2 푸는새끼들 봐라","ㅇㅇㅇㅇㅇ ","211.223 ","05.24"
"남친 있는데 흘리는 년은 뭐냐?","킹크랩 ","124.62 ","05.24"
"의무소방 할 때 고졸칭구들도 소방관 잘 되던데","ㅇㅇ ","175.223 ","05.24"
"국회직 접수 있었구나","73 "," ","05.24"
"머리 덜쓰고 눈으로만 봐도 그나마 괜찮은 과목 뭐인거같냐","ㅇㅇ ","121.135 ","05.24"
"나혼자산다 = 너혼자한다.","ㅇㅇ ","223.39 ","05.24"
"사회 동형 민준호랑 최영희중에 누가 나음","ㅇㅇ ","218.145 ","05.24"
"형 딸친다 ","킹크랩 ","124.62 ","05.24"
"국내 힙찔이 음악 들을만한거 ㅊㅊ받음","ㅇㅇ ","112.140 ","05.24"
"동형푸는새끼들 특징txt","ㅇㅇ ","124.53 ","05.24"
"세무사 1차합격 어려운거냐???","ㅇㅇ ","1.176 ","05.24"
"너희들 청렴성이나 신뢰성 사례로 뭐 생각하고 있냐","~~ ","125.143 ","05.24"
"이동기 하프모고 1.0 다 좋은데 복습이 안되네.","ㅇㅇ ","211.59 ","05.24"
"영단어 트리쳐러스 뭔 뜻이였지","ㅇㅇ ","218.145 ","05.24"
"뭐야 시 국장 7급으로도 할수있네","ㅇㅇ ","175.223 ","05.24"
"1시30분 태국마사지에 떡까지 9만원인데 ㅍㅌㅊ냐??","ㅇㅇ ","121.187 ","05.24"
"니 정신상태는","노비 ","59.26 ","05.24"
"손진쑥쑥 모의고사2 책이냐 시험지 형식이냐","ㅇㅇ ","218.145 ","05.24"
"비아그라정품","ㅇㅇㅇ ","61.227 ","05.24"
"면접 혼자 준비하는 애들 있냐","ㅇㅇ ","211.36 ","05.24"
"경상남도 통영살면  고성군도 아무 제한없이 칠수있는거였냐?? ㅆㅃ","dd ","114.205 ","05.24"
"난공불락 면접 오늘 끝냈는데","ㅇㅇ ","223.33 ","05.24"
" 전라도 여자한테 장가가라 ㅋㅋ","ㅇㅇ ","223.39 ","05.24"
"손진숙 봉투모의고사2","ㅇㅇㅇㅇㅇ ","175.223 ","05.24"
"교행직들 공감하냐","ㅇㅇ ","210.206 ","05.24"
"시원한 과일 맥주 한 캔 마시고 자야지","햄토리야 "," ","05.24"
"일주일에 한번씩 마사지받고 물빼는데 ㅍㅌㅊ야??","ㅇㅇ ","121.187 ","05.24"
"자기기술서 몇 번 쓰니까 실력 늘던데","ㅇㅇ ","223.33 ","05.24"
"전한길 vs 문동균","ㅇㅇ ","122.42 ","05.24"
"0.1배수인데 교행, 7급 준비한다고 면접 거의 준비 못했음","ㅇㅇ ","125.184 ","05.24"
"강민성은 하나같이 강의력 타령들 하더라","ㅇㅇ ","223.33 ","05.24"
"금딸 4일째 체력이 좋아짐","vgktktk ","112.185 ","05.24"
"서울교행이 서울일행보다 붙기 더 빡세지?","ㅇㅇ ","218.145 ","05.24"
"이번 국가9급 한국사 쉬웠음?","ㅇㅇ ","219.254 ","05.24"
"염치없는 한녀","ㅇㅇ ","223.39 ","05.24"
"경기교행에서 서울교행으로 시험 다시 보는 사람도 많냐?","ㅇㅇ ","223.62 ","05.24"
"슬슬 면접 긴장감이 올라온다","ㅇㅇ ","122.44 ","05.24"
"영어 왜이렇게 쉽냐....","ㅇㅇ ","121.150 ","05.24"
"찐따라 경험 하나도 없는데 면접 어카냐","ㅇㅇ ","218.145 ","05.24"
"여자 기준으로 사복직 vs 소방 뭐가 더 붙기 쉽냐?","ㅋㅋ ","223.39 ","05.24"
"ㅋㅋㅋㅋ피티윤 모의면접 파일 들어보는데","ㅇㅇ ","211.36 ","05.24"
"김대중이가 정치는 진짜 잘했는데 ㅇㅇ","ㅇㅇ ","121.147 ","05.24"
"쌀값 올라서 고마워해야하면 전기세 올라도 고마워해야하냐","ㅇㅇ ","180.69 ","05.24"
"ㅈ됬다 ㅅㅂ 모레 면접인데 준비 하나도 안함","ㅇㅇ ","49.168 ","05.24"
"발령받자마자 일 개판으로하면 6급승진어렵냐?","ㅇㅇ ","49.1 ","05.24"
