"dc_title","dc_writer","writer_ip","dc_date"
"초봉이 7-8천이란 개소리좀 그만해","ㅇㅇ ","175.223 ","05.27"
"근데 우리나라사람 민도는 어느나라수준이냐?","ㅇㅇ ","180.229 ","05.27"
"그나마 돈 많이 주는 대기업들 죄다 어딨는지 알지?","ㅇㅇ ","210.103 ","05.27"
"이 상황에서 중국에  투자하는  희대의 롯데","ㅇㅇ ","211.36 ","05.27"
"전용59는 3베이 vs 4베이 뭐가 낫냐?","ㅇㅇ ","218.147 ","05.27"
"서울 및 수도권 동네 서열 알려준다","ㅇㅇ ","61.82 ","05.27"
"고1딸 사달라는거 다 사주는데 먼 틀딱이 20세기 시절 ","ㅈㅈ ","39.113 ","05.27"
"힘들어도 서울에서 시작해라","ㅇㅇ ","221.146 ","05.27"
"서울시청에서 3년차 7급으로 일중인데","ㅁ ","175.223 ","05.27"
"근데 노무현은 왜 자살한거냐?","ㅇㅇㅇ ","61.109 ","05.27"
"엘지는 중립지키는 구씨일가였는데 요즘 성향이 빨갱이노","ㅇㅇ ","117.111 ","05.27"
"창년이나 폰팔이 중에 자기 집 못산다는 애들 없더라","ㅇㅇ ","211.246 ","05.27"
"엘지새끼들은 제일먼저 매각하고 중국에다가 갖다바치는디","ㅇㅇ ","117.111 ","05.27"
"구본무새끼랑 신동빈새끼는 좌파새끼들이냐?","ㅇㅇ ","117.111 ","05.27"
"300도 안주는 대기업이 있냐?","ㅇㅇ ","61.74 ","05.27"
"미래의 부동산 전망 (저의 생각)","박사님 ","222.239 ","05.27"
"사기업이 별로인건 ㅈ같은 조직생활 때문","ㅇㅇ ","210.103 ","05.27"
"강남 남대생도 바텀알바하더라","ㅇㅇ ","114.199 ","05.27"
"성복동 엘지빌리지 좋지","ㅇㅇ ","39.7 ","05.27"
"일산 단톡방 주소 올리면 자꾸 삭제되네? 알바상주중인가","ㅇㅇ ","119.203 ","05.27"
"지정타 s4가 과천1단지써밋 이기지?","ㅇㅇ ","218.209 ","05.27"
"대기업이든 공기업이든 연수원때가 가장 행복하지.","777 ","39.7 ","05.27"
"일산은 평당1000 이상이면 거품이닼","ㅋㅋ ","125.176 ","05.27"
"리모델링 자체가 사업 의미가 있냐?","ㅇㅇ ","121.165 ","05.27"
"성님들 성산시영은 안오를까요?ㅠㅠ","ㅇㅇ ","175.223 ","05.27"
"근데 재건축이 앞으로도 쉽지는 않을듯","ㅇㅇ ","223.38 ","05.27"
"청담 신축빌라 존나싸네","ㅇㅇ ","218.237 ","05.27"
"일산에 수소공장 들어설지도 모른다면서","ㅇㅇ ","125.177 ","05.27"
"재건축 호재있냐?","ㅇㅇ ","110.70 ","05.27"
"일산 단톡방 존나 웃기네","ㅇㅇ ","58.226 ","05.27"
"목동 ㅋㅋㅋ","가야 ","125.176 ","05.27"
"Qq야 빨리 와바라","ㅇㅇ ","122.35 ","05.27"
"30년 이상 산 사람으로서 압구정 재건축 안하는 이유 알려준다. ","ㅇㅇ ","223.62 ","05.27"
"강남 잘사는 집 여대생들이 몸판다는 말...","ㅇㅇ ","211.246 ","05.27"
"대학원생인데 부업으로 40시간 일하고 천만원 벌었다","ㅇㅇ ","119.196 ","05.27"
"올선 산다했을때 강남인이 느끼는 이미지는?","ㅇㅇ ","116.121 ","05.27"
"공부잘한다고 지능이 높진 않더라","ㅇㅇ ","121.134 ","05.27"
"대기업 다니는데 주변사람들 다 결혼합니다. 연애도 잘 하고요.","ㄹㅋ ","116.36 ","05.27"
"마래푸하고 옥수리버젠하고 어디가?","ㅇㅇㅈ ","58.227 ","05.27"
"딱 부갤에서 제일 많이 나오는 두 지역만 거르면 될듯","ㅇㅇ ","220.70 ","05.27"
"난 여자들 무리지어서 뒷담까고 깔깔거리는거 엿같음","ㅇㅇ ","223.38 ","05.27"
"작년에 집값 오른게 진짜 뼈에 사무치게 안타깝습니다. ㅡㅡ","ㄹㅋ ","116.36 ","05.27"
"솔까 200-300 받는 대기업 가는놈들은 병신 아니냐? ","ㅇㅇ ","175.209 ","05.27"
"강남 건물주 딸들이 텐프로 룸싸롱에서 일하는 이유","ㅇㅇ ","61.82 ","05.27"
"나이 37에 미혼남인데","파릇 ","124.53 ","05.27"
"방송에 나오는 다둥이 집안보면 드는 생각이있다","ㅇㅇ ","223.38 ","05.27"
"올선 64평 복층있는데 엘지빌리지80평 발르지 ㅋ","ㅇㅇ ","178.128 ","05.27"
"송파 비잠실이 가성비는 괜찮은듯 ㅇㅇ...","ㅇㅇ ","210.103 ","05.27"
"강남말고 다른데는 그냥 투자할 가치가 전혀없다","ㅇㅇ ","14.52 ","05.27"
"텐프로는 ㅎㅌㅊ 여자만 하는게 아니더라","ㅇㅇ ","61.82 ","05.27"
"오히려 가난한애들끼리 결혼 잘하던던","ㅇㅇ ","116.33 ","05.27"
"송파가 서울에서 살기 좋은편임","ㅇㅇ ","211.215 ","05.27"
"울애비는 왜 이모양이냐","ㅇㅇ ","121.134 ","05.27"
"세금에 관대한 동네가 어디냐?","ㅇㅇ ","61.82 ","05.27"
"남자두 능력되면 결혼 안해도 되지?","ㅇㅇ ","116.33 ","05.27"
"서울은 평균 결혼나이 남자 36 여자 34까지 올라감","ㅇㅇ ","223.38 ","05.27"
"니들 애매한게 얼마나 고민되는지 아냐?","시보려 ","223.62 ","05.27"
"원래 미천한 집안일수록 결혼하고 자식 낳는거 ㅈㄴ 집착함","ㅇㅇ ","223.38 ","05.27"
"한국당에서 황교안 말고 차기 대선주자 누가 있을까?","ㅇㅇ ","124.56 ","05.27"
"요즘 20대후반~ 30대초반 남자들 아예 결혼 생각 없더라 ㅋㅋ..","ㅇㅇ ","210.103 ","05.27"
"지금이라도 임대사업자 등록해야해?","11 ","58.224 ","05.27"
"제천 정도면 노도강보다 잘사냐?","ㅇㅇ ","223.38 ","05.27"
"양재천, 탄천 요즘 악취가 심한 이유","ㅇㅇ ","124.56 ","05.27"
"마용성 중에 제일 근본 없어 보이는 동네가 마포 아님? ㅇㅇ","ㅇㅇ ","210.103 ","05.27"
"정권 바뀌면 삼풍 재건축이 가능할까?","ㅋㅋ ","223.38 ","05.27"
"잠실 엘스&gt;판교 푸그&gt;판교 휴먼시아&gt;올선","ㅇㅇ ","223.38 ","05.27"
"나이36 재산 7억 백수 하위 80프로가능?","인제 ","223.39 ","05.27"
"올선 팔아서 판교 들어가고 싶은데","올선짱 ","112.170 ","05.27"
"지금사는집10억오르기vs똥값되고좃망 ","ㅇㅇ ","180.229 ","05.27"
"그래도 ㅎ하나 외가 들먹이며 영양가 있게 잘 살았젱","ㅇㅇ ","1.233 ","05.27"
"35 연봉 6천 자산 4억 정도면 상위 40프로?","ㅇㅇ ","116.33 ","05.27"
"부산의 좌파는 못사는 지역구에서 다 나옴","ㅇㅇ ","182.220 ","05.27"
"빚쟁이가 고통받는 이유는 결혼 때문.................","ㅇㅇ ","125.188 ","05.27"
"우리 부모님 정도면 몇수저임","ㅇㅇ ","39.7 ","05.27"
"집값오를땐 불로소득이고 집값내릴땐 불로손실인가요?","ㅇㅇ ","223.62 ","05.27"
"올림픽 선수촌 어떻게 보시나요?","gochu ","58.225 ","05.27"
" 돈좀 있고 아들래미가 Sky 갈 실력안되면 그냥 유학보내라","ㅇㅇ ","111.65 ","05.27"
"전라도보다 부산좌파가 더 싫다..","ㅁㅁ ","210.113 ","05.27"
"만약 현금 50억이 있다면","天滅中共 "," ","05.27"
"렉슬새끼들 리모델링 딸치고 있는데욬ㅋㅋㅋㅋㅋ","ㅇㅇ ","121.134 ","05.27"
"과천 소유잔데 동네사람은 나를 무주택전세충으로 알고있음","ㅇㅇ ","175.223 ","05.27"
"분위기가 심상치 않습니다만ㅋㅋㅋㅋ","ㅋㅋㅋ ","49.168 ","05.27"
"빛쟁이가 전하는 바이오 강좌, 위기의 셀트리온헬스케어 편","빛쟁이 ","58.148 ","05.27"
"내가 황하나를 못만난 이유..","ㅇㅇ ","1.233 ","05.27"
"래미안이 그렇게 압도적으로 고급 브랜드였냐","ㅇㅇ ","223.33 ","05.27"
"야 충북 제천 잘사는 동네냐?","ㅇㅇ ","223.38 ","05.27"
"근데 여자 뿐만 아니라 사람이라면 재력가 vs 노숙자","ㅇㅇ ","1.233 ","05.27"
"설빙이 부산에서 개인가게로 시작한거네 ","ㅇㅇ ","121.165 ","05.27"
"정년보장된 직장이 일산인데 집 사는거 별론가요?","ㅇㅇ ","116.33 ","05.27"
"스트레이트, 'YG 양현석, 성접대 의혹 당일 황하나도 자리해'","ㅇㅇ ","1.233 ","05.27"
"과천1단지 충 너무 환상에 젖어있네","ㅇㅇ ","106.102 ","05.27"
"다세대 재개발 해서 임대아팟이나 지어라.","ㅇㅇ ","210.104 ","05.27"
"경기도 킬러는 무뇌","그니꺄. "," ","05.27"
"유주택자들 집팔고픈데 안팔려?","ㅇㅇ ","175.223 ","05.27"
"요즘 제일 병신같은 부류","ㅇㅇ ","223.38 ","05.27"
"왕십리는 지하철 교통은 끝판왕인듯","ㅇㅇ ","218.144 ","05.27"
"Voice of America 뉴스 ...VOA 유튜브","ㅇㅇ ","222.106 ","05.27"
"경기도 탈출하란 글들 5년전에 흥했는데","내글 "," ","05.27"
"분당 이미지 시기별로 알려준다. 1995년~2019년","ㅇㅇ ","104.143 ","05.27"
"가성비 씹씹십 오지는 주복 추천함.","ㅇㅇ ","218.156 ","05.27"
"여자들은 왜그렇게 가쉽이나 뒷담같은거 ㅈㄴ 좋아하냐?","ㅇㅇ ","223.38 ","05.27"
"사람 느낌이라는게 있다 목동은","삼성역 ","110.15 ","05.27"
"오늘은 반포 광고쟁이 안왔냐?","ㅇㅇ ","110.70 ","05.27"
"감사실에서 전임 상사 의견 문의하냐?","ㅋㅋ ","221.148 ","05.27"
"요즘 거래가 성사되는 동네는 그래도 괜찮은 동네라고 볼 수 있음?","ㅇㅇㅇ ","49.169 ","05.27"
"20억 모으는게 가능하냐","ㄹㄹ ","117.111 ","05.27"
"부모 연금 월 5~600나올텐데 이거어느정도임?","ㅇㅇ ","122.202 ","05.27"
"외대까지는 인정하는게 부갤스타 조현철이도","중경외시 ","223.38 ","05.27"
"분당까지마라","ㅇㅇ ","223.62 ","05.27"
"재테크 문의점 드립니다..(흙수저 자산공개)","ㅇㅇ ","223.62 ","05.27"
"한 2년쯤 후에 이사갈 동네 미리 구경가고싶은데","ㅇㅇ ","175.223 ","05.27"
"여자경찰한테 조무사님이라 불러보고싶은데괜찮냐?","ㅇㅇ ","180.229 ","05.27"
"고덕에 등기칠사람은 돈넣기 전에 꼭 한번 보기를","ㅇㅇ ","46.101 ","05.27"
"70년대 80년대 부촌소리듣던곳이 평범해지면 그동네사람들 거지된거냐","ㅇㅇ ","59.12 ","05.27"
"전문직이 답이라고 생각하냐? ","### ","125.186 ","05.27"
"대림동 조선족들이나 사당동 원주민들이나","ㅇㅇ ","175.223 ","05.27"
"9억이상 주택 실거주 못할때 어떻게 사야되냐?","ㅋㅋ ","223.38 ","05.27"
"세종 주복 분양받았다.","ㅇㅇ ","1.11 ","05.27"
"해운대민도 이정도면 서울어디급이냐?","ㅇㅇ ","180.229 ","05.27"
"잠실이 도곡은 격추시켰고 대치 반포 남았네","ㅇㅇ ","222.107 ","05.27"
"엠생의 기준이 뭐냐??","ㅇㅇ ","223.38 ","05.27"
"중소기업 3억 대기업 5억 전문직 10억","99 ","122.35 ","05.27"
"윈숭이 흉님은","그니꺄. "," ","05.27"
"50에 20억있으려면","니 ","121.139 ","05.27"
"반래 지금 신축 들어서면 평당1억 쌉가능하냐?","ㅇㅇ ","39.7 ","05.27"
"여기툭하면본인이랑부모자랑얘기나오네","니 ","121.139 ","05.27"
"동부이촌동이 지금도 최고의 부촌인건 맞는데","1234 ","221.147 ","05.27"
"Gtx a는 삼성기준으로 남구간 북구간 완공 시기차이가 어마어마할듯","ㅇㅇ ","39.7 ","05.27"
"경기도 지역별 망하는 시점 알려준다.","ㅇㅇ ","104.143 ","05.27"
"대기업 들어가서 퇴사한 이유는...","ㅇㅇ ","210.103 ","05.27"
"오늘 서울 지도를 보다가 문득","주공 ","223.62 ","05.27"
"한 2층 짜리 근린상가가 가성비 좋지 않냐","ㅇㅇ ","175.223 ","05.27"
"옛날 창동에는","ㅇㅇ ","223.131 ","05.27"
"분당 폭망하는거 보면서도 기어이 과천에 기어들어간다고?ㅋㅋ","ㄴㄴ ","180.4 ","05.27"
"문재앙 탄핵 청원 22만 넘었다 ㅋㅋㅋㅋㅋ","ㅇㅇ ","119.56 ","05.27"
"목동도 근본 많이 떨어졌네","ㅇㅇ ","119.149 ","05.27"
"창동은 외제차도 없더라 ㅜㅜ","ㅇㅇ ","121.165 ","05.27"
"전문직도 의사 치과의사정도 제외하면","ㅇㅇ ","220.121 ","05.27"
"용돈드립 마용성드립하지마라 형찾아간다","ㅇㅇ ","39.119 ","05.27"
"잠실엘리트 아파트 후지다는 것이 트루?","니들 ","220.79 ","05.27"
"성매매의 진실","ㅇㅇ ","222.101 ","05.27"
"임장이라는 용어 사용하지 말라고....현장조사라고 해...","ㅇㅇ ","220.84 ","05.27"
"장동만 집에 스크린 골프장 있는데 얼마냐? 시그니엘 레지던스 펜트하우스","인생누 ","211.205 ","05.27"
"두산그룹 일가, 지주사 지분 3.84% 블록딜 돌입","ㅇㅇ ","59.12 ","05.27"
"아파트 브랜드 탑5가 뭐일까","ㅇㅇ ","118.43 ","05.27"
"잠실 2008년도 아파트들이 소음도 졸라 많고 커뮤니티 엉망이라매?","니들 ","220.79 ","05.27"
"글고보니 은경님 거 빌라 임장 건은 어케 됐음???","ㅇㅇ ","1.238 ","05.27"
"황교안 쿠데타 일으켜야 내란죄로 구속시켜야함","99 ","122.35 ","05.27"
"과천 지정타 분양가 1500예상","ㅇㅇ ","124.56 ","05.27"
"모텔증여 어떻게 받는거냐?","ㅇㅇ ","116.121 ","05.27"
"박원순 빨갱이 외치던 레전드그가 돌아 왔다.avi","ㅇㅇ ","61.247 ","05.27"
"딱 말해줄게 서성한중경외시부터는 그냥 답이없어 ㅋㅋㅋ","ㅇㅇ ","118.33 ","05.27"
"재벌총수들 노예 될려고 좋은대학 가서 헛지랄하냐?","ㅇㅇ ","220.84 ","05.27"
"성대 한양 상위과? 그래봤자 비sky야","ㅇㅇ ","118.33 ","05.27"
"서성한부터는 대기업은 커녕 b매치만가도 인생대박소리듣는데 ㅋㅋㅋㅋ","ㅇㅇ ","118.33 ","05.27"
"근데 스카이+성균 한양 상위과 나와서 대기업가는건 실패같은데","ㅇㅇ ","220.84 ","05.27"
"재앙이 아베한데 자리 뺏겼다.","ㅇㅇ ","125.178 ","05.27"
"대기업 상위부서 취직해보니 서성한중경외시부터는 무시나안받으면","ㅇㅇ ","118.33 ","05.27"
"포센푸 30평대가 슈르 30평대보다 4억 이상 싼데 왜그런거야?","ㅇㅇ ","211.36 ","05.27"
"서성한 공대생인데 취업못했다고 뉴스나오는건 가짜뉴스아니냐","ㅇㅇ ","59.12 ","05.27"
"문재앙정권 들어와서 제일빡치는게 이거지","ㅇㅇ ","110.70 ","05.27"
