"dc_title","dc_writer","writer_ip","dc_date"
"김빠삐 지금이시간대에 감자탕 먹으러가는 시간대인데","ㅇㅇ ","211.224 ","05.28"
"층간소음은 개쌍욕과 복수가답이다. ","ㅇㅇ ","122.46 ","05.28"
"김빠삐현재 위장그득하게 야식이랑 술 밀어넣고 지금 알딸딸한상태네","ㅇㅇ ","211.224 ","05.28"
"어깨불균형 고치는 법좀","ㅇㅇ ","223.39 ","05.28"
"야 하루에 고추 네개 먹으면 다이어트에 도움된대","ㅇㅇ ","112.72 ","05.28"
"닭가슴살 대신 훈제 오리고기 먹어도 되냐고","ㅇㅇ ","223.39 ","05.28"
"스미스 20분 쓰면 민폐냐?","ㅇㅇ ","219.255 ","05.28"
"근육 키울려면 tdee 정도 먹으면 되나?","카요 ","218.146 ","05.28"
"게임잘하면 이제 년 10억은 우습게 벌더라","ㅇㅇ ","59.5 ","05.28"
"닭스테이크 300개째인데 아직도 안질린다","ㅇㅇ ","122.46 ","05.28"
"눈가리고 배리나랑 ㅅㅅ하면","ㅇㅇ ","1.233 ","05.28"
"저 밑에 고깃집 차리라는 갤러는 보거라","마포구마마무 "," ","05.28"
"이연화 청각장애 어느정도냐?","ㅇㅇ ","1.251 ","05.28"
"어좁 헬린입니다","00 ","210.223 ","05.28"
"전여친  사이비 종교에 빠진년이였는데 ","ㅇㅇ ","223.38 ","05.28"
"팔굽혀펴기를 109개 하였다","떡잎 "," ","05.28"
"섹스하다  ㅈ부러졌다","ㅇㅇ ","87.101 ","05.28"
"멸치들은 저녁시간에 운동 안옴","ㅇㅇ ","211.109 ","05.28"
"근데 우리나라남자들 프로틴에 미친거같더라","첼시팬 "," ","05.28"
"왼쪽 기립근이랑 오른쪽이랑 짝짝이임 어떻게 고침","ㅇㅇ ","59.29 ","05.28"
"프로게이머들이 왠만한 운동선수보다 돈 더많이벌더라","ㅇㅇ ","59.5 ","05.28"
"헬린이 질문있어요","ㄴㅁㅇㄹ ","111.118 ","05.28"
"박서준 정도면 20초반에 어필되냐??","! ","125.190 ","05.28"
"야 운동하고 프로틴먹잖아 근데 프로틴먹고 라면이나 군것질따로하면","ㅇㅇ ","210.103 ","05.28"
"나이키 신발 메트콘 질문 좀요 형들","ㅁㄴㅇㄹ ","121.136 ","05.28"
"요즘 헬스장가면 여자들 노출 보는 재미있다","ㅇㅇ ","211.109 ","05.28"
"헬스장에 브라탑만 입고 런닝 뛰는여자있는데","ㅇㅇ ","211.109 ","05.28"
"손흥민정도면 성공한 인생이냐?","ㅇㅇ ","122.35 ","05.28"
"야 헬줌마들 왜 매일 같은 운동복입냐","첼시팬 "," ","05.28"
"여름충새기들은 봐라","미스터김포 ","116.36 ","05.28"
"32세박서준 vs  25세 지잡대 피돌이","! ","125.190 ","05.28"
"햄들 인생살면서 헬스 처음가보려하는데 조언좀용","스피릿이월핵쓰면 "," ","05.28"
"헬스장에 여자들 노출증 걸린여자 없냐","ㅇㅇ ","211.109 ","05.28"
"그냥 할거없으면 고기집이라도 차려라 월수입 몇천 우습게 찍는다","ㅇㅇ ","122.35 ","05.28"
"23살까지는 20대초반이라고 하자","ㅇㅇ ","218.50 ","05.28"
"3개월만에 3대400을찍은 나 이제 주짓수를 도전해보도록한다..","ㅇㅇ ","121.153 ","05.28"
"판검사가 존나 병신같은 직업인게","ㅇㅇ ","122.35 ","05.28"
"122.35 쟤 백수임 ㄹㅇ . fact","ㅇㅇ ","122.35 ","05.28"
"파퀴아오 vs  3대700  쇠질맨","! ","125.190 ","05.28"
"173에75면 돼지임?","ㅇㅇ ","223.39 ","05.28"
"니들은 커팅때랑 벌킹때랑 분할 어케가지냐","ㅇㅇ ","58.141 ","05.28"
"요즘 전관예우 없어진지가 언젠데 뭔 개소리냐","ㅇㅇ ","122.35 ","05.28"
"177 99에서 92정도뺏는데도 여자한테 이성적으로 반응이 오는구나","ㅇㅇ ","122.35 ","05.28"
"헬창에게 투표권은 사치다","쌀쥐 "," ","05.28"
"검사장 대법관이 무슨 명예가 잇어 시발ㅋㅋ","ㅇㅇ ","122.35 ","05.28"
"남의 인생에 왈가왈부하는 새끼들 특.","ㄱ ","1.247 ","05.28"
"의사는 나중에 개원해서 돈이라도 벌수잇지 판검사는 레알 노답임","ㅇㅇ ","122.35 ","05.28"
"황교안정도면 나이대비 미남이지???","! ","125.190 ","05.28"
"오늘의 운동.txt","내일은득근 "," ","05.28"
"문재인 대가리 드릴로 구멍 송송 뚫고싶다","ㅇㅇ ","59.7 ","05.28"
"브로콜리랑 파프리카는 소스가 생명인듯","ㅇㅇ ","39.7 ","05.28"
"못생긴 여자한테 더 잘해주게 되더라","ㅇㅇ ","223.39 ","05.28"
"솔직히 난 극좌도 싫고 극우도 싫은데 정치판에서 저 두개중에 안찍으면","ㅇㅇ ","221.138 ","05.28"
"불균형 ㅈ같네 ㅋㅋ 인바디 잿는데","ㅇㅇ ","211.52 ","05.28"
"극좌파 친구 몇년 전 썰","ㅇㅇ ","112.140 ","05.28"
"까놓고 황교안 20대스펙이면 헬갤 상위5퍼가능??","! ","125.190 ","05.28"
"여기는 무슨 의사똥꼬빠는 밑바닥 가축새끼들만 잇나 ㅋㅋ","ㅇㅇ ","122.35 ","05.28"
"헬린인데 이거 신고 스쿼트 해도되요?","ㅇㅇ ","110.13 ","05.28"
"극좌 거르면, 황교안 찍으라는거냐?","ㅁㅁ ","124.102 ","05.28"
"22살에 들어가면 어캐 30대초반에 전문의야 병신아 ","ㅇㅇ ","122.35 ","05.28"
"벨트 얼마나 조여야 되는지 질문 좀..","알 ","118.36 ","05.28"
"목요일치팅인데 먹을거추천좀","허각 "," ","05.28"
"32살에 의대들어가면 과로사함","ㅇㅅㅇ ","106.102 ","05.28"
"미용실 요즘 돈 얼마나 쓸어담는지를 모르네 시발ㅋㅋㅋ","ㅇㅇ ","122.35 ","05.28"
"체중 금방 느는놈들 부럽다","ㅇㅇ ","223.38 ","05.28"
"남자2ㅡ30대인데 극좌파애들은 걸러야지","ㅇㅇ ","221.138 ","05.28"
"니내 컬러링 머임?","바둥바둥 ","106.102 ","05.28"
"몸좋다고 체력도 좋은거는 아니냐??","! ","125.190 ","05.28"
"32살에 의대입학이면 그냥 좆병신이라니까 뭘 좋아 시발ㅋㅋ","ㅇㅇ ","122.35 ","05.28"
"과자 콜라 다 끊었다. 병신들아 ㅋㅋㅋ","ㅁㅁ ","124.102 ","05.28"
"뛰어서","minismylife "," ","05.28"
"중량풀업이 존나힘든거구나 뼈저리게 느낌","ㅇㅇ ","211.246 ","05.28"
"나이 먹었으면 한의사가 짱아니냐","ㅇㅇ ","223.62 ","05.28"
"무동력트레드밀은 평지뛰는거랑 비슷하려나 ","첼시팬 "," ","05.28"
"윗가슴 키우려면 뭐가 답임?","ㅇㅇ ","211.228 ","05.28"
