"dc_title","dc_writer","writer_ip","dc_date"
"허빡이 개뇬들 종규 왔다고 우리 웅이 틀드될까 불안해서","ㅇㅇ ","118.139 ","05.29"
"삼성은 변화가 필요한 팀이지","ㅇㅇ ","59.26 ","05.29"
"최준용 강상재 연봉얼마냐?","ㅇㅇ ","175.223 ","05.29"
"엘지 12억 똥 투척 ㅆㅅㅌㅊ네","ㅇㅇ ","203.243 ","05.29"
"김종규가 디비간게 배아프긴 한가보네ㅋㅋ","ㅇ선개소리야 ","175.123 ","05.29"
"농갤에 미친뇬들이 많네 ㅋ","ㅇㅇ ","118.139 ","05.29"
"김민구 박지훈 트레이드라고?","ㅇ.ㅇ ","1.244 ","05.29"
"근데 륵에서의 영향력은 시래 &gt;종규 팩트아님?","ㅇㅇ ","59.26 ","05.29"
"크트가 변준형 거를때 조건이 ","ㅇㅇ ","39.7 ","05.29"
"내가 이래서 시래가 진짜 아깝다니까","ㅇㅇ ","223.62 ","05.29"
"김민구랑 틀드 시키느니 무상으로 박지훈 김현호 내보낼듯...","ㅇㅇ ","211.33 ","05.29"
"제일기획은 돈 쓸 생각없다. 되려 삭감하려 했지","ㅇㅇ ","61.102 ","05.29"
"삼성은 가드 급하면 김진영 뽑음 되잖아","ㅇㅇ ","110.70 ","05.29"
"이상민이 적극적으로 움직일 확률도 있는게","ㅇㅇ ","59.26 ","05.29"
"삼성 이재도 틀드는 박재현을 앞픽으로 뽑았었는데","ㅇㅇ ","223.62 ","05.29"
"믿지는 않는데 김민구 디비가면 김민구가 숙여야지","ㅇㅇ ","14.54 ","05.29"
"이상민 씹새끼 이재도 데려오면서 1라픽 팔면 죽여버린다","ㅇㅇ ","122.47 ","05.29"
"만약에.김민구 디비 오는거 진짜면","ㅇㅇ ","211.36 ","05.29"
"인삼은 틀드나 선수보강 없냐?","ㅇㅇ ","39.7 ","05.29"
"궁금한게 KGC 오세근 백업 누구냐 ??","22222 ","59.14 ","05.29"
"두경민이 디비 1옵션임","ㅇ선개소리야 ","175.123 ","05.29"
"내후년 작정현 드랩이 괜찮겠네","ㅇㅇ ","39.7 ","05.29"
"김시래 미쳣다 미쳣어ㄷㄷ","ㅇㅇ ","59.26 ","05.29"
"돌상민 이거 진짜 제2의 버튼 뽑으려고 되게 벼르는 모양새","ㅁㅁ ","122.44 ","05.29"
"박지훈 김민구는 어서 주어들은썰임?","ㅇ선개소리야 ","175.123 ","05.29"
"신인 픽 언제 정해짐?","땀떵 ","110.70 ","05.29"
"김종규vs이대헌 진지하게 누구쓰냐","ㅣㅅㅡㅇㅃㅈ ","125.184 ","05.29"
"삼성 1번 보강이 없어도 되는 이유","ㅇㅇ ","220.123 ","05.29"
"보기만 해도 답답한 선수.txt ","Z ","211.54 ","05.29"
"허훈은 퐈되면 크트 떠날걸?","Z ","211.54 ","05.29"
"애초 두경민,김민구 사이나쁘단것도 농갤러들 뇌피셜이잖아","ㅇㅇ ","223.62 ","05.29"
"크트 올시즌 신인픽 인삼픽까지 26프로지?","Z ","211.54 ","05.29"
"삼성 트레이드 필요한 이유","ThunderUp ","1.241 ","05.29"
"일욜날 당나귀에 엘지선수들 또 나오냐?","ㅇㅇ ","116.123 ","05.29"
"차라리 삼성이 틀드하려면 박정현 픽 된후에 하면","ㅇㅇ ","116.123 ","05.29"
