"dc_title","dc_writer","writer_ip","dc_date"
"진짜 ㄹㅇ 친누나썰 (순도 100프로 사실임 진짜임)","ㅁㅁ ","211.51 ","05.29"
"고1선택과목질문좀","ㅇㅇ ","124.111 ","05.29"
"운석대충돌 이후 몸집에 작은 포유류가 많이 살아남은 까닭이 뭐임?","ㅇㅇ ","175.223 ","05.29"
"6평 대비 킬캠 30번빼고 다 ㅈ밥이네","ㅇㅇ ","175.198 ","05.29"
"공부안해봐서 그런데","ㅇㅇ ","211.244 ","05.29"
"씨발련들아씨발씨발씨발씨발씨발","ㅇㅇ ","211.206 ","05.29"
"앞에 맨날 자는디 영어만 3맞고 나머지 다 1이드라","ㅋㅋ ","222.100 ","05.29"
"씨발씨발씨발","ㅇㅇ ","211.206 ","05.29"
"건동홍 = 인하 = 부산경북임?","푹신푹신해 "," ","05.29"
"진심으로 대학 존나 재미없다","ㅇㅇ ","114.207 ","05.29"
"아니시발 왜 한국인인데 고추가 크냐고","킬캠77 ","223.38 ","05.29"
"중대 교과 3.2가 쓰면 무조건 떨어지냐","ㅇ ㅇ ","220.76 ","05.29"
"씨발련들아 씨발씨발씨발","ㅇㅇ ","211.206 ","05.29"
"샤프추천","언더테일 "," ","05.29"
"아 ㅋㅋ독재 마스크충 존나많네","ㅇㅇ ","175.212 ","05.29"
"재종에서 독재학원 가는거 오바냐 ?","ㅋㅋ ","222.100 ","05.29"
"대학간 놈들 수갤은 왜하는거임?","ㅇㅇ ","223.62 ","05.29"
"정상모 시그니쳐만 해도 나형3가능하냐?","ㅇㅇ ","49.165 ","05.29"
"수학은 풀다보면 감잡힘?","ㅇㅇ ","125.185 ","05.29"
"61.99시발 애미뒤ㅣ진 ㅂㅅ새끼 지랄이지 ㅋㅋ","ㅇㅇ ","117.111 ","05.29"
"나일주일내내 공부 1도안함 근데 내이름은 재수생","킬캠77 ","223.38 ","05.29"
"념글문제 풀었는데 대학과정으로풀음","ㅇㅇ ","223.62 ","05.29"
