"dc_title","dc_writer","writer_ip","dc_date"
"탱밸런스는 감이안잡히는데 힐밸런스는 씨발","ㅇㅇ ","222.234 ","05.29"
"학가가 적폐면 뭐하냐","사수생 "," ","05.29"
"ㅋㅋㅋ 학자 야전치유진에 도트힐달렸노","ㅇㅇ ","59.11 ","05.29"
"하이 점프도 니드호그꺼 아닌가?","사수생 "," ","05.29"
"암기 기교 없어지고 감정강화 못하는 대신","요한스님 ","223.33 ","05.29"
"칠흑은 나이트로 인던간다 ㅋㅋㅋㅋㅋ","방벽 "," ","05.29"
"건블 사기라는데 얼마나사기임?","ㅇㅇ ","211.243 ","05.29"
"스토리충 질문 좀","데이터충전케이블 "," ","05.29"
"나이트들 계수 높아졌다고 설레발치는데ㅋㅋㅋㅋ","방벽 "," ","05.29"
"아 ㅋㅋ 테크니컬 스텝 주위 전체 5% 뎀증이었네 ㅋㅋ","Chamin "," ","05.29"
"용기사 만렙스킬 니드호그 종언의 용시 효과 가져왓던데","사수생 "," ","05.29"
"톤베리 환술사 11렙 후기","데이터충전케이블 "," ","05.29"
"스킬계수들이  다상승햇네","ㅇㅇ ","222.234 ","05.29"
"창천스토리 몰입할려고 용기사 새로키우는거 ㄱㅊ?","ㅇㅇ ","198.16 ","05.29"
"솔직히 건블 건건으로 가도 잘만돌아갈듯","체강직업암기안나 "," ","05.29"
"건블 개사긴데??","체강직업암기안나 "," ","05.29"
"근데 솔직히 인던 노잼이라 빨리 깨게 광역기 대미지 올려주는건 좋네","ㅇㅇ ","49.169 ","05.29"
"fflogs 잘아는사람있어?","ㅇㅇ ","58.233 ","05.29"
"광 스킬이 늘어난다..혹시 영식도...?","ㅇㅇ ","115.161 ","05.29"
"레리의 직업 변경점.youtube","아니라고 "," ","05.29"
"5.0 힐러 조합은 백학이다","ㅇㅇ ","49.169 ","05.29"
"와 칠흑인던에서는이제","왕관 "," ","05.29"
"몽크 어떻게 됐는지 알려줄사람","ㅇㅇ ","118.32 ","05.29"
"매라방송 4클자 4미클임?","아인슈패 "," ","05.29"
"파티보너스가 어떻게바꼈는데 ????","ㅇㅇ ","223.62 ","05.29"
"무희 던전 플레이 .youtube","아니라고 "," ","05.29"
"음유 기공 무희 스킬 신기한게","Chamin "," ","05.29"
"건나 vs 전나 vs 암나 vs 전암 vs 전건 vs 암건","ㅇㅇ ","58.239 ","05.29"
"딜갱신팟 용닌음무 괌","ㅇㄴㅁㅎ ","114.200 ","05.29"
"근데 왜 용닌음 이라고 하는거임?","ㅇㅇ ","58.239 ","05.29"
"파판의 P도 모로는 것들이 만든 어이없는갤러리","ºº "," ","05.29"
