"dc_title","dc_writer","writer_ip","dc_date"
"민키코 오늘뭐해쪄?","걷기매니아 "," ","05.30"
"32살 토익 점수 없는데 따는게 좋음 아님 빨리 취직하는게 좋음?","ㅇㅇ ","1.231 ","05.30"
"일머리 없는 군인입니다.","길꽁르 "," ","05.30"
"님들아 공부 어디서함?","ㅇㅇ ","223.38 ","05.30"
"울 회사 탈세하는거같은데 이거 신고해야하냐","ㅇㅇ ","223.39 ","05.30"
"치킨 두마리 산다","ㅇㅅㅇ ","112.214 ","05.30"
"결혼 안하고 혼자 살껀데, 부모님 모시고 살수있을까","ㅇㅇ ","122.42 ","05.30"
"최저임금 일자리에 야간수당 없는게말됨?","ㅇㅇ ","1.243 ","05.30"
"PCB 설계 직군 면접잡힘","ㅇㅇ ","39.112 ","05.30"
"1명 뽑는데 80명 지원함","ㅇㅇ ","211.36 ","05.30"
"민키코 오늘 뭐하쪄","걷기매니아 "," ","05.30"
"수습직원인데 전새대출가능해?","ㅇㅇ ","175.223 ","05.30"
"취성패 신청하는기간 따로있음?","ㅇㅇ ","121.188 ","05.30"
"사회초년생 좆소기업 스펙이랑 연봉좀 봐줘 형들","fkrlfn ","222.99 ","05.30"
"국숭따리 전화기생인데","ㅇㅇ ","211.196 ","05.30"
"필드엔지니어 자세히 아는 갤럼 있음???","ㅇㅇ ","126.94 ","05.30"
"2조2교대-&gt;3조2교대","ㅇㅇ ","218.209 ","05.30"
"가스공사 면탈했다.","123123 ","211.107 ","05.30"
"하이닉스 성과급 1700이면 연봉이얼마라는거냐","ㅇㅇ ","175.223 ","05.30"
"공기업 무기계약직 좋은건가요?","ㅇㅇ ","175.213 ","05.30"
"출근 2주짼데 계속다니다간 여혐생길거같다","ㅅㅅ ","223.39 ","05.30"
"5달뒤 전역인데 황금마차기사 어떤거같아?","ㅇㅇ ","106.102 ","05.30"
"갑갑하다 진짜","탈모 ","222.237 ","05.30"
"27 전기기능학원댕기는데 인생답이안보인다갑갑함","ㅇㅇ ","39.7 ","05.30"
"성실히 꾸준하게 오래하실 분만","서주혁 ","210.112 ","05.30"
"건물관리 회사","ㅇㅇ ","118.45 ","05.30"
"지금 최저시급으로  계산하면 왜 170 이상이라는거냐?","ㅇㅇ ","211.187 ","05.30"
"면접보고왔다","ㅇㅇ ","110.70 ","05.30"
"급구인","qweasdzcx009080 ","42.2 ","05.30"
"세탁소 직원 모집","세탁소 ","171.253 ","05.30"
"요즘 어중간한 중소기업이 근로기준법을 지킬거라 믿는다면","ㅇㅇ ","211.202 ","05.30"
"구미쪽 디스플레이좆소 어떰?","ㅇㅇ ","27.177 ","05.30"
"내일까지하고 퇴사한다.","ㅇㅇ ","211.36 ","05.30"
"죽고싶어요","ㅇㅇ ","223.33 ","05.30"
"더이상 로죄 글 보기도 싫다 이제 상대하기도 싫다","이정훈정신병자 ","123.98 ","05.30"
"내가 잘못살았다는걸 이제 깨닫는다","ㅇㅇ ","223.33 ","05.30"
"12만원 벌었다 시발","ㅇㅅㅇ ","1.231 ","05.30"
"뭐해","ㅇㅅㅇ ","1.231 ","05.30"
"근데 쇠깍 이런게 사라지면되나?","이정훈정신병자 ","123.98 ","05.30"
"찐따 공대생한테 조언점","ㅇㅇ ","39.7 ","05.30"
"2063아시안컵이오기전에합격해야된다","취직씨발놈아 ","121.140 ","05.30"
"2019년5월30일의백수짓은(무적등골단)-85","취직씨발놈아 ","121.140 ","05.30"
"가마솥 길들이기","보이카사랑 ","121.130 ","05.30"
"동자 씨발놈아","이정훈정신병자 ","123.98 ","05.30"
"기술배우면 밥 굶을 일 없다는데","ㅇㅇ ","220.123 ","05.30"
"그래도 칼 안맞을려고 돈 빌려주네 ㅋㅋㅋㅋ","이정훈사랑 ","123.98 ","05.30"
"운동선수 일반인 3명은 그냥 작살냄","ㅇㅅㅇ ","121.130 ","05.30"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","세계인 ","211.108 ","05.30"
"걔 마라톤인지 400m인지 모르겠는데","ㅇㅅㅇ ","121.130 ","05.30"
"동자가 키로는 짱이네 ㅋㅋㅋㅋㅋ","이정훈사랑 ","123.98 ","05.30"
"좆소 신입이면 거의 최저시급받음?","ㅇㅇ ","220.121 ","05.30"
