"dc_title","dc_writer","writer_ip","dc_date"
"ㅋㅋㅋ밈갤개오랜만에왔는데개나소나나밈창ㅇㅈㄹ","밈바깅 "," ","05.30"
"퀸아년 만물나밈창설..","ㅇㅇ ","222.119 ","05.30"
"그뚱텀년은 왜레가갤 못잃는거래","ㅇㅇ ","14.46 ","05.30"
"나밈창이랑 동급인그년 ㅋㅋ","ㅇㅇ ","112.167 ","05.30"
"나밈창도 있는데 어따대고 앰생ㅇㅈㄹ","ㅇㅇ ","39.7 ","05.30"
"저 퀸아 쉴드 kt통피 얼마나 앰생이면","ㅇㅇ ","112.167 ","05.30"
"나사실 나밈바퀸아남자사진나사아레트임","아리아나그란데 "," ","05.30"
"내가 뭔쉴드 그년한테 저격당한게 몇번인데","카디비디비딥 "," ","05.30"
"디씨에 갤러리만 5백개가넘는데","ㅇㅇ ","112.167 ","05.30"
"카디비디비딥 = 나밈창 오늘밝혀짐ㅋㅋㅋㅋㅋ","ㅇㅇ ","39.7 ","05.30"
"진짜 퀸아 쉴드러랑 나밈바년은 뇌구조가 궁금함","카디비디비딥 "," ","05.30"
"여까지 겨와서 나밈창 쉴드치는년 무엇?ㅋ","ㅇㅇ ","39.7 ","05.30"
"나=퀸아=나밈바","카디비디비딥 "," ","05.30"
"퀸아=나밈바","카디비디비딥 "," ","05.30"
"나밈창 다중창도 사는데 퀸아는 양반이지","ㅇㅇ ","39.7 ","05.30"
"------퀸아 전용 갤기장갤 입니다-------","카디비디비딥 "," ","05.30"
"퀸아 쉴드년 질문","ㅇㅇ ","223.33 ","05.30"
"나밈창은 헬지야 ㅂㅅ년아 ","ㅇㅇ ","223.33 ","05.30"
"39.7 = 뚱아 ","ㅇㅇ ","110.70 ","05.30"
"김앤장 ㅇㅈㄹ하던 그년의 정체 의심 가자노^^","ㅇㅇ ","39.7 ","05.30"
"레가갤 그둥이 글은 왜삭제하는지 아시는분??","ㅇㅇ ","39.7 ","05.30"
"퀸아 프갤에서 고닉차단 먹은년이 왜프갤인행세함?","ㅇㅇ ","223.33 ","05.30"
"드립 좆노잼인데?ㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","211.36 ","05.30"
"리가가리 좀 쩌네","ㅇㅇ ","211.223 ","05.30"
"언니들 또 한바탕햇네?ㅋ","미미 ","210.113 ","05.30"
"리가가리 지도 아니다싶어서 pdf드립 삭제했네","ㅇㅇ ","223.62 ","05.30"
"갤로그에 달려가서 나차단좀 풀어줘ㅠㅠ","리가가리 "," ","05.30"
"넷상에서 배신어쩌고 지랄ㅋㅋ","리가가리 "," ","05.30"
"내가 부매일때 퀸아년 다중짓만 10번넘게봄ㅋ","리가가리 "," ","05.30"
"노우경=퀸아","ㅇㅇ ","223.39 ","05.30"
"크트통피로 퀸아언니 차단풀어달라 구걸하던그년","ㅇㅇ ","223.39 ","05.30"
"퀸아 존나애잔해","ㅇㅇ ","210.96 ","05.30"
