"dc_title","dc_writer","writer_ip","dc_date"
"에리이 침착한거보소ㅋㅋ","오늘은웬디내일은승완 ","112.72 ","05.30"
"빠와업 입개르ㅋㅋ","오늘은웬디내일은승완 ","112.72 ","05.30"
"매운데 잘먹노","오늘은웬디내일은승완 ","112.72 ","05.30"
"리수 눈매가 깊네","오늘은웬디내일은승완 ","223.62 ","05.30"
"완랑이쉨 정신못차리네ㅋㅋㅋ","오늘은웬디내일은승완 ","223.62 ","05.30"
"그냥 나라로 부르는게 빠를듯ㅋㅋ","오늘은웬디내일은승완 ","223.62 ","05.30"
"리수,올린좌 리더선정ㅋㅋ","오늘은웬디내일은승완 ","223.62 ","05.30"
"그래서 틀 데뷔초 리액션이랑 지금이랑 뭐가 크게 다른데?","ㅇㅇ ","175.223 ","05.30"
"ㅋㅋㅋㅋㄱㄲㅋ","오늘은웬디내일은승완 ","223.62 ","05.30"
"아직 애들 누군지 잘모르겠네","오늘은웬디내일은승완 ","223.62 ","05.30"
"디시좌 혼란ㅋㅋ","오늘은웬디내일은승완 ","223.62 ","05.30"
"너넨 개돼지라","ㅇㅇ ","110.70 ","05.30"
"아이린 리액션 마니 늘었지 ","ㅇㅇ ","223.39 ","05.30"
"신춘문예도그렇고 지들끼리 지지고볶는 기분임","오늘은웬디내일은승완 ","223.62 ","05.30"
"해외수상작들은 확실히뭔가 이해하기힘듦","오늘은웬디내일은승완 ","223.62 ","05.30"
"근데 베이비필터 좀 그렇다","ㅇㅇ ","223.39 ","05.30"
"좆이돌갤중 벨붕이들이제일 착하듯","ㅇㅇ ","14.45 ","05.30"
"틀틀이 데뷔 초반 리액션이랑 지금이랑 많이 다르냐?","ㅇㅇ ","175.223 ","05.30"
"차단당한지 1주일지났는데","ㅇㅇ ","121.166 ","05.30"
"걍 슬기류 원탑은 슬기임","ㅇㅇ ","210.99 ","05.30"
"새피 일본 오리콘 첫날 7천장이네","ㅇㅇ ","175.223 ","05.30"
"웬디 새피 때부터인가 목소리 다양해져서 좋음","ㅇㅇ ","1.232 ","05.30"
"심심한 벨붕이들 클릭 ㄱㄱ","맞제충 ","211.187 ","05.30"
"스위밍풀은 색다른느낌","ㅇㅇ ","1.232 ","05.30"
"벨갤 개념 왜 이렇게 바뀜?","ㅇㅇ ","211.36 ","05.30"
"더 스테이션 라인업 레벨 밖에 없는데 다 매진됬노 ㅋㅋ","ㅇㅇ ","180.81 ","05.30"
"루키일본버전 넘 깜찍한데;","ㅇㅇ ","1.232 ","05.30"
"수영장 노래가 올해의 스엠삘이긴 하네","ㅇㅇ ","39.7 ","05.30"
"그럼 전미국이 노순신 응원할때는 노순신 응원하셨겠죠?","ㅇㅇ ","117.111 ","05.30"
"맞제춤 릅빠냐???","ㅇㅇ ","223.39 ","05.30"
"이번 새피 활동 좀 자세하게 설명해주실 분","ㅇㅇ ","124.53 ","05.30"
"릅퀴만 토론토 응원한다고?","맞제충 ","175.127 ","05.30"
