"dc_title","dc_writer","writer_ip","dc_date"
"느린템포의 2악장이 좋아짐","ㅇㅇ ","117.111 ","05.31"
"211.36 상폐 ㅅㄲ","Kk "," ","05.31"
"근데 현실에서도 그러더라","ㅇㅇ "," ","05.31"
"211.36 정신병자 알바","Kk "," ","05.31"
"노처녀들이 문제다","ㅇㅇ ","211.36 ","05.31"
"베를린필이 일본에게 이런 메세지도 보냈었구나","ㅇㅇ ","183.99 ","05.31"
"오늘 손민수 어땠음??","ㅇㅇ ","223.62 ","05.31"
"일본 클래식 공연 실황 방송이 많은 유튜브 채널 추천","ㅇㅇㅈ ","99.240 ","05.31"
"인싸가 여자를 위로하는 방법","ㅇㅇ ","221.153 ","05.31"
"슈베르트 소나타는 왤케 귀에 안 들어오지","ㅇㅇ ","223.62 ","05.31"
"생상이나, 프랑크 교향악 들으면","주룡 ","94.239 ","05.31"
"오늘 경기필.간단감상","황당한나라 "," ","05.31"
"로저 노링턴이라고 지휘자 아냐?","ㅁㅁ ","124.102 ","05.31"
"손민수 인터미션인데","ㅇㅇ ","117.111 ","05.31"
"봄의제전 합창석 팀파니 뒷자리 앉으면 무슨느낌일까","개플룻 "," ","05.31"
"클판 최고 기생충","ㅇㅇ ","89.144 ","05.31"
"바렌보임 쇼팽은 진짜 개못친다..ㅋㅋㅋ","ㅇㅇ ","180.64 ","05.31"
"국내 top 바이올린 연주자 목록(개인소장용)","ㅎㅁㅇ ","82.132 ","05.31"
"오늘 경기필 실황함???","황당한나라 "," ","05.31"
"그리그 피아노 협주곡 가단조가 광고 영상에 쓰인적 많지 않니;;","ㅇㅇ ","110.70 ","05.31"
"클잘알들아 라벨 피아노 음반 추천 좀 해줘","ㅇㅇ "," ","05.31"
"야 콘스탄틴 쉐르바토프? 이연주자어떠냐","ㅇㅇ ","175.223 ","05.31"
"오늘 호암상 연주 임지영","ㅇㅇ ","175.223 ","05.31"
"에센바흐는 피아니스트로 어느정도?","ㅇㅇ ","110.70 ","05.31"
"말러 교향곡 3번 이랑 비슷 한 교향곡 추천좀 해주세요","ㅇㅇ "," ","05.31"
"여기 계신분들은 거의 직장인이거나 돈걱정 없는 학생들임?","ㅇㅇ ","223.39 ","05.31"
"내가 온라인에서 카푸 까지만","ㅇㅇ ","110.70 ","05.31"
"피아노치면서 오르가즘 느끼는 형누님들 보면 너무 힘듦","ㅇㅇ ","223.33 ","05.31"
"카푸 오늘 경기필 가냐","ㅇㅇ ","110.70 ","05.31"
"플레트네프 합창석 필요한사람 잇냐","ㅇㅇ ","223.62 ","05.31"
"다들 6월 티켓값 지출 심하지??","ㅡ.ㅡ ","175.115 ","05.31"
"그대의 눈물이 마를 때 까지  ","ㅇㅇ ","112.220 ","05.31"
"원코 협연자없이 함","ㅡ.ㅡ ","175.115 ","05.31"
"원코 협연자 폴리니임","ㅡ.ㅡ ","175.115 ","05.31"
"원코 협연자 쉬프임","ㅡ.ㅡ ","175.115 ","05.31"
"힐러리한 도미넌트현 쓴다며","ㅇㅇ ","223.62 ","05.31"
"원코리아 협연자는..","ㅇㅇ ","175.223 ","05.31"
"클린이 플레트네프 합창석 획득ㅠㅠ","ㅋㄹㅇ ","223.131 ","05.31"
"선우 그 오케썰 진짜냐","ㅇㅇ ","110.70 ","05.31"
"광고에 쓰이는 클래식 음악 이거 맞냐?","ㅇㅇ ","223.194 ","05.31"
"아래에 윤디리 왕벌의 비행 듣고 느낀게","ㅇㅇ ","110.34 ","05.31"
"순직한 최 하사 비웃은 것들은 공개적으로 모욕을 줘야한다","ㅇㅇ ","49.174 ","05.31"
"강심 레전드 볼레로","ㅇㅇ ","223.62 ","05.31"
"한남충들 조성진 성형 유행하겠노ㅋㅋㅋㅋㅋ","ㅇㅇ ","110.70 ","05.31"
"말러 심포니 3번","Spherical "," ","05.31"
"클린이 어제 경기필 간단하게","ㅇㅇ ","175.223 ","05.31"
"윤디 완전 최근 영상인데 폼 돌아온듯","ㅇㅇ ","110.70 ","05.31"
"여기있는애들은 같은 여자들에게도 까이는 애들아님??","ㅇㅇ ","117.111 ","05.31"
"최수열 팬서비스가 어느정도냐 하면..","ㅇㅇ ","110.70 ","05.31"
"문재인 오른팔이 벌써부터 총선 대비 비밀회담","ㅇㅇ ","117.111 ","05.31"
"이글의 클래식 사회히키꼬모리충들 보라고 계속 무한복사한다","ㅇㅇ ","117.111 ","05.31"
"들을 예정","잇츠_미 "," ","05.31"
"이글의 클래식 사회히키꼬모리충들 보라고 계속 무한복사한다","ㅇㅇ ","117.111 ","05.31"
"클래식은 창작의한계가맞는데","ㅇㅇ ","117.111 ","05.31"
"쇼팽과 섹스했다는 한 남자의 이야기 ","ㅇㅇ ","125.134 ","05.31"
"근데 맨날 하는 프로그램이 쇼팽 이나 슈베르트가 아니라","ㅇㅇ ","36.38 ","05.31"
"피아노트리오 추천좀오","ㅇㅅ ","121.191 ","05.31"
"내가 음악가라면 음악 싫을듯","ㅇㅇ ","211.218 ","05.31"
"윤디는 연습 아예안하는거야??","ㅎㅎ ","223.33 ","05.31"
"최수열은 팬서비스 정말 잘해","ㅇㅇ ","110.70 ","05.31"
"요즘 임동혁이랑 손열음 왜 조용함?","ㅇㅇ ","180.71 ","05.31"
"예당 ibk 박스석 vs 2층 3째줄 어디가 나아?","ㅇㅇ ","59.10 ","05.31"
