"dc_title","dc_writer","writer_ip","dc_date"
"일도 안하는데 200 주면 많이 주는거 아니냐??","ㄹㄹ ","58.239 ","05.31"
"노무라이들 힘내라 낼 1차 존나 어려울거다","ㅇㅇ ","121.140 ","05.31"
"세무사+가맹거래사 시너지 얼마나 될까??","ㅇㅇ ","175.223 ","05.31"
"한국이 발전 안하는건 돈 많은 놈들이 투자를 안해서 그래","[세무사]만적 "," ","05.31"
"지금 공시진입 하는 세대들이 임프 즈음해서 태어난 세대들임","ㅁㅁ ","115.137 ","05.31"
"상법붕 로스쿨졸업생까는거 꿀잼이다 ㅋㅋ","ㅇㅇ ","175.223 ","05.31"
"솔직히 노숙굴을 ㅈㄴ 까도 소용이 없는게","ㅇㅇ ","125.177 ","05.31"
"노무사 면허비","ㄹㄹ ","58.239 ","05.31"
"회계사가 주인공인 드라마나 유명영화있음?","ㅇㅇ ","110.70 ","05.31"
"송강호가 집주인 부자 죽이고 지하실로 들어감","[본4]예비의사 "," ","05.31"
"노무사 준비하는 이유가 대체 뭐냐","ㅇㅇ ","223.63 ","05.31"
"형식적 취득은 언제 과세되는거야?","ㅇㅇ ","211.199 ","05.31"
"기생충 이거 뭔 내용이냨ㅋㅋㅋㅋㅋ","[본4]예비의사 "," ","05.31"
"너네들 찍을때 줄세우냐 아님 꼴리는 번호 하냐","ㅇㅇ ","125.180 ","05.31"
"관세사 10년차도 5천고정인거 실화면","ㅇㅇ ","211.199 ","05.31"
"노무라이 10개 맞추고 기도메타 가야겠따","ㅇㅇ ","125.180 ","05.31"
"회계사인식)남자경리 변호사)지적이고 능력있는 엘리트 그리고","ㅇㅇ ","168.115 ","05.31"
"종로에 아이돌같은 애들.진짜 많다...와 신세계야..","ㅇㅇ ","223.62 ","05.31"
"1차 노무라이들 잠자기전에","ㅇㅇ ","222.96 ","05.31"
"원가회계 선형 계획법 가져가냐?","ㅇㅇ ","211.199 ","05.31"
"내일 노무사 1차보는 넘들","ㅇㅇ ","223.33 ","05.31"
"섭노트 만들까 세잼경제만 ?","ㄸㅇㅇ ","112.162 ","05.31"
"유튜브에 있는 각종 공부법 영상 다봤는데","ㅇㅇ ","59.6 ","05.31"
"고갤 싸움 패턴 90퍼이상이 회준생이나 회계사들이 열등감","ㅇㅇ ","39.7 ","05.31"
"토레기 미쳤냐?","ㅇㅇ ","175.223 ","05.31"
"사법고시도 상대자격증인 회계사 노무사한텐","ㅇㅇ ","223.38 ","05.31"
"로스쿨 그만까라 시벌놈들아","Ssibal ","39.7 ","05.31"
"구글번역기라...ㅋ","ㅁㅁ ","115.137 ","05.31"
"돈 많이 벌면서 많이 쓸 수 있는 직업이 최고시다...","[세무사]만적 "," ","05.31"
"고갤은 왤캐 맨날 싸우냐","ㅇㅇ ","210.107 ","05.31"
"고갤 애들 말귀 존나 못알아듣네...","ㅇㅇ ","39.7 ","05.31"
"수능 5달 남았는데 한의대 가능할까???? ㅠㅠㅠㅠ","ㅇㅇ ","211.198 ","05.31"
"2유생 평일 공부 끗...","ㅇㅇ ","39.7 ","05.31"
"근데 로스쿨 까면 뭐가 달라지냐?","ㅇㅇ ","210.107 ","05.31"
"문과중에서 교대가 가성비 원탑인듯","ㅇㅇ ","175.117 ","05.31"
"합격생들은 대부분 15시간씩 앉아서 공부하냐?","ㅇㅇ ","223.39 ","05.31"
"원가 어려운 이유 알아냄","ㅇㅇ ","211.199 ","05.31"
"5수생인데  지금이라도 학원갈까???? ㅠㅠㅠㅠ","ㅇㅇ ","211.198 ","05.31"
"식품회사 매출원가 애미디지게 높네","주맨 ","39.7 ","05.31"
"전업 수험생들 보통 일주일 내내 공부함?","ㅎㅎ ","218.51 ","05.31"
"노짱이 현역때 검사들한테 존나 뚜까맞지 않았음?","ㅇㅇ ","59.6 ","05.31"
"일하다 보니까ㅋ 돈버는거 개쉽노","노력의초천재 ","175.223 ","05.31"
"사시 빠는애들 특징","노력의초천재 ","175.223 ","05.31"
"점점 강박느껴지고 쉬면 죄책감들고 그렇다..","ㅇㅇ ","211.199 ","05.31"
"결국 사시부활하려면 떼법 밖에 없지 않나","ㅇㅇ ","59.6 ","05.31"
"시험의 갓은 여윽시 갓법시험이지","사무라이 ","39.7 ","05.31"
"임세진 원가 3문제 풀면 1시간이네","ㅇㅇ ","106.102 ","05.31"
"갓시부활","사무라이 ","39.7 ","05.31"
"과제 _ 스포츠에서 폭력이 정당한가 ?","ㅇㅇ ","39.116 ","05.31"
"로스쿨생들은 서열화에 대해서 뭔 생각일까","ㅇㅇ ","59.6 ","05.31"
"점심,저녁 더블 회식, 더블 술자리는...","[만적맘]맨큐 "," ","05.31"
"월 259시간 일하고 연봉","노력의초천재 ","175.223 ","05.31"
"기생충 보고 왔습니다. 제 소감은요,","법무30일전사 ","211.114 ","05.31"
"근데 자격사따고 로스쿨 가면","ㅇㅇ ","223.62 ","05.31"
"5급 사무관에서 4급 서기관까지 10년 넘게 걸림??","ㅇㅇ ","223.39 ","05.31"
"기샛충 재밋다 꼭바라","ㅇㅇ ","118.43 ","05.31"
"개념글 2009년 행시패스면 요즘 행시보다 뚫기 힘들었냐?","ㅇㅇ ","223.33 ","05.31"
"로스쿨 폐지 그딴거 안해도돼 사시만 다시 부활시키면 로스쿨은 그냥 병신됨","ㅇㅇ ","117.111 ","05.31"
"3년 뒤 노스쿨 입학준비생이라서 다음 대선때도 지금 여당이 계속","ㅇㅇ ","175.223 ","05.31"
"노무라이들아 노동법 서브 하나만 추천해줘라","ㅇㅇ ","119.67 ","05.31"
"책이 슬림하다고 해서 좋은것만은 아닌듯","ㅇㅇ ","183.101 ","05.31"
"문재앙은 왜 사시를 폐지한거냐","ㅇㅇ ","115.40 ","05.31"
"개념글 사무관한테 행정사 어떤지 물어보고싶다","ㅇㅇ ","175.223 ","05.31"
"로변중엔 1프로정도는 사시쳤어도 붙었을텐데 개좆같은 제도생겨서","ㅇㅇ ","117.111 ","05.31"
"독서실 공기 존내 탁하네 진짜","Line "," ","05.31"
"전문직중에 학점 토익같은 개병신스펙이 평가기준이라던데 그게 무슨 직업이냐","ㅇㅇ ","117.111 ","05.31"
"문과 전문직은 걍 약사선에서 다 정리되는듯","ㅇㅇ ","223.62 ","05.31"
"나도 개업해서 떵떵거리고 싶다 이거야","[세무사]만적 "," ","05.31"
"정병창쌤 실무 썰이 꿀잼이네","ㅇㅇ ","117.111 ","05.31"
"내일 노무띠 1차 민법 기출문제 100% 출제포인트 알려준다 3333","ㅇㅇ ","1.217 ","05.31"
"내일 노무띠 1차 민법 100% 출제문제 알려준다.2222","ㅇㅇ ","1.217 ","05.31"
"회계사 대기업이나 공기업가면 연봉 8천따리임?","ㅇㅇ ","223.62 ","05.31"
"내일 고갤 갤주들 시험날이냐?","ㅇㅇ ","59.6 ","05.31"
"이유영 인스타 뭐죠.","거북이모가징 "," ","05.31"
"내일 노무띠 1차 민법 100%기출쟁점 알려준다.","ㅇㅇ ","1.217 ","05.31"
"저녁 미팅가기전 경지사 장점에 한가지만 더 적고 간다","ㅇㅇ ","49.143 ","05.31"
"회개사 벼노사 둘다 좋은 전문직이다","ㅇㅇ ","165.132 ","05.31"
"경지사 하지마라 ㅅㅂ16","ㅇㅇ ","49.143 ","05.31"
"경지사 하지마라 ㅅㅂ15","ㅇㅇ ","49.143 ","05.31"
"공무원 지망자 폭행 합의 결렬..조언 좀..","ㅇㅇ ","121.150 ","05.31"
"이게 인사가 기본서를 다외워야할필요가 없는거같다","ㅅㄴㅁ "," ","05.31"
"회계사가 아무리 날뛰어봐야 로스쿨한텐 그냥 한없이 작아지는건","ㅇㅇ ","175.223 ","05.31"
"경지사 하지마라 ㅅㅂ14","ㅇㅇ ","49.143 ","05.31"
"아 그래도 경지사하면서 돈은 공무원 보다 3~4배는 번다","ㅇㅇ ","49.143 ","05.31"
"경지사 하지마라 ㅅㅂ13","ㅇㅇ ","49.143 ","05.31"
"경지사 하지마라 ㅅㅂ12","ㅇㅇ ","49.143 ","05.31"
"경지사 하지마라 ㅅㅂ11","ㅇㅇ ","49.143 ","05.31"
"법무사법 개정안 통과될거 같음","ㅇㅅㅂㅈ ","58.236 ","05.31"
"셀프등기하는새끼들 미친놈아님?","ㅅㄴㅁ "," ","05.31"
"노무사랑 세무사 중에 뭐가 더 사교적이어야하냐","ㅇㅇ ","223.62 ","05.31"
"기생충 보러가야지","[본4]예비의사 "," ","05.31"
"노무라이 노무라이 노무라이히~~ 노무라이스~~","법무30 ","211.114 ","05.31"
"근데 변호사 숫자 존나 많은거 아님??","ㅂㅂㅂ ","223.33 ","05.31"
