"dc_title","dc_writer","writer_ip","dc_date"
"¾ßºØÀÌµé ÀúÄ£±¸µéº¸´Ï ±Þ ¸»¼ö¾ø¾îÁö³ë Æ®¶ó¿ì¸¶¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","59.6 ","06.01"
"Å¸ÀÏ½Ã°ø ¾ËÂ¥¹è±äµ¥¤»¤»¤»¤»","¤·¤· ","221.139 ","06.01"
"¾Öºñ ³«ÇÏ»ê ¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤·¤· ","122.128 ","06.01"
"¾Æ¹öÁö°¡»çÀå¤»¤»","¤·¤· ","182.212 ","06.01"
"Å¸ÀÏÀåÀÎ ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","61.109 ","06.01"
"È÷¹Ù¸® ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»","dsa ","121.143 ","06.01"
"Ä£±¸¸¸ºÁµµ Á¸³ª ¿ÜÇâÀûÀÎ ¼º°ÝÀÎµ¥","¤·¤· ","211.221 ","06.01"
"Å¸ÀÏ½Ã°ø ¤»","¤·¤· ","180.68 ","06.01"
"ÆÄÀÌÆÃÁÂ ¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","121.128 ","06.01"
"¸ø»ç´Â°Å ¸Â¾Æ ¤²¤µ¾Æ","1369 ","121.160 ","06.01"
"¾ßºØÀÌµé¾Æ ÆÄÀÌÆÃ ÇØ¾ßÁö?","¤·¤· ","121.124 ","06.01"
"ÀÎ½ÎÀÇ »îÀÌ Àú·¸°Ô Èûµç°Å¿´±¸¸¸¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","218.156 ","06.01"
"¸ñÇ¥°¡ ¶Ñ·ÇÇÑµ¥ ÅäÅä ¤»¤»¤»¤»","¤·¤·¤· ","118.39 ","06.01"
"ÈÖ¹Ù¸® ¤»¤»¤»¤»¤»¤»","¤·¤· ","121.182 ","06.01"
"³²ÀÚ°¡ ÁÖ»ç³ùÀ¸¸é ÀÏ´Ü ±¹¹ÎÃ»¿ø 100¸¸°³ ±ò°í µé¾î°¨ ¤»¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","1.253 ","06.01"
"ÆÄÀÌÆÃ¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","218.50 ","06.01"
"È£Ã¶ÀÌÄ£±¸µé ¤»¤»¤»","¤·¤· ","180.229 ","06.01"
"ÀÎ½Î¿³³ë.......","¤·¤· ","210.205 ","06.01"
"Á¶¹«»ç¶û ÆÄÀÌÆÃ ÇÏ´Ù°¡ Á×¾ú³ë","¤·¤· ","211.210 ","06.01"
"·¹Àüµå³Ä ¤»¤»¤»¤»","Á¤¶ô½Å "," ","06.01"
"ÀÎ½Î¿´³× ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤·¤· ","122.128 ","06.01"
"Çàµ¿ÆÄ¿¡ ÆÄÀÌÆÃ¤»¤»","¤·¤· ","180.68 ","06.01"
"¾ß°¶¿¡¼­ ±Þ ºñÈ£°¨ Ä³¸¯ÅÍ³×","1369 ","121.160 ","06.01"
"¾ßºØÀÌµéÀº Áõ¾ðÇØÁÙ»ç¶÷ÇÑ¸íµµ¾øÀ¸´Ï±î Á×Áö¸¶¶ó","¤·¤· ","223.38 ","06.01"
"ºüÀÌÆÃ¤»¤»¤»","¤·¤· ","175.205 ","06.01"
"ÀÎ½Î¿³³ë","¤·¤· ","61.81 ","06.01"
"ÆÄÀÌÅÍ¿© ¤»¤»","¤²¤² ","58.120 ","06.01"
"ÀÎ½Î ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","61.109 ","06.01"
