"dc_title","dc_writer","writer_ip","dc_date"
"야 근데 50cc로 도로주행이 가능하냐?","ㅇㅇ ","211.36 ","06.01"
"sr400 찐빠 동영상 찍어둔거","피안귀항 "," ","06.01"
"근데 넥스 왜 무시하는거냐..?","넥은이(찐) ","211.36 ","06.01"
"스쿠터 07년식인데","징징이 ","113.185 ","06.01"
"신호를 제끼고 싶다면 배달통을 달아라","ㅇㅇ ","211.36 ","06.01"
"심남이 씹새끼는 어그로가 덜 끌리는 이유가","넥은이(찐) ","211.36 ","06.01"
"인터넷 찐따체험","ㅇㅇ ","121.158 ","06.01"
"탈갤하는 이유는 배그하러 가야댐","넥은이(찐) ","211.36 ","06.01"
"솔직히 이제 탈갤해야겠습니다.","넥은이(찐) ","211.36 ","06.01"
"솔찍히 씨발","ㅇㅇ ","110.70 ","06.01"
"나 왜 광고차단이지","ㅇㅇ ","117.111 ","06.01"
"넥스좆거지 메뉴얼은 탈줄알고 아가리째는거?","ㅇㅇ ","203.142 ","06.01"
"mxs125 100만에 못삼.??","고자챔피언 "," ","06.01"
"쿼터랑 미들 가격차이 넘 심하지 않냐?","ㅇㅇ ","211.227 ","06.01"
"속보)  오늘 잠수교 밤12시부터 축구중계 행사 한댄다 ","ㅇㅇ ","211.36 ","06.01"
"221.140 낚시 빌런 또 있냐 ㅋㅋ","넥은이(찐) ","211.36 ","06.01"
"솔직히 바갤 좆유동 특징은 이거라서..ㅋㅋ","넥은이(찐) ","211.36 ","06.01"
"베스파 gts300 오너있냐?","ㅇㅇ ","223.39 ","06.01"
"s750 배기음 삽 지리더라","ㅇㅇ ","211.227 ","06.01"
"저 새끼","ㅇㅇ ","210.100 ","06.01"
"은평구 연신내 넥스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","223.38 ","06.01"
"150km로 달리던 사람 입장도 들어봐야지.","넥은이(찐) ","211.36 ","06.01"
"넥은이 관종새끼라 차단을 못하네","ㅇㅇ ","211.36 ","06.01"
"미안하다. 윾네야 당사자가 아니라 상황은","넥은이(찐) ","211.36 ","06.01"
"넥은아 니가 맞은거같다","ㅇㅇ ","210.100 ","06.01"
"흑화할것같다","윾네 "," ","06.01"
"이거 650r 뒷쪽부분 튜닝한거지??","냥이라이더 "," ","06.01"
"개새끼들아. 왜케 ㅂㄷㅂㄷ 하냐..? ","넥은이(찐) ","211.36 ","06.01"
"넥은이 씨발저새끼 차단방법없냐","넥은이 ","36.39 ","06.01"
"강남에서 배달대행 하는사람있냐?","ㅇㅇ ","223.38 ","06.01"
"출퇴근시간 차막힐때 배달하는 사람 뒤따라가면 빠름","ㅇㅇ ","1.176 ","06.01"
"메뉴얼은 차간주행이나 옆으로갈때 어떻게함","부랄털털 ","175.223 ","06.01"
"네비 끝판왕은 카카오맵임","ㅇㅇ ","211.36 ","06.01"
"중고나라 거래했는데 예상과는 달리 사람들이 예의바르다.","ㅇㅇ ","220.72 ","06.01"
"대한민국 넘버원 씹쌔뀌 어디갓냐","ㅇㅇ ","117.111 ","06.01"
"200km 탔더니 겁나 힘드네","바린이 ","211.36 ","06.01"
"근데 아틀란 네비 쓸만해??","ㅌㅌ ","223.62 ","06.01"
"넥은이 주행은 잘 모르겠고","ㅇㅇ ","110.70 ","06.01"
"여름에 라이딩 진 가능함?","ㅇㅇ ","59.9 ","06.01"
"내가 보기엔 자동차전용도로는 차운전자들이 신고 잘안하는거같음","ㅇㅇ ","1.176 ","06.01"
"엠엑이 파시는분?","데드초보 "," ","06.01"
"병걸렸다.","ㅋ900 "," ","06.01"
"근데 진짜 이건 팩트인데 읽어봐라 ㅋㅋ","넥은이(찐) ","211.36 ","06.01"
"고속도로 진입후기","tape "," ","06.01"
"사실 다른 스쿠터보면 부럽다","넦은이[찐] ","58.122 ","06.01"
"12시에  토트넘 리버플 경기 볼놈 잇냐?","ㅇㅇ ","117.111 ","06.01"
"골목길에서","ㅇㅇ ","112.166 ","06.01"
"오늘 4년만에 자전거 탔는데","양금모띠 "," ","06.01"
"무릎 보호대 검색 존나하고 왔는데","ㅇㅇ ","59.9 ","06.01"
"아 길잘못들어서 고속도로로들어옴","tape "," ","06.01"
"카타나는 볼때마다 ","pcx "," ","06.01"
"고배기량 간지는 나는데.. 꼭 읽어봐라.","넥은이(찐) ","211.36 ","06.01"
"현재 가성비 탑 5 이거 맞냐?","ㅇㅇ ","211.227 ","06.01"
"전동킥보드랑 사고났는데","ㅇㅇ ","14.41 ","06.01"
"신형 r3 내년에 중고 얼마냐?","ㅇㅇ ","211.227 ","06.01"
"태리쟝","ㅇㅇ ","59.9 ","06.01"
"바이크 없는 바린인데 원동기는 진짜 아니다","ㅇㅇ ","211.227 ","06.01"
"여주 참외축제온거시아","공고생쟝 "," ","06.01"
"올만에 츄동기 탔는데 왜케 재밌지","ㅇㅇ ","175.223 ","06.01"
"배기튜닝 정품이랑 짭이랑 뭐가달라요? pcx 요시무라풀배기 할려는데..","마툳다탇 ","183.104 ","06.01"
"바이크 타는 사람들 다 뒤졌음 좋겠다","ㅇㅇ ","121.168 ","06.01"
"형들 시티에이스 앞바뀌 꺼억꺼억 소리나믄 밸트쪽 맞음?","ㅇㅇ ","211.176 ","06.01"
"자전거타고 52km 2시간30분내로 주파해볼때마다","ME_Roh "," ","06.01"
"내나이 딱 스물","ㅁ ㅇ ","58.126 ","06.01"
"배기에 관해선 차라리 할딱들이 더 잘알인듯","ㅇㅇ ","223.33 ","06.01"
"바이크말고 자전거타 형들","ㅇㅇ ","223.38 ","06.01"
"아 그냥 치킨사서 집에나 갈까..","두쿵 "," ","06.01"
"액드방 기어빠짐 고쳐짐?","ㅇㅇ ","220.85 ","06.01"
"오도방 전륜도 있음?","ㅇㅇ ","110.70 ","06.01"
"요런 커브 만들고 싶음","삼나무 ","175.223 ","06.01"
"차살려고 2달을 알아봤음","데드초보 "," ","06.01"
"난 항시 운전할때 음악을 들음","ㅇㅇ ","1.176 ","06.01"
"경운기 소리밖에 안날 딸기통에 왜 자꾸 마후라를 다냐","ㅇㅇ ","116.124 ","06.01"
"커브 풀배기하면 드는 느낌","ㅇㅇ ","220.85 ","06.01"
"엔진내구성 nc750x vs cb500x","ㅇㅇ ","220.85 ","06.01"
"오두바위 풀배기 튜닝하면 빠따나 가속력 좋아지나?","CBR500R "," ","06.01"
"Nc 카페에 500x매물나왔다.","피할수있겠냐 "," ","06.01"
"바갤러 형님들 직업이 뭐니까","ㅇㅇ ","110.70 ","06.01"
"오늘은 퇴근후 광교를가야겠어요","다다요나 "," ","06.01"
"바이크 타고 댕기면 노래 어떻게듣냐","ㅇㅇ ","223.62 ","06.01"
"원래 궐련형 전담이 니코틴 강함?","ㅇㅇ ","182.215 ","06.01"
"커브에 풀배기하고 댕기는 사람이 있으려나","ME_Roh "," ","06.01"
"현직 무창포인데...","켄도맨 ","223.39 ","06.01"
"바린인데요 아녕하세요","nemo "," ","06.01"
"바갤 접겠습니다","nemo "," ","06.01"
"너네 언제 바이크 접냐?","ㅇㅇ ","121.156 ","06.01"
"베스파 디자인 일제 스쿠터 뭐있냐","ㅇㅇ ","203.226 ","06.01"
"카타나 400 사고싶다","ㅇㅇㅇ ","110.70 ","06.01"
"닌4 vs r3이면 r3추천하던데","noyeah "," ","06.01"
"원래 바이크사면  목적지없이 걍 싸돌아 다니다 복귀한다는데","ㅌㅌ ","223.62 ","06.01"
"티라가 어디에요?","ㅇㅇ ","223.62 ","06.01"
"박서엔진 장점이 몬가요?","ME_Roh "," ","06.01"
"배달대행은 집에라도 갈 수 있잖아요","ㅇㅇ ","58.143 ","06.01"
"추레라같은 대형트럭은 차에서 자야한다는데 얼마나 힘들지요/","ㅇㅇ ","58.143 ","06.01"
"추레라 할부로 사서 할부금 못 찍고 자살한분들 많다 들었습니다","ㅇㅇ ","58.143 ","06.01"
"군필여중생같은거 필요없고","Bloody_F8 "," ","06.01"
"와 왜 기변병 걸리나 했더니 이제 이해된다","ㅇㅇ ","211.36 ","06.01"
"슈퍼커브 1권을 읽다보니 드는 생각","Bloody_F8 "," ","06.01"
"02년식 R1 350에 떨이한다는데 ㄱ?","ㅇㅇ ","182.215 ","06.01"
"화물트럭 운전할바엔 차라리 pcx 사서 배달대행이 낫지 않을까요?","ㅇㅇ ","58.143 ","06.01"
"슈퍼커브 1권 한줄소감","Bloody_F8 "," ","06.01"
"방금 신형 R6타는 여자봤음.","Duk "," ","06.01"
"ㅋㅋㅋ존나ㅡ열받지?","소심남 ","211.224 ","06.01"
"슈퍼커브에 어울리는 롱부츠 추천좀","ㅇㅇ ","223.62 ","06.01"
