"dc_title","dc_writer","writer_ip","dc_date"
"합격문자오면 ","ㅇㅇ ","117.111 ","06.01"
"차라리 국어 영어 한국사 대신 형법 하나 도입해서 3과목 체제했음 좋겠다","나다집 ","121.178 ","06.01"
"기생충에 교도관 나오더라","ㅇㅇ ","203.229 ","06.01"
"모든 직렬 중 전문성 가장 떨어지는 건 일행임이 틀림없다","나다집 ","121.178 ","06.01"
"교갤은 교정직 준비 하는 사람이 들어오면 안되는곳 같네","공삼일공 "," ","06.01"
"교정직 조직문화 욕설 폭행도 있냐?","ㅇㅇ ","117.111 ","06.01"
"근데 지방직 조직문화 병신이면","ㅇㅇ ","1.251 ","06.01"
"9급 교정직 기준 폐지됐으면 하는 과목 뭐냐?","나다집 ","121.178 ","06.01"
"내가 예언했었잖아 ㅋㅋ","ㅇㅇ ","223.62 ","06.01"
"교정 월급 얼마냐?","ㅇㅇ ","124.54 ","06.01"
"우리 휴일 당무 초과 안줌?ㄴ","ㅇㅇ ","125.176 ","06.01"
"마통 뚫으면 언제까지 가능?","ㅇㅇ ","219.249 ","06.01"
"법검 평생패스 샀다","ㅇㅇ ","175.200 ","06.01"
"세무사 시험 합격률","bin9754 "," ","06.01"
"교정직 갤러리에 정치이야기 자제했음 좋겠다","ㅇㅇ ","211.247 ","06.01"
"시바 왜 휴일에는 조출수당을 안주냐고","ㅇㅇ ","124.153 ","06.01"
"생각해보니 직렬 바꾸는 것도 있잖아","ㅇㅇ ","125.180 ","06.01"
" 지방직 가고싶다...","ㅇㅇ ","125.176 ","06.01"
"대기발령자들 왜케 발령 안 나냐","ㅇㅇ ","178.128 ","06.01"
"교정은 왜 인사교류 안 되냐","ㅇㅇ ","104.131 ","06.01"
"일행7 합격한 적 있는데 얼마 정도 걸릴까?","나다집 ","121.178 ","06.01"
"여러분 슬기로운감빵생활 보면 현실 고증 되나요?","ㅇㅇ ","121.254 ","06.01"
"최근에 연수원 다녀오신분 질문점","282기 ","175.223 ","06.01"
"현직들 본부 이야기 나와서 하는말인데","ㅇㅇ ","123.213 ","06.01"
"ㅅㅂ 계약직 따위가 교도관 개무시","ㅇㅇ ","117.111 ","06.01"
"지방직 공부 때려치고 놀까그냥","ㅇㅇ ","112.222 ","06.01"
"박문각 교수 ㅊㅊ 좀","ㅇㅇ ","124.54 ","06.01"
"오늘 공부한 거","ㅇㅇ ","39.7 ","06.01"
"그립다","00 ","218.149 ","06.01"
"청송현직이다","ㅇㅇ ","175.223 ","06.01"
"이제 직무급제로 평생 200 받는데 공무원 왜하냐?","00 ","178.128 ","06.01"
"교정보다 좋은 직렬","ㅇㅇ ","118.128 ","06.01"
"교도관은 탈모 필수냐","ㅇㅇ ","124.54 ","06.01"
"티오라....이건 맞다","ㅇㅇ ","175.223 ","06.01"
"개인적인 근무하며 느끼는 점","ㅇㅇ ","112.140 ","06.01"
"아니 주변에 교도관 이미지 존나","ㅇㅇ ","117.111 ","06.01"
"지금 티오 피셜은 다 무시하면 됨","ㅇㅇㅇ ","221.141 ","06.01"
"유럽갔다가 오늘 귀국했다","ㅇㅇ ","117.111 ","06.01"
"교정 비전 좀 말해봐","ㅇㅇ ","117.111 ","06.01"
"씨발 좆도 모르는 직원들이 뇌피셜 날린거","ㅇㅇ ","125.176 ","06.01"
"내다음목표는 7급붙은후에 교정관이다...","ㅇㅇ ","117.111 ","06.01"
"1차랑은 따로가냐?","ㅇㅇ ","175.223 ","06.01"
"한방에 내겠다는건 8월에 인사내겠다는 소리네","ㅇㅇ ","175.223 ","06.01"
"3찬데 마통 다음달이 만기임. 어케하냐? ㅅㅂ","ㅇㅇ ","104.244 ","06.01"
"인권쟁이 pc충 존나 싫다","ㅇㅇ ","168.188 ","06.01"
"주야비윤휴는 그냥 꿈속에서 해 ㅋㅋㅋ","ㅇㅇ ","125.176 ","06.01"
"1차 2차 발령 언제 예상함? 댓글좀","ㅇㅇ ","39.7 ","06.01"
"여기오지마라.....","ㅇㅇ ","175.223 ","06.01"
"찐따들이 좋은 이유 + 썰","ㅇㅈㅇ ","14.56 ","06.01"
"병가 한달 이상 쓰는 경우 많음?","ㅇㅇ ","110.70 ","06.01"
"주야비윤휴","ㅇㅇ ","219.249 ","06.01"
"교정문제가 짬많이차면 일안해서그런거임?","ㅇㅇ ","220.86 ","06.01"
"세무사 시험 가즈아아아앗~~~!!","bin9754 "," ","06.01"
"우리소는 소장한마디에 윤번 백프로지켜짐","ㅇㅇ ","211.36 ","06.01"
"지방직 잣 같은 점","나다집 ","121.178 ","06.01"
"휴뮤때 병원근무 최대 1번 이라 했잖아 근데","ㅇㅇ ","1.216 ","06.01"
