"dc_title","dc_writer","writer_ip","dc_date"
"느그흥 벤치 확정?!","ㅇㅇ ","183.96 ","06.01"
"부들부들거리는거 티나는데","ㅇㅇ ","210.103 ","06.01"
"국축갤 특","ㅇㅇ ","211.117 ","06.01"
"우리 케뽕이 급식이니?ㅋㅋㅋㅋㅋㅋ","볶음밥 ","218.236 ","06.01"
"개리그 존재이유가 국대풀유지면 외국인을 안써야지","ㅇㅇ ","218.233 ","06.01"
"삼성그룹 소유 골프장 매출vs수원삼성블루윙스 매출","스브스 ","121.150 ","06.01"
"뻥안치고 케뽕들이","ㅇㅇ ","118.47 ","06.01"
"한국 스포츠에서 듣보잡 골프의 현실..ㅋㅋ","우히히 ","121.150 ","06.01"
"A매치 보러갈 때 음료수 텀블러에 넣어가도 괜찮냐?","ㅇㅇ ","223.62 ","06.01"
"제주 울산 골파티 가능할까요","야옹갤러리 "," ","06.01"
"대구 루머","ㅇㅇ ","121.181 ","06.01"
"좆감 나타나는거보니 올시즌치 뽕 약발 떨어져서 또 발작시작할때가 됐나보네","ㅇㅇ ","110.70 ","06.01"
"정정용감독은   차라리 올림픽 국대감독직 맡아야하는데.","개혁중도한국당 ","59.5 ","06.01"
"박성화감독은 청소년월드컵  16강전에서 일본에깨지고  세계벽의 높다","개혁중도한국당 ","59.5 ","06.01"
"정정용감독은  이제 프로팀 감독직 맡아야지.","개혁중도한국당 ","59.5 ","06.01"
"아스크]야 머따는 벌리면 국민스포츠라매???그려서","좆감 ","27.126 ","06.01"
"외국 선수들은 장난스럽게 트로피에 발을 올린 거죠","ㅇ ","1.250 ","06.01"
"알핸을 이겨버리노","좆감 ","27.126 ","06.01"
"와일드  카드  순위보다","ㅇㅇ ","122.254 ","06.01"
"지면 탈락 비기면 16강 확정","lht2006 ","58.140 ","06.01"
