"dc_title","dc_writer","writer_ip","dc_date"
"교대 일년안에 무조건 붙는방법","ㅇㅇ ","223.62 ","06.01"
"여기 독신 생각하는 사람은 없나?","ㅇㅇ ","211.206 ","06.01"
"지방교대 한 학기 다닌 소감.txt","ㅇㅇ ","59.7 ","06.01"
"나이중후반에 사람사귀려고 교대가는건 ㅁㅊ거임?","ㅇㅇ ","106.243 ","06.01"
"작년문과노베초장수생 42211","ㅇㅇ ","110.70 ","06.01"
"이과올1컷 가능함?","ㄴㅁㅇㅇㅁㄴ ","175.211 ","06.01"
"세무사 시험준비...","bin9754 "," ","06.01"
"29살때 신입생으로 가고 싶습니다","ㅇㅇ ","118.39 ","06.01"
"서울에서 태어난게 스펙이라는게","ㅇㅇ ","223.62 ","06.01"
"보통 정시는 면접날짜가","ㅇㅇ ","175.223 ","06.01"
"교사가 자기개발서나 소설 같은 책 내서 인세 받을 수 있지?","ㅇㅇ ","61.76 ","06.01"
"제주교대 가면 거의 거기서 근무함?","ㅇㅇ ","58.140 ","06.01"
"유아교육과 임용이랑 정시로 교대들어가는거랑 뭐가 더 힘듦?","ㅇㄴ ","211.49 ","06.01"
