"dc_title","dc_writer","writer_ip","dc_date"
"¾à°£ÅäÅäÀßÇÏ´Â°í¼ö´À³¦³²","¤·¤· ","175.116 ","06.10"
"5ºô 6°ª ÇØÁÖ½ÇºÐ ±¸ÇÔ Åä°¶½Å¿ë¿øÅ¾","R.Nelson "," ","06.10"
"¤²¤µµé¾Æ ³ë¸£¿þÀÌ µ§¸¶Å©°¼¶ó","AEM "," ","06.10"
"ÀÌ¶õ ¾ð´õ´Â È®½ÇÇÑ°Ô °ñÀâÀÌ ¼ÒÁýÇÏÁöµµ¾ÊÀ½","´Ü¹éÁú¹æ±¸ "," ","06.10"
"¤µ¤µ·¯µé µé¾î¿Í¹Ù","¤·¤· ","211.223 ","06.10"
"Çü ±×³ÉÀÚ»ìÇÒ°Ô","R.Nelson "," ","06.10"
"Áß¿¬) Á¿Àú½º °£ ·ùµþ µþÄ¡°í³­ ÈÞÁö ¾øÁ¦?","¤·¤· ","175.223 ","06.10"
"¼ÖÁ÷È÷ Æ®·¹ÀÌ´õ ¸·»ó ¾øÀ¸¸é Á» ÇãÀüÇÔ","¤·¤· ","175.223 ","06.10"
"ÀÌ¶õ½Â °¡´É?","±×·¡¼­ÀüÀïÇÏÀÚ´Â°Å³Ä "," ","06.10"
"¸ôºê ÇÈ","Goni "," ","06.10"
"±¾¾ú´õ´Ï ¸é¿¬·Â ¶³¾îÁö´Âµ¥ ÀúÃ¼¿ÂÁõ ¿À´Ï±ñ µÎ°³°ñ »Ñ¼­Áú°Í°°´Ù","¤±¤± ","110.70 ","06.10"
"Ãà±¸ ÁøÂ¥ °¥°Å ¾ø³×¤»","Goni "," ","06.10"
"¾î·Á¿î °æ±â´Â ¿À½ºÆ®¸®¾Æ ºÒ°¡¸®¾Æ Æú¶õµå","ÇØ¿Ü¹è´çÃæ "," ","06.10"
"±Ùµ¥ 4±ÝÀ¶±ÇÀº ¾îµð³Ä..??","¤·¤· ","220.89 ","06.10"
"Æ®·¹ÀÌ´õ¾ß ¶¥¶¥¶¥ÀÌ ³Ê Àú°ÝÇÑ°Å ¸ÂÀ½ ¤»¤»","¤·¤· ","49.172 ","06.10"
"°ñ½º°¡´Â »õ±âµéÀº ¤©¤·Åä»çÀå atm±â³Ä?","Â¥¿äÂ¥¿ä "," ","06.10"
"Ã¼ÄÚ¶û µ§¸¶Å©´Â ¾ÈÀüÇÑ ¹è´çÀ¸·Î µ¹¾Æ¿È","ÇØ¿Ü¹è´çÃæ "," ","06.10"
"¿¬½À)¿ÀÅ¸´Ï ¾²¸®·± ¤µ¤µ¤µ¤µ¤µ¤µ¤µ¤µ¤µ¤µ¤µ¤µ¤µ","¤·¤· ","223.62 ","06.10"
"¹Éºê ÇÈÁ»","µöÅ°½º "," ","06.10"
"4±ÝÀ¶±Ç¤µ¤²¤»¤»¤»","¤·¤· ","175.116 ","06.10"
"µ·ºô¸®´Â»õ³¢´Â ¾Öºñ°¡ ±×·¸°Ô »ì¾Æ¿Ó±â¶§¹®ÀÓ ","¤·¤· ","223.62 ","06.10"
