"dc_title","dc_writer","writer_ip","dc_date"
"에어팟 해외직구 큐텐? 믿을만함?","ㅇㅇ ","175.206 ","06.10"
"안녕하세요 전 지금 중1인데 질문좀하겠습니다","77 ","219.254 ","06.10"
"궁금한거 있음","수석배박이 "," ","06.10"
"갤럭시 엘지폰 쓰는 애들이 착한듯","ㅇㅇ ","219.250 ","06.10"
"얘들아 폰을 뭘쓰든 자신을 사랑해줘 ㅜ ㅡㅜ ","ㅇㅇ ","175.223 ","06.10"
"아이폰SE + 아이패드 미니5 조합으로 갈까..","ㅇㅇ ","117.123 ","06.10"
"s10e 블랙 색상 너무 뻔하려나..","ㅇㅇ ","211.36 ","06.10"
"암튼 갤럭시는 짝수 아시죠....","ㅇㅇ ","203.152 ","06.10"
"누가 아이폰 락 걸려서 못 푼다고 정상 폰을 개싸게 내놨는데","ㅇㅇ ","121.88 ","06.10"
"제스처 앱 편하긴하네","히아레인 "," ","06.10"
"여기 애들 왜이리 예민해 ㅜㅡㅜ ","ㅇㅇ ","175.223 ","06.10"
"존나 얇은 실리콘케이스 없냐..","ㅇㅇ ","221.157 ","06.10"
"노트10 고민인데","가로지다 "," ","06.10"
"똥시노스 9810 기기 사기 vs 헬지 올해 플래그십 사기","ㅇㅇ ","39.7 ","06.10"
"s10e 발열 어떰??","ㅇㅇ ","182.221 ","06.10"
"지난 플래그쉽 자급제사면 흑우일거같은데","ㅇㅇ ","121.162 ","06.10"
"아이팟 딴건 그렇다치고 배터리 그대로 내놓은건 진짜 미친건가ㅋㅋ","ㅇㅇ ","203.152 ","06.10"
"x4 진짜 괜찮은거 맞지??","ㅇㅇ ","175.223 ","06.10"
"애들아 필름떼면 생활기스잘나냐?","ㅇㅇ ","222.97 ","06.10"
"미9 가격 떴냐?","ㅇㅇ ","121.140 ","06.10"
"형님들 질문 하나만여 s10은 그럼 지문인식으로만","ㅇㅇ ","223.39 ","06.10"
"왕이 대왕대비 죽이면 어케됨?","ㅇㅇ ","59.7 ","06.10"
"언케 아이팟 개봉기에 x4가 낫다고 도배해라","ㅇㅇ ","210.178 ","06.10"
"수도권 벗어날일 없으면 5G 써도 무난함?","ㅇㅇ ","14.6 ","06.10"
"S10e 자급제 언제 싸게 니올까?","00 ","14.58 ","06.10"
"fluid 제스처 앱 소리못끔?","히아레인 "," ","06.10"
"쓰던 이어폰 못쓰는게 젤 크네","ㅇㅇ ","121.162 ","06.10"
"A50 존나 고민되는게 미9 정발한다니까 ","ㅇㅇ ","39.7 ","06.10"
"속보) 노트10 pro 뉴인피니티 디스플레이 탑재, 가격 158만원","ㅇㅇ ","211.36 ","06.10"
"중전이 후궁이나 궁녀죽이는건 왕도 관여못하는거임?","ㅇㅇ ","59.7 ","06.10"
"고속충전하면 폰 수명 안좋아짐?","ㅇㅇ ","211.246 ","06.10"
"버즈 무슨색이 젤 나음?","ㅇㅇ ","58.234 ","06.10"
"v30보다 x4가 하이파이 쿼드덱 더 나은거 같네","ㅉㅉ ","121.140 ","06.10"
"갤럭시 s10 백글라스 교체하니까 imei 레이저 박혀잇던거 없어졋네 ㅋ","ㅇㅇ ","118.41 ","06.10"
"v50 쓰는새끼있냐","ㅇㅇ ","223.38 ","06.10"
"에어팟이랑 미니5세대 사야지 ","ㅇㅇ ","175.206 ","06.10"
"이제야 좀 xs max 사용법 암","ㅇㅇ ","211.36 ","06.10"
"G8 좋아보인다","ㅇㅇ ","110.70 ","06.10"
"똥럭시 오래쓰면 버벅거리는 이유","ㅇㅇ ","39.7 ","06.10"
"반일운운하는 병신은 혐일하는놈하고 일본여행가는놈이 동일인물인줄 아나봄 ㅋ","ㅇㅇ ","223.33 ","06.10"
"노무딲기분좋다","ㅇㅇ ","112.187 ","06.10"
"화웨이 중고폰 가격 떡락하냐?","ㅇㅇ ","121.136 ","06.10"
"갤럭시 오래쓰면","ㅁ1 ","122.254 ","06.10"
"코스트코충의 현실","ㅇㅇ ","39.7 ","06.10"
"그많던 앱등이들 어디갔냐? ","ㅇㅇ ","223.38 ","06.10"
"놋10 진짜 이어폰잭 없대?","ㅇㅇ ","121.162 ","06.10"
"좆본남자가 한국좋아하는거 본적있냐?","ㅇㅇ ","223.33 ","06.10"
"kt 5g요금제 이거 부가세 포함가격임?","ㅇㅇ ","211.246 ","06.10"
"일본인 18~29세 47퍼가 한국에 친밀감 느낀다는데","ㅇㅇ ","211.194 ","06.10"
"갤럭시 스크롤","ㅁ1 ","122.254 ","06.10"
"코스트코는 ㄹㅇ 거지들이나 가는데지 ㅇㅇ","ㅇㅇ ","39.7 ","06.10"
"아이폰 병신","ㅇㅇ ","39.7 ","06.10"
"S10 리퍼폰은 뭐냐???","ㅇㅇ ","175.223 ","06.10"
"sudio 인가 하는 회사 무선이어폰 조음?","ㅇㅇ ","1.245 ","06.10"
"버즈 만족도 갈수록 증가중","ㅇㅇ ","221.164 ","06.10"
"삼성폰 스로틀링 보면 존나 신기함","ㅇㅇ ","59.29 ","06.10"
"형님들 대가리박고 질문하나 올리겠습니다","00 ","221.144 ","06.10"
"아이폰 아직도 flac 음원재생못하는거 트루임??","ㅇㅇ ","112.171 ","06.10"
"야옹이가 코스트코남임? 치킨혼자남도 야옹이임?","G컵슴부무브먼트 ","118.41 ","06.10"
"와 s10e 중고가 48만 이네 ㅋㅋㅋ","ㅇㅇ ","118.221 ","06.10"
"아이폰 7이 글케 좆같음?","ㅇㅇ ","59.4 ","06.10"
"s10e 게임은 어떠냐","ㅇㅇ ","223.62 ","06.10"
"갤레기는 다시가서 만져보니깐","괜찮은삼지 "," ","06.10"
"오타좀 그만내라","ㅇㅇ ","223.39 ","06.10"
"올해 살거","ㅂㅂ ","59.20 ","06.10"
"Xr 무겁다고 염병을 하길래 걱정좀 했더니","ㅇㅇ ","180.70 ","06.10"
"시설관리 일같은거 아무나 할수잇어?","ㅇㅇ ","39.7 ","06.10"
"개인적으로 디자인갑은 s9","ㅇㅇ ","58.79 ","06.10"
"알리 레노버 Z6 pro 특가 연장됐네","ㅇㅇ ","114.207 ","06.10"
"아즘마 저영히좀 해주새여","ㅇㅇ ","119.197 ","06.10"
"엑시가 요 몇년새.스냅드래곤 이긴적 있냐?","ㅇㅇ ","223.33 ","06.10"
"좆이폰X 왤케 무겁냐","ㅇㅇ ","106.102 ","06.10"
"피처폰만 있는 나라도 있음?","ㅇㅇ ","59.25 ","06.10"
"난 층간소음 참는데","ㅇㅇ ","223.38 ","06.10"
"르그 기변 놋9 vs 갤10 5g","sdlfj ","117.111 ","06.10"
"S10 5g 산 이후로 탭 애물단지 됨 ;;","ㅇㅇ ","1.224 ","06.10"
"아이폰쓰다 x4쓰니까 아이폰못쓰겠네","ㅇㅇ ","39.7 ","06.10"
"이름없는 짱개탭 어메이징하네","ㅇㅇ ","59.29 ","06.10"
"휴대폰 갤러리와 스마트폰 갤러리 차이는?","시원한냉면 "," ","06.10"
"아이폰X 베젤 존나 신경쓰이네","ㅇㅇ ","106.102 ","06.10"
"삼성폰 장점","ㅇㅇ ","220.119 ","06.10"
"아이폰7 32기가 - 8만9천이면 괜찮은거냐?","ㅇㅇ ","112.162 ","06.10"
"짱개폰 쓰는 사람 한명 봄","ㅇㅇ ","1.224 ","06.10"
"나는 중국폰 쓰는사람 딱 한명 봄","ㅇㅇ ","121.190 ","06.10"
"x4 잠깐 써봤는데 게임은 헬이고..","ㅇㅅㅇ;; "," ","06.10"
"배터리하면 x파워가 짱이지","ㅇㅇ ","182.226 ","06.10"
"삼성 갤럭시 S7 진동이 약한 편 인가요?","Boris "," ","06.10"
"아니 뭐지??","ㅇㅇ ","220.126 ","06.10"
"똥럭시s10플 화면켜짐 3시간에 50퍼 다노","ㅇㅇ ","112.187 ","06.10"
"x4가 진짜 명기","ㅇㅇ ","223.38 ","06.10"
"중고폰 거래할때 imei 안알려주는건 머임?","해산물좋아해유 "," ","06.10"
"블루투스 계속 켜놔도 배터리 신경쓸정도는 아니냐?","황제펑컨 ","211.246 ","06.10"
"홍미노트에 은행 앱 깔면 ㅈ되냐?","ㅇㅇ ","175.223 ","06.10"
"x4 보다가 v30보니깐 누래..ㅜㅜ","ㅇㅅㅇ;; "," ","06.10"
