"dc_title","dc_writer","writer_ip","dc_date"
"중경외시도 상위 4%야 병신 고졸새끼야 ㅋㅋ","ㅇㅇ ","211.36 ","06.11"
"고졸이라 놀려도 ㅂㄷㅂㄷ 안하는거 보고 그래도 머리 좋다 생각했는데","ㅇㅇ ","211.36 ","06.11"
"SKKU Student Success Story","成 延高 ","221.147 ","06.11"
"똑같이 4갤하는 병신 찌질이지만 누군 로스쿨 누군 노숙굴 ㅋㅋㅋ","ㅇㅇ ","211.36 ","06.11"
"똑같이 4갤서 잉여짓해도 누군 상위 2%인생 고졸은 하위 2%인생ㅋㅋㅋㅋ","ㅇㅇ ","218.235 ","06.11"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ고졸이래요 고졸","ㅇㅇ ","218.235 ","06.11"
"한양대가 명문이라고?","미네속타 ","175.208 ","06.11"
"니가 대학 재학 인증하면 내가 학생증 가위로 자르고 인증함","ㅇㅇ ","218.235 ","06.11"
"솔직히 한양대 수도전 이러는거 안쪽팔림?","ㅇㅇ ","39.7 ","06.11"
"서강대 한양대 공대 입결이다. 둘이 한번 싸워보라니까.","ㅇㅇ ","218.153 ","06.11"
"휴학하고 열심히 알바해서 첫 해외여행!!","강동구인싸 ","211.192 ","06.11"
"이거 왜 념글 안가냐??","ㅇㅇ ","218.235 ","06.11"
"한국의 랜드마크 서울의 중심 수도전~~☆","설한투톱 ","110.70 ","06.11"
"성균관대, 도전·희생정신 있으면 장학금 준다","成 延高 ","221.147 ","06.11"
"입결표에 누백이 최초합 기준임?","ㅇㅜㅇ ","223.62 ","06.11"
"웃픈 처량한 슬픈 성머대 응원단 모습","dusrhwjs ","49.161 ","06.11"
"한양대  반도체학과 개설 조만간 발표예정","ㅇ ㅇ ","116.121 ","06.11"
"지축을 흔드는 함성소리,낭만넘치는  연고합동응원제,","dusrhwjs ","49.161 ","06.11"
"하 우리학교 몇 버러지들 수준 현타온다 ","ㅇㅇ ","210.206 ","06.11"
"이젠 공고에서 야간대 가도 플래카드 붙이는구낰ㅋㅋ","메사 ","223.38 ","06.11"
"사회인식  서울대  성균관대  투탑","ㄴㅇㅀ ","175.126 ","06.11"
"[동영상]  성균관  유생의  나날  '성대  투어'","ㅇㅅㅇ ","175.126 ","06.11"
"성대 대학원 vs 한양대 대학원","아아아아리리리아아앙 "," ","06.11"
"보통 4학년때 취업되는 경우 있어??","ㅇㅇ ","58.238 ","06.11"
"고졸이라 해주니 고맙다;","ㅇㅇ ","59.6 ","06.11"
"[팩트체크] 배제대는 개독대학이다","ㅇㅇ ","110.70 ","06.11"
"나이 30살이지만 대학 도전하려 합니다.","고민남 ","223.38 ","06.11"
"ROTC 를 좋아하는 육덕 끝판왕","ㅇㅇ ","166.104 ","06.11"
"용인외고친구말로 연고대 못가면 선생들조차 한번더","ㅇㅇ ","59.6 ","06.11"
"의료 수익 1조 이상 6개=1위 카의 2위 아산 3위 연의 4위 설의..","ㅇㅇ ","58.120 ","06.11"
"여기 갤러들 학력 최소","ㅇㅅㅇ ","163.152 ","06.11"
"교외장학금 압도적 1위 서울대","ㅇㅇ ","58.120 ","06.11"
"애매하네","ㅇㅇ ","222.105 ","06.11"
"한국연구재단 정보융합기술단장에 정윤채 성균관대 교수","成 延高 ","221.147 ","06.11"
"성대 에너지과학과 윤원섭 교수연구팀,차세대전지 개발 앞당겨","成 延高 ","221.147 ","06.11"
"문.이과 어중간한 서강대 갈바에는 중앙대가라","成 延高 ","221.147 ","06.11"
"공대생이 고1,2수학과정 다시하는거 의미없음?","ㅇㅇ ","1.219 ","06.11"
"중앙대 vs 서강대 vs 한양대 vs경희대","成 延高 ","221.147 ","06.11"
"배제대가 연세대 동상 탓할 자격이 되나?","ㅇㅇ ","175.223 ","06.11"
"이젠 외대생 코스프레냐","ㅇㅇ ","218.235 ","06.11"
"외대ld기준 성대 한대 경희대 등 출신 반수생 출신 다수","ㅇㅇ ","110.70 ","06.11"
"나이 30살에 대학가도 안늦을까요?","이기자나자신을 ","223.38 ","06.11"
"나 이거 념글좀 보내줘 함 가보자","ㅇㅇ ","218.235 ","06.11"
"중경외시인데 여친한테 팽당하고  서성한 준비중.","ㅎㅎ ","183.102 ","06.11"
"야야 이번주 종강인 대학들 다 대보샘","ㅇㅇ ","165.22 ","06.11"
"배제대","ㅇㅇ ","175.223 ","06.11"
"담주 종강인데 향수괜히샀나?","ㅇㅇ ","121.126 ","06.11"
"야야 이번주에 종강하는 대학 어디어디있냐?","ㅇㅇ ","204.45 ","06.11"
"누백자료는 뇌피셜 개쓰레기 자료니 걸러라","ㅇㅇ ","118.139 ","06.11"
"현실은 주위 경희대애들도 한양대 만만하게보는데","ㅇㅇ ","175.223 ","06.11"
"상승세대학 하락세대학","ㅇㅇ ","175.204 ","06.11"
"한양대 영어반영비 이과는 높지도않은데??","ㅇㅇ ","211.195 ","06.11"
"그니까 한양대생들 얘기는","ㅇㅇ ","211.195 ","06.11"
"[수도전2] 힙합대결은 냥대가 샤대 압살시킨듯 ㅎ","수도전2 ","175.223 ","06.11"
"마케팅이나 금융쪽 연봉","금융맨 ","223.38 ","06.11"
"여기 회계 고수 있냐?","... ","114.205 ","06.11"
"수도전은 힙합디스전 같이 문화학술대전으로","ㅇ ㅇ ","106.102 ","06.11"
"소름돋아 누가 왕따 연구한다고 집단을 나눠서 관찰했어","심리술사 "," ","06.11"
