"dc_title","dc_writer","writer_ip","dc_date"
"니들이 하도 쿠순이 쿠순이 거리길래","ㅇㅇ ","175.194 ","06.11"
"오산에서 덕쿠갈 수 있냐?","ㅇㅇㅇ "," ","06.11"
"덕쿠3센터 허브 지원했는데 답장없네","ㅇㅇ ","175.125 ","06.11"
"씹돼지인데 쿠팡 가능?","ㅇㅇ ","175.223 ","06.11"
"6센터 야간 신규 뽑긴뽑냐?","ㅇㅇ ","110.70 ","06.11"
"검품?알바힘듬?","ㅇㅇ ","211.117 ","06.11"
"단기쿠팡가보려는데 질문좀","ㅇㅇ ","121.165 ","06.11"
"숙노vs공장 난이도 뭐가 더 헬?","ㅇ ","121.176 ","06.11"
"피씨방 야간알바 해본사람만 와봐","1234 ","220.77 ","06.11"
"알바하는데 넘모 스트레스받음","ㅇㅇ ","183.109 ","06.11"
"덕쿠 단기 확정문자 오는 사람 있긴하냐?","ㅇㅇ ","210.206 ","06.11"
"파트타임 알바 개 ㅅㅂ줫가튼 년 ㅅㅂ","ㅇㅇ ","223.62 ","06.11"
"내일 인천 4센터 ㆍ 남양주 돈 들어 온다","ㅇㅇ ","114.206 ","06.11"
"인쿠4센 ps 졷같네 ","ㅇㅇ ","121.143 ","06.11"
"급전 필요하신분 ","문과대섹시녀졸업생 ","175.119 ","06.11"
"진짜ㅅㅂ넘들ㅋㅋㅋ앞에서말못하고","브라이언오르테가 ","211.246 ","06.11"
"주급이란게 1일단기는 안된다는거냐?","ㅇㅇ ","121.163 ","06.11"
"아 씨발 나한테 화가난다 씨발 아 ","주5채웠다 ","106.102 ","06.11"
"재택알바는","문과대섹시녀졸업생 ","175.119 ","06.11"
"고쿠 일자리박람회 참여하면  합격률 높을까?","coupangn ","223.38 ","06.11"
"야 알바 이번주부터 안나가고 싶은데 돈 받을수있긴함?","ㅇㅇ ","124.58 ","06.11"
"남의 돈 받아먹기 존나 힘드네 씨발. 월급은 언제 쳐받아보노","ㅇㅇㅇㅇㅇ ","221.151 ","06.11"
"숙식 가능한 고시원 보면 최저시급 써있는데","ㅇㅇ ","211.246 ","06.11"
