"dc_title","dc_writer","writer_ip","dc_date"
"[속보] 여자친구 브이앱 한다!!!.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","ㅇㅇ ","114.202 ","06.11"
"오늘 거점 첨해봤는데","연화 "," ","06.11"
"샤이 캐릭터 언제부터만들수있냐","ㅇㅇ ","1.246 ","06.11"
"가모스 템 뜨는거 뎀지 비례임??","ㅇㅇ ","211.108 ","06.11"
"금수랑 코코vs베스페나 머살까???","ㅇㅇ ","59.15 ","06.11"
"대리파밍, 대리기운작 싸게함 ㅇㅇ","ㅇㅇ ","110.70 ","06.11"
"뉴비 뭐부터사야함??","ㅇㅇ ","220.122 ","06.11"
"무게 다 샀는데도 부족한데 어카냐 ??","ㅇㅇ ","115.138 ","06.11"
"[속보] 여자친구 브이앱 한다!!!.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","ㅇㅇ ","114.202 ","06.11"
"근데 마시장에서 이름 미리못보냐?","ㅇㅇ ","218.235 ","06.11"
"뉴비 그냥 퀘스트만 따라가면댐?","타티도리 "," ","06.11"
"닼나 추천? 비추천?","ㅇㅇ ","223.62 ","06.11"
"샤이로 복귀하는놈들 직업","기둥 "," ","06.11"
"얘들아 나 악세 동트 조지게 미리 비추좀 박아줘라","ㅇㅇ ","223.62 ","06.11"
"개찐따들 모인 라이트한 길드 없냐","ㅇㅇ ","121.184 ","06.11"
"아 얘들아 매화 vs 샤이 뭐키우지","허벅지페티쉬 "," ","06.11"
"이겜 아직 메모리누수 있음?","우뿅 "," ","06.11"
"샤이보고 검사 해볼려는데","재밌냐? "," ","06.11"
"복귀늅인데 이제 월드보스 젠시간 딱 정해짐?","ㅇㅇ ","223.62 ","06.11"
"패스오브엑자일 ㅆㅅㅌㅊ","dd ","1.243 ","06.11"
"생활만 하는 사람들도 템귀 꽤 많은가봄?","ㅇㅇ ","175.223 ","06.11"
"누패은꼴 설정값아는사람","ㅎㄹㅇ ","39.117 ","06.11"
"피시방 보상은 바로 안들어옴?","ㅇㅇ ","175.223 ","06.11"
"복귀뉴비 데려갈 길드 찾습니다","ㅇㅇ ","121.184 ","06.11"
"컨트롤 U 누르니까 색 왤케 그지같이 변함??","니알라토텝 "," ","06.11"
"이거 아는사람 있냐? 절대모른다 ㅋㅋㅋㅋ","ㅇㅇ ","182.31 ","06.11"
"[속보] 여자친구 브이앱 한다!!!.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","ㅇㅇ ","112.156 ","06.11"
"검잘알 님들 이번 여름에 코코 같은 여름의상이 또 나올까요?","ㅇㅇ ","223.39 ","06.11"
"무사 라밤 극무정찍는 이유가머임?","ㅇㅇ ","112.170 ","06.11"
"너무 요즘 많이했다 이제 좀 적당히","단아단아 "," ","06.11"
"갈기 안살리냐","ㅎㅎ "," ","06.11"
"샤이까지 8일남았다!!!!!!!!!!!!","ㅇㅇ ","211.248 ","06.11"
"동자카 사면 제작자 이름 붙은거 못지움?","ㅇㅇ ","223.33 ","06.11"
"검사는 리쉐이드 안먹어?","ㅇㅇ ","220.125 ","06.11"
"9700k급 시피유에 2060이면 fhd 리마스터 144방어가능?","쇠고기 "," ","06.11"
"바실 소굴은 아예 망한거냐","ㅇㅇ ","122.37 ","06.11"
"미스틱 펄옷","반-야 "," ","06.11"
"진지하게 보는 갤길 위치 TOP3","ㅇㅇ ","121.184 ","06.11"
"530 유입뽕 언제쯤 빠지냐?","ㅇㅇ ","220.70 ","06.11"
"그래서 샤이 누패 나옴?","ㅇㅇ ","175.223 ","06.11"
"베디안트 용살자 살려는데 단델리온이거랑 뎀지 차이 많이 남??","ㅇㅇ ","211.108 ","06.11"
"60 무사 어디로감? 61까지 찍고싶은데","기러기 ","223.38 ","06.11"
"똥휴지 사하누나 퍼브누나 돌려줘","ㅇㅇ ","211.246 ","06.11"
"복귀했는데 판매불가된 수정박힌 고극 무기,방어구셋 어떻게 처리함?","ㅇㅇ ","59.10 ","06.11"
"뗏목 어떻게탐??","ㅇㅇ ","122.42 ","06.11"
"금수랑 한정 펄옷 두개만 추천해줘방","dd ","211.168 ","06.11"
"복귀유전데 이제 사막 질병 안걸림??","ㅇㅇ ","121.184 ","06.11"
"누패 하고나니까 이제 뭐든 다 좋아졌다","맹 ","218.50 ","06.11"
"가하즈 망함?","ㅇㅇ ","106.101 ","06.11"
"오늘 항해일퀘몇시야?","ㅇㅇ ","175.223 ","06.11"
"둘리 길드 망했나요??","ㅇㅇ ","121.184 ","06.11"
"지금 테섭 서버 나만 씹창임?","ㅇㅇ ","14.36 ","06.11"
"클리프 무기퀘 받으러 왔는데 이거 받으면 빨간코 퀘스트 못함?","ㅇㅇ ","122.43 ","06.11"
"야영지 하나있으면 좋아?","dd ","211.168 ","06.11"
"조합 마력의 수정 좋나요?","ㅇㅇ ","119.202 ","06.11"
"아 좆같네 경험치 복구 신청하면 해주냐","ㅇㅇ ","1.233 ","06.11"
"펄옷도 팔면 수수료떼ㅐ감??","ㅇㅇ ","111.118 ","06.11"
"스샷 찍을떄 ui 없애기 못하나요?","ㅇㅇ ","58.228 ","06.11"
"무사에서 소서 무변어떰?","ㅇㅇ ","121.162 ","06.11"
"동리세 지금까지 확인된거 뭐뭐있음?","ㅇㅇ ","211.246 ","06.11"
"여자화장실 몰카.avi","ㅇㅇ ","59.13 ","06.11"
"란 프리야 vs 엔비 머고르나요?","ㅇㅇ ","121.160 ","06.11"
"선생님들 미스틱 각성 기술특화 뭐햇어요","ㅇㅇ ","203.229 ","06.11"
"레인저 공속이 중요한가요? 치명이 중요한가요?","ㅇㅇ ","119.202 ","06.11"
"정보글) 대리릴지 펄지를 고민하는 갤럼은 참고할것","ㅇㅇ ","211.248 ","06.11"
"고초승 팔아도되냐????","ㅇㅇ ","111.118 ","06.11"
"보지 고르기 게임","ㅇㅇ ","223.33 ","06.11"
"60렙때 매미하면 얼마나 오름?","ㅇㅇ ","223.62 ","06.11"
"검사 계정 어케많이만듬? 이메일필요하다는데","ㅇㅇ ","119.200 ","06.11"
"장비사는게 낫냐 악세사는게 낫냐??","ㅇㅇ ","111.118 ","06.11"
"빨리 갤길이나 더 만들어서 뉴비들 케어해라","기둥 "," ","06.11"
"어린 붉은용 이거 팔 수 있는 거예요?? 300펄짜리","젖뉴비 ","211.211 ","06.11"
"[투표/선착순] 직업 승부존 빨리 들어와라","ㅇㅇ ","1.251 ","06.11"
"시발 늒네 출첵 보상 다받았다고","Neliel "," ","06.11"
"필드쟁하다 죽었는데 왜 수정이 깨지냐","ㅇㅇ ","1.233 ","06.11"
"현재 최고가템이 뭐냐","ㅇㅇ ","112.150 ","06.11"
"억압된 방어구들에 수정박으면 안되나요?","ㅇㅇ ","119.202 ","06.11"
"근데 동툰귀띄운놈 왜 툰귀한거지?","ㅇㅇ ","125.142 ","06.11"
"223/238 공방인데 나가,가자흐 뭐감?","어머니만수무강 ","58.225 ","06.11"
"리세마라 할때 초승달로 해야하냐 오반으로 해야하냐?","ㄷㅈㄷ ","1.226 ","06.11"
"수랑이 한정 펄옷 두개 추천좀..","dd ","211.168 ","06.11"
"샤이족이 라키 캐고 잇을때","dd ","211.178 ","06.11"
"나 이클인데 오더 뭐냐?","[너굴맨] "," ","06.11"
"야영지는 어디다써먹어?","dd ","211.168 ","06.11"
"유초승 2개vs동단델","할줄모름 "," ","06.11"
"형님들 펫중에 붉은용 뭐사는게 좋음?","모냐넌 ","222.101 ","06.11"
"지금 의상탭에 event 붙은게 다 한정의상임?","ㅇㅇ ","121.137 ","06.11"
"약초 비비는새끼 칼로 찔러도 무죄임ㄹㅇ","ㅇㅇ ","59.23 ","06.11"
"포건도 매미가 있냐....","차차봉봉 ","121.138 ","06.11"
"님들 이거 펄 의상 선물하기 됨?","셀딘 "," ","06.11"
"늒네 출첵 템 다받고 뭘 입어야하는지 몰겠삼","Neliel "," ","06.11"
"근데 이겜 사냥때 자리싸움 있음?","흉성파워맨 ","49.167 ","06.11"
"카포티아 목걸이 있는데 고오반 팔아 버릴까?","ㅇㅇ ","211.250 ","06.11"
"60렙 포건 시간당 20퍼 실화임?","ㅇㅇ ","1.224 ","06.11"
"형들늒네 부캐키워보려는데","ㅇㅇ ","117.111 ","06.11"
"61런 어디가 제일 빠르냐?","ㅇㅇ ","61.82 ","06.11"
"오늘 슈다드 마지막이라고?","ㅁㅇㅇ ","1.224 ","06.11"
"용살자 베디안트좀 사주라 시발","ㅁㄴㅇ ","121.164 ","06.11"
"말 호출 어떻게해?","하얀마을u "," ","06.11"
"수랑이 한정옷 추천좀","dd ","211.168 ","06.11"
"아 부캐도 코코 사줄까","ㅇㅇ ","223.39 ","06.11"
"무사 아처 뭐가더 너프각 날카롭냐","ㅇㅇ ","121.162 ","06.11"
"무사 아처 뭐가더 너프각 날카롭냐","ㅇㅇ ","121.162 ","06.11"
"마을에 불타는말 있던데 구하기 빡셈 ??","불꽃남자김도프 "," ","06.11"
"은화 100만으로 수정 빼게 해줬음 좋겠다","Goda "," ","06.11"
"코코 안사면 후회하나?","파카파카 "," ","06.11"
"뉴비 거점투자 질문좀","ㅇㅇ ","14.32 ","06.11"
"괜히 막날이라고 캐쉬쓰지마라","ㅇㅇ ","1.232 ","06.11"
"드벤은 도시특색이나 지형보다 사냥터쪽 디자인이 돋보임","ㅇㅇ ","223.39 ","06.11"
"유초승 유바실 뭐부터사야함?","ㅇㅇ ","223.62 ","06.11"
"금수랑vs위치vs소서러 오늘 펄옷 마지막이라 사주려는데 뭔캐꺼 살까","ㅇㅇ ","59.15 ","06.11"
"마일리지 7만 있는거로 뭐 사놔야함?","ㅇㅇ ","106.101 ","06.11"
"갸모스 가볼려는데 챙길거 있음??","ㅇㅇ ","211.108 ","06.11"
"요즘 공성판 작음?","ㅇㅇ ","203.243 ","06.11"
"사전생성 12시부터임?ㅇㅇ","ㅇㅇ ","110.70 ","06.11"
"아니 근데 진짜 리세 할만하네 ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","210.222 ","06.11"
"근데 지금 샤이 커마하는애들은 테섭에서 하는거임?","ㅇㅇ ","110.70 ","06.11"
"뉴비 분명 530버프 쓰고 1시간동안 나가 줘팼는데 40오름","ㅇㅇ ","223.38 ","06.11"
"허 .. 리세마라 충격적이네요","ㅇㅇ ","218.148 ","06.11"
"샤이 나오면 몸 최대치로 작게 만들어야지","맹 ","218.50 ","06.11"
"이 게임 시작은 60렙부터 맞지","부적합 "," ","06.11"
"급락 아이템 뭐가 기준으로 가격이 떨어지는거야?","ㅇㅇ ","106.243 ","06.11"
"오늘 이클 오더 좋았다 ㅇㅇ","홍예교 "," ","06.11"
"검은사막 pc방 이벤트 대리접속!!","ㅋㅌㄹ ","61.105 ","06.11"
"뉴비메인퀘하는데 이소벨너무꼴려요","ㅇㅇ ","223.39 ","06.11"
"이클인데 좆같다 통베충새끼들한테 진거 개좆같음","ㅇㅇ ","39.7 ","06.11"
"악세강화 고따리사서 유트하는새끼있냐?","ㅇㅇ ","220.70 ","06.11"
"이클은 길마가문제임 ㅋㅋ","ㅇㅇ ","223.33 ","06.11"
"이클 또 발림? 에효","조까 ","182.218 ","06.11"
"아까 은인 &lt; 얘 pvp ㅎㅌㅊ래매?","ㅇㅇ ","222.238 ","06.11"
"이클 시발 토놐 병신은 제발 오더 때려치우시길","ㅇㅇ ","39.7 ","06.11"
"제 1회 성채박은새끼 의도를 파악해보자","야엘 "," ","06.11"
"이클져쎠또져써 ","ㅇㅇ ","223.39 ","06.11"
"야 캐릭터 1칸인데 더 늘리는거 줌?","ㅇㅇ ","110.70 ","06.11"
"유 우르곤은 매물이 있어도안살듯; 뭔 30억이야","ㅇㅇ ","211.184 ","06.11"
"드벤크룬은 너무 지역특색이 없는 거 같다","ㅇㅇ ","119.197 ","06.11"
"클리프 무기퀘 선행조건이 어케됨?","새하얀새벽별 "," ","06.11"
"동자카-&gt;유검별 옆그레이드 어케 생각??","Asubal ","125.139 ","06.11"
"뉴비) 지도 펼치면 나오는 빨간 두건이랑 박쥐는 뭐임?","쌍소멸 "," ","06.11"
"근데 리세마라 이거 작업장들 ㄹㅇ 살판나겟네 ㅋㅋㅋㅋ","ㅇㅇ "," ","06.11"
"위치 펄옷 추천좀","ㅇㅇ ","223.39 ","06.11"
"55억 있는데","ㅇㅇ ","221.147 ","06.11"
"은인 워 왜나옴?","ㅇㅇ ","222.108 ","06.11"
"페도새끼들을 위한 샤이 커마 배덕감 오지는 꿀팁","ㅇㅇ ","223.39 ","06.11"
"페도새끼들을 위한 샤이 커마 배덕감 오지는 꿀팁","ㅇㅇ ","223.39 ","06.11"
"무사는 템 사기도 어렵네","ㅇㅇ ","121.172 ","06.11"
"야 씨발 한도 다찻는데 이거 선물 한도 얼마냐?","ㅇㅇ "," ","06.11"
"pvp에선 닥 누베 아니야?","ㅇㅇ ","175.223 ","06.11"
"검사 명의 하나당 계정 몇개가능?","ㅇㅇ ","110.70 ","06.11"
"금수랑 노각 합동스킬이뭐가있어","ㅇㅇ ","223.39 ","06.11"
"내가 들어본 진짜 좋은 걸그룹 노래....txt","ㅇㅇ ","59.1 ","06.11"
"갤길 자리없어서 못들어오는 뉴비들","HACKER "," ","06.11"
"뉴비) 서버 채팅 꼬라지 왜 이따위냐?","쌍소멸 "," ","06.11"
