"dc_title","dc_writer","writer_ip","dc_date"
"킥복싱 생체 대회 보니깐 죄다 정강이 보호대 차고 하던데..","ㅇㅇ ","221.139 ","06.11"
"권아솔 브라질 설교해서 나보고 시각처리 안되서 브라질인 그럴려고 그러냐?","Asdf ","211.194 ","06.11"
"최홍만 상대자  키 195ㄷㄷㄷ","ㅇㅇ ","175.223 ","06.11"
"극진가라데 도장 선택하는 방법","어리버리 ","175.223 ","06.11"
"대통령이 2005년 175cm같은애고 대통령경호원이 188cm같은 애겠지","Asdf ","211.194 ","06.11"
"리치에 비해 팔길이가 긴 경우도 있음??","ㅇㅇ ","58.230 ","06.11"
"로드FC 보고싶은 꿀대진표.txt","★박드베드★ "," ","06.11"
"정찬성 경기하네","ㅁㅁ ","222.237 ","06.11"
"게이트볼 블루벨트면 동체급 일반인 압살가능?","88 ","61.84 ","06.11"
"김동현과 붙었던 사피에딘도 바둑잘하네 ?","88 ","61.84 ","06.11"
"스마일 라식 2년차 투기종목 대회 나가도 되는거냐?","ㅄ ","221.156 ","06.11"
"최홍만은 프로레슬링이 적성인데 왜 저러","ㅇㅇ ","114.203 ","06.11"
"최홍만 동굴목소리 멋지다","ㅇㅇ ","222.108 ","06.11"
