"dc_title","dc_writer","writer_ip","dc_date"
"10분 동안 위도우 일대일 해주실 분?","윤원우 "," ","06.11"
"갤 잘못썼네","공감독학스프자힐 "," ","06.11"
"갬하실분","픞프픞 "," ","06.11"
"갤하실분","픞프픞 "," ","06.11"
"서버털림? 아메리카 접 안되는데","손딜 "," ","06.11"
"한국인임라면피파해야지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","너내집좃냥이 ","223.39 ","06.11"
"갑자기자리야하고싶다","ㅇㅇ ","182.172 ","06.11"
"갬하실분","픞프픞 "," ","06.11"
"182운지기원5027161519207일차","너내집좃냥이 ","223.39 ","06.11"
"에휴나빼고갬하는레전드들","망작 "," ","06.11"
"앙앙ㅇ앙ㅇ앙앙앙앙앙ㅇ앙앙앙앙앙앙앙앙ㅇ앙앙ㅇ앙앙앙ㅇ앙앙아","너내집좃냥이 ","223.39 ","06.11"
"기분 좆같으면 어캐 품??????????","윤원우 "," ","06.11"
"오늘 열한시에서 열한시 반 사이에 저랑 파쿠르 하기로 한분?","에비츄 "," ","06.11"
"갬하싈분","픞프픞 "," ","06.11"
"껨할싸람없서?","망작 "," ","06.11"
"하루종일 도배 달리던 새끼 어디감 ?","윤원우 "," ","06.11"
"오늘두 겜못했어","겨울(124.58) "," ","06.11"
"갬하실분","픞프픞 "," ","06.11"
"오늘진짜할겁다","ㅇㅇ ","182.172 ","06.11"
"패작할사람","ㅇㅇ ","122.36 ","06.11"
"갬하싈붇","픞프픞 "," ","06.11"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아시발존나웃기누ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","너내집좃냥이 ","223.39 ","06.11"
"지금일어남 ㅅㅂ","그사 ","210.179 ","06.11"
"개씨발 애미뒤진 시험기간 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","윤원우 "," ","06.11"
"너내집고양이댈래웅웅ㅇ웅웅웅웅웅ㅇ웅ㅇ웅ㅇ웅ㅇ웅웅ㅇ웅ㅇ","너내집좃냥이 ","223.39 ","06.11"
"움움움움움움움움움잼미보면서힐링해야지움움움움움움움움움","너내집좃냥이 ","223.39 ","06.11"
"독서실 옆자리에서 옵갤 눈팅하는놈 누구냐?","ㅇㅇ ","223.39 ","06.11"
