"dc_title","dc_writer","writer_ip","dc_date"
"matlab에서 edit text에 입력한 내용을 파일로 생성가능한가요?","ㅇㅇ ","211.230 ","06.11"
"농어촌 개꿀아님?ㅋㅋㅋㅋㅋㅋ","ㅂㅅ "," ","06.11"
"웹개발하다가 게임개발로 넘어갈수있음?","ㅇㅇ ","183.101 ","06.11"
"그냥 자야겟다 ㅇㅇ","포봄 "," ","06.11"
"전세계 스마트폰 점유율 순위 TOP 20","나도개발자 ","121.190 ","06.11"
"포봄아 호스팅업체 들어가서 일하면 아키텍쳐 공부할수잇지않을까&gt;?","피에로쨘 "," ","06.11"
"오늘은 big problem 해결햇으니 시마이한다","피에로쨘 "," ","06.11"
"암만 기술 좋아봐야 돈 못 벌면 좆망인데","포봄 "," ","06.11"
"포인터에서 ""가리키다"" 가 와닿지가 않는데","ㅇㅇ ","175.192 ","06.11"
"자바 tcp로 웹서버 만들면 스카웃 되겠냐","포봄 "," ","06.11"
"소프트웨어 아키텍처를 경험해볼 그런 회사 어디 없나","포봄 "," ","06.11"
"내가 생각해도 내 생활패턴 병신같다","ㅇㅇ ","59.14 ","06.11"
"12시 전까지 뭐하다가 잠자지","포봄 "," ","06.11"
"톰켓 계쏙뒤지는 현상해결함","피에로 ","110.47 ","06.11"
"C 언어 포인터 질문","첵스첵스초코볼 "," ","06.11"
"파이썬 자료구조 알고리즘","ㅇㅇ ","222.121 ","06.11"
"자바 자료구조책추천좀","ㅋㅋ ","121.163 ","06.11"
"진짜 톰캣뒤짐 문제 누가좀해결좀해줘라 ㅠㅠ","피에로 ","110.47 ","06.11"
"컴공하면 게임핵만들수잇나요?","ㅇㅇ ","122.35 ","06.11"
"비주얼 스튜디오 안 좋나요;;","ㅇㅇ ","121.189 ","06.11"
"일본지역에서 코노하보다 싼 호스팅잇으면알려줘라","피에로쨘 "," ","06.11"
"안드로이드 스튜디오 transition 예제가 너무 없어요 ㅠㅠ","ㅇㅇ ","125.184 ","06.11"
"책 다팔려고 업로드중 ㅋ","ㅇㅇ ","175.223 ","06.11"
"플레이 메이커에서 Scroll Rect가 안먹혀요..","dd ","49.142 ","06.11"
"iwinv 쓰는애있냐 ? 있으면 답변좀 vps 관련","ㅇㅇ ","119.192 ","06.11"
"성욕에 휘둘리지마라","ㅇㅇ ","211.246 ","06.11"
"구로쪽에 점심시간만되면 눈이즐거운.eu","피에로쨘 "," ","06.11"
"디지털논리회로 1장에 불대수랑 카르노맵이 재일어렵던데","bluepick "," ","06.11"
"요즘 배꼽티가 유행이냐?","신이라불리는자 "," ","06.11"
"정액을 배출하니깐 시원하다","ㅇㅇ ","211.246 ","06.11"
"프리에 좀 친한 분들하고 일하다보니 야근은 안하는데...","ㅇㅇ ","221.138 ","06.11"
"이런 업무환경 어떠냐? ","소주 ","223.38 ","06.11"
"프로그래밍 관련해서 디지털 논리 중요해요 ?","spwudsk "," ","06.11"
"쓸데없이 클래스던 변수던 존나 싫음","ㅇㅇ ","124.57 ","06.11"
"파이썬이 글케쉽냐?","ㅇㅇ ","110.70 ","06.11"
"근데 크랙이나 키젠같은거 만들어서 배포하는 이유가 뭐임??","ㅇㅇ ","45.32 ","06.11"
"니들도 야근중이냐?","소주 ","223.38 ","06.11"
"제제어서야 코딩 - 롯데리아 깊티 딜 볼거야?","ㅇㅇ ","115.136 ","06.11"
"컴활 정보처리기사도 없는놈이 뭔 프로그래밍이냐 ㅋㅋㅋㅋ","ㅋㅋ ","218.101 ","06.11"
"깃설치했는데 안드로이드에서 왜안되죠?ㅠㅠ","ㅇㅇ ","125.184 ","06.11"
"니 인생이 미래인데","ㅇㅇ ","121.163 ","06.11"
"생활코딩 보면 느끼는게 너무 기준이 높음","ㅇㅇ ","175.113 ","06.11"
