"dc_title","dc_writer","writer_ip","dc_date"
"재벌에붙었다 정권에붙었다 하는 전형적인 기생충여배우","ㅇㅇ ","65.49 ","06.11"
"[유노윤호갤러리]&#x2764;6.12(수) Follow&#x2764; 이벤트 홍보왔어요!(설쉬)","훠바라기 "," ","06.11"
"지누 섬출신이라","ㅇㅇ ","223.62 ","06.11"
"몇일 귀신같이 조용했던 이유가 있음","ㅇㅇ ","223.62 ","06.11"
"꺼","ㅇㅇ ","175.223 ","06.11"
"이게봐로 재업하라고 지랄하는 이유지 악개타령 시작하려고 ㅅㅂ 과학이다","ㅇㅇ ","222.233 ","06.11"
"갤에 자꾸 몇없다는데","ㅇㅇ ","223.62 ","06.11"
"갤주 갓디다스 짤 달고 어그로 끄는 년","ㅇㅇ ","223.39 ","06.11"
"다년간 팬질하면서 신물났던거","짜증난다고 ","223.38 ","06.11"
"개념에 ㅂㅅ글 하나더 있다 신고한번씩 하자","ㅇㅇ ","223.39 ","06.11"
"위너갤좀 잃어라 ㅅㅂ아 남의개념 집착질 쩔 ㅅㅂ","ㅇㅇ ","223.62 ","06.11"
"집가는데 존나 무서워","ㅇㅇ ","223.33 ","06.11"
"김찌누 진짜야","ㅇㅇ ","223.62 ","06.11"
"내글도 개념좀","나는나 ","223.38 ","06.11"
"갤알바 베트남 사람이라 무슨 사진 올리면 열받는대","나는나 ","223.38 ","06.11"
"자야겠다","ㅇㅇ ","223.38 ","06.11"
"빨리자라","ㅇㅇ ","223.38 ","06.11"
"취케팅 12시15분 부터 5분 간격으로 궈궈","ㅇㅇ ","211.36 ","06.11"
"근데 넘 커엽지 않냐?","하나님은살아계심 ","223.38 ","06.11"
