"dc_title","dc_writer","writer_ip","dc_date"
"앤겜에서 캡이 핌 입자 4개를 가져간 이유는 뭘까","ㅇㅇ ","211.203 ","06.02"
"가오갤 초반 피터랑 싸울 때 가모라가 봐준 거지?","ㅇㅇ ","223.33 ","06.02"
"아이언맨1부터 엔드게임까지...","ㅇㅇ ","121.139 ","06.02"
"가모라는 타노스가 얼마나 센줄 제대로 모름?","ㅇㅇ ","61.82 ","06.02"
"평행세계가 한 두개가 있는 게 아닌 거 아님?","ㅇㅇ ","61.82 ","06.02"
"매그니토 헬멧 특수소재임?","ㅇㅇ ","211.184 ","06.02"
"고양이가 눈깔 할퀴어서 애꾸된거 욕먹는 이유는","닉퓨리 ","223.38 ","06.02"
"어벤져스가 드래곤볼 베낀거 맞지??","전팔 "," ","06.02"
"애미뒤진 좆씨버러지들 뒤지지도 않고 깝치노","ㅇㅇ ","27.35 ","06.02"
"테이저페이스가 그렇게 웃기는 이름임?","ㅇㅇ ","61.82 ","06.02"
"우리나라 사람들은 이상함","ㅇㅇ ","1.251 ","06.02"
"고스트라이더 창조주는 누구임?","ㅇㅇ ","116.126 ","06.02"
"캡틴마블 무슨시발 ㅂㅅ같은년을썼네","ㅇㅇ ","58.230 ","06.02"
"오블리비언재밋냐","아이언맨 "," ","06.02"
"기생충 썸녀랑봐도 돼냐??","ㅇㅇ ","175.223 ","06.02"
"파워스톤 완벽히 컨트롤하려면 어느정도부터 가능하냐?","ㅇㅇ ","61.82 ","06.02"
"배대슈 너무 아깝다","휴대폰은삼성 "," ","06.02"
"캡마 스타포스는 속편에서 동료로 나올까?","ㅇㅇ ","223.33 ","06.02"
"이렇게된이상 캡마에 나온 닉퓨리는 가짜닉퓨리라고 하자","ㅇㅇ ","125.177 ","06.02"
"요즘 하늘날라다니는 꿈 자주꾸는데","ㅇㅇ ","175.223 ","06.02"
"몇달뒤 영화대영화","방밀 "," ","06.02"
"아 먼지된 사람만 돌아오는거 존나 찝찝하네","ㅇㅇ ","110.12 ","06.02"
"난 마블 단독영화들 중에 가오갤 시리즈가 젤 좋더라","ㅇㅇ ","61.82 ","06.02"
"마블 진짜 설붕이 작렬한만한 요소는 우주쪽에 있긴하지","ㅁㅁ ","122.44 ","06.02"
"방사능 6단강화 고질라 vs 분노상태 룬킹 캡틴플래닛","ㅇㅇ ","223.33 ","06.02"
"인건 타노스vs피닉스포스 거산사 누가이길까","ㅇㅇ ","175.235 ","06.02"
"근데 진지하게 카빌 슈퍼맨이 풀스톤 타노스 잡을 수 있냐?","ㅇㅇ ","59.22 ","06.02"
"언냐들 아직도 토니랑 캡이랑 똥꼬섞는거 좋아하냐 ","ㅇㅇ ","175.223 ","06.02"
"야 시발 이거뭐냐","ㅇㅇ ","183.109 ","06.02"
"디시가 흥행으로 망한적은 없지않나?","ㅇㅇ ","59.21 ","06.02"
"미국 겜인식 안좋냐?","ㅇㅇ ","116.84 ","06.02"
"그냥 아무 우주 가서 자고있는 토니 납치해 오면 안되나?","ㅇㅇ ","223.33 ","06.02"
"앤겜 블팬 에너지방출은 꽤 괜찮았는데","ㅇㅇ ","211.203 ","06.02"
"엠마스톤 그 슬픈개구리랑 합성해놓은짤","ㅇㅇ ","211.184 ","06.02"
"사무엘 잭슨이 70세였냐??","plusAlpha "," ","06.02"
"다크 피닉스 재밌어보이냐 아님 아포 꼴 날거 같냐?","공없 ","125.252 ","06.02"
"샤잠은 가족영화라긴 좀 그렇지 않냐","ㅇㅇ ","175.223 ","06.02"
"히붕이들 아스달 보러갔냐","ㅇㅇ ","125.189 ","06.02"
"둠패트롤 나오면 넷플릭스 결제할건데","그웬스테이시 "," ","06.02"
"엠마 스톤이 악녀 연기에 일가견이 있긴 하지만","ㅇㅇ ","223.39 ","06.02"
"오코예는 시빌워때부터 나타샤랑 맞짱 깠는데 ","ㅇㅇ ","114.129 ","06.02"
"페니파커와 실크는 이제 똥송쿼터제로 묶어파는 수밖에 없지","그웬스테이시 "," ","06.02"
"캡틴마블 더빙판으로 함 사볼까","ㅇㅇ ","211.58 ","06.02"
"닥피 걱정되는 이유","ㅇㅇ ","223.39 ","06.02"
"엑스맨 다크피닉스 기대해도되는거냐","ㅇㅇ ","112.170 ","06.02"
"캡틴마블 유튜브에 뜸 ","ㅇㅇ ","211.58 ","06.02"
"스파이더맨 TAS 어릴때 더빙으로 본 사람 있냐?","AntiFog "," ","06.02"
"밀리바비브라운 약간 요한슨 어린시절이랑 닮은듯","그웬스테이시 "," ","06.02"
"근데 구스어디감?","아이언맨 "," ","06.02"
"(기생충 스포) 히갤에 가끔 올라오는 이상한 짤 있잖아","ㅇㅇ ","1.240 ","06.02"
"베놈이 아이언피스트나 배트맨과로빈 만큼 재미있는데","그웬스테이시 "," ","06.02"
"베놈 재미있는데 왜 욕하냐","그웬스테이시 "," ","06.02"
"캡마 크리 피 수혈받았다고 크리가 되는건 애바 아니냐","ㅇㅇ ","211.58 ","06.02"
"에보니 모가 메인 빌런인 영화 있었으면 좋았을 듯","ㅇㅇ ","1.226 ","06.02"
"태서렉트 원래 코스믹큐브로 하려다 바꾼거라서","그웬스테이시 "," ","06.02"
"그러고보면 지금 까지 마블영화에서 테서렉트 만한","공없 ","125.252 ","06.02"
"아이언맨은참안타깝다","ㅇㅇ ","1.238 ","06.02"
"이번 고지라 베놈이랑 비교하면 어떰?","ㅇㅇ ","222.116 ","06.02"
"아니 테서렉트는 대체 뭐임??","ㅇㅇ ","175.223 ","06.02"
"오코예는 나타샤랑 만난 적있었너?","ㅇㅇ ","221.154 ","06.02"
"인워노스도 어벤져스가 발악하는걸 보고 우주 부술려했을까","ㄴㅇㄱ ","180.229 ","06.02"
"캡마 페미색 있긴하네","ㅇㅇ ","175.223 ","06.02"
"아이언맨 살리는 방법은 사실 굉장히 간단함","ㅇㅇ ","61.82 ","06.02"
"고질라2014에선 고질라 등장 자체는 적었어도","그웬스테이시 "," ","06.02"
"캘리포니아랑 뉴욕은 이제 백인 인구가 절반도 안되더라","ㅇㅇ ","221.164 ","06.02"
"야 근데 캡마 설정충돌은 어케해결되는거냐","ㅇㅇ ","175.223 ","06.02"
"엔겜 꿀잼","ㅇㅇ ","124.194 ","06.02"
"좋은 힐링영화 없냐","에안나니무쉬 "," ","06.02"
"1400만개가 존나 신의한수긴 한듯","루이 "," ","06.02"
"근데 닉퓨리 상관은 어케 된걸까","ㅇㅇ ","125.176 ","06.02"
"헬보이가 재미있는 점","에안나니무쉬 "," ","06.02"
"캡마1보단 엔겜에서 캡마가 더 이쁘게 나왓네","ㅇㅇ ","218.236 ","06.02"
"토니 안죽고 이기는 방법 있지","ㅇㅇ ","58.125 ","06.02"
"타임스톤으로 정확히 토니만 돌릴 수도 있긴 함","ㅇㅇ ","61.82 ","06.02"
"혹시 고양이?","ㅇㅇ ","125.176 ","06.02"
"캡틴마블이 토르2급이냐?","ㅇㅇ ","61.82 ","06.02"
"아바타 vs 엔겜","ㅇㅇ ","182.211 ","06.02"
