"dc_title","dc_writer","writer_ip","dc_date"
"9급이 외제차산다고 여자들이 거들떠나볼줄아나","ㅇㅇ ","118.40 ","06.04"
"중고첫차로 탈만한 차가 뭐임?","ㅇㅇ ","116.124 ","06.04"
"아빠 차 벤틀리다","ㅁ ","125.184 ","06.04"
"e300 계기판 아날로그 충격이네","ㅇㅇ ","182.219 ","06.04"
"젠쿱 2.0 구매 후 정비 확인 좀...","ㅋㅋㅋㅋㅋ ","1.254 ","06.04"
"고속버스기사나 화물차들은 운전이 체질인거냐??","ㅇㅇ ","175.223 ","06.04"
"와 씨발 튜닝 1도안한 젠쿱봄","ㅇㅇ ","223.62 ","06.04"
"32살 첫차입니다. 이거 중에 어떤 차 살까요?","ㅇㅇ ","175.223 ","06.04"
"형들지금 5만원만 빌려줄수있는사람있어?전번신분증사진 다보내줄게...","고무맛초콜릿 "," ","06.04"
"에어컨 가스 충전해도 별로 안시원한데 뭐가 문제임?","ㅇㅇ ","117.111 ","06.04"
"4시간운전 휴게소 한번이면 씹가능?","ㅇㅇ ","1.224 ","06.04"
"남자 좆 16cm면 여자로 치면 몇컵이냐","ㅇㅇ ","175.113 ","06.04"
"지금나온 2020k5 요게 풀체인지임? 아님 내년에나옴?","ㅂㄷㄱㄷ ","175.223 ","06.04"
"바람만 안불면 지상에 대도 상관없는데","ㅇㅇ ","222.236 ","06.04"
"폭우때 고속도로 거북이처럼 타야함??","ㅇㅇ ","175.223 ","06.04"
"스팅어 풀옵으로 뭐 살거임","ㅇㅇ ","223.62 ","06.04"
"30살 넘은 여자 스킨쉽 속도 빨리나가도 됨?","ㅇㅇ ","121.66 ","06.04"
"폭우 장거리 개꿀아니냐?","ㅛㅛ뎌 ","121.154 ","06.04"
"e300 이거 중형차로 분류되냐?","ㅇㅇ ","119.17 ","06.04"
"금요일 대체 차를 어디다 주차해둬야 하는거냐","ㅇㅇ ","222.236 ","06.04"
"의사 돈많이 번다고하면 와 의사하고 싶다기보단","ㅇㅇ ","223.33 ","06.04"
"모하비 필요이상 좌음 인터넷 반응에서 욕먹는 이유좀","ㄷ ","221.141 ","06.04"
"중형차랑 즌증형 유지비 소득세 보험료이런거 많이 차이나므?","ㅇㅇ ","119.17 ","06.04"
"티볼리 이쁘단 생각처음 느낌","ㅇㅇ ","223.62 ","06.04"
"3박4일 서울 교육가는데 자차 vs 머중","ㅇㅇ ","175.223 ","06.04"
"내친구 아방타는데","ㅇㅇ ","124.59 ","06.04"
"알비봭","멍찰스 ","223.62 ","06.04"
