"dc_title","dc_writer","writer_ip","dc_date"
"작곡을 하는데","ㄹㄹㄹ ","211.58 ","06.04"
"자작곡 올린다2","dd ","14.37 ","06.04"
"베이스 소리 질문ㅎㅎ","ㅇㅇ ","182.227 ","06.04"
"베베프로 20 세일","지농이 "," ","06.04"
"이제 인정한다 우매함의 봉우리를 이제 지난듯","cyan :) "," ","06.04"
"큐베5도 무시못하겠는게 (펙트)","cyan :) "," ","06.04"
"맥프로 기본형은 원래 300정도 아니였냐?","ㅇㅇ ","14.5 ","06.04"
"왜 념글에있던 노무현사진 지워졌냐","ㅇㅇ ","60.45 ","06.04"
"새로운 맥프로 쓰임새를 계산해 봤읍니다.","탱구 ","58.126 ","06.04"
"장비 다 팔아서 비트코인 풀매수 했다","ㅇㅇ ","121.139 ","06.04"
"로직 vs 에이블톤 뭐가 돈 더 적게 들어가나여","ㅇㅇ ","61.84 ","06.04"
"동양적인거 ? 임레이꺼 들어봐라","ㅇㅇ ","121.139 ","06.04"
"nl 할인 도와줘라 형님들","지농이 "," ","06.04"
"(커버곡)니어-Song of the Ancients - Atotement","캡틴마블 ","118.127 ","06.04"
"확실히 크랙으로 다운받은건 별로 애착이 안간다","ㅇㅇ "," ","06.04"
"컴플리트 여름할인 공홈에 떴다","Dd ","122.40 ","06.04"
"이정도면 작갤 원탑 가능?","ㅇㅇ ","182.215 ","06.04"
"강아지주인이 의뢰해서 만든노래","신나 ","112.151 ","06.04"
"2000년대초반 동양적인비트애기한게 이런겁니다","밍켈리 ","178.128 ","06.04"
"C장조에서","ㅇㅇ ","125.142 ","06.04"
"fl에서 오토메이션 값 스무스하게 올리는 법 없음?","ㅇㅇ ","110.70 ","06.04"
