"dc_title","dc_writer","writer_ip","dc_date"
"나뚜루 민초 먹고싶다 ㅠ","ㅇㅇ ","211.205 ","06.04"
"말로는 민초 혐오해도 주면 잘먹을거면서 ㅋㅋ","asdff "," ","06.04"
"혀의 성능이 떨어지니까 치약하고 구분을 못하지 ㅉㅉ","ㅇㅇ ","223.38 ","06.04"
"민트 맛이랑 치약 맛 구분 못한다는게","길리엄 "," ","06.04"
"민트는 메인이아니라 돋구아주는거임","유도동 ","223.38 ","06.04"
"민트충들은 양치질할때 어떻게참노","임시 "," ","06.04"
"살 빼면 콧대도 높아짐??","길리엄 "," ","06.04"
"살급하게 빼는법 약물x","ㅇㅅㅇ "," ","06.04"
"시발 민초고 나발이고...","105to89on6.31 "," ","06.04"
"민트혐오자들 그럼 다이어트할때 민트음식만 먹으면 되잖아","베리베리스트롱베리 "," ","06.04"
"지흡하면 지흡한 부위만 살 안찌고","ㅇㅇ ","211.205 ","06.04"
"배고픔을 느껴야 살이 잘빠지는거같다","땀내남 ","221.159 ","06.04"
"아 섹스하고싶다","ㅇㅇ ","122.46 ","06.04"
"그럼 니들이 딸기맛 치약을 써 이 씨부레새끼들아","베리베리스트롱베리 "," ","06.04"
"살빼고나서 성형해라 칼대던 쁘띠던 시술하고나면 1달간은 운동못해","ㅇㅇ ","223.33 ","06.04"
"어허 민트충들 말이많다","임시 "," ","06.04"
"뚱뚱이 성형 상담 가니까","ㅇㅇ ","211.205 ","06.04"
"민트콜라는 안나오냐?","ㅇㅇ ","121.178 ","06.04"
"살빠진거 체감될때 기분개좋음","끜끜 ","223.33 ","06.04"
"고구마는 밤고구마가 젤 맛있어","ㅇㅇ ","211.205 ","06.04"
"내가 생각하는 얼굴 마지노선","105to89on6.31 "," ","06.04"
"다갤은 평생 할만함","ㅇㅇ ","175.116 ","06.04"
"어휴민초충들","임시 "," ","06.04"
"왜 이 시간대에","길리엄 "," ","06.04"
"트레이너가 4개월동안 30키로 찌워서 같이 다이어트","ㅇㅇ ","61.73 ","06.04"
"빨리 인바디하고싶다","끜끜 ","223.33 ","06.04"
"회식 많이 하는 직장인 분들한테 질문 있습니다.","ㅇㅇ ","121.178 ","06.04"
"바디나인닭은 왜케비싼거냐","살자88 "," ","06.04"
"닉언 미안한데 나하나만 좀물어봐도돼?","임시 "," ","06.04"
"헬장서 운동 존나 하는데 넘사 얼굴인 사람 보면 하기시러짐..","ㅇㅇ ","121.168 ","06.04"
"키 얘기 좀 그만하셈 ㅅㅂ","길리엄 "," ","06.04"
