"dc_title","dc_writer","writer_ip","dc_date"
"단발 어울리면 대부분 이뻐","양말12 "," ","06.04"
"못생긴한남들 자적자하는거 ㄹㅇ지겹다","ㅇㅇ ","211.243 ","06.04"
"내 주위 남자들 이상형은 다 똑같음","도요 "," ","06.04"
"성형조언좀해주라","ㅇㅇ ","106.102 ","06.04"
"대치 강남대성 서울대특별 인문반 이상원","파레긩 "," ","06.04"
"지잡대의 기준이 어디냐","냥냥 ","59.13 ","06.04"
"무쌍여자는 죄악이다 ","ㅋㅋㅋ ","121.175 ","06.04"
"지잡이 뭐 어때서!!!","ㅇㅇ ","115.143 ","06.04"
"이상적인 브이로그","양말12 "," ","06.04"
"난 무쌍 여자가 더 끌리던데 왜 다 쌍수하노","ㅇㅇ ","39.7 ","06.04"
"방학때 본가에서 디시질만 하면 개꿀이겠다","도요 "," ","06.04"
"잘생긴남친 놨두고 돈잘버는남자랑섹스함","ㅇㅇ ","211.36 ","06.04"
"아 애굣살필러 넣고 애교떨고싶다","양말12 "," ","06.04"
"성갤 새내기들 학교 잘 다니고 있음?","도요 "," ","06.04"
"본인말고 본인 와꾸를 사랑하셈","ㅇㅇ ","122.254 ","06.04"
"올해 학원다니고 고려대 이상못가면 뒤질꺼임","파레긩 "," ","06.04"
"오늘 처음 과팅 나갔는데 친근하게 생겼다는 소리 들었다","늘빈 "," ","06.04"
"낼부터 소고기에 햇반만 먹는다 ","힉힉호무리 "," ","06.04"
"갓기야 나랑 같이뒤지자ㅜㅜ","파레긩 "," ","06.04"
"여기에 어떻냐고 물어보는애들은 솔직히 얼평당하고싶은거지?","ㅇㅇ ","175.223 ","06.04"
"황마담 글 왜지웠노 이글 필독 @","상폐한남충 "," ","06.04"
"아근데 이마 필러는 진지해","도요 "," ","06.04"
"섹스세번함","ㅇㅇ ","211.36 ","06.04"
"도요도 아다지?","ㅇㅇ ","110.70 ","06.04"
"와 념글 뭔데","도요 "," ","06.04"
