"dc_title","dc_writer","writer_ip","dc_date"
"논산훈련소에서 훈련받을때 공익 생활관 가서 충격먹었었다","우와미친 ","118.36 ","06.05"
"형들 제발 좀 살려줘","ㅇㅇ ","211.35 ","06.05"
"조용한 후임 들어오면 좆같음?","ㅇㅇ ","180.69 ","06.05"
"교회형 귀가관련 질문이여","ㅇㅇ ","116.123 ","06.05"
"직계가족병 1차 합격했는데 떨어질수도 있어?","ㅇㅇ ","175.223 ","06.05"
"입대하기전에 폰 바꾸는 사람있음?","ㅇㅇ ","222.237 ","06.05"
"친구가 연락이 아예 끊겼는데","ㅇㅇ ","117.111 ","06.05"
"논산훈련소 수료식때 질문","앙기모띠 ","119.206 ","06.05"
"님들 7사단 괜찮아요?","ㅁㅁ ","221.167 ","06.05"
"오늘 재검판정 받은거 허리디스크 mri 찍었는데","ㅇㅇ ","125.132 ","06.05"
"찐따들 군입대 하면 운명 알려줌","ㅇㅇ ","39.7 ","06.05"
"98 남자애는 다 걸레다.진짜다. 좆걸레 창놈이다.","남고.생자.댕이빨고 ","110.70 ","06.05"
"기동대 안전한가요?","ㅇㅇ ","218.159 ","06.05"
"현역들한테 던지는질문","ㅇㅇ ","14.33 ","06.05"
"군인 특) 콧노래 존나 부르고 다님","ㅣㅣ ","175.223 ","06.05"
"근데 이제 문재인대통령이","ㅇㅇ ","223.39 ","06.05"
"사회성 떨어지고 말도 제대로 못하는데 군생활 제대로 할수있나요?","ㅇㅇ ","14.37 ","06.05"
"교회형 현부심 질문좀","ㅇㅇ ","175.223 ","06.05"
"군대에 보직이 뭔 필요냐","ㅇㅇ ","211.36 ","06.05"
"죽고싶다","청초리 "," ","06.05"
"이런세끼는 어떰","ㅇㅇ ","211.36 ","06.05"
"관심병사 vs 오타쿠 ","ㅇㅇ ","58.140 ","06.05"
"첫날 자대배치 받으면 뭐하나요?","ㅇㅇ ","182.221 ","06.05"
"총기정비병이 그렇게 별로임?","ㅇㅇ ","221.152 ","06.05"
"고만 좀 징징거려","ㅇㅇ ","31.13 ","06.05"
"식사집합안하고 결식하니까 좀 살꺼같다","ㅇㅇ ","223.38 ","06.05"
"훈련하다가 모르고 차로 사람치여서 죽으면 어케되ㅡㄴ거임?","ㅇㅇ ","14.37 ","06.05"
"폰 써서 좋긴한데 폰 없던때로 돌아가고 싶다","ㅇㅇ ","175.223 ","06.05"
"아니 블루투스 왜 못쓰게하냐 ","ㄱㄹㅂ ","106.102 ","06.05"
"취사병님들 수면시간 질문좀","ㅇㅇ ","223.62 ","06.05"
"군대에서 나처럼 돼지 된 사람잇나","무리뉴콘테사리 "," ","06.05"
"군 스마트폰쓰다걸리면 질문","줘같노 ","121.187 ","06.05"
"9월입대 수의병 신청하신분 있나여","ㅇㅇ ","221.141 ","06.05"
