"dc_title","dc_writer","writer_ip","dc_date"
"±Ùµ¥ µ¿È£ÀÎ Á¤µµ¸¸ ÇØµµ Ä«º»ÇÁ·¹ÀÓ °­¼ºÂ÷ÀÌ ´À²¸Áö³Ä?","¤·¤· ","183.97 ","06.05"
"´ë´Ï.. ¸ÅÄ«½ºÅ³.. ¾Æµð´Ù½º..","¹ÇÆµ¾ÆÀç "," ","06.05"
"¿À´Ã ¹ö½º¾ÆÀç ¶¯Àâ¾Ò³ë","¤·¤· ","211.107 ","06.05"
"Àüº¸¶÷ ¾ó±¼ ¿ÖÀÌ·¯³Ä","¤·¤· ","211.107 ","06.05"
"¾Æ´Ï ³»¸»Àº ½É¹ÚÀÌ ¾È¿À¸¥´Ù°í;;;","¤·¤· ","218.153 ","06.05"
"±¸°£Æò¼Ó 43¿¡ ÃÖ°í¼Ó 45 ½É¹Ú 175Á¤µµ Âï´Â ÄÚ½ºÀÎµ¥","¤·¤· ","218.153 ","06.05"
"±î¸£µð","¤·¤· ","117.111 ","06.05"
"¿ÀÅä¹ÙÀÌ¿ë Ã¼ÀÎÃ»¼Ò ÄÉ¹ÌÄÃ/·çºê·Î ÀÚÀü°Å¿¡ ½áµµ µÇ³Ä","¿ì¿ïÇÑÆäÆä "," ","06.05"
"ÇÈµµµé Å©·ç´Â ¿Öµå´Â°Å³Ä? ","¤·¤· ","175.211 ","06.05"
"½áº§·Î s3 µð½ºÅ©°¡ 8.75Å°·Î³×¤»¤»¤»","¤·¤§¤· ","116.42 ","06.05"
"±î¸£µð Àú¹ø¿¡ 5¸¸¿øÂ¥¸®µé ¾îµð¼­ ³­°Å³Ä?","¤·¤· ","211.36 ","06.05"
"¿ÀºÀ¸¸µÎ Â©¾îµð¼­ ÆÛ¿À´Â°Å³Ä","¤·¤· ","117.111 ","06.05"
"mtbÀÎµ¥ ¸ÅÀÏÆãÅ©³ª´Â°Ô °¡´ÉÇÑ°¡","¤·¤· ","210.106 ","06.05"
"°¶ Á×¾ú³×","¤·¤· ","223.39 ","06.05"
"ÀÚ°¶¿¡µµ ¾ËÄÝÁßµ¶ÀÚ ÀÕÀç????","3 0thoooÁØÀ§ ","117.111 ","06.05"
