"dc_title","dc_writer","writer_ip","dc_date"
"비트 떨어진다","ㄷㄷㄷㄷ ","219.248 ","06.06"
"놓치면 후회하는 개꿀 거래소","ㅇㅇ ","49.172 ","06.06"
"이더리움 몇년전에 700원이었던거 ㄹㅇ이냐","ㅇㅇ ","175.223 ","06.06"
"ㅂㅅ들아 지금 전재산풀매수해라","ㅇ ","116.39 ","06.06"
"SCV손절했다","삼어기 ","171.255 ","06.06"
"매수할타이밍이다","ㅇ ","116.39 ","06.06"
"좆같네","ㅇㅇ ","222.118 ","06.06"
"비트 인사 오지게 박네","브리큐 ","112.172 ","06.06"
"sv잘먹었다ㅋㅋ","아름다움 "," ","06.06"
"호재떳다","ㅇ ","116.39 ","06.06"
"집에 있었으면 숏 뿌리부터 쳤을텐데","ㅇㅇ ","180.64 ","06.06"
"접는다 시바꺼","ㅇㅇ ","223.62 ","06.06"
"역시 비트씹이다. 엔진탔는데 안떨어진다","김연자 ","49.170 ","06.06"
"크레이그 라이트 사토시로 판결","스캠이야하루히 ","58.120 ","06.06"
"그동안","ㅇㅇ ","110.70 ","06.06"
"아주 내려 찍는구나","ㅇㅇ ","122.36 ","06.06"
"모나코인 8만사토시  지금 - 얼마일까","24567 ","219.240 ","06.06"
"시발 바로청산당하네 개좆가갘넹","차트매매가 "," ","06.06"
"오늘도 열심히 파트너쉽 체결중인 코인","심장이조인다 "," ","06.06"
"형이 매수벽세우고 올려줄려고할때 왜안팔았냐  안사 이놈들아","잠수 ","183.109 ","06.06"
"아무리봐도 전저는 지킬듯 비트 930만원 ㅇㅇ","공주 ","121.184 ","06.06"
"형 1비트만 롱으로 50배 쳐본다 건투를 빌어줘라","차트매매가 "," ","06.06"
"패닉셀 시작했다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","히히 ","220.122 ","06.06"
"쿼크 픽준 업비트 새끼","ㅇㅇ ","175.223 ","06.06"
"손절 얼마나들 했는지 개돼지투표해보고싶다","ㅇㅇ ","1.227 ","06.06"
"SV 지옥가는거보니 짜릿하누!","ㅋㅋㅋㅋ ","211.211 ","06.06"
"내일 왠지 880볼것같은데","ㄷㄷ ","125.184 ","06.06"
"FNB패밀리!  첫번째 패밀리 &quot;피자마루&quot;를 소개합니다","loverduck "," ","06.06"
"먼저잔다","히랫 ","112.169 ","06.06"
"7700선 깨졌어","빗린이 ","116.255 ","06.06"
"저점 같은데 매수 해볼까","공주 ","121.184 ","06.06"
"4시간봉으로 베트맨 형상이 완료되야","ㅇㅇ ","223.38 ","06.06"
"먹고싶다 피자마루 FNB와 함께하네요","닭발 "," ","06.06"
"다단계, 가중치, 스캠에 속지 마라. 하지 마라.","채식주의자 "," ","06.06"
"비트에 영향을 안받으니","ㅇㅇ ","125.134 ","06.06"
"알트코인아직도 패닉셀안하노","ㅇ ","116.39 ","06.06"
"내 글좀 읽고 너네가 판단좀해줘라.","ㅇㅇ ","39.114 ","06.06"
"해외시세는 별반 다를게 없는데 왜이렇게 떡락하는거냐?","히히 ","220.122 ","06.06"
"BSV price  prediction  2019~2025","SV=bitcoin ","49.161 ","06.06"
"나다십색기","너참대다 ","223.62 ","06.06"
"솔브 611층 ㅜㅜ","ㅇㅇ ","211.230 ","06.06"
"트론 송금 속도가 원래 이렇게 느린거임???","1212 ","124.56 ","06.06"
