"dc_title","dc_writer","writer_ip","dc_date"
"감스트 계획)) 시청자 5만찍고 ㅈ망한 망준이한테 가서 선물주고 방종","ㄴㄴㅇㅇㄷㄷ "," ","06.06"
"감스트 그래도 봉준이 마지막에 선물 주려고 가겠네","ㅎ ","221.153 ","06.06"
"가축염퀴들 감스트케이거르고 봉준이방보고있네ㅋㅋ","ㅇㅇ ","118.38 ","06.06"
"근데 오늘 상렬이 쉬는날인데 만물 남견설이야,","와룡킹냄순 ","114.205 ","06.06"
"아 영호 어머니랑 같이 삼?","ㅇㅇ ","211.203 ","06.06"
"감스트 릴카집 도착하면 말해라","ㅇㅇ ","125.186 ","06.06"
"감케남 해도 봉준이 못이긴다 ㄹㅇ 팩트","ㅇㅇ ","112.169 ","06.06"
"남감일때 최고 시청자 찍는구나","ㅇㅇ ","223.62 ","06.06"
"케이가 이 상황벗어날수있는방법 제시한다 봉준이한테","ㅇㅇ ","115.88 ","06.06"
"확실히 김봉준 방송이 더 보기편함","ㅇㅇ ","223.33 ","06.06"
"이와중에 로렌이 승자야","ㅇㅇ ","121.186 ","06.06"
"갓ㅡㅡㅡㅡㅡ재ㅡㅡㅡㅡㅡㅡ윤 레전드방송 찍는다","ㅇㅇ ","175.223 ","06.06"
"김봉준 기획 게스트짭구 아닌거같은데 한팀은 있을거같은데","ㅇㅇ ","112.154 ","06.06"
"그냥 오늘 컨텐츠대전 한마디로..","나는야 봉퀴벌레 ","58.227 ","06.06"
"감스트 케이 합방 오늘도 폭망이네","ㅎ ","221.153 ","06.06"
"임선비 다쁘 둘만의 과학시간 지리노 여자언어","メメ "," ","06.06"
"감스트의검 야루미ㅈㄴ웃기네ㅋㅋㅋㅋㅋㅋ","ㅇㅇㅇ ","183.91 ","06.06"
"아니 유동들도 사람인데 재미가 있어야 들어가지 ㅋㅋㅋㅋㅋ","ㅇㅇ ","223.62 ","06.06"
"외질혜 썰린 개념글.http","ㅇㅇ ","118.223 ","06.06"
"가축염퀴씨발련들아 봉준이방에서 꺼져ㅋㅋㄱ","ㅇㅇ ","118.38 ","06.06"
"아니 봉준이방송 마지막게스트 감스트라고 ㅋㅋㅋ 100퍼임ㅋㅋ","ㅇㅇ ","112.161 ","06.06"
"오늘 스트가 재미없는 이유.EU","ㅇㅇ ","118.139 ","06.06"
"이제부터 봉남케감이다 ","ㅇㅇ ","223.62 ","06.06"
"감케이 vs 감남순 케미 뭐가 더 좋음? 투표 ㄱㄱㄱㄱㄱ","ㅇㅇ ","175.223 ","06.06"
"아니 남견들이 동네북이냐","ㅇㅇ ","223.39 ","06.06"
"보라의 제우스는 오늘 부로 사망입니다","ㅇㅇㅇ ","112.160 ","06.06"
"아무리그래도 보겸 슈기 400따리네  아프리카유투브 둘다잡는게","ㅇㅇ ","14.37 ","06.06"
"케이방송 2만 따리. 지금 감스트방에서 19000따리","ㅇㅇ ","121.159 ","06.06"
"봉프리카 인정합니다 ","ㅇㅇ ","223.62 ","06.06"
"중계 15만찍을땐 아가리 쳐닫고 버로우타고있더니 신났네 봉퀴새끼들 ㅋㅋ","ㅂㅋ ","211.194 ","06.06"
"ㅋㅋㅋ하꼬몰아서 넣어버리네 청자 빠지니깐","ㅇㅇ ","121.254 ","06.06"
"나락퀴들아 보라제우스 언급좀해줘라 ㅠㅠㅠㅠ","ㅇㅇ ","59.5 ","06.06"
"여자는 나이가 사기네. 다쁘가 어리니깐 확실히","ㅇㅇ ","210.183 ","06.06"
"와 좃준이방 게스트 3명 숨막히는데.. 4만명 보노 ㄷㄷ","ㅇㅇ ","110.35 ","06.06"
"3분뒤 로렌 터지는 시간이네요 ㅋㅋ","ㅇㅇ ","193.9 ","06.06"
"다쁘 여캠이냐????","333 ","58.77 ","06.06"
"성병견이 위장남견으로 봉준이 까는 이유","ㅍㅍ ","104.143 ","06.06"
"박소은 방송켰는데 제목이 &quot;당나귀 잡으러&quot; ㅋㅋㅋㅋ","ㅇㅇ ","222.97 ","06.06"
"ㅈ망준 마음 ㅈㄴ 약하노 각 메뉴에 불닭소스 두바퀴씩 돌려야지","ㄴㄴㅇㅇㄷㄷ "," ","06.06"
"짭구본 새끼들 웃긴건 스트방 안감","ㅇㅇ ","118.47 ","06.06"
"보라대통령은 김봉준이다","ㅇㅇ ","118.35 ","06.06"
"가축염퀴 씨발년들아 감스트케이방송 봐주라고 씨발ㅋㅋㅋ","ㅇㅇ ","118.38 ","06.06"
"다쁘가 이쁨? 토깅이가 이쁨?","ㅇㅇ ","125.182 ","06.06"
"류미니 언제 지코한테 끌려왓노 ㅋㅋ","ㅇㅇ ","222.112 ","06.06"
"2만도 깨졌노","ㅇㅇ ","211.229 ","06.06"
"릴카집 갔다가 상렬이 집가고 데리고 봉준이네 갈듯","ㅇㅇ ","223.131 ","06.06"
"제우스느 ㅈㅅㄴ 오늘 제우스 장례식이네","ㅇㅇ ","175.223 ","06.06"
"봉퀴새키들 신났네","ㅇㅇ ","61.84 ","06.06"
"ㅋ씨바 감스트 케이 또 방폭 ㅋㅋ 오늘만 2번째 ㅋㅋㅋ","ㅎ ","221.153 ","06.06"
"케이가 항상 조심스러워","ㅇㅇ ","175.223 ","06.06"
"스트형 피드백 방송이 더 꿀잼일듯","ㅇㅇ ","121.159 ","06.06"
"짭구 마지막에 쓰면 오히려 짬구끝나자마자 추락못막음","ㅇㅇ ","182.172 ","06.06"
"팬덤이 뭐라고 ㅠㅠ븅신들 좆노잼 방송 꾸역꾸역 보고잇네","ㅇㅇ ","129.232 ","06.06"
"로렌 저거 다 대본이냐 아님 흐름대로가는거냐 ㅋㅋ","ㅇㅇ ","125.132 ","06.06"
"솔까 봉준×남순 컨텐츠 짜서 꾸전히하면;","ㅇㅇ ","223.62 ","06.06"
"선비 스며들었노 이쁘긴해 씹 ㅋㅋ","メメ "," ","06.06"
"보라싸움에 킴성태 3만 역시 위풍당당하네 ","솔직하게 ","175.223 ","06.06"
"스트형 오늘 피드백 방송 기대해 ^^","ㅇㅇㅇ ","110.46 ","06.06"
"나락즈갤 폭동난거 그세력이냐 ? 감빡이냐 ?","ㅇㅇ ","218.153 ","06.06"
"남견들아 스트는 왜까는거냐 ㅡㅡ","ㅇㅇ ","223.33 ","06.06"
"봉준아 철구한테 머배웟노 결말이 레전드면","ㅇㅇ ","118.47 ","06.06"
"감스트 오늘 김봉준한테 찢겼나보네","ㅇㅇ ","118.35 ","06.06"
"짭구 나가니까 1만명 킬은 뭐냐?","ㅎ ","221.153 ","06.06"
"감케 선물 영호가 시청자 최대치 같은데","무상 ","218.236 ","06.06"
"갤 씹창내놓던 나락퀴들 다 어디갔냐 ㅋㅋㅋㅋ","ㅇㅇ ","59.5 ","06.06"
"가운데 조정석닮은애누구임?","ㅇㅇ ","124.62 ","06.06"
"로렌님 다쁘님이랑 말하면서도 손은 선비님 챙기네요","ㅇㅇ ","193.9 ","06.06"
"망준아 짭구를 마지막에 썻엇어야지 .....","ㄱ ","124.80 ","06.06"
"김봉준 씨발년아 야루미좀 부르지마 개새끼야","ㅇㅇ ","110.70 ","06.06"
"외질 인방갤 반응보고 아차싶은거지 진성가축들 아직 살아있다","ㅣㅣㅣㅣ ","116.46 ","06.06"
"김봉준 저새끼 씹선비 우결충 유입돼서 방송 병신같은거도 문젠데","ㅇㅇ ","117.111 ","06.06"
"로렌이 ㄹㅇ 재미지네 ㅋ","코붕이 ","59.16 ","06.06"
"킹케이는 확실히 솔방이 좋네","ㅇㅇ ","121.167 ","06.06"
"감스트 좃망한거 인정하는데 봉퀴들 너무 나대지는 마라","거순이 ","221.140 ","06.06"
"상렬아 빨리 봉주니집가라","ㅇㅇ ","61.255 ","06.06"
"망준이 짭구 빠지니까 시청자 다 빠지노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㄴㄴㅇㅇㄷㄷ "," ","06.06"
"아니 김봉준 마지막누구길래 짭구를 중간에 불렀냐.","탈남뚜니 "," ","06.06"
"ㅋㅋㅋㅋ 로렌방 헬파티나겄네","ㅇㅇ ","180.224 ","06.06"
"외질좌 여행지에서 눈 부릅뜨며 인방갤 개념글 저격중 ㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","61.255 ","06.06"
"보라제우스 언급좀 해줘라 ㅠㅠㅠ","ㅇㅇ ","59.5 ","06.06"
"봉준의 검 케이 감스트의 검 야루미 누가 이기고 있냐 ㅋㅋㅋ","ㅇㅇ ","110.70 ","06.06"
"지금 영호집에 누구 또 있냐?","ㅇㅇ ","211.203 ","06.06"
"짭구끝나니 뒤에애들 노잼됨 ㅋㅋㅋㅋㅋ","ㅇㅇ ","175.223 ","06.06"
"로렌은 지코업그레이드버전 같다","ㅇㅇ ","14.43 ","06.06"
"짭구 로렌이 신성이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","14.51 ","06.06"
"서로 첩자 한명씩 넣었네","ㅇㅇ ","116.126 ","06.06"
"썩어방송으로 19000찍었는데 감스트방송으로","ㅇㅇ ","223.62 ","06.06"
"짭구 마지막이엇음 ㄹㅇ 레전드엿겟는데","감재앙 "," ","06.06"
"빨리 마무리하고 최고 시청자딸이나 치자","ㅇㅇ ","180.66 ","06.06"
"외질 지도 인성 들킨거 뜨끔햇나보네 개념글썰고","ㅇㅇ ","175.223 ","06.06"
"준규형이 레알 불쌍하지","ㅇㅇ ","211.36 ","06.06"
"로렌방송이 젤 재밌는데?","ㅇㅇ ","223.39 ","06.06"
"외질혜글 썰렸네 ㅋㅋㅋㅋㅋㅋㅋ 개웃기네 ㅋㅋㅋ","킹봉준 ","203.152 ","06.06"
"선비랑로렌","우기 ","125.130 ","06.06"
"봉준아 짭구를 맨마지막에 집어넣엇야지 병신아","ㅇㅇ ","118.47 ","06.06"
"●남견들은 스트님안까요 까는거 다 봉퀴임ㅇㅈ","ㅇㅇ ","116.46 ","06.06"
"봉퀴들도 짭구빨이거 인정했구나 ㅋㅋ","ㅇㅇ ","27.119 ","06.06"
"남순 봉준이가 투탑이지 ㄹㅇ 잼나잖아","ㅇㅇ ","223.62 ","06.06"
"짭구가 마지막으로 했어야됨.. 짭구가니까 씨벌 노잼이네 ㅡㅡ","ㅇㅇ ","221.147 ","06.06"
"짭구카드 나가니 청자 15000킬 ㅋ","ㅇㅇ ","175.223 ","06.06"
"아니 짭구 나갓기고 12000킬이됫던대 뭐냐 ㅋㅋㅋ","ㄱ ","124.80 ","06.06"
"이영호 왤케 점점 라박이 닮아가냐","ㄹㄹ ","115.23 ","06.06"
"김봉준저새낀 게스트 등장순서 ㄹㅇ 병신같은게","ㅇㅇ ","112.154 ","06.06"
"개념글 외질글 썰렷다 ","ㅇㅇ ","211.186 ","06.06"
"외질 또 개념썰엇네 ㅋㅋ  아차싶엇니?","ㅣㅣㅣㅣ ","116.46 ","06.06"
"속보)봉준의 검 케이. 감스트방에서 첩자로 드러나","ㅇㅇ ","121.159 ","06.06"
"감스트 개새꺄 줘도 안줘도 노잼이니 그냥 선물줘라","ㅇㅇ ","211.229 ","06.06"
"김봉준 오늘 5만찍어 감케 바르고 꿀잠자겟네 ","ㅇㅇ ","175.223 ","06.06"
"젖견들 꾸역꾸역 김봉준 방송보넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","222.238 ","06.06"
"감스트 이제 보라한다는 소리 꺼내기나 해봐라ㅋㅋㅋㅋㅋ","ㅇㅇ ","118.35 ","06.06"
"짭구 빠지고 12000킬  ㅋㅋㅋ","ㅇㅇ ","223.62 ","06.06"
"근대 데체 케이는 합방하면 시청자수 줄어드는 이유가 뭐냐?","ㅎ ","221.153 ","06.06"
"오늘 성태 방송이 젤 잼있네","ㅇㅇ ","39.7 ","06.06"
"쩌리들 2명빼고 짭구를 마지막에 썻어야지","ㅇㅇ ","180.66 ","06.06"
"감스트는 꼭 봐라","ㅇㅇㅇ ","112.160 ","06.06"
"로렌방 - 임선비 다쁘 박소은 이지상 ㅋㅋㅋㅋ","ㅇㅇ ","193.9 ","06.06"
"지금 재밌는 방송:로렌.지코 방송","ㅇㅇ ","59.15 ","06.06"
"감스트 팬들 개착함","ㅇㅇ ","223.33 ","06.06"
"봉퀴들만 짭구빨 인정안하지 ㅋㅋ","ㅇㅇ ","27.119 ","06.06"
"봉준아 니는 영원히 철구 없으면 안되는구나 ㅇㅇ","ㅇㅇ ","116.120 ","06.06"
"썩견이들 남견방패 왜들지 오늘 남순이 휴방인데","ㅇㅇ ","115.88 ","06.06"
"필메는 아닥하고 모할려고 저기 갓냐","ㅇㅇ ","221.162 ","06.06"
"존나 루즈하다 진짜 5만에서 사람빠진거봐 ㅋㅋㅋㅋ","ㅇㅇ ","221.165 ","06.06"
"짭구는 시청자 5만 카드였는데 저걸 초반에 써버리네","ㅇㅇ ","61.255 ","06.06"
"근데 봉준이도 감이 좃도 없나 짭구를 엔딩에 넣어야지","ㅎ ","221.153 ","06.06"
"케이형 지금 속마음","명가대전 "," ","06.06"
"응 추락해도 느그10스트 ㅈ바름ㅎㅎ","ㅣㅣㅣㅣ ","116.46 ","06.06"
"감스트야 오늘은 인정하다 역대급 대참사 좃노잼이다","거순이 ","221.140 ","06.06"
"짭구를 제일 마지막에 쓰지ㅋ 아쉽다","ㅇㅇ ","175.116 ","06.06"
"로렌 야루미 합방했으면 좋겠네","ㅇㅇ ","223.39 ","06.06"
"감피모기 선물주는 것도 다 ㅈ망준 카피하네...","ㄴㄴㅇㅇㄷㄷ "," ","06.06"
"지상이 ㅋㅋㅋㅋ나 왜 부른거야 로렌형","メメ "," ","06.06"
"외질혜글 썰림 ㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","59.0 ","06.06"
"감스트속마음)ㅅㅂ피드백 오지게 받겠네.이제 광어는 버린다.","ㅇㅇ ","121.159 ","06.06"
"엄삼용 거박2일 나가면 진짜 잣대는거 아니겟지 ㅋㅋㅋㅋㅋ","ㅇㅇ ","125.130 ","06.06"
"런순 보다는 로렌이 방송감 좋지","ㅇㅇ ","118.219 ","06.06"
"짭구가고 만오천킬실화야?","ㅇㅇ ","39.120 ","06.06"
"봉준이 방 짭구 나가니까 1만 3천명이 증발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅎ ","221.153 ","06.06"
"박소은 지금 로렌한테 출발했따 리얼 개판 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","61.82 ","06.06"
"로렌방 박소은 출발 ㄷㄷㄷㄷㄷㄷㄷㄷ 염보성 재림이누 ㅋㅋ","코붕이 ","59.16 ","06.06"
"짭구를 너무 일찍 썻어","77 ","116.44 ","06.06"
"짭구 빠지니 시청자 계속 추락중 ㅋㅋ","ㅇㅇ ","27.119 ","06.06"
"남순 재평가노 남짭봉 6만 판짜고 봉짭구 bj10명 5만찍은거 보면 ㅋㅋ","ㅇㅇ ","122.42 ","06.06"
"씹ㅋㄱ외질 개념글 썰었노ㅋㅋㅋ","ㅇㅇ ","118.38 ","06.06"
"이영호도 케이급 집안 아니냐?","ㅇㅇ ","61.78 ","06.06"
"머냐 야루미나와서 만킬은머냐 ㅋㅋ","111 ","116.34 ","06.06"
"썩견들 지주인때문에 방송망하니","ㅇ ","211.36 ","06.06"
"정보 ) 보라제우스 메인방송 7만예정 ㅋㅋㅋ","ㅇㅇ ","59.5 ","06.06"
"오늘 방송 결과 - 케이만 나가리(난 라인 없다)","ㅇㅇ ","124.111 ","06.06"
"앵지 좆깅이련이랑 친해지고부터 이상해졌어","ㅇㅇ ","125.182 ","06.06"
"오늘로써 확정된것 한가지","명가대전 "," ","06.06"
"지금 감스트 욕하는건 젖쪽뿐이다","ㅇㅇ ","118.35 ","06.06"
"로렌방 소은이까지 오면 헬파노 이거","メメ "," ","06.06"
"박소은 학동역2번출구 출발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","14.43 ","06.06"
"짭구 파트너는 다른 비제이도 아니고 걍 김봉준 같은데?","0000 ","121.175 ","06.06"
"만킬하면 어쩌라고 남젖견들아 꺼져ㅋㅋ","ㅇㅇ ","175.116 ","06.06"
"좆루me 시발년 존나보기싫다","ㅇㅇ ","1.231 ","06.06"
"아니 시발 재미가있어야 봐주지 병신들인가 ㅋㅋㅋ","탈남뚜니 "," ","06.06"
"고정 2000따리 젖견 찾는거 썩견이냐?","ㅇㅇ ","175.223 ","06.06"
"짭구 유동 만명이나 되노ㅋㅋ","ㅇㅇ ","223.39 ","06.06"
"감스트는 이제 상렬이의 빈자리를 느꼇을듯","ㅇㅇ ","175.223 ","06.06"
"스트 4호랑 사귀네 ㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","59.86 ","06.06"
"짭구 나가고 만2천킬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","121.157 ","06.06"
"않이 오늘 성태 2.7만 뭐고 ㅋㅋㅋㅋㅋ","ㅇㅇ ","211.229 ","06.06"
"왜또 순무순무 해보시지 씨벌련들아 ㅋㅋ","ㅣㅣㅣㅣ ","116.46 ","06.06"
"■13000킬 ㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋㅋㅋㄱㅋㄱㄲㄱㅋㅋㄱㅋ","버기단1 "," ","06.06"
"속보)) 임선비 술먹기 시작함","ㅇㅇ ","125.182 ","06.06"
"인방 3년차로써 지금상황 분석해준다","ㅇㅇ ","121.147 ","06.06"
"동퀴가 대물이라서 그른가","와룡킹냄순 ","114.205 ","06.06"
"감스트 케이는 왜 저렇게 캐미가 안나오냐?","ㅎ ","221.153 ","06.06"
"9천킬 했는데 어쩌라고?","나락10망준 "," ","06.06"
"킹봉준 거의 500만원 적자인듯ㅜㅜ","ㅇㅇ ","175.116 ","06.06"
"이영호는 확실히 봉준보다 감스트를 더 좋아하는듯","ㅇㅇ ","211.203 ","06.06"
"로렌이 대가리 작은거냐 옆에 있는애들이 머갈통이 큰거냐","ㅇㅇ ","183.105 ","06.06"
"씨발 어제보다 더 재밌노 임선비 개빡치는거 개웃기노","ㅇㅇ ","14.43 ","06.06"
"와 좆망배그 못이기는건 좀 충격이네","ㅇㅇ ","59.5 ","06.06"
"벌써 토마토 앵지한테 홍대 얘기하네 씹","ㅇㅇ ","223.38 ","06.06"
"봉준이방송=갑질 방송","ㅇㅇ ","117.111 ","06.06"
"남견들 갑자기 태세전환해서 스트까려고 하노 ㅋㅋㅋㅋ","ㅇㅇ ","1.236 ","06.06"
"감스트 케이가 봉준이 매운푸파 하러 올까?","ㅇㅇ ","119.202 ","06.06"
"본인은 분명 킹남순인거 말했다 킹봉준 이새끼야","ㅇㅇ ","203.226 ","06.06"
