"dc_title","dc_writer","writer_ip","dc_date"
"잘생기고 돈많고 공부를 잘해야 초미녀를 사귄다!","ㅇㅇ ","124.53 ","06.06"
"진지) 꽃뱀은 외모랑 무관하냐?","ㅇㅇ ","220.87 ","06.06"
"린필드 i5 760 무료나눔하면 쓸사람?","ㅇㅇ ","116.127 ","06.06"
"좆병신아닌이상 컴팔이한테 사기당하는경우없지않냐","ㅇㅇ ","58.237 ","06.06"
"570은 사파이어 아닌이상 신품사기 아깝지않음?","ㅇㅇ ","121.137 ","06.06"
"인등이들 보고 있노 이제 다음달이면 라이젠 출시임 ㅋㅋㅋ","ㅇㅇ ","14.54 ","06.06"
"상단쿨러 장착하는거 난이도 어떠냐","ㅇㅇ ","125.181 ","06.06"
"지금까지 라이젠 꿈 검색 결과","ㅇㅇ ","222.109 ","06.06"
"이엠텍 쇼핑몰엔 왜 rx 570밖에없냐?","고영록 "," ","06.06"
"190짜리 견적 바꿀거 있을까요?","ㅁㅈㅈㅈ ","221.139 ","06.06"
"돈많은사람은 컴 한번맞추고 걍 쓰는데","ㅇㅇ ","104.143 ","06.06"
"컴퓨터 업글하려는데 업체에 맡기면 좆됌?","ㄱㄱㄱ ","117.111 ","06.06"
"씹덕 vs 일베충 하나랑반드시 친구가되야한다면?","ㅇㅇ ","116.127 ","06.06"
"낙뢰가 파워에 악영향을 끼쳤다면","몰큘 "," ","06.06"
"1년 쓴 gt1030 있는데","ㅇㅇ ","210.124 ","06.06"
"게임할때 꼭 풀옵고집하는새기있음?","ㅇㅇ ","58.237 ","06.06"
"본인짱만 10대노?","후예다정 "," ","06.06"
"내 노트북 평가 및 추천 부탁드림돠","송도솨이돠 ","211.235 ","06.06"
"일베충은 싫은더 일베는 웃기면 뭐임?","ㅇㅇ ","116.127 ","06.06"
"30세 안철수입니다, 암등입니다","ㅇㅇ ","211.207 ","06.06"
"여기새끼들 평균연령이 30대이상같은데 맞음?","ㅇㅇ ","116.127 ","06.06"
"왤케 심박수가 높지?","ㅇㅇ ","121.190 ","06.06"
"팀뷰어말고 원격조작 프로그램 괜찮은거 없음?","ㅇㅇ ","58.232 ","06.06"
"30살에 의치한가면 이득이냐?","ㅇㅇ ","104.238 ","06.06"
"최근 라이젠 실물보고온 후기","ㅇㅇ ","222.109 ","06.06"
"랜포트 관련 또 물어봐서 미안한데","CheekiBreeki "," ","06.06"
"얘들아 내년에 엔비디아 신세대나오는거냐?","ㅇㅇ ","211.36 ","06.06"
"요즘 느끼는건데 직업에적성 이란건없다","ㅇㅇ ","58.237 ","06.06"
"서브컴 ㅇㅈㄹ하지말고 아이패드나 사라","ㅇㅇ ","45.56 ","06.06"
"22살 군대 휴가나와서 41살 포장마차 아줌마랑 떡친적 있다 .","ㅇㅇ ","112.162 ","06.06"
"도깨비 재밌냐 볼만해?","ㅇ ","121.130 ","06.06"
"암드 주가 드디어 30달러 돌파했다. 이젠 꽃길만 걷는다","ㅁㅁ ","58.230 ","06.06"
"좃텔i5 이상 쓰는애들은 딸5때 갈아타라","ㅇㅇ ","185.92 ","06.06"
"낙뢰로 정전일어났는데 컴에 안좋음?","몰큘 "," ","06.06"
"나 심박수 1분에 62회 뛰는데 정상이냐? ;;; ㅅㅂ","ㅇㅇ ","116.127 ","06.06"
"동생넘 1070 2060으로 바꿔줄까 고민되네 ","려잉<U+23F0> "," ","06.06"
"컴알못 7월달에 컴터맞출라는데 한번만 봐주셈","ㅇㅇ ","119.201 ","06.06"
"낙뢰로 1초 정전일어났다가 다시전원들어왔는데","몰큘 "," ","06.06"
"근데 그래픽에 수냉박으면 보증 날라가는거 아님?","ㅇㅇ ","106.102 ","06.06"
"오늘 1070이 퇴역모델인걸 느낌","빵빵빵 "," ","06.06"
"솔직히 트럼프만큼 공약 잘 지키는 대통령 없는 듯","박창식. "," ","06.06"
"rx 580파는 사람한테 문자 보냄","고영록 "," ","06.06"
"플스3은 중고 어떤걸 사야하지","ㅇㅇ "," ","06.06"
"보지값 몇살부터 떡락임?","ㅇㅇ ","45.56 ","06.06"
"견적좀 짜주셈","ㅇㅇ ","211.243 ","06.06"
"근데 컴본갤 새끼들 지능이 좀 많이 늙은거같음","ㅇㅇ ","116.127 ","06.06"
"gtx860m 보다 낮거나 비슷한","ㅇㅇㄹ ","168.126 ","06.06"
"애새끼들 컴예기만하니까 내가 항상 딴소리 해주자남","ㅇㅇ ","116.127 ","06.06"
"암드카페 매니저면 암드랑 커넥션있겠지?","ㅇㅇ ","106.102 ","06.06"
"라데온7이 2080 비비냐?","ㅇㅇ ","121.190 ","06.06"
"560ti 실례가 안되면 개인적인 질문 하나만","ㅇㅇ ","116.127 ","06.06"
"RX570 2개면 라데온7 된다는게 실화임?","ㅇㅇ ","121.190 ","06.06"
"야 글카온도 원래 80도넘너감?","ㅇㅇ ","110.70 ","06.06"
"요즘 부모님 늙어가는 모습 보면 눈물 슥- 훔치는 새끼 없냐?","ㅇㅇ ","116.127 ","06.06"
"터치스크린 휴대용 모니터 추천좀","   ㅇㅇ ","182.228 ","06.06"
"니들 인생에서 가장 아팠던 시기가 언제냐 ?","ㅇㅇ ","116.127 ","06.06"
"남여차별이 차별적인 단어가 아니게 하는 법","ㅇㅇ ","59.24 ","06.06"
"남여차별이라는 단어도 차별이라는 년봄","ㅇㅇ ","116.127 ","06.06"
"지금 램 21300 사지말고 기다려야하냐","dd ","121.167 ","06.06"
"니들 다음에 생이 있다면 남자 VS 여자 뭐로 태어나고 싶어 ?","ㅇㅇ ","116.127 ","06.06"
"디코 질문좀","ㅇㅇ ","118.220 ","06.06"
"니들 주위에 이런식으로 대화하는 새끼 꼭 걸러라 진짜로","ㅇㅇ ","116.127 ","06.06"
"탈모충보단 대머리가 나은거같음","ㅇㅇ ","58.237 ","06.06"
"솔직히 290한테 안당해봤으면 라데온 타령하면 안댐","려잉<U+23F0> "," ","06.06"
"요즘 어떤 cpu를 쓰던 램 16기가면 떡을 치고도 남아 ?","ㅇㅇ ","116.127 ","06.06"
"컴본갤은 일단 얼굴인증하면 다 잘생겼다고 해주는데 뭔시발","ㅇㅇ ","116.127 ","06.06"
"내꺼 gtx1070 파스 17k겨우찍던데 왜그러지","빵빵빵 "," ","06.06"
"요즘 키보드존나비싼거같음","ㅇㅇ ","58.237 ","06.06"
"램값은 반토막났는데 시퓨가격 반토막은 안나냐?","ㅇㅇ ","112.185 ","06.06"
"확실히 모니터는 스펙채감이 확되","ㅇㅇ ","110.11 ","06.06"
