"dc_title","dc_writer","writer_ip","dc_date"
"포터 타임때 주변에서 실제로 들은말","ㅇㅇ ","223.38 ","06.07"
"메인스테이지쪽 밤에 춥냐","24 ","58.79 ","06.07"
"포터 디제이셋 ㅎㅌㅊ였음?","Planetarium "," ","06.07"
"울트라 mbc에서 광고해주넼ㅋㅋㅋㅋㅋ","글개꼬마 ","223.33 ","06.07"
"낼 칼잔치 하다가","24 ","58.79 ","06.07"
"왜 라이브 스테이지 뚜껑 하루종일 냅뒀지","ㅇㅇ ","39.7 ","06.07"
"아니 움콘데 엠씨가 시발 영어로만지껄여서","ㅇㅇ ","106.102 ","06.07"
"왜 움프코리아는","ㄴㅇㄹ ","220.85 ","06.07"
"술 숨겨서 들어가는애들아 조심해라","ㅇㅇ ","117.111 ","06.07"
"메인 사운드 앞뒤로 싱크가 다르던데","ㅇㅇ ","175.223 ","06.07"
"칼잔치 한창일때 라이브로 못본건 노무 아쉽다","호로롤 ","220.84 ","06.07"
"오늘갔다온 흑우들 후기점요","24 ","58.79 ","06.07"
"Edc 기대해본다","ㅇㅇ ","125.180 ","06.07"
"조선인에게 edm?","흑우 ","58.234 ","06.07"
"요즘 메인스트림은 누구냐","그날엔 ","175.223 ","06.07"
"요즘 edm 빅룸이 퇴물되어가긴했지","흑우 ","58.234 ","06.07"
"버셀 어땟냐? 후기좀 적어줘라 익이","트랜스맨 "," ","06.07"
"집도착ㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","211.36 ","06.07"
"에버랜드 가기 vs 울트라 관람 ","ㅇㅇ ","175.223 ","06.07"
"울트라 소똥 페스티벌 잘봣습니다","박서 ","223.39 ","06.07"
"와 이도저도아닌 존나 개노잼 이다","ㅇㅇ ","119.17 ","06.07"
"실망스럽다","허니맨 ","223.38 ","06.07"
"내일 차끌고가는 애들은 각오해야할듯","ㅇㅇ ","117.111 ","06.07"
"금방 신곡 나왔읍니다. 매우 좋읍니다","ㅇㅇ ","220.121 ","06.07"
"1일권 얼마야?","냉기법사 "," ","06.07"
"이상하게 내가 듣던 애들 다 요새 노래 안내거나 퇴물됨ㅅㅂ","ㅇㅇ ","220.121 ","06.07"
"역대급 좆망 페스티벌ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","117.111 ","06.07"
"버츄얼셀프는 장르가머임?","언컴 "," ","06.07"
"역대급 사건ㄷㄷ","ㅇㅇ ","221.150 ","06.07"
"집깡패 merchandise 산 사람 있냐?","개구리집틀딱 ","223.62 ","06.07"
"차끌고무난입성한 게잉들없냥","존슨의기쁨 "," ","06.07"
"응드르렁 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","211.36 ","06.07"
"움프 암표있냐","ㅇㅇㅇ ","39.7 ","06.07"
"클럽함 가보고싶은데 혼자가면 이상하냐?","ㅇㅇ ","110.70 ","06.07"
"디제이소다 살아있었네","ㅇㅇ ","119.196 ","06.07"
"기흥역 셔틀 터짐?","Ddd ","223.38 ","06.07"
"나 대신 나이프파티 많이 봐줘ㅜㅠ","ㅇㅇ ","223.39 ","06.07"
"야 진짜 중계 안하는거 맞지?","ㅇㅇ ","116.122 ","06.07"
"검문 개대충하네 ㅋㅋㅋ","ㅇㅇ ","223.38 ","06.07"
"야 사진좀ㅍ찍어보ㅓ라","dd ","211.246 ","06.07"
"이번에 볼만한 애들 목록.txt","ㅇㅇ ","211.189 ","06.07"
"형들 차 끌고가면","junni2003 ","223.38 ","06.07"
"PGA는 어떠냐","24 ","58.79 ","06.07"
"정신승리하려고 쓰는글","ㅇㅇ ","211.36 ","06.07"
"움프 내일 자차 타고가려는데 안되냐","ㅇㅇㅇ ","223.38 ","06.07"
"움프 이번에 처음가는 찐따인데 동선 알려주실분...","ㅇㅇ ","221.145 ","06.07"
"움프 현대카드 삼성페이 되냐?/ 안대겠지 씨바?","dd ","211.106 ","06.07"
"움프셔틀타고오는애들아니면 게이트다른데 민증검사안한다","ㅇㅇ ","106.102 ","06.07"
"하아 나이트메어 ","개시끄럽다 ","39.7 ","06.07"
"좀전에 금발의 포터로빈슨이","개시끄럽다 ","39.7 ","06.07"
"언제 임펙티드 머쉬룸 보고싶다고 일갤에 올린거같은데","흑우 ","39.7 ","06.07"
"8시쯤에 도착할 예정인데 1일권 팔 사람 있음?","ㅇㅇ ","211.36 ","06.07"
"아비치 새앨범 실망했다는 새끼들아","ㅇㅇ ","175.119 ","06.07"
"TV 노이즈 불쌍한데","네번타는장작보일러 "," ","06.07"
"사진 올려봐라","흑우 ","39.7 ","06.07"
"Boris Brejcha가 내한 와야한다 게섹기들아","흑우 ","39.7 ","06.07"
"오늘 솔플인데 같이놀사람","허니맨 ","223.62 ","06.07"
"힙합은 칸예고 일렉은 누구냐?","ㅇㅇ ","211.189 ","06.07"
"인펙티드 머쉬룸 ㅁ보려고 6년 존버했는데","흑우 ","39.7 ","06.07"
