"dc_title","dc_writer","writer_ip","dc_date"
"마나난 여캐옷 가슴 조따루 크고 야하겟죠??","ㅇㅇ ","223.39 ","06.07"
"느그황제 검은사막갤러리에서 좀 주워가라","ㅇㅇ ","121.164 ","06.07"
"요즘 남캐할가 고민햇는대","ㅇㅇ ","223.39 ","06.07"
"고렙님들 슈터 찍으면 스탯 뭐올라가나요?","ㅇㅇ ","14.52 ","06.07"
"산뇨 이애가 마갤에서 애들 사칭하는 애인데 무슨","ㅇㅇ ","125.188 ","06.07"
"산뇨 그중에하나도 꼬미s인거고 왜아닌척하냐","ㅇㅇ ","125.188 ","06.07"
"산뇨가 주로 사칭하는 애들중하나가 진열화인거고","ㅇㅇ ","125.188 ","06.07"
"헛소리하지마 산뇨야 니가해놓고 사칭이 아니라고하네","ㅇㅇ ","125.188 ","06.07"
"푸른상회의 진실 밝혀준다..(꼬미s 포함)","ㅇㅇ ","119.192 ","06.07"
"플레이머 질문","ㅇㅇ ","203.229 ","06.07"
"하프 자이언트접음?세레비","ㅇㅇ ","211.36 ","06.07"
"이디시콘너무부담스러운것갓음","흑인 "," ","06.07"
"와 이브체 하는법 다까먹엇네","믈릿 "," ","06.07"
"최신 의장까지 시뮬레이팅 되는 사이트 없음?","ㅇㅇ ","14.53 ","06.07"
"페미가 절대 사그라들지 않을 이유","무과금유저 "," ","06.07"
"뉴빈데...","듀아악 ","223.39 ","06.07"
"켈로나 5강만 띄울라고 하는데 존나 고행의 길이다 ㅅㅂ","ㅇㅇ ","123.215 ","06.07"
"결혼 타이틀 질문임","숌며 "," ","06.07"
"펫 레벨링 하면 뭐가 좋나야","ㅇㅇ ","175.223 ","06.07"
"엉덩이괴도였으면 들어갔을텐데","ㅇㅇ ","223.39 ","06.07"
"저거 합성하는거 뉴비는못하잖아","ㅇㅇ ","119.69 ","06.07"
"자이언트는 뭔 키트 모션 어떤지 확인하려고 인터넷 뒤져도 안나오냐 시12","ㅇㅇ ","14.53 ","06.07"
"정령이 뒤에서 졸졸 쫒아다니는거임","힘쌘고래 "," ","06.07"
"근데 엉덩이도둑이 무슨뜻임","ㅇㅇ ","121.165 ","06.07"
"선유일리 몇살이냐ㅋ?","ㅇㅇ ","211.36 ","06.07"
"목공 제작 잘 아시는 분들아","*** "," ","06.07"
"아 시세 떨구는 십새끼들 죽여벌이고 싶다","ㅇㅇ ","123.215 ","06.07"
"왜 줄안경이 그냥 안경보다 비쌈?","ㅇㅇ ","223.38 ","06.07"
"류트 길드 있음?","썩은나무열매 "," ","06.07"
"겜순이 여친 생기면 좋을줄알았는데","ㅇㅇ ","175.223 ","06.07"
"농장 아까워서 캐릭터를 못옮기겠","오현정 "," ","06.07"
"남자 고데기하는애들이있음? ㄷㄷㄷ","ㅇㅇ ","119.69 ","06.07"
"요즘 메인 컨텐츠가 테흐매어 맞음?","ㅇㅇ ","175.223 ","06.07"
"추천박으면 엄마, 비추박으면 아빠가 사라짐","ㅇㅇ ","1.244 ","06.07"
"노트북 할부로 사고싶다","맙기 "," ","06.07"
"이겜 현질하면 재밌음?","ㅇㅇ ","180.224 ","06.07"
"않이 줄안경 가격 왜 뛰는것...","ㅇㅇ ","211.177 ","06.07"
"솔직히 마비 템드랍율 씹에바임","ㅇㅇ ","175.223 ","06.07"
"스위핑범위는 17정도면 더필요가없는","ㅇㅇ ","119.69 ","06.07"
"ㅈㅅ해요","팡파앙 "," ","06.07"
"추천요정님 저도 추천받고싶어요","ㅇㅇ ","117.111 ","06.07"
"요리 품질 보너스 받을 곳이 뭐뭐 있을까요","ㄹㅈ ","218.155 ","06.07"
"설문조사 한 번씩만 봐줄 수 있을까","ㅇㅇ ","124.50 ","06.07"
"판타스틱 묵혀도 시세안오를꺼같은데 왜사는거","ㅇㅇ ","119.69 ","06.07"
"퀵보드 타고 노는애들 넘모 무섭다","힘쌘고래 "," ","06.07"
"15주년 페스티아 또 하면 재미없을거 같아요.","흐긴유저 "," ","06.07"
"후돌 시동 순위 노려본다","ㅇㅇ ","39.7 ","06.07"
"음악류 평판작은 어찌 하는거임?","66 "," ","06.07"
"다이어트 성공하면 여따 인증올리고 겜복귀함 ㅋㅋ","ㅇㅇ ","220.72 ","06.07"
"2005년쯤부터 마비노기 했던 유저인데","ㅇㅇ ","175.223 ","06.07"
"희곡 페이지 낚시로도 나옴??","66 "," ","06.07"
"추123천인 몇명 받아어 순간이동 책 얻음?","ㅇㅇ ","122.46 ","06.07"
"난 사기친적도 없고 비매너 플 한적도없는데","ㅇㅇ ","211.36 ","06.07"
"팀프로젝트 꿀잼임","그저늅늅. "," ","06.07"
"요즘 숲 시세가 어떻게 됌?","방문객 ","114.203 ","06.07"
"블로니 펫 이름 추천 ㄱㄱㄱㄱ","ㅇㅇ ","223.39 ","06.07"
"마비노기 완벽한 닉세탁 하는법 질문","ㅇㅇ ","211.36 ","06.07"
"님들 나비인챈 어캐구해요","ㅇㅇ ","118.41 ","06.07"
"제가 가게를 열면 노마갤러존으로 할거예요","ㅇㅇ ","223.39 ","06.07"
"밑에 십덕 저러시는 분이","66 ","58.228 ","06.07"
"초급부 사길 잘했어","ㅇㅇ ","223.39 ","06.07"
"경험치상승의 황금열매 혹시 펫도 먹어짐?","메테오 "," ","06.07"
"시동 언제함? ","ㅇㅇ ","222.97 ","06.07"
"작년 ox퀴즈 재밌었음","ㅇㅇ ","211.216 ","06.07"
"님들 켈스스 장인개조안했고 5개조했는데 보석개조안보이는데","ㅇㅇ ","39.118 ","06.07"
"탐경 멀로 먹지 10렙  찍어야함","ㅇㅇ ","223.39 ","06.07"
"총든곰 필독","ㅇㅇ ","1.244 ","06.07"
"이글루미살만함?","ㅎㄹㅇ ","110.70 ","06.07"
"마도카 길드 홍보글에 있는 특정사이트 거절에서 특정사이트가 뭐냐?","ㅇㅇ ","223.62 ","06.07"
"하시딤 주요보상이뭐임?","ㅇㅇ ","61.253 ","06.07"
"찻집 여자길드 홍보 보면 궁금한거","ㅇㅇ ","211.216 ","06.07"
"파샷 지속모 스왑해서 쓰고 다시 원래장비 돌아가면 적용안됨?","로로나 "," ","06.07"
"햄버거 세트 먹는순서","ㅇㅇ ","210.111 ","06.07"
