"dc_title","dc_writer","writer_ip","dc_date"
"바드님이 파티 만피인데 자꾸 힐을 주시길래","ㅇㅇ ","115.41 ","06.08"
"님들 본캐부캐 같은에포나하면 평판올라?????","ㅇㅇ ","58.231 ","06.08"
"와 로갤 글리젠뭔데;;","ㅇㅇ ","122.43 ","06.08"
"알카 갤럼 병신같은새끼 증전에서 4만딜넣고 입터는데","flywalk "," ","06.08"
"금강선공....금강불괴....","ㅇㅇ ","210.222 ","06.08"
"기공vs창술","ㅇㅇ ","182.230 ","06.08"
"부캐 흑요 매칭으로 첫클하는데 존나힘드네 ㅅㅂ","ㅇㅇ ","218.239 ","06.08"
"욘을기점으로 기존 템렙시스템 바뀔가능성 있냐","ㅇㅇ ","122.43 ","06.08"
"부캐로 같은에포나하면 평판오름?","ㅇㅇ ","58.231 ","06.08"
"퍼스한방 백만떴는데 창술한테 지네 씹ㅋㅋ","ㅇㅇ ","58.231 ","06.08"
"에포나 휴식 계속 오르는데 이거 뭐냐","몰라용 ","210.123 ","06.08"
"PVP도 한 200판 정도 하니까 질려서 못하겠다","ㅇㅇ ","119.196 ","06.08"
"호감도 퀘스트 성향보상 정리된거 없냐?","ㅇㅇ ","124.111 ","06.08"
"창술이는 너프없다","형이닼ㅋㅋ ","119.149 ","06.08"
"이겜 로리캐 없어서 망겜이였내","ㅇㅇ ","121.169 ","06.08"
"로아 오픈때부터 호감도랑 에포나는 빠짐없이했는데","123123 ","39.120 ","06.08"
"알카 점핑했는데 커엽","ㅇㅇ ","49.142 ","06.08"
"무력화로 터져서 뒈졋는데 그걸 정치하는 병신이 있네 ㅋ","ㅇㅇ ","118.34 ","06.08"
"얘두라 경쟁전 할라면 문장 해야되냐","ㅇㅇ ","121.142 ","06.08"
"노라이퍼길드의 귀여운소환사님을 찾습니다","TopRank "," ","06.08"
"아니 씨발 부캐도 창고확장 공유해줘야지 장난하나","ㅇㅇ ","117.111 ","06.08"
"기공사들고 쳐못하는새낀 사람임???","ㅇㅇ ","175.223 ","06.08"
"데헌 경쟁전은 ㄹㅇ 실력10 : 팀운90","ㅇㅇ ","14.49 ","06.08"
"나중에 쩜핑","형이닼ㅋㅋ ","119.149 ","06.08"
"내가 프리시즌때 경쟁매칭에 같은직업이라도 없애달랬는데","ㅇㅇ ","203.171 ","06.08"
"창술이 난무 무력챙길라면 모 찍어?","ㅇㅇ ","211.36 ","06.08"
"모기 잡았음 ㅋㅋ","닉구 "," ","06.08"
"창술 배마 흑요 1:1빵 결과","ㅇㅇ ","223.38 ","06.08"
"님들저 로아가 정말 재밌었거든요","브루헨 "," ","06.08"
"페이트 15층까지 난이도 어떠냐","ㅇㅇㅇ ","223.62 ","06.08"
"근데 pvp 숨겨진 고수들 왜케 많냐","ㅇㅇ ","125.178 ","06.08"
"다 갤에서 나가주세요 여기 제 일기장이에요","닉구 "," ","06.08"
"로아 다시 휴식할때가 왔음;;","닉구 "," ","06.08"
"기공 장풍 나가는거 경직을 없애라니까 이 씨발련","ㅇㅇ ","119.196 ","06.08"
"아틀리에 시리즈 다시 해봐야할듯;;","닉구 "," ","06.08"
"기공 금강선공 제발 너프좀...","ㅇㅇ ","49.142 ","06.08"
"플레이그 테일 그럭저럭 할만했음;","닉구 "," ","06.08"
"뭘 기공사를 너프안하면 떠나 ㅋㅋㅋㅋ","ㅇㅇ ","110.10 ","06.08"
"기공사 너프 안할수록 남은 사람도 더 떠나지","ㅇㅇ ","223.62 ","06.08"
"오늘 주레 매칭 3판 터트렸음","닉구 "," ","06.08"
"4일뒤면 루테란 동부 호감도 완성임 ㅋㅋ","닉구 "," ","06.08"
"금강선공은 인내증가로 바꾸는게 맞지","ㅇㅇ ","223.62 ","06.08"
"로아 메타점수 매기면 몇점일까?","ㅇㅇ ","61.254 ","06.08"
"시작한지 3주 좀 지났는데 아직은 꿀잼임","ㅇㅇ ","223.62 ","06.08"
"주레 3연마귀걸이떳는데 껴야돼?","ㅇㅇ ","110.70 ","06.08"
"커뮤니티 정공사들은 마인드가 추하다 ","ㅇㅇ ","223.62 ","06.08"
"서머너 개좋은거같은데","ㅇㅇ ","183.106 ","06.08"
"스마게가 버그 수정하는 방식","ㅇㅇ ","121.142 ","06.08"
"지금까지 선박 왜 올리지했는데 ","ㅇㅇ ","58.231 ","06.08"
"로아까는건 poe충이 아니다","ㅇㅇ ","218.54 ","06.08"
