"dc_title","dc_writer","writer_ip","dc_date"
"어제귀국했는데 담주수요일 또발권ㅋㅋ","ㅇㅇ ","211.246 ","06.08"
"혼자 방타이하면서 치안 위험 느낀적 없냐","ㅇㅇ ","199.249 ","06.08"
"앳마가 어딜 말하는거냐?","ㅇㅇ ","210.117 ","06.08"
"크하 백밧 입장료구라임","ㅇㅇ ","211.246 ","06.08"
"홍콩은 보통 맨션이나 발맛사지 샵에서 맴매 하더라","ㅇㅇ ","182.226 ","06.08"
"테매 특파원 등판해주세요","ㅁㅁ ","1.47 ","06.08"
"우수에 가득찬 눈빛이란 소리는 어떤놈들이 듣는소리냐","ㅇㅇ ","175.223 ","06.08"
"6/9(내일 오후 3시)파타야 렛츠릴렉스 헤븐리릴렉스 패키지 2명팝니다","렛츠릴렉스 ","42.28 ","06.08"
"6월15~30일 조각 및 정보공유방 ㄱㄱ","ㅇㅇ ","112.151 ","06.08"
"제니사진 풀어 말어?","ㅇㅇ ","112.173 ","06.08"
"평일 데모나 바바바 가본사람","ㅇㅇ ","58.141 ","06.08"
"작년 11월달 후기푼다 첫 피어 가봤을때 1","머머리는 사회악 ","210.99 ","06.08"
"거 패션같은 개소리말고 바트나 챙겨가라.","Windmill "," ","06.08"
"지금 베트남","ㅇㅇ ","171.251 ","06.08"
"썸녀가 길가다어떤놈보더니 저남자센치해보여라던데 정확히그남자가 어떻단뜻임?","ㅇㅇ ","175.223 ","06.08"
"오늘 루트나 데모 같이 가실분?","ㅇㅇ ","42.36 ","06.08"
"방콕 호텔 추천좀 ","수카 ","116.45 ","06.08"
"아저씨가 그냥 하는 말은 아니고 향수 추천","딥디크 "," ","06.08"
"형들 ㅂㅌㅇ질문","ㅇㅇ ","223.39 ","06.08"
"치앙마이 가즈아~","ㅌㄸ ","211.184 ","06.08"
"이젠 제니 일 안함?","V고갱님 "," ","06.08"
"푸잉 보징어일때 그냥 돈 주고 보낸 경우 있냐","결혼2년차 ","49.230 ","06.08"
"썸녀가 길가다어떤놈보더니 저남자센치해보여라던데 정확히그남자가 어떻단뜻임?","ㅇㅇ ","175.223 ","06.08"
"테메 카페 커피얼맙니깡","ㅇㅇ ","58.64 ","06.08"
"비치로드 어른/학식 표준 패션","딥디크 "," ","06.08"
"파타야 패션 종결해줍니다","소이쨋 ","110.70 ","06.08"
"태국 아고고 음악 다운로드받는곳","ㅇㅇ ","110.35 ","06.08"
"씨발려나 어른 공경좀 해라","딥디크 "," ","06.08"
"슈퍼걸 아고고 망했네?","ㅇㅇ ","182.52 ","06.08"
"중국대딸방에서 ㄲㄸ 썰","ㅇㅇ ","222.117 ","06.08"
"저기....명품이라도....","소이혹탐험가 "," ","06.08"
"9월 여행계획이다","수카 ","116.45 ","06.08"
"좆목을 왜해요..","소이혹탐험가 "," ","06.08"
"태국 sky출신 푸잉 좀 만나고싶은데요","소이쨋 ","110.70 ","06.08"
"인섬 피어 몇시에염?","파주거지 ","211.36 ","06.08"
"6월15~30일 조각 및 정보공유방 ㄱㄱ","ㅇㅇ ","112.151 ","06.08"
"여자 키 169에 54키로면 통통에 하체비만이라보면되지? ","ㅇㅇ ","175.223 ","06.08"
"니들 a2z옷 사봤냐?","소이쨋 ","110.70 ","06.08"
