"dc_title","dc_writer","writer_ip","dc_date"
"드디어 ios도 오토체스 나왔다 ","ㅇㅇ ","223.38 ","06.09"
"갤탭A 2019 vs 갤탭 오이 ","ㅇㅇ ","14.7 ","06.09"
"잡스 vs 팀쿡  누가 좋냐","ㅇㅇ ","175.223 ","06.09"
"파이어hd색깔머사지","ㅇㅇ "," ","06.09"
"오랜만에 ips 액정보니까  좆몰레드 그닥인듯","ㅇㅇ ","58.124 ","06.09"
"태블릿은 이세상에 두가지 바께없다.","ㅇㅇ ","58.124 ","06.09"
"일딴 레티튜드 5175 안드 존나 만족한다","er4sr "," ","06.09"
"안드로이드 x86신세계네","뮤즈오시 "," ","06.09"
"갤탭 a8.0 2019 wifi 정발 존버 vs lte 직구","ㅇㅇ ","223.62 ","06.09"
"아이패드 노트앱 걍 여러개 다 사셈","ㅇㅇ ","203.232 ","06.09"
"난 프로뽕 안맞던데","ㅇㅇ ","110.70 ","06.09"
"탭오이 핑까 해쥼","ㅇㅇ ","58.124 ","06.09"
"와사비가 뭔가 대기업 금수저 어디갔노","ㅇㅇ ","58.124 ","06.09"
"아이패드 오늘 샀다 질문 좀","ㅇㅇㅇㅇ ","221.148 ","06.09"
"공부용으로 프로3 살려는데 어떤 버전 사야함???","ㅇㅇ ","39.7 ","06.09"
"근데 매장가서 구경하는데 젊은여자들이 막","크림수프얀 "," ","06.09"
"애플기대해도되냐","뮤즈오시 "," ","06.09"
"에어3 살 계획이면 프로 만져보지도 마셈","ㅇㅇ ","182.209 ","06.09"
"s5 8월에 공개하면 9월말에서 10월쯤에 출시겠네","ㅇㅇ ","220.122 ","06.09"
"K380이랑 아이패드랑 연결문제","ㅇㅇ ","223.33 ","06.09"
"탭s5성공하려면 스펙이아니라 가격을 봐야지","크림수프얀 "," ","06.09"
"안드로이드 윈도우 듀얼부팅탭 예전에 욕 존나쳐묵었는데","er4sr "," ","06.09"
"아패프로4는 언제 나오노?","뮤즈오시 "," ","06.09"
"패드프로4세대 올해 가을 기대해도되냐...?","ㅇㅇ ","117.111 ","06.09"
"레티튜드 안드로이드 단점","er4sr "," ","06.09"
"여경이 또 해냈다!!","ㅇㅇ ","221.150 ","06.09"
"탭오이에 램12기가 스냅855 펜 지원하면 좆이패드 압살 가능?","ㅇㅇ ","221.147 ","06.09"
"아이패드 필기앱 뭐씀?","키르 "," ","06.09"
"굿노트 앰터진 쓰레기 어플 왤케 빰","수프라이트 "," ","06.09"
"인강용으로 갤탭 A 어떤가요","ㅇㅇ ","124.51 ","06.09"
"태블릿 사면서 한번도부셔먹은적 없다는건 허언증임","ㅇㅇ ","39.7 ","06.09"
"애플의 가장큰 갑질은 메모리임","ㅇㅇ ","121.155 ","06.09"
"휴이온 kamvas 20 vs 와콤 신타크 15.6","ㅇㅇ ","119.203 ","06.09"
"아이패드는 에뮬 영원히 안된다","요이치 ","49.168 ","06.09"
"오늘 패드 살건대 아직도 고민","ㅇㅇ ","36.39 ","06.09"
"새거로만 사는놈들이 이해안감ㅋㅋ","ㅇㅇ ","39.7 ","06.09"
"태블릿을 중고로 사는게 제일 이해가 안돼","ㅇㅇ ","116.36 ","06.09"
"아이패드 게임 에뮬레이터만 되면","키르 "," ","06.09"
"에어3랑 탭s4는 누가 더 우위임","ㅇㅇ ","220.122 ","06.09"
"탭오이 쓰는데 아이패드 살껄..","ㅇㅇ ","58.124 ","06.09"
"중고 프로2 2세대 셀룰러 이가격이면 사냐 안사냐","ㅇㅇ ","211.36 ","06.09"
"엽충탭 빠는 새끼들 진짜 역겨운새끼들임.txt","ㅇㅇ ","223.38 ","06.09"
"겆패쓸때는 사려서 써도 ㅈㄴ 깨졌는데","ㅇㅇ ","211.184 ","06.09"
"아 일단 s5 어케 나오는지 보고 사야겠다","1244 ","203.251 ","06.09"
"아이패드 프로 기본 충전기도 충전 엄청 빨리되는편인데","ㅇㅇ "," ","06.09"
"아이패드 원래 충전오래걸림?","ㅇㅇ ","211.36 ","06.09"
