"dc_title","dc_writer","writer_ip","dc_date"
"전이하는거 어디로 넣을지는 선택할수없는거임?","ㅇㅇ ","59.7 ","06.09"
"데모닉 전이비 3억드는게 정상임?","ㅇㅇ ","59.7 ","06.09"
"고대 마법사의/환수의/왕국의~ 어쩌구 템들","ㅇㅇ ","175.223 ","06.09"
"돌조각 찾기 죳내힘드네 진","ㅇㅇ ","222.239 ","06.09"
"뉴비 시오칸도는데","ㅎㄱs "," ","06.09"
"이겜 재분하는거 존나 귀찮내","ㅇㅇ ","59.7 ","06.09"
"근데 데모닉쓰면 후무딜 안나오지않냐?","ㅇㅇ ","59.7 ","06.09"
"아나벨 로리맞나?","JonathanJoestar "," ","06.09"
"님들 림보 디펜어느정도해야 안아픈가요 ㅠㅠ","ㅇㅇ ","58.235 ","06.09"
"상속서 쥰내안팔리네;;","ㅇㅇ ","222.239 ","06.09"
"이게임 한달에 현질 10만원 가능한가요?","ㅇㅇ ","61.105 ","06.09"
"125괴로 리체 템 어케맞춰야될까...","ㅇㅇ ","124.61 ","06.09"
"클로에 데모닉끼니까 무딜 안나오는대 어케함?","ㅇㅇ ","59.7 ","06.09"
"텔포까는 티치년들 진짜 정신나간듯","★★★★ "," ","06.09"
"데모닉 장비 강화석쓰면 어케되는거임?","ㅇㅇ ","59.7 ","06.09"
"하칸 괴팜 950:1 120괴","ㅇㅇ ","175.119 ","06.09"
"근데 생각해보니","ㅇㅇ ","119.201 ","06.09"
"666베기 엔키라 5셋","ㅁㄴㄴㄹ ","14.52 ","06.09"
"에피3 챕터 5에서 아이스 젤리크림 10개 구해오라는데","ㅇㅇ ","175.223 ","06.09"
"지금 아바타 돌려서 먹을만한 이쁜게 뭐있음","ㅇㅇ ","175.223 ","06.09"
"아바타 발자국먹고 5개남았는데","ㅎㄱs "," ","06.09"
