"dc_title","dc_writer","writer_ip","dc_date"
"나달 세트 뺏긴거 처음이죠?? ","테니스 황제 ","223.39 ","06.09"
"나달 나갔다오는거 조사해라!!","테니스 황제 ","223.39 ","06.09"
"나퀴들 개소리하네ㅋㅋㅋ 5셋가면","ㅇㅇ ","211.117 ","06.09"
"나달은 꼭 저렇게 나갔다 오네 ","ㅇㅇ ","175.115 ","06.09"
"팀이 이기면 최초","ㅇㅇㅇ ","58.224 ","06.09"
"나달은 꼭 저렇게 나갔다 오네 ","ㅇㅇ ","175.115 ","06.09"
"팀은 무조건 3셋 가져와야한","ㅇㅇ ","211.114 ","06.09"
"근데 조코비치가 고트라기엔 너무 애매하지 않음?","ㅇㅇ ","115.160 ","06.09"
"나달 탑스핀이 더 떨어질꺼 같은데? ㅋㅋ","ㅇㅇ ","121.145 ","06.09"
"결승전 체어 엠파이어 급여","테니스 황제 ","223.39 ","06.09"
"나달은 저 새가슴만 극복하면 롤랑먹을텐데 ㅇㅇ","ㅇㅇ ","175.211 ","06.09"
"팀도 엠자탈모 심하노 ㅋㅋ어린게","ㅇㅇㅇ ","1.241 ","06.09"
"나달이 롤랑가로스에서 1패밖에 안했어? 그게 소더링임?","ㅇㅇ ","182.214 ","06.09"
"팀은 체력 걱정할 필요없음","ㅇㅇㅇ ","58.224 ","06.09"
"팀이 고트네","ㅇㅇ ","222.120 ","06.09"
"2셋 무너질때 팀이 ㅈㄴ 잘했다기보단","ㅇㅇ ","117.111 ","06.09"
"황엠 롤랑 먹으면 3위냐?","zz ","175.194 ","06.09"
"3세트 보면 사이즈 나올 거 같다","댕미미 "," ","06.09"
"어디 팀을 정현에 비벼대냐며 개소리로 넘칠때가 엊그제  ㅋ","ㅇㅇ ","116.121 ","06.09"
"나달 체력 망한건가요???","나달지지지마 ","106.101 ","06.09"
"와 나달 진짜 일정빨 이득본거 아니면 졌겠다","ㅇㅇ ","175.223 ","06.09"
"님들아 제 키가 195인데요","테니스 황제 ","223.39 ","06.09"
"어차피 길어지면 나달이 유리하지","ㅇㅇ ","223.39 ","06.09"
"티엠 ㅅㅅㅅㅅㅅㅅ 역레발 개성공 ㅅㅅㅅㅅㅅㅅㅅ","ㅇㅇ ","39.120 ","06.09"
"나달이 나이가 있으니 체력적으로 힘들지","댕미미 "," ","06.09"
"5셋 가면 닥 나달이 유리한거 맞지???","ㅇㅇ ","175.211 ","06.09"
"조코비치가 못한게 어니라니까 ㅋㅋ 팀 저색히 개잘함","dd ","175.203 ","06.09"
"좆달 3세트에서 브렠당하면 드러눕는다 ㅋㅋ","ㅇㅇ ","211.36 ","06.09"
"응 세트는 곰팡이도 뺏어갓어","캐오 ","202.136 ","06.09"
"설계충들 뭐냐ㅋㅋㅋㅋ 결승에서 무슨","ㅇㅇ ","223.39 ","06.09"
"죶됐다 나달 지쳤다..","ㅇㅇ ","117.111 ","06.09"
"페더러랑 팀은 친하냐? 같은 독일어권 맞나?","ㅇㅇ ","175.115 ","06.09"
"3년만에 결승 1세트 내줌","ㅇㅇㅇ ","58.224 ","06.09"
"나달 뭔가 지쳐 보인다","댕미미 "," ","06.09"
"만약 티엠우승시 티엠vs소더링 누가 더 이변이야?","ㅇㅅㅇ ","58.238 ","06.09"
"와 ㅋㅋㅋ 마지막리턴게임전까지 리십포 1개였는데 마지막게임에서브렉ㅋㅋㅋㅋ","ㅇㅇ ","39.120 ","06.09"
"팀ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ","ㅋㅋ ","112.167 ","06.09"
"황미니크 갓ㅋㅋㅋㅋ 내년에는 우승한다","ㅇㅇ ","211.117 ","06.09"
"나퀴 멸망 ~~~","ㅇㅇ ","110.13 ","06.09"
"미친ㅋㅋㅋ","ㅇㅇ ","112.170 ","06.09"
"나달 왜 갑자기 스스로 무너지냐?","ㅇㅇ ","121.145 ","06.09"
"팀 2셋겟 ㄷㄷ","ㅇㅇㅇ ","175.120 ","06.09"
"2세트 팀 승리 ㅋㅋㅋ","댕미미 "," ","06.09"
"....2세트 가져간다고 우승할거같냐??","ㅇㅇ ","175.201 ","06.09"
"나달 설계 오지네 ㄷㄷㄷ","ㅇㅇ ","175.211 ","06.09"
"ㅅㅂ 힘싸움 유일하게 팀이 하는구나","ㅇㅇㅇ ","58.224 ","06.09"
"아... 미친 이러면 나가린데","ㅇㅇ ","211.37 ","06.09"
"와 ㄷㄷ 이거 일내는거 아니냐","ㅇㅇ ","116.121 ","06.09"
"나달 늙어서 체력 먼저 빠지나? ㄷ ㄷ ㄷ ㄷ ㄷ","ㅇㅇ ","182.214 ","06.09"
"와 팀 진짜 나달 잡나 ㄷㄷㄷ","춘천나달 ","121.189 ","06.09"
"더블 셋포인트 ㄷㄷㄷ","ㅇㅇㅇ ","175.120 ","06.09"
"팀 세트 포인트 ㅋㅋㅋ","댕미미 "," ","06.09"
"나달 사망 ㅋㅋㅋ","ㅇㅇ ","182.214 ","06.09"
"와 나달이 먼저 힘빠진다고?","ㅇㅇ ","117.111 ","06.09"
"그래도 이번 대회 통해 팀은 더 이상 새가슴 아니라는 거 보여줬다","ㅇㅇ ","116.32 ","06.09"
"팀이 너무 잘해줘서 당황스럽다","ㅇㅇ ","116.121 ","06.09"
"다비드 곰팡 진짜 대단하다","ㅇㅇ ","175.113 ","06.09"
"2세트에 팀 경기력이 더 좋아짐","댕미미 "," ","06.09"
"팀은 2셋 무조건 따야겟네","ㅇㅇ ","117.111 ","06.09"
"타이가서 팀이 2셋먹으면 모른다","ㅇㅇ ","211.36 ","06.09"
"티엠체력머냐 2셋이 더 쌩쌩ㅎㄷㄷ","ㅑㅓㅓ ","175.223 ","06.09"
"나달이 왜고트논쟁대상인지 알겠다","ㅇㅇ ","58.148 ","06.09"
"팀 내년부터 머레이 루트탈지도 모르겠다","ㅇㅇ ","175.201 ","06.09"
"이거 나달이 브레이크하고 2세트ㅏ 끝날듯","ㅇㅇ ","116.32 ","06.09"
"저걸 퍼 올리네 ㅋㅋㅋ","ㅇㅇ ","121.145 ","06.09"
"5-5","댕미미 "," ","06.09"
"심판 조코닮았지않냐","ㅇㅇ ","221.157 ","06.09"
"어 재 누구지 샌안선수인데??","ㅇㅇ ","121.145 ","06.09"
"메르시 메르시 ~~","ㅇㅇ ","182.214 ","06.09"
"그냥 유리한 코트 서로 다 빼는게 답","ㅇㅇ ","223.38 ","06.09"
"팀 그래도 작년보다는 잘하네","ㅇㅇ ","116.32 ","06.09"
"도미니크 팀 하드에서는 잘해?","ㅇㅇ ","182.214 ","06.09"
"니들 늙더러가 올해 롤랑에 왜 나왔는지 아냐?","ㅁㅁ ","122.47 ","06.09"
"팀 역전각 살짝 보이는데","댕미미 "," ","06.09"
"팀 5-4 리드 ㄷㄷ","댕미미 "," ","06.09"
"1셋 너무 혈전이라 2셋 소강상태인듯","ㅇㅇ ","121.145 ","06.09"
"나달 실수","댕미미 "," ","06.09"
"나달은 주구장창 백으로만 보낸다 ㄷㄷ","ㅁㅁ ","110.70 ","06.09"
"방금 매즈 미켈슨 아니냐? ","ㅇㅇ ","211.37 ","06.09"
"조코비치가 각성 이후로는 나달이랑 클레이에서 호각이었음","ㅇㅇ ","220.95 ","06.09"
"내가 팀이면 내년까지 잠 못잠 ","ㅇㅇ ","175.223 ","06.09"
"아니 1셋 6-3인데 56분 했었네 ㅋㅋ","ㅇㅇ ","175.203 ","06.09"
"2세트 4-4","댕미미 "," ","06.09"
"팀이 이제 평범해진듯","ㅇㅇ ","221.157 ","06.09"
"나달 12번 우승은 독점규제해야 한다!!","테니스 황제 ","223.39 ","06.09"
"아무리 지랄해봐야","ㅇㅇ ","223.38 ","06.09"
"씹코빠 새끼들 몇마리 들와서 팀 응원하네 ㅋㅋㅋㅋ","ㅇㅇ ","159.203 ","06.09"
"관중들 누굴 응원하는 거냐..난리네..","ㅇㅇ ","175.199 ","06.09"
"페노인 좆달 클레이빼면 전적어떠냐","ㅇㅇㅇ ","1.241 ","06.09"
"우승도 해본놈이 한다고했다","ㅇㅇ ","175.201 ","06.09"
"우승상금 30억 ㄷㄷ","댕미미 "," ","06.09"
"나달 수전증 오지노 ?","ㅇㅇ ","121.145 ","06.09"
"클래이코트에서 조코비치가 나달 7번이나 잡았다는데? ㄷ ㄸ","ㅇㅇ ","182.214 ","06.09"
"티엠체력 아직그대로네 아직 긴장빨아야함","ㅑㅓㅓ ","116.34 ","06.09"
"팀 내년까진 나달한테 밀릴 것 같고","ㅇㅇ ","116.32 ","06.09"
"티엠 오늘 평소보다 컨디션 훨 좋음","ㅇㅇ ","121.145 ","06.09"
"좆달 수비돌았노?ㅋㅋㅋㅋㅋ","똥리다뚕리 ","223.33 ","06.09"
"여자단식 트로피 뚜껑열리냐?","ㅇㅇ ","183.99 ","06.09"
"네이버에서 중계안해주냐","피고인 "," ","06.09"
"스코어는 같이 가는데 나달이 지배하는 느낌이네","ㅇㅇ ","124.50 ","06.09"
"역시 클레이는 루즈한듯","ㅇㅇ ","221.157 ","06.09"
"게임스코어 같이가고있어도","ㅇㅇ ","175.201 ","06.09"
"아직 모른다","댕미미 "," ","06.09"
"2셋 되니까 팀서브 존나 좋아지노 ㅋㅋ","ㅇㅇ ","121.145 ","06.09"
"결승에 빈자리가 많네","테니스 황제 ","223.33 ","06.09"
"ㅋㅋㅋㅋ초반3:2 브렉했을때만해도","ㅇㅇ ","125.186 ","06.09"
"글 리젠 시들해졌냐","ㅇㅇ ","175.201 ","06.09"
"아직도 보냐 들?","ㅇㅇ ","222.120 ","06.09"
"볼것도없네 나달승","ㅇㅇ ","118.221 ","06.09"
"티엠 나달과 하면 왜 항상 초반에 불붙노","ㅇㅇ ","121.145 ","06.09"
"걍 3:0 스겜나왔음 좋겠다","ㅇㅇ ","112.185 ","06.09"
"오랜만에 ㅋㅋ","popo ","153.135 ","06.09"
"비라도 내려서 팀 쉬어야 할 거 같은데","ㅇㅇ ","124.50 ","06.09"
"그 스매싱 실수가 스노우볼 오진다 ㅋㅋㅋ","ㅇㅇ ","121.145 ","06.09"
