"dc_title","dc_writer","writer_ip","dc_date"
"사랑하는 여붕이 있냐","ㅇㅇ ","220.80 ","05.08"
"수동차량 속도 줄이는게 어떻게 해야됨???","ㄹㄹ ","116.47 ","05.08"
"올란도랑 카렌스는 이제 가망성이 없는거냐?","ㅇㅇ ","218.158 ","05.08"
"자흡 가솔린이 관리는 그나마 편한데 연비는...","ㅁㅁ ","182.227 ","05.08"
"노깜빡 빌런 k5택시vs 1,2차선 정속주행 화물차","ㅇㅇ ","218.158 ","05.08"
"네이버 호출명","ㅇㅇ ","1.251 ","05.08"
"엔카 허위 고르기 1단계","경차사랑 ","221.145 ","05.08"
"나보다 양아치운전하는 놈있냐","ㅇㅇ ","211.248 ","05.08"
"해치백이 운동성능상 이점이 있음?","ㅇㅇ ","59.26 ","05.08"
"야 인력소개소가 인건비 보통 얼마나 떼감??","ㅇㅇ ","175.223 ","05.08"
"중고차 싸게사려면 디딸 영업용 사","ㅇㅇ ","106.102 ","05.08"
"싼타페 연식변경 6월이냐?","ㅇㅇ ","121.153 ","05.08"
"차바꾸고싶다","ㅇㅇ ","119.194 ","05.08"
"카니발 사실상 양카 아니냐","ㅇㅇ ","59.26 ","05.08"
"아 다이어트 진짜 좆나 힘들구나.","ㅇㅇ ","112.165 ","05.08"
"자살했다","멍찰스 ","223.33 ","05.08"
"일교차 왜이리 크누 ","쌉돼지 ","223.62 ","05.08"
"아 슈벌탱 좆댔다","그차그색 "," ","05.08"
"우리 윗세대는 1차선 개념이 없어서 어쩔수가없음","ㅇㅇ ","121.165 ","05.08"
"정속주행신고 어떻게하냐","ㅇㅇ ","59.26 ","05.08"
"하이브리드 중고 사도 하이브리드 계통은 20만 / 10년 보증 아님?","박차고나와직장을 ","49.142 ","05.08"
"가족중에 치과의사 있다 vs 판검사 있다","ㅇㅇ ","211.202 ","05.08"
"난 치과 보험 가입했는데...","경차사랑 ","221.145 ","05.08"
"햄들 이차 어떰?","ㅇㅇ ","211.215 ","05.08"
"내일 맛없는 부대찌개 먹으러 간다","ㄹㄹ ","116.47 ","05.08"
"차 소모품 싹다 갈려고 하는데","ㅇㅇ ","218.158 ","05.08"
"고속도로 1차선 정속충들 진짜 어떻게 못하나?","ㅇㅇ ","112.165 ","05.08"
"이빨 전부 임플란트로 바꾸면","ㅇㅇ ","121.165 ","05.08"
"중고차는 디젤이 갑 아니냐?","ㅇㅇ ","121.130 ","05.08"
"소형차 모는데 고속도로 어떻게 타면 돼?","ㅇㅇ ","119.70 ","05.08"
"시빅스포츠 봤는데 진심으로 이 차가 기아쏘울보다 나은게 뭐냐?","ㅇㅇ ","211.63 ","05.08"
"요새 터보랙 존나 심한거 나만 그러냐?","레드핫보링스 "," ","05.08"
"오늘효도들했노 이거야","우녕 ","223.39 ","05.08"
"중고차 살거면 디젤 사지마라","OPPA "," ","05.08"
"520i 타고다니면 무시당하냐?","ㅇㅇ ","218.152 ","05.08"
"아까 논산훈련소 옆에서 일했는데 총소리 존~~나 크네","ㅇㅇ ","112.165 ","05.08"
"가솔린 엔진오일 추천좀 ","ㅇㅇ ","211.36 ","05.08"
"내가살면서 제일 잘한 두가지가 치아교정이랑 코성형임ㅎ","ㅇㅇ ","221.145 ","05.08"
"근데 내 교정은 존나 씹 특이 케이스였음","ㅇㅇ ","223.39 ","05.08"
"이빨은 그냥 고기만 잘씹어먹으면 되는거지","ㅇㅇ ","121.165 ","05.08"
"오늘따라 존나 잠자기 싫다","ㅇㅇ ","220.80 ","05.08"
"본인 교정했는데 유지장치 평생끼고살래","ㅇㅇ ","223.39 ","05.08"
"k3노블풀옵살까 개나타스마트풀옵갈까","우녕 ","223.39 ","05.08"
"나도 여붕이가 존나 무서워","ㅇㅇ ","220.80 ","05.08"
"내가 티맵때매 skt쓴다","ㅇㅇ ","121.165 ","05.08"
"실내가 적당히 구려야지","ㅇㅇ ","121.165 ","05.08"
"여붕이가 좋냐 티맵이 좋냐","ㅇㅇ ","220.80 ","05.08"
"티맵 아리아~ 하는거 쪽팔림","ㅇㅇ ","182.225 ","05.08"
"실내가 그렇게 중요한가","ㅇㅇ ","175.223 ","05.08"
"여붕이가 이쁘냐 아이린이 이쁘냐","ㅇㅇ ","220.80 ","05.08"
"520i 라이트가 뭐가  구리다던데 뭐가구린거야?","ㅇㅇ ","218.152 ","05.08"
"근데 임팔라 국내시장 단종 아녔음?","진승영 "," ","05.08"
"550만원 로체 10년식 vs 1050만원 쏘하 12년식","박차고나와직장을 ","49.142 ","05.08"
"해킹, 유포, 사이버 괴롭힘을 당하고있어 도와줘","ㅇㅇ ","49.143 ","05.08"
"벤틀리랑 브라이틀링이랑 관련있냐?","ㅇㅇ ","115.137 ","05.08"
"520i 옵션 개깡통급임?","ㅇㅇ ","218.152 ","05.08"
"화물연대 진짜 개쩔더라","ㅇㅇ ","182.225 ","05.08"
"좋아하는 여자애 임신시킬 방법 생각해봄.txt","ㅇㅇ ","60.253 ","05.08"
"과제하기실내","ㅇㅇ ","121.165 ","05.08"
"로젠 상하차 많이빡샘?","tntnt "," ","05.08"
"ad 앞이랑 페리 뒤 합친 디자인 나왔으면","ㅇㅇ ","59.151 ","05.08"
"지방 소득 개쩔던데??","ㅇㅇ ","211.36 ","05.08"
"일주일에 1200킬로 탄다 질문","야능 ","211.36 ","05.08"
"서울이 운전 개드럽게함","ㅇㅇ ","59.26 ","05.08"
"병역특례라는게 그냥 하는것도 있는데","ㅇㅇ ","220.80 ","05.08"
"요즘 폰네비 뭐가 더 빠르고 정확하냐?","ㅇㅇ ","223.62 ","05.08"
"지방한정으로 자동차세 좀 깎아줘야된다","ㅇㅇ ","59.26 ","05.08"
"근데 병역특례는 왜 하는거임?","ㅇㅇ ","125.184 ","05.08"
"아 조센징들 ㄹㅇ 현기차 까는 반응 왤케 역겹냐 특히 좌음 댓글.ask","ㄷㄷㄷ ","221.141 ","05.08"
"오늘 집가다가 어떤 차가 내 앞을 계속 가로막길래","ㅇㅇ ","220.80 ","05.08"
"현대차 좋은데 왜 중형부터 안 팔림?","아반떼AD ","39.7 ","05.08"
"탈모 긴머리 펌해서 가리기 vs 짧게 자르기","ㅇㅇ ","122.42 ","05.08"
"벤츠에가장잘어울리는 시계","ㅇㅇ ","122.42 ","05.08"
"엑센트가 가격방어가 괜찮네","ㅇㅇ ","59.151 ","05.08"
"쏘울 승차감 어떠냐","야능 ","211.36 ","05.08"
"오클리 ㅅㅌㅊ는 편광 고글도 아껴써도 렌즈수명 짧냐&gt;?","ㄷㄷㄷ ","221.141 ","05.08"
"요즘 창업비율 존나 높대","ㅇㅇ ","211.36 ","05.08"
"형들 23살인데 차 사는거 진지하게 고민 좀","ㅇㅇ ","117.111 ","05.08"
"어떤 차 브랜드 광고중에","ㅇㅇ ","58.236 ","05.08"
"여붕아","ㅇㅇ ","223.39 ","05.08"
"존나 추운날 대중교통은 탈수잇는데 더우면못타겟다 ","11 ","211.250 ","05.08"
"내눈에는 외제차 보다 여붕이가 더 많이 보여 십새끼들아","ㅇㅇ ","220.80 ","05.08"
"벤츠랑 비엠은 브랜드 이미지에서 왜케 끕차이가 확 느껴지냐?","ㅇㅇ ","115.137 ","05.08"
"어중간하게 탈모 걱정되는 새끼들은 머리 직업군인 스타일로 짧게쳐라","ㄷㄷㄷ ","221.141 ","05.08"
"외제차 존나많이보임","ㅇㅇ ","115.40 ","05.08"
"고가 외제차 타고 다닐때 필수품","ㅇㅇ ","122.42 ","05.08"
"전기차 만들거면 모닝같은거나 좀 전기차로 만들지","dd ","175.194 ","05.08"
"하루 200km운전하면 무조건 하브임?","ㅇㅇ ","222.101 ","05.08"
"전기차는정숙성으로타는건데 펀카는좀아니지","멍찰스 ","223.33 ","05.08"
"난 태어날때 기억도 생생함","ㅇㅇ ","211.202 ","05.08"
"회사내 맘에 드는 여자 햇볕정책으로 요즘 고백받기 시도중 ㄹㅇ","ㄷㄷㄷ ","221.141 ","05.08"
"엔진브레이크 많이 써도 되냐??","ㅇㅇ ","183.100 ","05.08"
"세컨차로 아이오닉 타고 싶다 막타기 편할것 같아","ㅇㅇ ","218.101 ","05.08"
"여붕이 마음을 100년 할부로 사고싶네","ㅇㅇ ","220.80 ","05.08"
"집값싼 지방이 소득 적단건 초딩발상이냐?","ㅇㅇ ","122.202 ","05.08"
"벨로스터는 막타는펀카로 존나 살만하지않냐","멍찰스 ","223.33 ","05.08"
"엠씨넥스가 매수타이밍을 주는거같긴한데","ㅇㅇ ","220.80 ","05.08"
"박봄아재가 간과하는게 있는데","고흐흑 "," ","05.08"
"꿈에서 벨로스터탔네","ㅇㅇ ","223.62 ","05.08"
"세단 디딸로 타면 안쪽팔리나","ㅇㅇ ","59.26 ","05.08"
"지방 외제차 ㅈㄴ많아지긴함","ㅇㅇ ","122.202 ","05.08"
"요즘 아파트는 할부도 되냐","ㅇㅇ ","220.80 ","05.08"
"디젤이 정차중에 제일 정숙함","ㅇㅇ ","59.151 ","05.08"
"요즘 현대차들 정차중에 ㅈㄴ 정숙하네","ㅇㅇ ","121.88 ","05.08"
"스팅어 g70은 모든트림 미션 같은거 아님?","레드핫보링스 "," ","05.08"
"지방으로 갈수록 포르쉐가 많이 보이더라","고흐흑 "," ","05.08"
