"dc_title","dc_writer","writer_ip","dc_date"
"아이작한테 강하게 당하고 싶다","미미 ","39.114 ","05.08"
"일본어가 외국어중에 젤 만만함?","ㅇㅇ ","183.97 ","05.08"
"사이퍼즈 접었는데 복귀한이유","ㅇㅇ ","211.36 ","05.08"
"버렝이 있냐?","이지란 "," ","05.08"
"근딜은 누구보고 배워야돼","ㅇㅇ ","49.166 ","05.08"
"킬힐후딜에 죽는 트리비아","ㅇㅇ ","59.17 ","05.08"
"탄야vs트리비아","키아라 "," ","05.08"
"이누야샤 살아있는 생전 금강vs셋쇼마루 싸우면 누가이김?","ㅇㅇ ","183.97 ","05.08"
"카인유저 특","언블 "," ","05.08"
"해야될게 많은데 피곤해 뒤지겠다","꺼맣 "," ","05.08"
"영국보다 프랑스가 예술적이고 화려한이유가 모임?","ㅇㅇ ","183.97 ","05.08"
"어플가입 1쿙 드림","푸름 ","114.207 ","05.08"
"와 운동 안하다 햇더니","체블♭ "," ","05.08"
"샆갤 게이 삼대장","ㅇㅇ ","223.39 ","05.08"
"티엔 잘하는 사람 개멋잇다 ㄹㅇ","ㅇㅇ "," ","05.08"
"외침 이용권은 어디서 구하냐","ㅇㅇ ","123.212 ","05.08"
"오늘 휴가내고 꿀잠 자는데 매니저 전화옴","일하는신머 ","211.36 ","05.08"
"본인 161센티에 129키로","함만봐주삼 "," ","05.08"
"아 호타루 개띠껍네","케넷 "," ","05.08"
"아나 ㅅㅂ 같이 밥먹자고 말할 걸","ㅇㅇ ","175.203 ","05.08"
"시드니로 탱커연습해보는데 어렵다","ㅇㅇ ","223.62 ","05.08"
"자취하니까 살빠지던데","킁킁킁크킁 "," ","05.08"
"브실골 티어 올라가는법","ㅇㅇ ","59.17 ","05.08"
"미친놈들아","언블 "," ","05.08"
"군모시","ㅇㅇ ","175.223 ","05.08"
"나 고졸 열폭 유동인데.고졸 보다는 대가대가 나은듯","ㅇㅇ ","175.223 ","05.08"
"오늘도 수고했어~~","언블 "," ","05.08"
"4수해서 대가대일 리가 없잖음?","ㅇㅇ ","175.223 ","05.08"
