"dc_title","dc_writer","writer_ip","dc_date"
"못견디겠어","장국영 "," ","05.08"
"배고프네","rosemotel ","175.223 ","05.08"
"머랄까유나는진흙속의연꽃같음","ㅇㅇ ","117.111 ","05.08"
"뱀이랑 도마뱀 오또캐","채채 "," ","05.08"
"나는야 짱짱쎄 나는야 짱짱행복해","66 ","220.88 ","05.08"
"귀여운년이랑 ㅅㅅ하는놈 부럽다","ㅁㅁㅋ ","211.108 ","05.08"
"저랑 연애하실 분 구함","토신- "," ","05.08"
"우울한 감정은 깊이 가라앉은 닻처럼","장국영 "," ","05.08"
"나 지굼 살짝 행복해짐","채채 "," ","05.08"
"오늘까지 14만원썼다","우유 ","39.121 ","05.08"
"30대여자만나는건자원봉사아니면지뢰밟는거임","ㅇㅇ ","117.111 ","05.08"
"하...신용카드 잃어버려서 ","거부기 "," ","05.08"
"이씨팔 색스하고싶어","ㅇㅇ ","175.223 ","05.08"
"10대후반20대초여자아니면관심업음","ㅇㅇ ","117.111 ","05.08"
"성인이 그 나이또래 못만나는건 도태되서 그렇지","ㅇㅇ ","39.7 ","05.08"
"아 이번달 재산 50채움 ","555 ","180.182 ","05.08"
"자살하고  싶어","사리 "," ","05.08"
"질싸말곤가짜섹스아님?","ㅇㅇ ","117.111 ","05.08"
"하지말라는건 꼭 해봐야 직성이 풀리는게 마이라잎","66 ","220.88 ","05.08"
"티루트 먹버 무슨 소리냐","ㅇㅇ ","175.223 ","05.08"
"공허하다","장국영 "," ","05.08"
"독시님 받아만주신다면 매일 1식 5찬까지 해드릴게요","555 ","180.182 ","05.08"
"유나  따먹고싶어","ㅇㅇ ","223.38 ","05.08"
"근데 솔직히 집이가난하면 돈이최고인것 같지 않음?","미미프린스 ","118.220 ","05.08"
"진짜 멍청해","ㅇㅇ ","178.128 ","05.08"
"한 30살까지만살아도 해볼거다해보지않을까","핫싼 "," ","05.08"
"블랙넛 나 왜 찾아","현짱 ","112.162 ","05.08"
"죽을 수 있으면 좋겠다","장국영 "," ","05.08"
"개미를 키우기도 하는구나","ㅇㅇ ","178.128 ","05.08"
"십년이면 키우던 개미가 죽어도 슬플거같은데","핫싼 "," ","05.08"
"롤접어야지","양모 ","183.107 ","05.08"
"지금 30만원 잇으니까","채채 "," ","05.08"
"아직도","ㅇㅇ ","178.128 ","05.08"
"아 볼 말랑해","사리 "," ","05.08"
"ㅁㅁㅋ는 먼소리냐 나 차단안함","진호 ","223.62 ","05.08"
"빨래해야되는데","새린이 "," ","05.08"
