"dc_title","dc_writer","writer_ip","dc_date"
"사이클 65분 완료..","쭈쭈 "," ","05.08"
"치킨한마리가 칼로리 어느정도댐?","ㅇㅇ ","220.77 ","05.08"
"체중 좀더 감량하고 해야겠다","ㅇㅇ ","183.105 ","05.08"
"기초대사량1250이고","ㅇㅇ ","125.182 ","05.08"
"드디어 배 꺼졌다ㅠ","ㅇㅇ ","175.192 ","05.08"
"오늘 저녁때 먹은거","55 ","180.68 ","05.08"
"수마트체중계나도살까?","필라이트♥ "," ","05.08"
"3일단식이나 7일단식 해본적 있는사람?","ㅁㄴㅇㄹ ","1.232 ","05.08"
"오늘의 운동~","ㅇㅇ ","59.28 ","05.08"
"결혼이란게 참 신기함 이것저것 따질것 같은데 평범한여자랑","ㅇㅇ ","175.223 ","05.08"
"오늘 일반식하고 운동도 안함","ㅇㅇ7 "," ","05.08"
"낼 서브웨이vs 햄버거 단품","Peko "," ","05.08"
"햄스트링 나가서","묏자리 "," ","05.08"
"불닭볶음탕면이랑 불닭쫄볶이 ㅏ먹고싶다","모모라 "," ","05.08"
"후 난 자지의 노예가 아니다","사신쨩주머니 "," ","05.08"
"갑자기 그 과자먹고싶음 미용실가면 주는거","ㅇㅇ ","112.140 ","05.08"
"딴 놈 자지 빤 입술이랑 키스한 느낌은 어떤가요?","ㅇ ","39.7 ","05.08"
"오늘 다이소에서 오레오 종류별로삿어","ㅇㅇ ","112.165 ","05.08"
"간헐적 단식 성공했다는 유튜버들 특징","나무너무 "," ","05.08"
"후다년 면전에다 걸레년이라 했는데 존나 ㅂㄷㅂㄷ거리는데","갓기 ","124.58 ","05.08"
"삼두운동을 한번도 안했넹","ㅇㅇ ","175.223 ","05.08"
"꺼내먹어요들을때 무슨 음식먹고싶은데?","정지금 "," ","05.08"
"견과류 허니버터아몬드로 먹으면 좆망각이노","ㅇㅇ ","112.165 ","05.08"
"돼지시키들 이 형님은 구키로뺐다","ㅇㅇ ","175.206 ","05.08"
"다이어트 19일차 먹은것들입니다!","ㅇㅇ ","175.116 ","05.08"
"님들 꺼내먹어요 들어봐","정지금 "," ","05.08"
"예전에 뉴스에도 나왓자너 2030여자들의 절반이","ㅇㅇ ","185.89 ","05.08"
"멸치들은 살기위해먹고 돼지들은 먹기위해삶","ㅇㅇ ","211.244 ","05.08"
"요즘 군것질 많이하는데 ","ㅇㅇ ","172.56 ","05.08"
"남친있는 여자 보댕이는 이미 너무나 많이 박힌 보댕이라","ㅇㅇ ","39.7 ","05.08"
"노래 잘하는거 여자 꼬시는데 거의 도움 안 되는데 ","ㅇㅇ ","39.7 ","05.08"
"미국산 프라임 등심 예약해놧어 2주뒤에 한달기념 치팅으로","묏자리 "," ","05.08"
"오늘 발정난새끼들 왤케많냐","ㅇㅇ ","183.105 ","05.08"
"연애 시작하면 질싸하고 싶어지는데 정상?","ㄴㅁㅇㄹ ","124.58 ","05.08"
"간혈적 단식 해봤는데 나한텐 안 맞더라고","공삼일공 "," ","05.08"
"근데 간헐적단식 꼭 해야 좋음?","ㅇㅇ ","115.143 ","05.08"
"하루 섭취 칼로리는 기초 대사량과 동일하게 맞추고 꾸준히 헬스 ㄱㄱ","ㅇㅇ ","124.63 ","05.08"
"주정차 금지지역인지 어떻게 암?","ㅇㅇ ","222.239 ","05.08"
"아몬드브리즈로 밀크티 만들면 마싰음","ㅇㅇ ","211.214 ","05.08"
"폼롤러준대서 걍삼;;","ㅇㅇ ","175.223 ","05.08"
"하루 1000칼이하로 먹는데","ㅇㅇ ","115.143 ","05.08"
"멸치중에 이래도 살 안찌면 ㅇㅈ한닺","ㅇㅇ ","180.65 ","05.08"
"아몬드브리즈는 정확히 무슨 효과로 먹는거임","ㅇㅇ ","115.143 ","05.08"
"얘들아 내일 리아데이라고 핫크리스피버거 1+1 행사해!","옥수수폭탄 "," ","05.08"
"내가 덜렁이라 생리는 잘 모르지만","묏자리 "," ","05.08"
"다갤님들은 어떤거에 집착할정도로 열심히 해본적 있나요?","ㅇㅇ ","218.144 ","05.08"
"93키로인데 살빼고 싶음.. 이렇게 먹어도 빠짐?","ㅇㅇ ","121.136 ","05.08"
"그 공원에 운동기구중에 앉아서 몸들어올리는거있잖아여","dd ","222.100 ","05.08"
"시파","묏자리 "," ","05.08"
"연애 할 때 다 퍼주면 이별할 때 별로 안괴로움ㅋ","ㅇㅇ ","121.148 ","05.08"
"생리하기전에 왜이리 피부뒤집어지냐","ㅇㅇ ","221.164 ","05.08"
"진지하게 공포물 볼까 생각중","움직여 "," ","05.08"
