"dc_title","dc_writer","writer_ip","dc_date"
"ºÀÅõ ¸ð°í ÀÎ¼â¼Ò¿¡¼­ º¹»çÇÏ¸é °°ÀÌ¾µ¼öÀÖÀ½?","¤·¤· ","124.50 ","05.08"
"°¡Çü ¼ö´É 4µî±Þ ÀÌÃ¢¹«vsÇÑ¼®¿ø","ÅË¾Æ¾Ó ","59.30 ","05.08"
"¼ÖÁ÷È÷ 10´ëµé º¸¸é °°ÀÝÁö¾Ê³Ä?","¤·¤· ","223.39 ","05.08"
"¹®°ú 31212 ·Î ºÎ»ê °æºÏ ¸ø °¡?","¤·¤· ","121.182 ","05.08"
"Å° 152¿¡ ½¿»çÀÌÁî 75E ¾î¶¶?","¤·¤· ","223.62 ","05.08"
"¾Æ °íµîÇÐ±³ ¿À°í ¤¸¤¤ ¿Ü·Î¿öÁ³¾î","¤·¤· ","101.235 ","05.08"
"±Ùµ¥ ¼ÖÁ÷È÷ ÃÖ»óÀ§ ¹®°ú°¡ Á¦ÀÏ ÁÁÀº°Ô","¤·¤· ","1.233 ","05.08"
"ÇÑ¼®¿ø °øÁö¿¡ »ç°ú±Û ¹¹ÀÓ?","±è´Ù¿ï&amp;#39; "," ","05.08"
"±¹»Í °Å¸£°í ¼ÖÁ÷È÷ ¿À´Ã ¾Æ¾à½º°¡ ÀÌ±æ °Å °°À½ ¤·¤·","¤·¤· ","221.159 ","05.08"
"10´ë 20´ë ¶§´Â ¿¬¾ÖÇÒ¶§ ¿Ü¸ð°¡ Áß¿äÇÏ´ë","¤·¤· ","119.64 ","05.08"
"¾ß Àß»ý±ä ¿©ÀÚ´Â º°·Î³Ä?","¤·¤· "," ","05.08"
"³ªÇü ÀÛ³â ¼ö´É 4µî±ÞÀÎµ¥ 6¸ð ¶§ 1ÄÆ µÈ´Ù°íº½?","¤·¤· ","125.132 ","05.08"
"8µî±Þ ¹®´ë°¡¸® µ¹µ¹ÀÌµµ¡º¼­¿ï´ë ÀÇ´ë Á¤½Ã ¼ö¼®¡»°¡´ÉÇÑ ¹«ÀûÀÇ Ä¿¸®Å§·³¡¡","»þ¹ÌÅ° "," ","05.08"
"¹®°ú 1/5/6/1/1 ¹Ý¼ö Á¶Áö¸é ¤·¤§°¡´É?","¤·¤· ","223.62 ","05.08"
"¾ö±ÙÁø»ó ÀÌÁ¦ Å·µµ¿µ1ÀÎÃ¼Á¦·Î °¡ÀÚ ¤¡¤¡¤¡¤¡ ¤¡","¤·¤· ","124.80 ","05.08"
"±èµ¿¿íÀº ¤©¤· ¾ÆÀÌÅ¥ 120 ÀÌ»ó¸¸ µé¾î¶ó","ÅË¾Æ¾Ó ","59.30 ","05.08"
"±Ùµ¥ ÆÐ½º »ç´Ï±î ÀÎ°­ NÁ¦ ¸¹ÀÌ »ç°Ô µÇ³×","233 ","223.62 ","05.08"
"³­ »ðÀÚ·ç º°·Î¸¾¿¡¾Èµë","¤·¤· ","124.51 ","05.08"
"¹¹µçÁö ¸í¹éÈ÷ ÀÚ±â°¡ Àß¸øÇßÀ¸¸é ±×³É ¹«Á¶°Ç »ç°úÇÏ´Â°Ô ¸ÂÁö ¾Ê³Ä","¤·¤· ","223.38 ","05.08"
"»ý¸í°úÇÐ ¿ø 1,4´Ü¿ø¿¡¼­ ¾î·Á¿î°Å ³ª¿ÂÀûÀÖ³Ä?","¤·¤· ","211.36 ","05.08"
"±Ùµ¥ ÇÑ¼®¿øÀÌ ÁøÂ¥¿À¸é °³¾î»öÇÏÁö¾ÊÀ»±î?","¤·¤· ","211.204 ","05.08"
"ÀçÁ¾¹Ý ¾î¶»°Ô Â°³Ä","ÀÌ³ª¹« "," ","05.08"
"ÃÖ»óÀ§±ÇÀÇ ±âÁØÀÌ ¹¹ÀÓ?","¤·¤· ","1.236 ","05.08"
"¾Æ 6Æò ÁøÂ¥ Àßº¸°í ½Í¾î","ÀçÁ¾¾Æ½Î "," ","05.08"
"±èµ¿¿í ¹æ½Ä ¸øµû¶ó°¡´Â¾ÖµéÀÌ ¤´ÀÎ°ÅÁö","¤·¤· ","220.116 ","05.08"
"¿ø¼ø¿­ ¼ö´É¿¡ ¾È³ª¿À´Â°Å ¸ÂÁö¾Ê³Ä?","¤·¤· ","222.116 ","05.08"
"6ÆòÀü±îÁö ¹ÌÀû ÀÚÀÌ±âÃú ÇÑ¹ø µ¹¸®±â °¡´É??","ÀçÁ¾¾Æ½Î "," ","05.08"
"¼ö²ÀÇÊ µè?","¤·¤· ","14.51 ","05.08"
"8µî±Þ ¹®´ë°¡¸® µ¹µ¹ÀÌµµ¡º¼­¿ï´ë ÀÇ´ë Á¤½Ã ¼ö¼®¡»°¡´ÉÇÑ ¹«ÀûÀÇ Ä¿¸®Å§·³","»þ¹ÌÅ° "," ","05.08"
"»ý¸í°úÇÐ 3 4´Ü¿ø¿¡ ¾î·Á¿î°Å ÀÖ³ª¿ä","¤·¤· ","219.249 ","05.08"
"Àå¿°´ö¿¡ ÀÌÆ² ½¬¾ú´õ´Ï °øºÎÇÏ°í½Í´Ù","¤·¤· ","116.126 ","05.08"
"À¯Æ©ºêº¸´Âµ¥ Á¤½ÂÁ¦ ¼ö°­»ý Æò±ÕÀÌ ÀÌÁ¤µµ?","XD ","210.96 ","05.08"
"³ëº£ ¹®ºØÀÌ 2/5/5/2/1 ¹Ý¼ö ¤·¤§°¡´É?","¤·¤· ","122.36 ","05.08"
"¼ÖÁ÷È÷ ´©°¡ ÅäÆ®³Ñ ¿Ã¶ó°¡¸é ¸®¹äÇ®ÀÌ ¿ì½ÂÀÓ ¤»¤»¤»¤»¤»¤»¤»¤»¤»","¤·¤· ","223.62 ","05.08"
"·¯¼¿¿¡¼­ Á¿¸ñ °¡´ÉÇÏ³Ä?","¤·¤· ","222.234 ","05.08"
"¿ëÀÎ´ë Ã¼´ë¸é ¾î´ÀÁ¤µµÀÓ?","¤·¤· ","220.121 ","05.08"
"Å³·¯ ·ÎÁ÷ ÈïºÐÀüµµ ±Ù¼öÃà ¿ÀÁø´Ù..","¤²¤±¤» ","39.7 ","05.08"
"±¹¾î 6¿¡¼­ 4°¡´Â°Ç ±×³É Á¦´ë·Î Ç®¸é µÊ?","¤·¤· ","125.132 ","05.08"
"¿µ¾î ÀýÆòµÇ¸é¼­ ½¬¿öÁø°Å ¸Â³Ä","¤·¤· ","211.36 ","05.08"
"¾ÆÁ¦µé ÅëÀÏ°ñµçº§ÀÌ ¹¹ÀÓ?","¤·¤· ","223.62 ","05.08"
"´ñ±Û¾Ë¹Ù ´ç¿¬È÷ ºÒ¹ýÀÌÁö º´½Åµé¾Æ","¤·¤· ","203.226 ","05.08"
"¿µ¾î ¿¬°è¶ó´Â°Ô","¤·¤· ","59.13 ","05.08"
"¼ÖÁ÷È÷ ³»ÀÏ ÅäÆ®³ÑÀÌ ¿Ã¶ó°¥±î ¾Æ¾à½º°¡ ¿Ã¶ó°¥±î","¤·¤· ","221.159 ","05.08"
"¹®°ú¼öÇÐÀÌ µî±ÞÀß³ª¿À´ÂÀÌÀ¯°¡ ¹¹ÀÓ?","¤·¤· ","14.34 ","05.08"
"Çö¿ª ¼öºØ ³¾ºÎÅÍ ±¹¾î ºý°øÇÏ¸é 6¸ð 2°¡´É??","¤·¤· ","222.237 ","05.08"
"°¡´ÉÃæ Æ¯Â¡.real","Å»°¶ ","221.150 ","05.08"
"¹®°ú ³ëº£ »ó´ãÁ»","¤·¤· ","122.36 ","05.08"
"À±µµ¿µ ¾óÅØ °¡°èµµ žÍÄÉ ¾ÃÃ¢ÀÌ³Ä?","¤·¤· ","121.134 ","05.08"
"ÀÚÀÌ½ºÅä¸® ¼öÇÐ ÀÌ°Å ´ÙÇÏ°í µÑÁß¿¡ ¹¹ÇÒÁö ÃßÃµÁ»","¤·¤· ","121.165 ","05.08"
"³ëº£ÀÌ½º°¡ ³»ÀÏºÎÅÍ ºý°øÇØ¼­ °­¿ø´ë°£½ä","¤·¤· ","211.36 ","05.08"
"³ªÇüÃæÀÎµ¥ °ø´ëÂÊ¸»°í ÀÚ¿¬°è¸é µÇ´Âµ¥ ³ªÇüºÁµµ ¹«¹æÇÑ°ÅÁö?","¤·¤· ","14.34 ","05.08"
"³»ÀÏ ÇÒ²¨ D-189","¤·¤· ","39.7 ","05.08"
"´ëÇÐ»ýµµ ±»ÀÌ »ç±ÍÀÚ°í °í¹éÇØ¾ßµÊ?","¤·¤· ","1.233 ","05.08"
"³ªÇü ÀÛ³â ¼ö´É 4µî±ÞÀÎµ¥ 6¸ð ¶§ 1ÄÆ ¹Þ±â µÇ³Ä.....","¤·¤· ","125.132 ","05.08"
"Çö¿ª¶§º¸´Ù °øºÎ ¾ÈÇÏ´Â Àç¼ö»ýÀÕ³Ä","¤·¤· ","36.39 ","05.08"
"µ¿ÂÊ ÇÑ´ë ¼­ÂÊ ¼­°­´ë ºÏÂÊ ¼º´ë  ³²ÂÊ Áß´ë ¼­¼ºÇÑÁß","¤·¤· ","110.70 ","05.08"
"¿¬¼¼´ë¿øÁÖÀÇ´ëvs ¼­¿ï´ë ÀüÈ­±âÇÁÆÐ","¤·¤· ","117.111 ","05.08"
"ÀßÀÚ","David2 "," ","05.08"
"½Ã¹ß Á¿µÆ´Ù ¿À´Ã Ã¨½º ºÁ¾ßÇÏ´Âµ¥","¤·¤· ","221.159 ","05.08"
"ÇÑÀ¯¹Î?","¼­ÆÇ±³ "," ","05.08"
"±æÁ¿³ÉÀÌ ¹äÁÖ´Â°Å ´Ü¼Ó Á»ÇßÀ¸¸éÁÁ°Ú´Ù","1¤·¤·1 "," ","05.08"
"ÀÛ³â¼ö´É5µî±ÞÀÎµ¥ ³»ÀÏºÎÅÍ ºý°øÇÏ¸é 6¸ð ±¹¾î 1µî±Þ °¡´É?","¤·¤· ","211.36 ","05.08"
"°ÔÀÌµé¾Æ Áú¹®ÀÌÀÖµû","¼ö°ÔÀÌ ","222.109 ","05.08"
"¼öÇÐ°¡Çü 6µî±Þ 189ÀÏµ¿¾È Á¶Á®¼­ ¼ö´É³¯ 3°¡´É?","¤·¤· ","110.70 ","05.08"
"¸ð°í ¼ºÀûÇ¥¿¡ ±âÅ¸Âü°í ÀÚ·á ºÁ¼­ ¹¹ ¾ËÀ¸¶õ°ÅÀÓ?","¤·¤· ","175.196 ","05.08"
"¾Æ¶ø¾î 6¸ð ¶§ ½ÃÀÛÇÏ¸é ¸îµî±Þ Á¤µµ ³ª¿È?","¤·¤· ","125.132 ","05.08"
"µ¶ÀçÇÏ¸é ¿Ö ¸ÁÇÑ´Ù´Â°Å³Ä","ÀçÁ¾¾Æ½Î "," ","05.08"
"Ã¢¹«¾ÆÀç°¡ ¤©¤· ÁÁÀº ÀÌÀ¯","233 ","223.62 ","05.08"
"ÈÆ·Ãµµ°¨ Çö´ë½Ã ´Ùµè°í È¦¼öÇª´Âµ¥ ¤¶¤µ¤¼¤º³×","¤·¤· ","211.201 ","05.08"
"¸¾½º°Å½Ã±âÅÍ¯ƒ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»","»óÁÖ´ëÀÚÅð»ýÀÎ¼­¿ï°¡Áî¾Æ ","221.149 ","05.08"
"ÇÑÀÇ´ë °¥°É ±×·¨³ª","¤·¤· ","1.233 ","05.08"
"µð½Ã¼­¹ö ¾Ö¹ÌµÚÁ³³× ÁøÂ¥","¤·¤· ","14.34 ","05.08"
"³ªÇü 4¸ð 2ÅÎ°ÉÀÌ °ÔÀÎµ¥ 6¸ð ¶§ 96Á¡ ³ë¸®´Â°Ç ¹«¸®³ë?","¤·¤· ","125.132 ","05.08"
"Çö¿ìÁø ´º·±µéÀ¸¸é¼­ Á¸³ª ÇÊ±âÇÏ´Â¾Öµé ¹¹³Ä","¤·¤· ","118.139 ","05.08"
"³Ê³× Çö¿ª¶§ ÇÐ±³³¡³ª°í Áý¿¡¼­ °øºÎ ¸î½Ã°£Çß³Ä?","¤·¤· ","211.36 ","05.08"
"´ñ±Û¾Ë¹Ù°¡ ¹ü¹ýÇàÀ§ÀÓ? ¿Ö ºÒ¹ý´ñ±Û¾Ë¹Ù¶ó°íÇÏ´Â°Å¾ß?","¤·¤· ","211.36 ","05.08"
"³ëº£ÇÑÅ×´Â ±è½Â¸®º¸´Ü À¯´ëÁ¾ÀÌ³Ä","¤·¤· ","124.54 ","05.08"
"¼ö´É 243132³ª¿À¸é ÁöÀâÇàÀÌ³Ä?","¤·¤· ","118.33 ","05.08"
"±Ùµ¥ ¿ª»çÂÊ¸¸ Æ¯º°È÷ÀßÇÏ´Â »ç¶÷ÀÌ ÀÖÀ½?","¤·¤· ","223.62 ","05.08"
"ÆÎÀÏÀÌ ÀºÅðÇÏ³Ä??","¤·¤· ","49.143 ","05.08"
"¿µ¾îµè±âµÎ°³Æ²·Ç´Âµ¥","¤·¤· ","125.180 ","05.08"
"°³³äÀÇ ³ªºñÈ¿°ú ¼öÆ¯ ¼ö¿Ï ±âÃâÇÏ¸é ±¹¾î 1µî±Þ ½Ê°¡´É?","¤·¤· ","112.156 ","05.08"
"ÀçÁ¾ À¯½ÃÇèÀüÇü ½ÃÇè ¾î·Á¿ò?","¤·¤· ","121.146 ","05.08"
"¾Æ ÁøÂ¥ ³» ½Ç·Âº¸´Ï±î 190ÀÏµµ ¾È±ä°Å °°³×","ÀçÁ¾¾Æ½Î "," ","05.08"
"ÀÛ³â¼ö´É8µî±Þ³ëº£ÀÌ½ºÀç¼ö»ý³»ÀÏºÎÅÍ18½Ã°£°øºÎÇÏ¸éºÎ»ê´ë±â°è°¡´É?","¤·¤· ","125.136 ","05.08"
"°í1 3¸ð 8µî±Þ -> °í2 3¸ð 3µî±Þ ¤±¤¼¤º?","¾Æ¸¶µµ "," ","05.08"
"º»ÀÎ 6Æò ¸ñÇ¥","¤·¤· ","211.36 ","05.08"
"ÁöÀâ´ë³ª¿À¸é ¹Ì·¡ ÀåÀÎ¾î¸¥ÀÌ ¹¹¶ó»ý°¢ÇÔ?","¤·¤· ","14.34 ","05.08"
"ÀÚ·çÁÂ ¿äÇÑº¹À½ 12Àå 24Àý Á¸³ª ÁÁ¾ÆÇÔ¤»¤»¤»","¤·¤· ","125.183 ","05.08"
"¹®ÇÐ ÀÎ°­Âª°í ±¦ÂúÀº°ÅÃßÃµÁ»¤Ð¤Ð","¤·¤· ","220.72 ","05.08"
"ÀçÁ¾ ³·Àº¹ÝÀº ¤©¤· ³ë´äÀÎµí","ÀçÁ¾¾Æ½Î "," ","05.08"
"°í2 ¿µ¾î ³ëº£ÀÎµ¥ °øºÎ ¾î¶»°ÔÇØ¿ä Çü´Ôµé","¤·¤· ","39.119 ","05.08"
"Çö¿ª ÇÏ·ç °øºÎ½Ã°£ 7½Ã°£ÀÌ¸é »óÀ§ ¸îÀÌ¾ß?","¤·¤· ","124.53 ","05.08"
"²À ±¹¾î¼ºÀû ³ôÀº ¾ÖµéÀÌ ¸»À» °Ç¹æÁö°Ô ÇÏ´õ¶ó","¤·¤· ","121.165 ","05.08"
"»ðÀÚ·ç°¡ ±×³É ¿ÀÇØ¼ÒÁö°¡ ÀÖ°Ô ¿µ»ó¸¸µé¾úÀ½","¤·¤· ","211.204 ","05.08"
"ÁßÇÐ±³¶§ °øºÎ ¿ÖÇßÁö ¤»¤»¤» ÆÛÁú·¯³î°É ±×·¨´Ù","¤·¤· ","14.34 ","05.08"
"°í2. ¼ö½Ã Á¤½Ã °í¹Î ÁßÀÔ´Ï´Ù. Á¦¹ß ºÁÁÖ¼¼¿ä","1111 ","116.36 ","05.08"
"³ªÇü °úÅ½","¤·¤·¤· ","58.234 ","05.08"
