"dc_title","dc_writer","writer_ip","dc_date"
"소해하기전에 병가다쓰는넘들 몇퍼나댐","극진파 ","211.246 ","05.08"
"앰생 병신 쓰레기 단톡방 공익 단톡방 댓글ㄱㄱ","ㅇㅇ ","110.70 ","05.08"
"앰생 지잡 장애인 공익 단톡방 댓글 ㄱㄱ","ㅇㅇ ","110.70 ","05.08"
"돼정공들 표정부터가 좆같음","ㅇㅇ ","223.62 ","05.08"
"부활한 방구석 앰생 공식 채팅방이다 이거야","ㅇㅇ ","110.70 ","05.08"
"애들아 올해 준공무원 10만명 채용은 뭘까?","ㄴ ","220.71 ","05.08"
"공익 갤러리 채팅방 부활했다","ㅇㅇ ","110.70 ","05.08"
"어눌한 공익","ㅇㅇ ","223.39 ","05.08"
"근데 비리비리한 멸공보다는 돼공이낫지","ㅇㅇ ","119.202 ","05.08"
"내가 지금까지 부동산쪽만 투자했는데","ㅇㅇ ","114.204 ","05.08"
"직원이 자꾸 나한테 하소연한다","ㅇㅇ ","118.176 ","05.08"
"나는 ㅅㅂ훈련소 훈련은 뭔 짓을 해도 상관 없는데","노가다사령부 "," ","05.08"
"정공게이들아 병원 몇달에 한번꼴로 가냐","ㅇㅇ ","121.129 ","05.08"
"인싸돼지 물론 있지","ㅇㅇ ","223.62 ","05.08"
"오늘 노인네들다가 허리진짜 심하게다쳐서 너무아픈데 마음까지병드는듯","ㅇㅇ ","112.167 ","05.08"
"ilo 될거같지않냐?","ㄴ ","220.71 ","05.08"
"아토피 재검7급받앗는데","ㅇㅇ ","122.254 ","05.08"
"다한증인데","ㅇㅇ ","122.44 ","05.08"
"근데 빈맥이 뭐야","ㅇㅇ ","223.62 ","05.08"
"안경제비 돼공인데도 여자애들이 잘해준다니까","ㅇㅇ ","211.36 ","05.08"
"애초에 공무원녀들도 잘생긴 공익오면 질질싸는건 마찬가지임","ㅇㅇ ","122.35 ","05.08"
"훈련소때는 훈련소만 끝나면 존나 쉽고 편할거 같았는데","ㅇㅇ ","211.36 ","05.08"
"시발 남자공무원하나 어느순간부터 말까고 막 어깨주무르고 그러네","ㅇㅇ ","211.36 ","05.08"
"그냥 이렇게 생각하면 답나옴","ㅇㅇ ","223.62 ","05.08"
"재지정 복지-&gt;행정은 정신과 진단서 이외에 절대 안되는거냐?","ㅋㅋ ","59.15 ","05.08"
"여자 공무원년들 다 잘해주니까 괜히 기대하지마라","ㅇㅇ ","211.36 ","05.08"
"여공무원 브라끈 튕겨보고 싶다","ㅇㅇ ","223.62 ","05.08"
"훈련소 갔다오면 외우는 거","ㅂㅂ ","39.7 ","05.08"
"훈련소에서 레알 안씻는 새끼들","으앙리 ","118.36 ","05.08"
"근무지 여근무자들 다 공익들한테 잘해주냐?","ㅇㅇ ","211.36 ","05.08"
"진짜 은수저다(어그로주의)","98년생 ","210.222 ","05.08"
"파쇄로만풀근찍는다","6876 ","220.120 ","05.08"
"월급내놔","ㅇㅇ ","223.62 ","05.08"
"시발 룸방가니 월급없네 ","ㅇㅇ ","14.46 ","05.08"
"훈련소 현역과 보충역 훈련강도 차이","ㅇㅇㅇㅇ ","175.112 ","05.08"
