"dc_title","dc_writer","writer_ip","dc_date"
"근데 이좆병신들은 중앙대면중앙대지 왜 중경외시인데 이ㅈㄹ하냐","ㅇㅇ ","223.38 ","05.08"
"정치성향이 우파에 가까우면 공시 떄려처라","DD ","58.232 ","05.08"
"공무원 부부하려면 3억 있어야함?","ㅇㅇ ","223.33 ","05.08"
"진짜 욕먹어야 하는건 공무원이 아니다","ㅋㅋㅋ ","125.178 ","05.08"
"도서관 좋아하는 여자 고백하기vs개패기","ㅇㅇ ","223.39 ","05.08"
"부모 도움받아 공부하는 새끼들 있냐","ㅇㅇ ","223.39 ","05.08"
"공무원 욕 존나함 사람들이","12 ","175.223 ","05.08"
"영문법 기본서 2회독 중인데 앞으로 뭐해야되냐","ㅇㅇ ","58.124 ","05.08"
"챔스는 갓흥갓한테 맡기고 이만 자러 간다","ㅇㅇ ","182.230 ","05.08"
"나 키166 8급일행. 여친 키152 49 간호사 누가낫냐? ","ㅇㅇ ","121.187 ","05.08"
"교사새끼들은 역량이란게 뭔지도 모르더라","ㅋㅋㅋ ","125.178 ","05.08"
"9급하면서 퇴근 후 다른 수입원 개발하는 사람있냐?","ㅇㅇ ","121.179 ","05.08"
"야 이충권이랑 김기훈이랑 닮은거같지않냐?","ㄱㄱㄱ ","117.111 ","05.08"
"동국대생인데 다들 대기업 공기업 가는데 9급은 ","디 ","121.137 ","05.08"
"도시 공사가 넘버 2구나  요  적폐  새기들 .","ㆍ ","175.223 ","05.08"
"가격 탄력성 정액구매 헷갈리는 사람있지않음?","ㅁㅁㅁ ","182.210 ","05.08"
"공기업도 공기업 나름아닌가","34 ","220.81 ","05.08"
"ㅅㅂ 밤마다 잠안오는데 죽을거같다 나만그러냐?","ㅇㅇ ","39.122 ","05.08"
"지방 분권 시대에 도시 공사 요 개새 조지고 지방  공무원 늘리면 ㅆ시타","ㆍ ","175.223 ","05.08"
"임신,출산,육아 의무 만들어야함","ㅋㅋㅋ ","125.178 ","05.08"
"9급보고 고졸따리시험이라 하는 새끼들보고 함 해보라고 해라","ㅇㅇ ","182.230 ","05.08"
"서울시현직인데","ㅇㅅㅇ ","106.253 ","05.08"
"중경외시 이상이 9급 하는건 ㄹㅇ 쪽팔린거다...","ㅇㅇ ","125.138 ","05.08"
"솔까 교사새끼들 7급 절대 못붙음","ㅋㅋㅋ ","125.178 ","05.08"
"솔까 여자도 군대가야됨","ㅋㅋㅋ ","125.178 ","05.08"
"공갤에 꼬추달린여자 존나많네","ㅇㅇ ","223.39 ","05.08"
"우리나라 적폐세력 2가지","ㅋㅋㅋ ","125.178 ","05.08"
"니들 극한직업 교도관편 봤냐??","ㅇㅇ ","121.179 ","05.08"
"맞장구쳐주는 남자가 없네","ㅇㅇ ","106.102 ","05.08"
"엄마가 설시 추채 붙을거 같다니까 3천 주더라","ㅇㅇㅇ ","223.62 ","05.08"
"중경외시인데 9급 준비하면 쪽팔린거냐","ㅇㅇ ","112.151 ","05.08"
"좆방 본청 현직임.","ㅋㅋ ","61.85 ","05.08"
"연고지가 이렇게 중요한지 몰랏다","ㅇㅇ ","222.101 ","05.08"
"고3 내신등급7등급 9급합격하기vs김정은 암살하기","ㅇㅇㅇ ","1.233 ","05.08"
"회계사 vs 7급 일행","ㅇㅇ ","112.151 ","05.08"
"91년생 군미필 5년차 장수생....","ㅇㅇ ","185.89 ","05.08"
"현직 푸념이다","ㅇㅇ ","118.216 ","05.08"
"문재인은 도시 공사  이 새끼들을 잡아야돼 .","ㆍ ","175.223 ","05.08"
"경기도 지방직 다니는 게이들아","ㅇㅇ ","180.134 ","05.08"
"결혼의 의미가 뭘까.                             ","ㅇㅇ ","223.39 ","05.08"
"공무원 결격사유에 해당하지 않는 이상 포기하지 마라","갓무원 ","58.143 ","05.08"
"학원 왜 다니는거냐","ㅇㅇ ","223.39 ","05.08"
"노량진 고시원추천좀ㅇㅇ","ㅇㅇ ","210.183 ","05.08"
"면접 정장 대여 해본 애 있음??","ㅇㅇ ","118.36 ","05.08"
"야한얘기하고시픈데","ㅇㅇ ","106.102 ","05.08"
"얘들아 회독 하면 굳이 암기 안 해도 됨?","ㅇㅇ ","112.151 ","05.08"
"요세 자살뉴스 자살기도 뉴스나오던데..","ㅇㅇㅇ ","1.233 ","05.08"
"구청 공무원 절반은 도시 공사  이 새끼들 . 적폐 .","ㆍ ","175.223 ","05.08"
"오늘 내일 스포츠 빅매치 왤케많냐","ㅇㅇ ","121.179 ","05.08"
"공무원 갤러리 요즘보면 성욕이 많이 줄었네","ㅇㅇ ","180.134 ","05.08"
"이동기 어휘 200제 지금 사서 풀면 오바야?","여아앙 ","124.62 ","05.08"
"수도권사는애들은 지방직가라 꼭","ㅇㅇ ","222.101 ","05.08"
"진짜 급해... 30분도 안남음","ㅇㅇㅇ ","1.233 ","05.08"
"도시 공사 공무원 줄이면 다른곳 드립다  는다 .  ","ㆍ ","175.223 ","05.08"
"토익 700점이면 어느정도 수준인거야??","ㅇㅇ ","175.121 ","05.08"
"야야 내일 축구본다는 애들 죄다 독학충들이냐고","ㅇㅇ ","182.230 ","05.08"
"문재인이 보고 줄이길 .","ㆍ ","175.223 ","05.08"
"현직들아 궁금한점이 있다..","ㅇㅇㅇ ","1.233 ","05.08"
"14일 설시 발표 기다린다. 보호 면접준비핢가?","ㅇㅇㅇ ","223.62 ","05.08"
"틀린문제 풀이보고 다시 풀때 맞추는건","ㅇㅇ ","59.26 ","05.08"
"꼭 세금도 쥐좆만큼 내면서 세금도둑이라고 개지랄함","ㅇㅇ ","125.139 ","05.08"
"세종청사 좆같은점","ㅇㅇ ","222.101 ","05.08"
"도시 공사 공무원 숫자 줄여야  재정이 좋지 .  ","ㆍ ","175.223 ","05.08"
"개년글올려라-한버쥐다걸러라 달치고살자","인생은플옵3쿼터부터or10하일라잇만족 "," ","05.08"
"회사내 맘에 드는 여직원에게 햇볕정책으로 작업중 ㄹㅇ.real","ㄷㄷㄷ ","221.141 ","05.08"
"초시생 행정학vs행정법 머가 오래걸림?","ㅋㅋ ","27.117 ","05.08"
"요즘 여자들이 좋아하는 남자패션이","ㅇㅇ ","1.240 ","05.08"
"도시  공사 공무원들 하는것 없이 근무 시간에 야동 섭렵 . ","ㆍ ","175.223 ","05.08"
"존빈이 시발 면접장에서 내 뒷번호면 좋겟다","존못빌런근위병 ","175.223 ","05.08"
"태실해야지","쥬피썬더77 "," ","05.08"
"존빈아 시발 검찰 합격했니","존못빌런근위병 ","175.223 ","05.08"
"내일 축구본다는 애들 내일 학원같은거 안다니는 독학충들이냐","ㅇㅇ ","182.230 ","05.08"
"공부 방법 맞는지 좀 봐주라","ㅇㅇ ","112.151 ","05.08"
"공갤 탈갤한다 잘있어라","ㅇㅇ ","180.66 ","05.08"
"근데 진짜 명품왜사냐?","ㅇㅇ ","27.117 ","05.08"
"한국사 모의고사 두길이 4.0들으면되냐","ㄷㄼㅇㅂㅈ ","58.127 ","05.08"
"저난길 왈 본인 공무원 100명이상치 돈 번다는데 레알이냐?","ㅇㅇ ","1.240 ","05.08"
"머리아프고 속울렁거리는데 딸치면 도움되냐ㅜ","ㅇㅇ ","106.102 ","05.08"
"어벤져스잇자나 건틀릿 정확한 힘이모임??","ㅇㅇ ","39.7 ","05.08"
"기침하는 여고딩년들 개짜증나네","ㅇㅇ ","106.251 ","05.08"
"토익700점대가 공시영어 70점대라던데","ㅇㅇ ","117.111 ","05.08"
"존빈이 따라하는 통피있네 ","존못빌런근위병 ","175.223 ","05.08"
"국어문법 문제는 맞추는데 설명을못한다","구름ㅇ ","117.111 ","05.08"
"고종훈 기출변형500제 심화 풀만해?","ㅇㅇ ","175.223 ","05.08"
"심우철 독해1000제 어려운거야??","ㅇㅇ ","223.62 ","05.08"
"오늘 영어배운거","ㅇㅇ ","175.223 ","05.08"
"초시생) 전한길 1타라 들어본 소감.","ㅇㅇ ","175.116 ","05.08"
"민준호 기출 8번 돌렸는데 충분하냐?","ㅇㅇ ","120.142 ","05.08"
"용인에서 세종 매일 출퇴근한다","ㅇㅇ ","222.101 ","05.08"
"솔직히 9급은 20대를 갖다 바쳐도 좋을만큼 가성비 쩔긴 한다","갓무원 ","58.143 ","05.08"
"행사충인데 검찰필합한애들잇냐","ㅇ ","59.0 ","05.08"
"현직들 그래도 자부심 있지?","ㄱ ","122.32 ","05.08"
"저난길 무료강의 잠깐 들어봤는데 ㅋㅋ","ㅇㅇ ","1.240 ","05.08"
"공무원들 근무 시간외에  농땡이 잘까지 도시 공사  공무원 .","ㆍ ","175.223 ","05.08"
"독서실 끝나고 치킨사간다","ㅇㅇ ","39.7 ","05.08"
"교행이 일행보다 제일 좋은 점","ㅇㅇ ","39.7 ","05.08"
"뽕알에 땀차니까 악취 넘 심하다","ㅇㅇ ","185.89 ","05.08"
"&#x2665;&#x2665;&#x2665;&#x2665;서울대생도 9급 공무원 보는 시대 &#x2665;&#x2665;&#x2665;&#x2665;","ㅇㅇ ","218.53 ","05.08"
"아니 그럼 내년에도 400점 이상을 맞아야 하는거냐?","ㅇㅇ ","1.229 ","05.08"
"선관위","ㅎ ","210.178 ","05.08"
"국사 전한길 필노 압축강의 (23강짜리 무료) 듣는 중인데 ","ㅇㅇ ","223.39 ","05.08"
"나 키166 8급일행. 여친 키152 49 간호사 누가낫냐?","ㅇㅇ ","121.187 ","05.08"
"대기업 진짜 승진,퇴사 압박감 장난 아닐거 같은데","ㅇㅇ ","1.240 ","05.08"
"★★★★ 요즘은 지방대생들도 대기업 존나 많이 가잖아 ★★★★","ㅇㅇ ","218.53 ","05.08"
"니네 영단어 어떻게 외우냐","ㅇㅇ ","182.230 ","05.08"
"요새는 야동 어케 보냐? 애용하던 온디스크도 제한 많아졌네.","ㅇㅇ ","39.118 ","05.08"
"한국사 문화사 부분 어떻게 공부했냐","ㅇㅇ ","223.39 ","05.08"
"대기업 vs 9급 공무원","ㅇㅇ ","218.53 ","05.08"
"한남들 일녀들이랑 결혼해라","ㅎ ","117.111 ","05.08"
"하 엄복동 보고 싶어서 미치겠다 진짜","ㅇㅇ ","1.240 ","05.08"
"아빠되면 무슨느낌일까....","ㅇㅇ ","121.187 ","05.08"
"기억력이좋은것과 공부잘하는게","11 ","106.102 ","05.08"
"영독해 책 추천점","쥬피썬더77 "," ","05.08"
"9급은 돈모으기 힘드냐?","참새 ","223.62 ","05.08"
"님들 주5ㅡ6일 일하면서 공부 어때요?ㅜ","ㅜ ","220.125 ","05.08"
"김기훈 동형모의고사 추천하냐? 더불어 독해 괜찮냐??형님들 합격하고 싶어","ㅇㅇ ","203.234 ","05.08"
"국가직가면 떠돌이 생활 해야 하냐?","ㅇㅇ ","218.53 ","05.08"
"지금부터 20시간 공부법 들어간다( 설명 有 )","ㅇㅇ ","211.199 ","05.08"
"표준어 점검 16탄 10문제 o x","표준어 ","117.111 ","05.08"
"야들아 면스 안하고 보통 받기 빡새냐?","ㅇㅇ ","124.56 ","05.08"
"영어노베) 지금 ebs중딩인강 보고있는데","ㅇㅇ ","39.7 ","05.08"
"현직 있냐 여기 친구 순경직 준비하는데 질문좀 ㅇㅇ","ㅇㅇ ","59.21 ","05.08"
"나 키166 8급일행. 여친 키152 49 간호사 누가낫냐??","ㅇㅇ ","121.187 ","05.08"
"합격하니 바뀐삶 여자로서..","ㅇㅇ ","106.102 ","05.08"
"7급교사가 9급찐따교시따까리 교행은 안쳐다보는게 현실","ㅇㅇ ","110.70 ","05.08"
"내일 챔스보면 씹허수인가요??","ㅇㅇ ","223.39 ","05.08"
"에라이 필합한거 자랑한 새끼들 다 면탈해라 ㅡㅡ 인성 쓰레기새끼들","ㅇㅇ ","175.223 ","05.08"
"선관위 면접 빡센가","ㅇㅇ ","117.111 ","05.08"
"난 아직도 서울대,연세대,고려대 9급이 이해가 안감","ㅇㅇ ","180.66 ","05.08"
"여교사 얼굴빻은건 학창시절에 다 경험했을건데","ㅇㅇ ","211.248 ","05.08"
"국가직 370점대 지방직 시단위 일행 가능?","ㅇㅇ ","1.237 ","05.08"
"교사도 눈이 있는데 존못찐따교행을 왜만나냐","ㅇㅇ ","110.70 ","05.08"
"공단기 강의료 왤케 비싸냐ㄷㄷ","ㅇㅇ ","211.36 ","05.08"
"마음이 허하다 남자새끼하나 마음에서 빠져나갔네","ㅇㅇ ","106.102 ","05.08"
"칠칠하다 표준어로 바뀜?","ㅇㅇ ","117.111 ","05.08"
"아 힘드러","ㅇㅇ ","211.177 ","05.08"
"교행애들 와꾸보면 찐따얼굴이라 교사못만난다","ㅇㅇ ","110.70 ","05.08"
"너희는 한자 외웠어?","햄토리야 "," ","05.08"
"월400폰팔이 vs9급 머하냐 너네 80살까지 산다고 볼때","24442 ","121.182 ","05.08"
"하루 200km 운전하면 무조건 하브삼?","ㅇㅇ ","222.101 ","05.08"
"어머니 아버지 사랑합니다","ㅇㅇ ","49.161 ","05.08"
"햄토리야 원래 닉 뭐엿냐","ㅇㅇ ","59.22 ","05.08"
"blackblackblack","쥬피썬더77 "," ","05.08"
"9점 사이에 두명 정도는 있겠지? ㅜㅜㅜ","ㅁㄴㅇㄹ ","61.245 ","05.08"
"감평사 경제학 80이면 ㅍㅌㅊ는 되냐?","ㅇㅇ ","183.106 ","05.08"
"씨발 여자들 군대보낸다고 하면 무조건 찍어준다","ㅋㅋㅋ ","125.178 ","05.08"
"공단기 강의 옆에 배수 표시는 뭔가요??","ㅇㅇ ","211.176 ","05.08"
"결혼할때 여자가 적극적인이유","ㅋㅋㅋ ","125.178 ","05.08"
"여자들 하는말은 가볍게 씹어주면됨","ㅋㅋㅋ ","125.178 ","05.08"
"스터디서치 시발년 광고왜케하냐","ㅇㅇ ","222.101 ","05.08"
"국가 기술직에 대하여 잘 아시는 분?","ㅇㅇ ","115.20 ","05.08"
"한자 공부 어떻게 해야 하냐","ㅇㅇ ","61.38 ","05.08"
"여자들한테 당하고 살지말자","ㅋㅋㅋ ","125.178 ","05.08"
"순시 셤 끝나고 10일만에 도서관갔더니","ㅇㅇ ","221.145 ","05.08"
"해커스 15만원할인권 하시는분","ㅇㅇ ","222.112 ","05.08"
"공갤 화력 왤케 죽었냐?","고장난시계 ","211.213 ","05.08"
"쌍꺼풀 수술한사람들 보면 눈이 부릎뜨는거 같냐","ㅇㅇ ","175.223 ","05.08"
"남자는 뭔가가 튀어야 여자들이 봐줌","ㅇㅇ ","42.82 ","05.08"
"정신적으로힘들면 정신과 ㄱ","ㄴㄷ ","223.62 ","05.08"
"지방으로 지원하면, 합격 좀 쉬운편이야?","ㅇㅇ ","175.223 ","05.08"
"내일 새벽 손흥민 경기 안보면 허수 맞냐","ㅇㅇ ","175.223 ","05.08"
"현직인 내가 생각하기에 학교&gt;&gt;&gt;시청&gt;교육청임","ㅇㅇ ","182.172 ","05.08"
"남자명 무조건 북부 교행임","ㅇㅇ ","175.223 ","05.08"
"장애전형 얼마나 합격하기쉬워?","ㅇㅇ ","125.132 ","05.08"
