"dc_title","dc_writer","writer_ip","dc_date"
"솔직히 강남권 욕심만 없으면 한 12억 정도면 좋은데 간다","ㅇㅇ ","223.62 ","05.08"
"2기신도시 서부권 망한건 아닌듯","ㅇㅇ ","182.210 ","05.08"
"돈많은  사람들중 아이폰쓰는사람 못봄","ㅇㅇ ","117.111 ","05.08"
"이정도면 32살 남자 스펙 ㅁㅌㅊ야??","ㅇㅇ ","131.179 ","05.08"
"강남3구 집값 잡겠다고 시작한 신도시가","ㅇㅇ ","39.7 ","05.08"
"60장에 구입한걸 10년후에 200장에 팔면 양도세가","AmuseMe "," ","05.08"
"이번 정권은 부동산 정책을 마치 심시티 즐기듯하네","ㅇㅇ ","14.52 ","05.08"
"신도시만든다고 안잡힘","ㄱㄴㄷㄹ ","39.114 ","05.08"
"아파트 시장만 보면 사실 압구도 잘 안감","ㅇㅇ ","175.223 ","05.08"
"대치 서브는 개포 아니당","ㅇㅇ ","203.234 ","05.08"
"지아이조 군단 미군 2025","ㅇㅇ ","211.246 ","05.08"
"일산 죽일려고 건교부장관 임명한 큰 그림","ㅇㅇ ","182.209 ","05.08"
"광명 3기 2차 선정되었는데 왜 안되었다고 착각들 하는거냐","ㅇㅇ ","121.132 ","05.08"
"씨발 돈 없어서 잠실 가는 거지","ㅇㅇ ","211.246 ","05.08"
"섹스안한지 1년되가는데 뭐 별생각이 안남.","사무장 ","58.140 ","05.08"
"잠실에서 강남 부럽지 않은 딱 한 곳 아선","ㅇㅇ ","211.246 ","05.08"
"동작이나 양천이나 그 자체로는 괜찮은데","ㅇㅇ ","223.38 ","05.08"
"과천충이  요즘 조용하다.","ㅇㅇ ","124.56 ","05.08"
"보통 강남이라하면 압구 반포 대치를 말하는 거임","ㅇㅇ ","175.223 ","05.08"
"일산 전원주택 사는 사람들이 집값 신경이나 쓰겠냐 ㅋㅋㅋ","ㅇㅇ ","223.38 ","05.08"
"광명 성수는 공장 주변이라 ","ㅇㅇ ","175.223 ","05.08"
"고덕 전세로 이사왔는데","ㅇㅇ ","211.211 ","05.08"
"일산 좀 그만 까라고","kzine "," ","05.08"
"해킹, 유포, 사이버 괴롭힘을 당하고 있어 제발 도와줘","ㅇㅇ ","49.143 ","05.08"
"잠실 장미 망했으면 좋겠다","ㅇㅇ ","223.62 ","05.08"
"분양권은 어디서 신청하냐","ㅜㅜ워홀충 "," ","05.08"
"광명역 주위 부지가 아깝긴 함","ㅇㅇ ","211.177 ","05.08"
"일반의원 30만 중소도시에서 신규로 개원하면 얼마나 드나? ","사무장 ","58.140 ","05.08"
"젊은 잠실러의 꿈","ㅇㅇ ","203.234 ","05.08"
"광명 재개발 투자는 어때?","11 ","58.224 ","05.08"
"솔까 강남 대치 미만은 잠실한테 하극상 하는거지","ㅇㅇ ","175.223 ","05.08"
"신도시병에 걸렸나. 맨날 신도시 만드냐 ㅋ","ㄱㄱ ","221.140 ","05.08"
"분당구 수내동  vs  서울 성동구 마장동","ㅡ ","112.168 ","05.08"
"너네 충격적인 층간소음 실태 말해줄까?????????????","ㅇㅇㅇㅇ ","218.51 ","05.08"
"잡서울이랑 일산의 공통점","ㅇㅇ ","203.234 ","05.08"
"친구 내과의사인데 요새 널스잡에 구인광고내면 ","00 ","58.140 ","05.08"
"자한당 안찍는다며 2007년에 엠비 근혜찍는년놈은 뭐냐","한국청년 ","182.228 ","05.08"
"의사면허 13만번대 나옴..","ㄱㄱ ","221.140 ","05.08"
"인서울 대지지분많은 빌라 왜케끌리냐","ㄷㄱ ","58.143 ","05.08"
"입지 좋은 재건축은 어차피 돈놀이야","ㅇㅇ ","112.133 ","05.08"
"개포1은 컨소시움인데 얼마나 개판으로 지을지","ㅅㅅ ","175.114 ","05.08"
"잡서울충들의 미래 일산","ㅇㅇ ","175.223 ","05.08"
"강남 재건축 투자 올연말vs내후년초","ㅇㅇ ","211.246 ","05.08"
"동탄 2도 죽었다고 봐야지","ㅇㅇ ","14.34 ","05.08"
"폭락 박홍기가 부갤 까더라 ㅋㅋㅋ","법제 ","203.226 ","05.08"
"고덕 신축 눈꼴시려 못봐주겠네","ㅇㅋ ","124.49 ","05.08"
"썩다리사서 전세주거나 대출받아서 몸테크하고싶은데","ㅡㅡ ","1.227 ","05.08"
"요즘 신축 브랜드 아파트 방음 어떻냐?","ㅇㅇ ","220.117 ","05.08"
"ㅂ. . ㅅ들이  서뇌당해서 민주당은선 자한당은 악으로 인식","ㅇㅇ ","61.247 ","05.08"
"분당을 투자면에서 실패했다고 할수있냐?","ㅇㅇ ","223.33 ","05.08"
"견보료 매달 100~150내면 잘사는거냐?","ㅇㅇ ","175.223 ","05.08"
"서초는 내세울게 도대체 뭐냐????","ㅇㅇ ","211.36 ","05.08"
"서초충들 아직도 강남 타이틀에 매달리는거야?","ㅇㅇ ","211.192 ","05.08"
"올해7월  재산세 존나 나온다고 하더라","ㅇㅇ ","61.247 ","05.08"
"일산애들 그래도 민주당 찍을건데 ㅋㅋㅋㅋ","ㅇㅇ ","211.246 ","05.08"
"분당에 아직도 부자들 많은거 같던데","ㅇㅇ ","211.246 ","05.08"
"서울 살게 됬는데 홍제동쪽 아파트 어떠냐?","고름덮밥 ","124.199 ","05.08"
"대장에 아파트 분양 제일싼거는 얼마나할가???? 5억??","ㅇㅇ ","219.248 ","05.08"
"내가 아는사람중에 스펙 1등인데 ㅁㅌㅊ냐?.txt","ㅇㅇ ","131.179 ","05.08"
"강남 순위","ㅇㅇ ","211.36 ","05.08"
"하 인생 다 걸고 돈모았는데....","ㅇㅇ ","124.80 ","05.08"
"빛쟁이가 전하는 바이오 리딩 강좌 3탄 신라젠","빛쟁이 ","58.148 ","05.08"
"경희궁 자이 2단지 25평 실거래 12억 떴네 ㅋㅋㅋㅋ","ㅇㅇ ","49.170 ","05.08"
"ㅎㄷㄷㄷ 경희궁 자이가 파크리오 발라버리네? ㅎㄷㄷ","ㅇㅇ ","223.38 ","05.08"
