"dc_title","dc_writer","writer_ip","dc_date"
"삶의 희망이 없다","성제빠돌이♡ "," ","05.08"
"초년기신에 도화밭인 사주인데","ㅇㅇ ","118.220 ","05.08"
"오늘 존잘 봤다 ","ㅍ ","112.171 ","05.08"
"체 코 갈 거 야","채채 "," ","05.08"
"배우는 키 클 필요 별로없는데","ㅇㅇ ","118.220 ","05.08"
"콧볼축소 해본 애들아 제발 도와줘","돌아갈래 ","119.65 ","05.08"
"쥐징이 존예임","ㅇㅇ ","118.220 ","05.08"
"성제님 침먹여본사람 몇명이에요?","성제부하 ","223.38 ","05.08"
"술 마시니까 12명의 전여친에게 차례로 연락하고 싶노","성제빠돌이♡ "," ","05.08"
"나 성형외과랑 붙어있는 피부과 다니거든","친구없어 ","61.79 ","05.08"
"이태원에 게이들 많다며?","스누피e "," ","05.08"
"잔반 빨얼 존나 부럽다","성제빠돌이♡ "," ","05.08"
"요즘 분조장 존나 터지네","성제빠돌이♡ "," ","05.08"
"운동하는 ㅆㅅㅌㅊ녀들은 근돼 좋아하는경우 많음","ㅇㅇ ","223.62 ","05.08"
"다들이거 동영상 n 회독해라 유튜브 ㅇㅇ","파레긩 "," ","05.08"
"성제 다시 부산으로 와라.","센텀 "," ","05.08"
"아만다 재심사했을때 원래 점수보다 낮으면 어떻게 되냐?","ㅇㅇ ","223.38 ","05.08"
"파렉은 휘둘릴 수 밖에 없는 위치 아니냐","성제빠돌이♡ "," ","05.08"
"씨발 호빠땡긴다","댚히 "," ","05.08"
"오른쪽얼굴이 남이보는 얼굴이라고들 하잖아","ㅇㅇ ","211.36 ","05.08"
"글램","하하호호 ","110.70 ","05.08"
"맨날 술처먹고 술주정부리는 애비새끼 반쯤패죽이고싶다","ㅇㅇ ","211.243 ","05.08"
"근데 영프독중에 일본이랑 제일 관련없는나라가 프랑스임?","ㅇㅇ ","183.97 ","05.08"
"착여 눈깔에 나무젓가락 4개 꽂음","성제빠돌이♡ "," ","05.08"
"콧대 높고싶다","ㅇㅇ ","182.211 ","05.08"
"글램5.09 아만다2.6달성","하하호호 ","110.70 ","05.08"
"어제 집앞 초등학교 여초딩 존나 때림","성제빠돌이♡ "," ","05.08"
"거슬리는 두 놈년들이 쌍으로 쪼개고있노","성제빠돌이♡ "," ","05.08"
"어버이날 좆같네 ㅋㅋ","댚히 "," ","05.08"
"필러맞은지 얼마정도되면 다빠짐?","ㅇㅇ ","117.111 ","05.08"
"그건 그렇고 디에이 이경묵 디씨하냐?","ㅇㅇ ","58.126 ","05.08"
"야 미쓰에이 민 이쁘냐?","ㅇㅇ ","223.38 ","05.08"
"그러고 보니 ㅇㅇ 이제 눈은 수술 초기보다 좀 만족스러워짐?","센텀 "," ","05.08"
"다음생엔 ","구지니 "," ","05.08"
"보톡스 맞으면 어떤 효과냐?","ㅇㅇ ","175.209 ","05.08"
"실제로 내 꼬추 빨라고 작정한 게이도 있어서","성제빠돌이♡ "," ","05.08"
"나도 개씹존잘에 돈많고 키188cm에 일류대출신 남자 되고파","ㅇㅇ ","39.7 ","05.08"
"4~5왔따리 글램이 시간이 많이 걸리네","하하호호 ","125.143 ","05.08"
"나 셀고라서 죽고싶어","ㅇㅇ ","39.7 ","05.08"
"근데 ㄹㅇ 자식이.못생겼으면 성형을 시키는게 낫지","ㅇㅇ ","175.223 ","05.08"
"판다 개새끼 죽어 죽어 씨발롬아","ㅇㅇ ","39.125 ","05.08"
"판다 개새끼 죽어","ㅇㅇ ","39.125 ","05.08"
"판다 죽어","ㅇㅇ ","39.125 ","05.08"
"판다 개새끼 죽어 죽어 씨발놈아","ㅇㅇ ","39.125 ","05.08"
"필러맞고 담날 알바가능???","ㅇㅇ ","117.111 ","05.08"
"판다 개새끼 ㅈ같은 새끼 죽어","ㅇㅇ ","39.125 ","05.08"
"판다 개새끼야 죽어 씨발롬아","ㅇㅇ ","39.125 ","05.08"
"글램도 그냥 사람을 후려치는규나","하하호호 ","125.143 ","05.08"
"판다 개새끼 죽어","ㅇㅇ ","39.125 ","05.08"
"배고픈걸요할 섹스하고 왔다 ","ㅇㅇ ","39.7 ","05.08"
"판다 개새끼 영혼 신체에서 빠져나가 ","ㅇㅇ ","39.125 ","05.08"
"판다 개새끼 ㅈ같은 씨발새끼","ㅇㅇ ","39.125 ","05.08"
"야 니들이봐도 키 157에 50키로면 날씬한거냐","ㅇㅇ ","175.223 ","05.08"
"판다 개새끼 죽어","ㅇㅇ ","39.125 ","05.08"
"와 12키로뿔어난거 다이어트 중인데 뺄때는 얼굴부터 안빠진다","ㅇㅇ ","175.223 ","05.08"
"여자나 남자나 무쌍에서 최소 속쌍 조지면","ㅇㅇ ","182.222 ","05.08"
"눈밑주름은 시술로 제거 가능?","ㅇㅇ ","106.244 ","05.08"
"영국보다 프랑스가 예술적이고 화려한이유가 모임?","ㅇㅇ ","183.97 ","05.08"
"요즘 대학생애들 옷 입는 스타일싫다","ㅇㅇ ","223.33 ","05.08"
"그런느낌이엇어 그 못생기고 집안짱짱한애도","ㅇㅇ ","39.7 ","05.08"
"편돌이 쌍수해볼까요","글쓴이 ","175.223 ","05.08"
"성제 800씩 벌어?","세컨즈 "," ","05.08"
"솔직히 잘생기고 예쁜 남자 연예들 일진이었으면","ㅇㅇ ","211.221 ","05.08"
"여자애들이 섹스할때 나보고 고추크다고하던데","ㅇㅇ ","211.243 ","05.08"
"나 중딩땐 이런장면많이바써","ㅇㅇ ","39.7 ","05.08"
"글램 신뢰성 몇퍼센트냐?","ㅇㅇ ","125.138 ","05.08"
"사람 외모는 비율과 대칭이 좋으면 잘생겼다고 보면되는것같아","ㅇㅇ ","106.244 ","05.08"
"내가 카톡얼평방운영하면서","ㅇㅇ ","61.255 ","05.08"
"어디서나당당하게갓기","피카 "," ","05.08"
"갓기는 행복할 자격이 없음","성제빠돌이♡ "," ","05.08"
"얼굴 2cm 줄이는건 사실상 힘드냐?","ㅇㅇ ","121.172 ","05.08"
"스윗미 건국대다니는 존예녀가 말거는데","성제빠돌이♡ "," ","05.08"
"간조사가 수술하는 사례도 있던데","친구없어 ","211.36 ","05.08"
"오 소득세 50만원 환급받는다","성제빠돌이♡ "," ","05.08"
"눈썹 진한년이 렬루 잼쥐털도 많냐?","ㅇㄴㅁㄹ ","124.58 ","05.08"
"판다덕분에 오성이란 애 얼굴 외워버림ㅋㅋ","원태형 "," ","05.08"
"갓기야 경고하는데 ","겸빈 "," ","05.08"
"코 끝 수술  간단한 수술임???????#@(@???ㅡ","ㄷㄷ ","211.36 ","05.08"
"윤곽주사가 보톡스야?","ㅇㅇ ","223.33 ","05.08"
"배부르다 그리고","센텀 "," ","05.08"
"잘생겼더라면","메로나, "," ","05.08"
"얘들아 나눈 뭘해도 성공할거같긴해","댚히 "," ","05.08"
"다른건 말고 얼굴 길이 줄이고 싶은데","ㅇㅇ ","121.172 ","05.08"
"돈이 없을 땐 돈벌어야해서 함께있지못하고","댚히 "," ","05.08"
"양말아 요즘 얼굴이 왜그래? 알콜 도박에 빠진사람같아","ㅇㅇ ","61.106 ","05.08"
"갓기 담에 내 눈에 띄지마라","성제빠돌이♡ "," ","05.08"
"갓기갤 될 기세노","원태형 "," ","05.08"
"순수한사랑이하고싶다","ㅇㅇ ","61.255 ","05.08"
"코수술 원래시간보다 40분 더걸림.txt","ㅇㅇ ","175.223 ","05.08"
"나 좋아하는 새끼들은 온라인에서만 지랄임","성제빠돌이♡ "," ","05.08"
"아짱나또눈물ㄴㅏ ㅡㅡ","채연채연 "," ","05.08"
"아 존나 과분한사람만나니까","ㅇㅇ ","61.255 ","05.08"
"돈이 최고랍니다 ","댚히 "," ","05.08"
"링딩동 모솔 구라겠지?","원태형 "," ","05.08"
"106.102 클럽입뺀당하는 씹오크 멸치년 성제님열폭하네","성제부하 ","223.38 ","05.08"
"성제님 용돈만남 하실?","ㅇㅇ ","175.223 ","05.08"
"성제님 지금 백수임?","ㅇㅇ ","175.223 ","05.08"
"106.102 ㅆㅂ년아 성제님욕하면 죽여버린다","성제부하 ","223.38 ","05.08"
"프사딸 치라고 프사걸었음","아락실 ","203.226 ","05.08"
"맨날 나 괴롭히는 106.102 프록시나 토른줄 알았는데","친구없어 ","61.79 ","05.08"
"아래 담배피는짤 혀랑 침 ㅈㄴ더러워서 차단박음","ㅇㅇ ","106.102 ","05.08"
"요즘 바나나 안나옴??","메로나, "," ","05.08"
"갓기는 진짜 미용실이랑 옷가게같이가주고싶음","파레긩 "," ","05.08"
"내일 성형한다","ㅇ ","175.223 ","05.08"
